Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
Kompleks Townhouse,Komplek Perumahan Army,"54VQ+H34, Leuhan, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Leuhan, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,85260242578.0,4.1938943,96.1376912,https://maps.google.com/?cid=0x0:0xbb7dbd004146e043
Komplek perumahan,Perumahan Lapang Minimalis,"54VF+8MM, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1933452,96.1241729,https://maps.google.com/?cid=0x0:0xb112758221b0fa8e
,Perumahan CRS,"54QR+Q7V, Leuhan, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Leuhan, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,8116888712.0,4.1894782,96.1406711,https://maps.google.com/?cid=0x0:0x949d599ef62290d
Perumahan,Perumahan Gen Residence,"54CC+589, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23617","Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23617.0,Indonesia,,4.1700601,96.1214031,https://maps.google.com/?cid=0x0:0x308bdf86ab45b089
Komplek perumahan,Perumahan IOM,"54RW+MWX, Jl. TGK Di Pancu, Blang Berandang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23681","Jl. TGK Di Pancu, Blang Berandang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,,4.1917391,96.1473614,https://maps.google.com/?cid=0x0:0xdc7f0068d917eb2c
Pembangunan Perumahan,Perumahan Griya Nova,"54VG+WVV, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.194874,96.127157,https://maps.google.com/?cid=0x0:0x9e102b2271f94c27
Perumahan,Perumahan Padang Seurahet 2,"54WQ+QJJ, Unnamed Rd, Blang Berandang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Unnamed Rd, Blang Berandang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1969559,96.1390192,https://maps.google.com/?cid=0x0:0x86c41a32e77a7a4b
Komplek perumahan,Perumahan Syariah Meulaboh,"54VF+8MM, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,82214832859.0,4.1933458,96.1241737,https://maps.google.com/?cid=0x0:0xd0a4ed9386542116
Pembangunan Perumahan,GRIYA ASRI PMC,"54FH+4XH, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.172812,96.1299804,https://maps.google.com/?cid=0x0:0x183b4a11449e2e0f
Komplek perumahan,Gen Residence 2,"Suak Raya, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,82165522261.0,4.1762029,96.1068573,https://maps.google.com/?cid=0x0:0xe54ef04672ca816f
Komplek perumahan,Komplek KPR BTN,"544C+V9H, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1571879,96.1209793,https://maps.google.com/?cid=0x0:0xd5dfe1ba1df1c0cc
Komplek perumahan,Perumahan Caritas BB.2,"54WR+H56, Blang Berandang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Blang Berandang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1964175,96.1404039,https://maps.google.com/?cid=0x0:0x3ec600bb73092ddf
Komplek perumahan,Suak Sigadeng Residence,"Jln.H.Daud Dariah 2.Suak Indra puri kec.Johan Pahlawan Kab.Aceh Barat, Suak Sigadeng, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23617","Suak Sigadeng, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23617.0,Indonesia,,4.1682757,96.1096597,https://maps.google.com/?cid=0x0:0xa8e7f4090a282665
Komplek perumahan,Griya Fahmi Rizki Suak Sigadeng,"5484+7P, Suak Sigadeng, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh","Kabupaten Aceh Barat, Aceh",ACEH,,Indonesia,,4.1656448,96.1068659,https://maps.google.com/?cid=0x0:0x834b4d225cd35dec
Pembangunan Perumahan,Komplek Perumahan Caritas BB.1,"54XW+PH8, Blang Berandang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23681","Blang Berandang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,,4.1992843,96.1464644,https://maps.google.com/?cid=0x0:0x906f99c6914c67f5
Komplek perumahan,Komplek Griya Lapang,"54VF+3JQ, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1927002,96.1241006,https://maps.google.com/?cid=0x0:0x5f8aca88fbbd5be
Pembangunan Perumahan,Perumahan Sultan,"5469+PJW, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23617","Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23617.0,Indonesia,,4.1617585,96.1191259,https://maps.google.com/?cid=0x0:0x906ed515a05ffab
Komplek perumahan,Komplek Rumah Dinas Dinas Kesehatan,"545J+CGP, Jl. Kesehatan, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Jl. Kesehatan, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1585799,96.1313356,https://maps.google.com/?cid=0x0:0x8d22f4ff55c879b3
Komplek perumahan,Griya Fahmi Rizki Seuneubok,"5487+563, Jl. Singgah Mata, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23617","Jl. Singgah Mata, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23617.0,Indonesia,,4.1658448,96.1125029,https://maps.google.com/?cid=0x0:0xf64b64e2b3f7d615
perumahan,KOMPLEK PERMATA RESIDENCE,"54C7+V92, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23617","Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23617.0,Indonesia,85297400259.0,4.1731535,96.1135939,https://maps.google.com/?cid=0x0:0x407105fe93304dad
