Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"mall";"mall";"Aceh 23611";"Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh";"Kabupaten Aceh Barat, Aceh";"ACEH";"";"Indonesia";"";"4.193957";"96.1261925";"https://maps.google.com/?cid=0x0:0xa5883fcf3488a614"
"mall";"Toko bahan makanan";"Tamini.co";"Jl. Gajah Mada No.1A, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23617";"Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat";"ACEH";"23617";"Indonesia";" 085362117694";"4.1531517";"96.1312331";"https://maps.google.com/?cid=0x0:0x5a12dbb8d74e11bf"
"mall";"Toko";"Suzuya Mall Meulaboh";"Jl. Nasional, Ujung Kalak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23613";"Ujung Kalak, Kec. Johan Pahlawan, Kabupaten Aceh Barat";"ACEH";"23613";"Indonesia";"";"4.1446322";"96.1290008";"https://maps.google.com/?cid=0x0:0x3a4e5173a3751571"
"mall";"Pusat Perbelanjaan";"DAKOTA CELL by RETRO";"Ujong Baroh, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611";"Kec. Johan Pahlawan, Kabupaten Aceh Barat";"ACEH";"23611";"Indonesia";" 082360154545";"4.153085";"96.1266123";"https://maps.google.com/?cid=0x0:0xd468308ce1c72fab"
"mall";"Pusat Perbelanjaan";"Bc HNI MEULABOH";"544F+WW3, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611";"Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat";"ACEH";"23611";"Indonesia";" 08116854141";"4.1572539";"96.1248116";"https://maps.google.com/?cid=0x0:0xc5799a428d6d01ca"
"mall";"Toko bahan makanan";"Halal Mart Stock Center (SC) Meulaboh";"546H+C28, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23616";"Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat";"ACEH";"23616";"Indonesia";"";"4.1610456";"96.1275883";"https://maps.google.com/?cid=0x0:0x99206aeb1a7a7812"
"mall";"Toko Herbal";"hni-hpai cab. meulaboh";"544G+G7G, Jl. Bakti Pemuda, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611";"Jl. Bakti Pemuda, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat";"ACEH";"23611";"Indonesia";" 085358301038";"4.1563217";"96.1257013";"https://maps.google.com/?cid=0x0:0x2f849cd339d13264"
"mall";"Toko Swalayan";"Depot Air Minum Mineral";"54FP+6HF, Jl. Sisingamangaraja, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611";"Jl. Sisingamangaraja, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat";"ACEH";"23611";"Indonesia";"";"4.1730519";"96.1364101";"https://maps.google.com/?cid=0x0:0x332493faf878f79c"
"mall";"Toko";"Toko cahaya bulan";"Jl. Singgah Mata, Ujong Baroh, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23681";"Ujong Baroh, Kec. Johan Pahlawan, Kabupaten Aceh Barat";"ACEH";"23681";"Indonesia";" 085370106717";"4.1463984";"96.1276054";"https://maps.google.com/?cid=0x0:0x1755c10db38e5a86"
"mall";"Toko";"Jazirah Meulaboh";"Jl. Nasional, Rundeng, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23681";"Rundeng, Kec. Johan Pahlawan, Kabupaten Aceh Barat";"ACEH";"23681";"Indonesia";" 082168219770";"4.1510197";"96.1337569";"https://maps.google.com/?cid=0x0:0x40b7b582affb6342"
