Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"Tugu Pahlawan";"Kota Blangkejeren";"X8WR+3JP, Kuta Lintang, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh 24653";"Kuta Lintang, Kec. Blangkejeren, Kabupaten Gayo Lues";"ACEH";"24653";"Indonesia";"";"3.9952146";"97.3415937";"https://maps.google.com/?cid=0x0:0x1d2ddea602eb7bea"
"perumahan";"perumahan";"Aceh 24655";"Kabupaten Gayo Lues, Aceh";"Kabupaten Gayo Lues, Aceh";"ACEH";"";"Indonesia";"";"3.952016";"97.6982272";"https://maps.google.com/?cid=0x0:0xc96481644b461350"
"perumahan";"perumahan";"Kota Blangkejeren";"Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh";"Kabupaten Gayo Lues, Aceh";"ACEH";"";"Indonesia";"";"3.9951376";"97.3401785";"https://maps.google.com/?cid=0x0:0x326958facf698036"
"perumahan";"Tujuan Wisata";"Dusun Genting, Kp. Bukit Blangkejeren Gayo Lues";"X9V3+658, Penampaan, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh 24653";"Penampaan, Kec. Blangkejeren, Kabupaten Gayo Lues";"ACEH";"24653";"Indonesia";"";"3.9930409";"97.3529401";"https://maps.google.com/?cid=0x0:0x290633e06cda438"
"perumahan";"Perumahan";"Komplek Perumahan Arabi";"282M+HPM, Sentang, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh 24653";"Sentang, Kec. Blangkejeren, Kabupaten Gayo Lues";"ACEH";"24653";"Indonesia";"";"4.0014736";"97.3342882";"https://maps.google.com/?cid=0x0:0x137a2adf3223bc2f"
"perumahan";"Kantor Pemerintah";"Mess Mahkamah Syari'ah Blangkejeren";"JL. Brigjend Ridwan Karim No.84, Kuta Lintang, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh 24653";"Kuta Lintang, Kec. Blangkejeren, Kabupaten Gayo Lues";"ACEH";"24653";"Indonesia";" 064221754";"3.9966278";"97.3381968";"https://maps.google.com/?cid=0x0:0x7d0f12c51d00a263"
"perumahan";"Pembangunan Perumahan";"BLANGTENGGULUN";"W9X7+MQ9, Jl. Blangkejeren - Kutacane, Penggalangan, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh 24653";"Jl. Blangkejeren - Kutacane, Penggalangan, Kec. Blangkejeren, Kabupaten Gayo Lues";"ACEH";"24653";"Indonesia";"";"3.949158";"97.3644773";"https://maps.google.com/?cid=0x0:0xc2dcedc4f0921889"
"perumahan";"perumahan";"TOKO SAUDARA PLASTIK BLANGKEJEREN";"X8WV+H45, Jalan Centong Bawah, Durin, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh 24653";"Jalan Centong Bawah, Durin, Kec. Blangkejeren, Kabupaten Gayo Lues";"ACEH";"24653";"Indonesia";" 082273208032";"3.9963943";"97.3428734";"https://maps.google.com/?cid=0x0:0x2ed7c342387a1aa4"
"perumahan";"Komplek perumahan";"Rumah rapli kolint";"284Q+6WV, Bustanussalam, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh";"Kabupaten Gayo Lues, Aceh";"ACEH";"";"Indonesia";"";"4.0056114";"97.3398092";"https://maps.google.com/?cid=0x0:0xa2175f6e9fee81d6"
"perumahan";"Komplek perumahan";"Blangkejeren";"X8V6+94H Kantor satpol pp, Rikit Dekat, Kec. Kutapanjang, Kabupaten Gayo Lues, Aceh";"Kabupaten Gayo Lues, Aceh";"ACEH";"";"Indonesia";"";"3.993445";"97.31037";"https://maps.google.com/?cid=0x0:0x51fb918fb2fbc790"
"perumahan";"Restoran";"Rumah Steak Blangkejeren";"282R+QH7, Jl. Lintas Takengon - Blangkejeren, Kuta Lintang, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh 24653";"Jl. Lintas Takengon - Blangkejeren, Kuta Lintang, Kec. Blangkejeren, Kabupaten Gayo Lues";"ACEH";"24653";"Indonesia";" 082360386719";"4.0019111";"97.3414122";"https://maps.google.com/?cid=0x0:0x52ae1f575ef41919"
"perumahan";"";"PAKAN TERNAK HEWAN";"Simpang empat Desa Kutelintang, dusun Mude, uken, Kec. Blangkejeren, Aceh 24655";"dusun Mude, uken, Kec. Blangkejeren";"ACEH";"24655";"Indonesia";"";"3.9985133";"97.3435873";"https://maps.google.com/?cid=0x0:0xa54d7d512d4edbb4"
"perumahan";"Bandara Regional";"Dusun Bandara Blangkejeren";"W9Q6+J4, Palok, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh";"Kabupaten Gayo Lues, Aceh";"ACEH";"";"Indonesia";"";"3.9391175";"97.3602638";"https://maps.google.com/?cid=0x0:0x4ecd5dbbdaa5354e"
"perumahan";"Komplek perumahan";"Rumah Uzi";"X9V3+658, Penampaan, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh 24653";"Penampaan, Kec. Blangkejeren, Kabupaten Gayo Lues";"ACEH";"24653";"Indonesia";"";"3.9928868";"97.3529243";"https://maps.google.com/?cid=0x0:0xc9bd57612597fab0"
"perumahan";"perumahan";"Kec. Kutapanjang";"Kabupaten Gayo Lues, Aceh";"Kabupaten Gayo Lues, Aceh";"ACEH";"";"Indonesia";"";"4.016734";"97.2789708";"https://maps.google.com/?cid=0x0:0xf8ab0b68c0bccdd8"
"perumahan";"Komplek perumahan";"Desa Tampeng";"279Q+XF6, Tampeng, Kec. Kutapanjang, Kabupaten Gayo Lues, Aceh 24655";"Tampeng, Kec. Kutapanjang, Kabupaten Gayo Lues";"ACEH";"24655";"Indonesia";"";"4.0199178";"97.2886355";"https://maps.google.com/?cid=0x0:0x69e5783ac51500e8"
"perumahan";"Pembangunan Perumahan";"Kos badak";"27CJ+4C2, Tampeng Musara, Kec. Kutapanjang, Kabupaten Gayo Lues, Aceh 24655";"Tampeng Musara, Kec. Kutapanjang, Kabupaten Gayo Lues";"ACEH";"24655";"Indonesia";"";"4.019896";"97.280836";"https://maps.google.com/?cid=0x0:0x368f5fb116f38d96"
"perumahan";"Komplek perumahan";"PERUMAHAN GAYO ASRI RESIDENCE";"X8V4+C8Q, Rikit Dekat, Kec. Kutapanjang, Kabupaten Gayo Lues, Aceh 24653";"Rikit Dekat, Kec. Kutapanjang, Kabupaten Gayo Lues";"ACEH";"24653";"Indonesia";" 081260574039";"3.992086";"97.30559";"https://maps.google.com/?cid=0x0:0xc99a6572b4fd82f5"
"perumahan";"Kantor Pemerintah";"Desa Ulun Tanoh";"Ulon Tanoh, Kec. Kutapanjang, Kabupaten Gayo Lues, Aceh 24655";"Kec. Kutapanjang, Kabupaten Gayo Lues";"ACEH";"24655";"Indonesia";"";"4.0123933";"97.3064533";"https://maps.google.com/?cid=0x0:0xb3a23f1175f19899"
"perumahan";"Perhimpunan Pengembang Perumahan";"Arsab";"27FM+F86, Tampeng Musara, Kec. Kutapanjang, Kabupaten Gayo Lues, Aceh 24655";"Tampeng Musara, Kec. Kutapanjang, Kabupaten Gayo Lues";"ACEH";"24655";"Indonesia";"";"4.0236558";"97.2832578";"https://maps.google.com/?cid=0x0:0x4c889a2b69d32c4f"
"perumahan";"Komplek perumahan";"Ohhmyal";"279R+CH6, Rema, Kec. Kutapanjang, Kabupaten Gayo Lues, Aceh 24655";"Rema, Kec. Kutapanjang, Kabupaten Gayo Lues";"ACEH";"24655";"Indonesia";"";"4.0185396";"97.2913834";"https://maps.google.com/?cid=0x0:0xbeda8f25eb61928b"
"perumahan";"Komplek perumahan";"Dusun Kereteng";"X8F3+8JV, Kute Bukit, Kec. Blangpegayon, Kabupaten Gayo Lues, Aceh";"Kabupaten Gayo Lues, Aceh";"ACEH";"";"Indonesia";"";"3.9733716";"97.304037";"https://maps.google.com/?cid=0x0:0x78415b25f1255317"
"perumahan";"Komplek perumahan";"Rumah Julita";"278M+836, Dusun dewal musara, Tampeng Musara, Kec. Kutapanjang, Kabupaten Gayo Lues, Aceh 24655";"Dusun dewal musara, Tampeng Musara, Kec. Kutapanjang, Kabupaten Gayo Lues";"ACEH";"24655";"Indonesia";"";"4.015793";"97.282647";"https://maps.google.com/?cid=0x0:0x8b94d2695d2db49b"
"perumahan";"Perhimpunan Pengembang Perumahan";"Rumah Fitri";"X8M7+9M9, Cinta Maju, Kec. Blangpegayon, Kabupaten Gayo Lues, Aceh 24653";"Cinta Maju, Kec. Blangpegayon, Kabupaten Gayo Lues";"ACEH";"24653";"Indonesia";"";"3.9834204";"97.3142451";"https://maps.google.com/?cid=0x0:0x195d9b6c3676ae90"
"perumahan";"Komplek perumahan";"Rumah Naufal";"278X+3Q3, Deasa Rema Dusun Turun Junte, Rema, Kec. Kutapanjang, Kabupaten Gayo Lues, Aceh 24655";"Deasa Rema Dusun Turun Junte, Rema, Kec. Kutapanjang, Kabupaten Gayo Lues";"ACEH";"24655";"Indonesia";"";"4.0151459";"97.2994347";"https://maps.google.com/?cid=0x0:0xbd7832ff0fc2aa9d"
"perumahan";"Komplek perumahan";"Kos amelianurala";"27JM+54W, Tampeng Musara, Kec. Kutapanjang, Kabupaten Gayo Lues, Aceh 24655";"Tampeng Musara, Kec. Kutapanjang, Kabupaten Gayo Lues";"ACEH";"24655";"Indonesia";"";"4.0304867";"97.2828208";"https://maps.google.com/?cid=0x0:0x42a1a03be9e3b631"
