Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"perumahan";"Aceh 24410";"Kec. Birem Bayeun, Kabupaten Aceh Timur, Aceh";"Kabupaten Aceh Timur, Aceh";"ACEH";"";"Indonesia";"";"4.443435";"97.8340757";"https://maps.google.com/?cid=0x0:0x837dbf52fde4ed31"
"perumahan";"Perhimpunan Pengembang Perumahan";"Perumahan";"FW8W+X6W, Jl. Lilawangsa Gang Mesjid, Geudubang Jawa, Kec. Langsa Baro, Kota Langsa, Aceh 24354";"Jl. Lilawangsa Gang Mesjid, Geudubang Jawa, Kec. Langsa Baro, Kota Langsa";"ACEH";"24354";"Indonesia";"";"4.4674889";"97.9455886";"https://maps.google.com/?cid=0x0:0x1a6d9c7e7c6db7da"
"perumahan";"Perumahan";"Aqsha residence";"FXP9+V6C, Matang Seulimeng, Kec. Langsa Bar., Kota Langsa, Aceh 24355";"Matang Seulimeng, Kec. Langsa Bar., Kota Langsa";"ACEH";"24355";"Indonesia";" 085277262647";"4.4871977";"97.968021";"https://maps.google.com/?cid=0x0:0xcaa49c4d2e27bdf1"
"perumahan";"Komplek perumahan";"PERUMAHAN GRAND ALFATIH RESIDENCE";"FXQF+422, Matang Seulimeng, Kec. Langsa Bar., Kota Langsa, Aceh 24355";"Matang Seulimeng, Kec. Langsa Bar., Kota Langsa";"ACEH";"24355";"Indonesia";" 085362227237";"4.4877586";"97.9725176";"https://maps.google.com/?cid=0x0:0x81d2c4216eacdc32"
"perumahan";"Toko Kesehatan dan Kecantikan";"Perumahan Center House 3";"Seuriget, Kec. Langsa Bar., Kota Langsa, Aceh 24375";"Kec. Langsa Bar., Kota Langsa";"ACEH";"24375";"Indonesia";" 081397355699";"4.498607";"97.964592";"https://maps.google.com/?cid=0x0:0x2bafa10ab5d80dd6"
"perumahan";"Perhimpunan Pengembang Perumahan";"Desa alurteh";"FVV8+MM4, Alue Teh, Kec. Birem Bayeun, Kabupaten Aceh Timur, Aceh";"Kabupaten Aceh Timur, Aceh";"ACEH";"";"Indonesia";"";"4.4941401";"97.8667182";"https://maps.google.com/?cid=0x0:0xba3f2c4567121026"
"perumahan";"Pembangunan Perumahan";"Pondok cholate";"GW76+VG2, Timbang Langsa, Kec. Langsa Baro, Kota Langsa, Aceh";"Kota Langsa, Aceh";"ACEH";"";"Indonesia";"";"4.5146406";"97.9112743";"https://maps.google.com/?cid=0x0:0xc2549e775a5fe5c8"
"perumahan";"Kompleks Townhouse";"Perumahan Villa Asri Darussalam No.3";"GW63+59G PB, Timbang Langsa, Kec. Langsa Baro, Kota Langsa, Aceh";"Kota Langsa, Aceh";"ACEH";"";"Indonesia";" 085208050906";"4.5104284";"97.9034383";"https://maps.google.com/?cid=0x0:0xbf203072a3abd0a7"
"perumahan";"Komplek perumahan";"Green Park Residence";"FXW2+F2W, Paya Bujok Seuleumak, Kec. Langsa Baro, Kota Langsa, Aceh 24375";"Paya Bujok Seuleumak, Kec. Langsa Baro, Kota Langsa";"ACEH";"24375";"Indonesia";"";"4.4962345";"97.9500732";"https://maps.google.com/?cid=0x0:0x1b19ec36d2a6681c"
"perumahan";"Perumahan";"Bildiba Residence";"GW3R+QJ9, Unnamed Road, Alue Dua, Kec. Langsa Baro, Kota Langsa, Aceh 24375";"Unnamed Road, Alue Dua, Kec. Langsa Baro, Kota Langsa";"ACEH";"24375";"Indonesia";"";"4.5044231";"97.9416075";"https://maps.google.com/?cid=0x0:0xebc177d46e6d770a"
"perumahan";"Komplek perumahan";"Mentari Residence 2";"Jl. Nuruddin Ar-Raniry, ujung, Kec. Langsa Baro, Kota Langsa, Aceh 24415";"ujung, Kec. Langsa Baro, Kota Langsa";"ACEH";"24415";"Indonesia";" 081397343507";"4.4739218";"97.9408518";"https://maps.google.com/?cid=0x0:0xd431ea4702724f05"
"perumahan";"Komplek perumahan";"AlGIBRAN RESIDENCE II";"Paya Bujok Tunong, Kec. Langsa Baro, Kota Langsa, Aceh 24375";"Kec. Langsa Baro, Kota Langsa";"ACEH";"24375";"Indonesia";" 082247378708";"4.4776971";"97.9515767";"https://maps.google.com/?cid=0x0:0x3c0d4e4698123f2b"
"perumahan";"Komplek perumahan";"Pondok wates";"GW95+C8R, Timbang Langsa, Kec. Langsa Baro, Kota Langsa, Aceh";"Kota Langsa, Aceh";"ACEH";"";"Indonesia";"";"4.5186122";"97.9082587";"https://maps.google.com/?cid=0x0:0xda75c2890007f6ec"
"perumahan";"Komplek perumahan";"Rumah rini";"CR2F+M6, Jambur Labu, Kec. Birem Bayeun, Kabupaten Aceh Timur, Aceh";"Kabupaten Aceh Timur, Aceh";"ACEH";"";"Indonesia";"";"4.401668";"97.8230978";"https://maps.google.com/?cid=0x0:0x999981aed2234c92"
"perumahan";"perumahan";"Kec. Langsa Bar.";"Kota Langsa, Aceh";"Kota Langsa, Aceh";"ACEH";"";"Indonesia";"";"4.4808623";"97.9744699";"https://maps.google.com/?cid=0x0:0x3b86531fa67c3d79"
"perumahan";"perumahan";"Perumahan Yan Gayo";"FXP7+CPW, Jl. Hasan Ibrahim Dusun Ujong Blang, Paya Bujok. Beuramoe, Kec. Langsa Bar., Kota Langsa, Aceh 24355";"Jl. Hasan Ibrahim Dusun Ujong Blang, Paya Bujok. Beuramoe, Kec. Langsa Bar., Kota Langsa";"ACEH";"24355";"Indonesia";"";"4.4861134";"97.9643675";"https://maps.google.com/?cid=0x0:0x191feb44fd375fc2"
"perumahan";"Komplek perumahan";"Perumahan Center House 2";"4.479020,97.956569 Jl.BTN Asamera Perumahan Center House 2 Lingkungan 3, Matang Seulimeng, Kec. Langsa Bar., Kota Langsa, Aceh 24413";"Jl.BTN Asamera Perumahan Center House 2 Lingkungan 3";"ACEH";"956569";"Indonesia";" 081222233303";"4.486853";"97.9678911";"https://maps.google.com/?cid=0x0:0xe7d09e47777f95d3"
"perumahan";"Komplek perumahan";"PERUMAHAN GRAND ALFATIH RESIDENCE";"FXQF+422, Matang Seulimeng, Kec. Langsa Bar., Kota Langsa, Aceh 24355";"Matang Seulimeng, Kec. Langsa Bar., Kota Langsa";"ACEH";"24355";"Indonesia";" 085362227237";"4.4877586";"97.9725176";"https://maps.google.com/?cid=0x0:0x81d2c4216eacdc32"
"perumahan";"Perumahan";"Aqsha residence";"FXP9+V6C, Matang Seulimeng, Kec. Langsa Bar., Kota Langsa, Aceh 24355";"Matang Seulimeng, Kec. Langsa Bar., Kota Langsa";"ACEH";"24355";"Indonesia";" 085277262647";"4.4871977";"97.968021";"https://maps.google.com/?cid=0x0:0xcaa49c4d2e27bdf1"
"perumahan";"Komplek perumahan";"BTN BSP MTG SEULIMENG";"FXMC+JJF, Matang Seulimeng, Kec. Langsa Bar., Kota Langsa, Aceh 24355";"Matang Seulimeng, Kec. Langsa Bar., Kota Langsa";"ACEH";"24355";"Indonesia";"";"4.4840656";"97.971547";"https://maps.google.com/?cid=0x0:0x4e30836d1b2ea827"
"perumahan";"Otoritas Perumahan";"BTN Asamera";"FXM9+WVM, Matang Seulimeng, Kec. Langsa Bar., Kota Langsa, Aceh 24355";"Matang Seulimeng, Kec. Langsa Bar., Kota Langsa";"ACEH";"24355";"Indonesia";"";"4.4848393";"97.9696621";"https://maps.google.com/?cid=0x0:0x70cfec8af82eb12"
"perumahan";"Komplek perumahan";"BTN Polri";"FXPG+V29, Unnamed Rd, Bar.,, Sungai Pauh, Kec. Langsa Bar., Kota Langsa, Aceh 24355";"Unnamed Rd, Bar.,, Sungai Pauh, Kec. Langsa Bar., Kota Langsa";"ACEH";"24355";"Indonesia";" 082320319713";"4.487159";"97.9751106";"https://maps.google.com/?cid=0x0:0xc6696ce12a44e936"
"perumahan";"Perhimpunan Pengembang Perumahan";"Perumahan Relokasi Pusong";"FXVH+Q84, Unnamed Road, Lhok Banie, Kec. Langsa Bar., Kota Langsa, Aceh 24355";"Unnamed Road, Lhok Banie, Kec. Langsa Bar., Kota Langsa";"ACEH";"24355";"Indonesia";"";"4.4943795";"97.9783415";"https://maps.google.com/?cid=0x0:0x159803b9ee0a068b"
"perumahan";"Otoritas Perumahan";"Perumahan Avina Menteng Indah";"FXMG+JC7, Jalan Sudirman ujong, Matang Seulimeng, Kec. Langsa Bar., Kota Langsa, Aceh 24355";"Jalan Sudirman ujong, Matang Seulimeng, Kec. Langsa Bar., Kota Langsa";"ACEH";"24355";"Indonesia";"";"4.4840268";"97.9760367";"https://maps.google.com/?cid=0x0:0xb6fa73624c074899"
"perumahan";"Komplek perumahan";"Lorong Firdaus";"FXFH+VF2, Sungai Pauh, Kec. Langsa Bar., Kota Langsa, Aceh 24375";"Sungai Pauh, Kec. Langsa Bar., Kota Langsa";"ACEH";"24375";"Indonesia";"";"4.4745817";"97.978636";"https://maps.google.com/?cid=0x0:0x78947f163f5ab011"
"perumahan";"Pembangunan Perumahan";"BTN Sungai Pauh";"FXPH+CPQ, Sungai Pauh, Kec. Langsa Bar., Kota Langsa, Aceh 24355";"Sungai Pauh, Kec. Langsa Bar., Kota Langsa";"ACEH";"24355";"Indonesia";"";"4.4860815";"97.9793456";"https://maps.google.com/?cid=0x0:0x1a34fa2e0a3fc121"
"perumahan";"Perhimpunan Pengembang Perumahan";"Mesirindo timteng";"FXMC+65V, Jl. Petuah Bayeun, Matang Seulimeng, Kec. Langsa Bar., Kota Langsa, Aceh";"Kota Langsa, Aceh";"ACEH";"";"Indonesia";"";"4.4831216";"97.9704164";"https://maps.google.com/?cid=0x0:0xef9684ffd507fbde"
"perumahan";"Komplek perumahan";"Green Park Residence";"FXW2+F2W, Paya Bujok Seuleumak, Kec. Langsa Baro, Kota Langsa, Aceh 24375";"Paya Bujok Seuleumak, Kec. Langsa Baro, Kota Langsa";"ACEH";"24375";"Indonesia";"";"4.4962345";"97.9500732";"https://maps.google.com/?cid=0x0:0x1b19ec36d2a6681c"
"perumahan";"perumahan";"Aceh 24414";"Paya Bujok. Beuramoe, Kec. Langsa Bar., Kota Langsa, Aceh";"Kota Langsa, Aceh";"ACEH";"";"Indonesia";"";"4.4866742";"97.9623433";"https://maps.google.com/?cid=0x0:0xeb61af215c21b479"
"perumahan";"perumahan";"Perumahan Yan Gayo";"FXP7+CPW, Jl. Hasan Ibrahim Dusun Ujong Blang, Paya Bujok. Beuramoe, Kec. Langsa Bar., Kota Langsa, Aceh 24355";"Jl. Hasan Ibrahim Dusun Ujong Blang, Paya Bujok. Beuramoe, Kec. Langsa Bar., Kota Langsa";"ACEH";"24355";"Indonesia";"";"4.4861134";"97.9643675";"https://maps.google.com/?cid=0x0:0x191feb44fd375fc2"
"perumahan";"Komplek perumahan";"Muhammad Rangga";"Jl. Peutua Hamzah No.9, Paya Bujok Teungoh, Kec. Langsa Bar., Kota Langsa, Aceh 24355";"Paya Bujok Teungoh, Kec. Langsa Bar., Kota Langsa";"ACEH";"24355";"Indonesia";"";"4.4871139";"97.9598465";"https://maps.google.com/?cid=0x0:0x988095ad2d47764f"
"perumahan";"Komplek perumahan";"naura indah residence";"FXM5+PW9, Jl. TM Bahrum, Paya Bujok Seuleumak, Kec. Langsa Baro, Kota Langsa, Aceh 24355";"Jl. TM Bahrum, Paya Bujok Seuleumak, Kec. Langsa Baro, Kota Langsa";"ACEH";"24355";"Indonesia";"";"4.4842841";"97.9598683";"https://maps.google.com/?cid=0x0:0x430f2043afdd37c1"
"perumahan";"Perumahan";"perumahan savana garden";"FXM7+56F, Tualang Teungoh, Kec. Langsa Kota, Kota Langsa, Aceh 24355";"Tualang Teungoh, Kec. Langsa Kota, Kota Langsa";"ACEH";"24355";"Indonesia";"";"4.4829461";"97.9630515";"https://maps.google.com/?cid=0x0:0x5bfc4dbe7b177355"
"perumahan";"Perhimpunan Pengembang Perumahan";"Perumahan Jana Residence";"FXQ7+696, Paya Bujok Teungoh, Kec. Langsa Bar., Kota Langsa, Aceh";"Kota Langsa, Aceh";"ACEH";"";"Indonesia";"";"4.4881581";"97.9633261";"https://maps.google.com/?cid=0x0:0xfab0fc5f94c59e0"
"perumahan";"Komplek perumahan";"SAP Homehai";"FXP6+RQ8, Jl. Peutua Syafari, Paya Bujok. Beuramoe, Kec. Langsa Bar., Kota Langsa, Aceh 24414";"Jl. Peutua Syafari, Paya Bujok. Beuramoe, Kec. Langsa Bar., Kota Langsa";"ACEH";"24414";"Indonesia";"";"4.4870322";"97.9619549";"https://maps.google.com/?cid=0x0:0x3abbc83a9b823261"
