Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"perumahan";"Kec. Bakongan";"Kabupaten Aceh Selatan, Aceh";"Kabupaten Aceh Selatan, Aceh";"ACEH";"";"Indonesia";"";"2.9263582";"97.4853813";"https://maps.google.com/?cid=0x0:0x150fb0c105cf4274"
"perumahan";"Perhimpunan Pengembang Perumahan";"Bakongan baru";"WFGP+G5R, Keude Bakongan, Kec. Bakongan, kabupaten bener meriah, Aceh 23773";"Keude Bakongan, Kec. Bakongan, kabupaten bener meriah";"ACEH";"23773";"Indonesia";"";"2.9263582";"97.4853813";"https://maps.google.com/?cid=0x0:0xe8f63c7cdff77434"
"perumahan";"Kompleks Apartemen";"Perumahan Pante Bintang Huu";"WFG9+P2G, Keude Bakongan, Kec. Bakongan, Kabupaten Aceh Selatan, Aceh 23773";"Keude Bakongan, Kec. Bakongan, Kabupaten Aceh Selatan";"ACEH";"23773";"Indonesia";"";"2.9268177";"97.4675634";"https://maps.google.com/?cid=0x0:0xb8ce356798a70c8e"
"perumahan";"Komplek perumahan";"Rumah Aminan, S Pd";"WFG8+V6J, Keude Bakongan, Kec. Bakongan, Kabupaten Aceh Selatan, Aceh 23773";"Keude Bakongan, Kec. Bakongan, Kabupaten Aceh Selatan";"ACEH";"23773";"Indonesia";"";"2.9272072";"97.4655127";"https://maps.google.com/?cid=0x0:0xe0266113a54da2b2"
"perumahan";"Komplek perumahan";"rumah alii";"WFCM+RW6, Jl. Krueng Mate, Keude Bakongan, Kec. Bakongan, Kabupaten Aceh Selatan, Aceh 23773";"Jl. Krueng Mate, Keude Bakongan, Kec. Bakongan, Kabupaten Aceh Selatan";"ACEH";"23773";"Indonesia";"";"2.9220446";"97.4848195";"https://maps.google.com/?cid=0x0:0x7fadc45c8fe91b56"
"perumahan";"perumahan";"PETARUNG API";"XGHH+GW4, Ujung Gunong Rayek, Kec. Kota Bahagia, Kabupaten Aceh Selatan, Aceh 23773";"Ujung Gunong Rayek, Kec. Kota Bahagia, Kabupaten Aceh Selatan";"ACEH";"23773";"Indonesia";"";"2.9787604";"97.5298217";"https://maps.google.com/?cid=0x0:0x9c4e3ad2866a4dcc"
"perumahan";"Kompleks Apartemen";"Rumah Emil";"WFFM+V6F, Keude Bakongan, Kec. Bakongan, Kabupaten Aceh Selatan, Aceh 23773";"Keude Bakongan, Kec. Bakongan, Kabupaten Aceh Selatan";"ACEH";"23773";"Indonesia";"";"2.9246359";"97.4830517";"https://maps.google.com/?cid=0x0:0x90e4b8f6d30a63a5"
"perumahan";"Komplek perumahan";"Rumah Andri Karnata";"XF5X+WG, Kp. Drien, Kec. Bakongan, Kabupaten Aceh Selatan, Aceh 23773";"Kp. Drien, Kec. Bakongan, Kabupaten Aceh Selatan";"ACEH";"23773";"Indonesia";"";"2.958699";"97.4987651";"https://maps.google.com/?cid=0x0:0x98f7189b81476591"
"perumahan";"Kompleks Apartemen";"Rumah Akmal";"WFFM+V6F, Keude Bakongan, Kec. Bakongan, Kabupaten Aceh Selatan, Aceh 23773";"Keude Bakongan, Kec. Bakongan, Kabupaten Aceh Selatan";"ACEH";"23773";"Indonesia";"";"2.9246935";"97.4830473";"https://maps.google.com/?cid=0x0:0xc9a8045eb40c1e4d"
"perumahan";"Pembangunan Perumahan";"Rumah Azmi";"WGW9+RP7, Ujung Gn. Cut, Kec. Bakongan, Kabupaten Aceh Selatan, Aceh 23773";"Ujung Gn. Cut, Kec. Bakongan, Kabupaten Aceh Selatan";"ACEH";"23773";"Indonesia";"";"2.94704";"97.5193093";"https://maps.google.com/?cid=0x0:0x8bc218eb6986f8c9"
