Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"toko bangunan";"toko bangunan";"Aceh 24784";"Kabupaten Aceh Singkil, Aceh";"Kabupaten Aceh Singkil, Aceh";"ACEH";"";"Indonesia";"";"2.152911";"97.2840888";"https://maps.google.com/?cid=0x0:0xab521459bf3c978c"
"toko bangunan";"Toko Bahan Bangunan";"TOKO SALWA BARU .";"J2X2+QQG, Subulussalam Utara, Kec. Simpang Kiri, Kota Subulussalam, Aceh 24782";"Subulussalam Utara, Kec. Simpang Kiri, Kota Subulussalam";"ACEH";"24782";"Indonesia";" 08887777666";"2.6494349";"98.0019451";"https://maps.google.com/?cid=0x0:0xb978535b018ffba0"
"toko bangunan";"Toko Bahan Bangunan";"TOKO BANGUNAN ALPAJA";"Jl. Teuku Umar, Kampong, Tangga Besi, Kec. Simpang Kiri, Kota Subulussalam, Aceh";"Kota Subulussalam, Aceh";"ACEH";"";"Indonesia";" 085276347778";"2.6673666";"98.0002932";"https://maps.google.com/?cid=0x0:0x43f6af1f04be2ade"
"toko bangunan";"Toko";"UD.TANGAH(toko bangunan)";"QVWR+W88, Jl. Tapaktuan - Subulussalam, Suka Maju, Kec. Sultan Daulat, Kota Subulussalam, Aceh 24782";"Jl. Tapaktuan - Subulussalam, Suka Maju, Kec. Sultan Daulat, Kota Subulussalam";"ACEH";"24782";"Indonesia";" 085262227756";"2.7972907";"97.8908189";"https://maps.google.com/?cid=0x0:0x296bfda3e1340b24"
"toko bangunan";"Jasa Konstruksi dan Bangunan";"UD MAJU JAYA Lipat kajang";"Lipat Kajang Atas, Kec. Simpang Kanan, Kabupaten Aceh Singkil, Aceh 24791";"Kec. Simpang Kanan, Kabupaten Aceh Singkil";"ACEH";"24791";"Indonesia";" 08153305862";"2.4349322";"97.9895288";"https://maps.google.com/?cid=0x0:0xa011498b4f77a0ed"
"toko bangunan";"Bengkel Peralatan Pertanian";"UD.PATASE";"84H4+4C7, Biskang, Kec. Danau Paris, Kabupaten Aceh Singkil, Aceh 24472";"Biskang, Kec. Danau Paris, Kabupaten Aceh Singkil";"ACEH";"24472";"Indonesia";"";"2.3277797";"98.1060605";"https://maps.google.com/?cid=0x0:0xbf0772dd00cc53ca"
"toko bangunan";"Toko Bahan Bangunan";"Samurai Paint - Ud Semesta Subulussalam";"J2R4+868, Subulussalam, Kec. Simpang Kiri, Kota Subulussalam, Aceh 24782";"Subulussalam, Kec. Simpang Kiri, Kota Subulussalam";"ACEH";"24782";"Indonesia";" 082370542102";"2.6407908";"98.0055817";"https://maps.google.com/?cid=0x0:0x7c74d0e53253cf96"
"toko bangunan";"Toko Bahan Bangunan";"TOKO FAJAR PRIMA";"J2X3+7QX, Jl. Nyak Adam Kamil, Subulussalam Utara, Kec. Simpang Kiri, Kota Subulussalam, Aceh 24782";"Jl. Nyak Adam Kamil, Subulussalam Utara, Kec. Simpang Kiri, Kota Subulussalam";"ACEH";"24782";"Indonesia";"";"2.6482457";"98.0044922";"https://maps.google.com/?cid=0x0:0x76fa0ce7737fff45"
"toko bangunan";"Toko Bahan Bangunan";"UD. Daeng Semesta";"Jl. Cut Nyak Dhien No.39, Subulussalam, Kec. Simpang Kiri, Kota Subulussalam, Aceh 24781";"Subulussalam, Kec. Simpang Kiri, Kota Subulussalam";"ACEH";"24781";"Indonesia";"";"2.6417044";"98.0064085";"https://maps.google.com/?cid=0x0:0x3d61ef5e4d8c63e0"
"toko bangunan";"Toko Bahan Bangunan";"UD.SISIFA";"Subulussalam, Kec. Simpang Kiri, Kota Subulussalam, Aceh 24782";"Kec. Simpang Kiri, Kota Subulussalam";"ACEH";"24782";"Indonesia";" 081370822418";"2.6414357";"98.0170478";"https://maps.google.com/?cid=0x0:0x411bfb1d6b0656be"
"toko bangunan";"Pemasok Bahan Bangunan";"PAKARO";"Jl. TR Angkasah, Tanah Bara, Kec. Gn. Meriah, Kabupaten Aceh Singkil, Aceh 23784";"Tanah Bara, Kec. Gn. Meriah, Kabupaten Aceh Singkil";"ACEH";"23784";"Indonesia";" 08566507761";"2.3805611";"97.9550927";"https://maps.google.com/?cid=0x0:0x4926a74f03c52684"
"toko bangunan";"Toko Bahan Bangunan";"TOKO 2 SAHABAT";"9XV7+397, Rimo, Kec. Gn. Meriah, Kabupaten Aceh Singkil, Aceh 24791";"Rimo, Kec. Gn. Meriah, Kabupaten Aceh Singkil";"ACEH";"24791";"Indonesia";"";"2.3926596";"97.9634371";"https://maps.google.com/?cid=0x0:0x91a26a50d9f41256"
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Ashima";"J2R2+RVF, Subulussalam Sel., Kec. Simpang Kiri, Kota Subulussalam, Aceh 24782";"Subulussalam Sel., Kec. Simpang Kiri, Kota Subulussalam";"ACEH";"24782";"Indonesia";" 081377177107";"2.6420713";"98.0021745";"https://maps.google.com/?cid=0x0:0xbcab138a31454ac9"
"toko bangunan";"Toko Bahan Bangunan";"Toko dua sahabat trans 26";"CWG8+PM, Bukit Harapan, Kec. Gn. Meriah, Kabupaten Aceh Singkil, Aceh";"Kabupaten Aceh Singkil, Aceh";"ACEH";"";"Indonesia";"";"2.4266788";"97.9166988";"https://maps.google.com/?cid=0x0:0x82b7de30d35cd588"
"toko bangunan";"toko bangunan";"Aceh 24784";"Kabupaten Aceh Singkil, Aceh";"Kabupaten Aceh Singkil, Aceh";"ACEH";"";"Indonesia";"";"2.152911";"97.2840888";"https://maps.google.com/?cid=0x0:0xab521459bf3c978c"
