Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"Pembangunan Perumahan";"Perumahan Grand Royal";"46Q9+2VJ, Padang, Kec. Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung 33513";"Padang, Kec. Manggar, Kabupaten Belitung Timur";"KEPULAUAN BANGKA BELITUNG";"33513";"Indonesia";"";"-2.8624117";"108.2196418";"https://maps.google.com/?cid=0x0:0x6bad9298e4dd355e"
"perumahan";"perumahan";"Kepulauan Bangka Belitung 33513";"Kabupaten Belitung Timur, Kepulauan Bangka Belitung";"Kabupaten Belitung Timur, Kepulauan Bangka Belitung";"KEPULAUAN BANGKA BELITUNG";"";"Indonesia";"";"-2.8767326";"108.1784455";"https://maps.google.com/?cid=0x0:0x9856b4b830a5d64c"
"perumahan";"Pembangunan Perumahan";"Perumahan Bersinar Manggar Belitung Timur";"46PH+M3H, Jl. Tengah Tj. Pandan - Manggar, Padang, Kec. Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung 33513";"Jl. Tengah Tj. Pandan - Manggar, Padang, Kec. Manggar, Kabupaten Belitung Timur";"KEPULAUAN BANGKA BELITUNG";"33513";"Indonesia";" 085788442159";"-2.863302";"108.2277196";"https://maps.google.com/?cid=0x0:0x261911fae16c2d87"
"perumahan";"Kantor Perusahaan";"trafo";"5724+HJ, Sukamandi, K ecamatan Damar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung";"Kabupaten Belitung Timur, Kepulauan Bangka Belitung";"KEPULAUAN BANGKA BELITUNG";"";"Indonesia";"";"-2.8486225";"108.2565495";"https://maps.google.com/?cid=0x0:0xf4dca734e7da36e8"
"perumahan";"Perumahan";"Griya Salsabila Permai";"Jl. Perumahan No.33511, Padang, Kec. Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung 33511";"Padang, Kec. Manggar, Kabupaten Belitung Timur";"KEPULAUAN BANGKA BELITUNG";"33511";"Indonesia";"";"-2.8983015";"108.2267911";"https://maps.google.com/?cid=0x0:0x2e77054aa2466932"
"perumahan";"Pembangunan Perumahan";"Rmh";"45MQ+XG, Bentaian Jaya, Kec. Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung";"Kabupaten Belitung Timur, Kepulauan Bangka Belitung";"KEPULAUAN BANGKA BELITUNG";"";"Indonesia";"";"-2.8650206";"108.1888092";"https://maps.google.com/?cid=0x0:0x9fef862b7602b00a"
"perumahan";"perumahan";"Rumah Nasimah";"36R7+R9H Tiga Bersaudara, Selingsing, Gantung, East Belitung Regency, Bangka Belitung Islands 33511";"Selingsing, Gantung, East Belitung Regency";"KEPULAUAN BANGKA BELITUNG";"33511";"Indonesia";"";"-2.9088716";"108.2124859";"https://maps.google.com/?cid=0x0:0x3dc8e9137ee69f7f"
"perumahan";"Pembangunan Perumahan";"Arab 1";"567V+9C, Sukamandi, K ecamatan Damar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung";"Kabupaten Belitung Timur, Kepulauan Bangka Belitung";"KEPULAUAN BANGKA BELITUNG";"";"Indonesia";"";"-2.8365949";"108.2435006";"https://maps.google.com/?cid=0x0:0x804656dff2308660"
"perumahan";"Pembangunan Perumahan";"perumahan sebarang";"44JV+V4H, Kelubi, Kec. Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung";"Kabupaten Belitung Timur, Kepulauan Bangka Belitung";"KEPULAUAN BANGKA BELITUNG";"";"Indonesia";"";"-2.8678037";"108.1428669";"https://maps.google.com/?cid=0x0:0x2ab0169b0bdcc5ab"
"perumahan";"Perumahan";"PERUMAHAN ISTANA PADANG";"Padang, Kec. Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung 33512";"Kec. Manggar, Kabupaten Belitung Timur";"KEPULAUAN BANGKA BELITUNG";"33512";"Indonesia";" 087896486514";"-2.8772322";"108.2556042";"https://maps.google.com/?cid=0x0:0x22f41fbfe8706b6f"
