Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
hotel;hotel;Le Semar Hotel - Serang;Jl. Bhayangkara No.50, Sumurpecung, Kec. Serang, Kota Serang, Banten 42118;Sumurpecung, Kec. Serang, Kota Serang;BANTEN;42118;Indonesia;2547912888;;/url?q>>u003dhttp://linktr.ee/lssfo>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjbtZWn9bCLAxWZj68BHY6FAFcQ61gIFigS>>u0026usg>>u003dAOvVaw2tId54vsaVZj-jldMgzLbe;-61.247.274;1.061.765.539;https://maps.google.com/?cid=0x0:0x17ffb157d3f60313;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x17ffb157d3f60313%7C/g/11gg66qyzs%7Cen-ID;
hotel;hotel;Horison Ultima Ratu;Jl. K.H. Abdul Hadi No.66, Cipare, Kec. Serang, Kota Serang, Banten 42117;Cipare, Kec. Serang, Kota Serang;BANTEN;42117;Indonesia;;;/url?q>>u003dhttp://www.myhorison.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjpgtin9bCLAxWPhq8BHX3XBqQQ61gIEigO>>u0026usg>>u003dAOvVaw0zeO18Ns_0P07P-ULBJyM2;-61.258.837;1.061.611.415;https://maps.google.com/?cid=0x0:0x5274077b4f9fb1d;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x1aa05dc8c2296d43%7C/g/11bw2_hxwx%7Cen-ID;
hotel;hotel;Grand Krakatau Serang;Jl. Raya Jkt Km 4, Panancangan, Kec. Cipocok Jaya, Kota Serang, Banten 42124;Panancangan, Kec. Cipocok Jaya, Kota Serang;BANTEN;42124;Indonesia;2548485411;;;-61.190.393;1.061.932.439;https://maps.google.com/?cid=0x0:0x1aa05dc8c2296d43;
hotel;hotel;LYNN Hotel Serang;Jl. Maulana Yusuf No.11A, Cimuncang, Kec. Serang, Kota Serang, Banten 42111;Cimuncang, Kec. Serang, Kota Serang;BANTEN;42111;Indonesia;2547916999;;/url?q>>u003dhttp://lynnhotelsandresorts.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiVvpGp9bCLAxW9ZvUHHVELA8kQ61gIFigS>>u0026usg>>u003dAOvVaw1cWpRx3Xy4lyvD59taBSxh;-61.154.397;1.061.578.789;https://maps.google.com/?cid=0x0:0x36eeb720fa930eea;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0xc838a86a425b1d50%7C/g/122y5ftt%7Cen-ID;
hotel;hotel;Le Dian Hotel  Cottages;Jl. Jend. Sudirman No.88, Sumurpecung, Kec. Serang, Kota Serang, Banten 42118;Sumurpecung, Kec. Serang, Kota Serang;BANTEN;42118;Indonesia;254229888;;/url?q>>u003dhttp://bit.ly/LMQRCode>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwj94PSp9bCLAxVQe_UHHRRdKUsQ61gIFigS>>u0026usg>>u003dAOvVaw3M05sCbG6JTzxmimPgGYZc;-61.214.586;1.061.766.627;https://maps.google.com/?cid=0x0:0xc838a86a425b1d50;
hotel;hotel;DEWIZA HOTEL  CONVENTION HALL;Jl. Syekh Moh. Nawawi Albantani No.20, RT.1/RW.9, Banjarsari, Kec. Cipocok Jaya, Kota Serang, Banten 42123;RT.1/RW.9, Banjarsari, Kec. Cipocok Jaya, Kota Serang;BANTEN;42123;Indonesia;8118332533;;;-6.154.373;106.190.306;https://maps.google.com/?cid=0x0:0xd0702ba99cae27f1;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x41fd7cb5f02f9a6b%7C/g/11b6d7qvvj%7Cen-ID;
hotel;hotel;Hotel Puri Kayana;Jl. K.H. Abdul Hadi No.96, RT.2/RW.16, Cipare, Kec. Serang, Kota Serang, Banten 42117;RT.2/RW.16, Cipare, Kec. Serang, Kota Serang;BANTEN;42117;Indonesia;254229474;;;-61.278.137;1.061.623.541;https://maps.google.com/?cid=0x0:0x41fd7cb5f02f9a6b;
hotel;hotel;Aston Serang Hotel  Convention Center;Jl. Syekh Moh. Nawawi Albantani No.29, RW.KM.4, Cilaku, Kec. Curug, Kota Serang, Banten 42171;RW.KM.4, Cilaku, Kec. Curug, Kota Serang;BANTEN;42171;Indonesia;2130001116;;/url?q>>u003dhttp://serang.astonhotelsinternational.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi2sver9bCLAxWhYPUHHfpsCakQ61gIFigS>>u0026usg>>u003dAOvVaw35swLWFHMaWb4XTOzZq7-V;-61.674.941;1.061.753.497;https://maps.google.com/?cid=0x0:0x989b2bd303d5d60c;
hotel;hotel;RedDoorz near FKIP UNTIRTA Serang;Jl. Ki Ajurum No.57, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42122;Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang;BANTEN;42122;Indonesia;8,95417E+11;;;-61.374.607;1.061.712.118;https://maps.google.com/?cid=0x0:0x700f577305996c6d;
hotel;hotel;Nunia Tamansari Hotel;Jl. Sultan Agung Tirtayasa No.112, Cimuncang, Kec. Serang, Kota Serang, Banten 42111;Cimuncang, Kec. Serang, Kota Serang;BANTEN;42111;Indonesia;254223611;;;-61.142.641;1.061.582.501;https://maps.google.com/?cid=0x0:0x69a008adfa7c846e;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x69a008adfa7c846e%7C/g/11kzsd50fd%7Cen-ID;
hotel;hotel;Reddoorz near RSUD Serang;R5RJ+9GX, Jl. Raya Petir - Serang, Banjarsari, Kec. Cipocok Jaya, Kota Serang, Banten 42121;Jl. Raya Petir - Serang, Banjarsari, Kec. Cipocok Jaya, Kota Serang;BANTEN;42121;Indonesia;8,95417E+11;;;-61.591.372;1.061.812.996;https://maps.google.com/?cid=0x0:0x64f642ac6a61887;
hotel;hotel;D’Gria Hotel;Jl. Moh. Yusuf Martadilaga No.17, Cipare, Kec. Serang, Kota Serang, Banten 42117;Cipare, Kec. Serang, Kota Serang;BANTEN;42117;Indonesia;8,95383E+11;;;-61.249.457;1.061.570.558;https://maps.google.com/?cid=0x0:0x71eb6f104211cc16;
hotel;hotel;Horison TC-UPI Serang;Jl. Ki Masjong No.2, Kotabaru, Kec. Serang, Kota Serang, Banten 42112;Kotabaru, Kec. Serang, Kota Serang;BANTEN;42112;Indonesia;82188882812;;/url?q>>u003dhttp://horisonupiserang.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjdhs-u9bCLAxWVdPUHHQckGkoQ61gIFigS>>u0026usg>>u003dAOvVaw00p-1Vfqav81GlKuB9Mkyz;-61.183.084;106.153.241;https://maps.google.com/?cid=0x0:0x94fecae4c8d9726e;
hotel;hotel;Flamengo Hotel;Jl. Raya Cilegon Drangong Serang - Banten No.21, RT.1/RW.2, Lontarbaru, Kec. Serang, Kota Serang, Banten 42115;RT.1/RW.2, Lontarbaru, Kec. Serang, Kota Serang;BANTEN;42115;Indonesia;254227666;;/url?q>>u003dhttp://flamengohotel.blogspot.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjytoWv9bCLAxW9mq8BHXlxGaEQ61gIFigS>>u0026usg>>u003dAOvVaw3-d4VwyS00sRQGdaUUWakV;-61.107.974;1.061.429.138;https://maps.google.com/?cid=0x0:0x9874636a8f290a06;
hotel;hotel;RedDoorz near Bundaran Ciceri;Jl. KH Abdul Fatah Hasan No.10 Blok A, Sumurpecung, Kec. Serang, Banten, 42117;Sumurpecung, Kec. Serang;BANTEN;42117;Indonesia;89528995226;;;-6.125.548;106.171.212;https://maps.google.com/?cid=0x0:0xdcd9ec025cbb0a36;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0xdcd9ec025cbb0a36%7C/g/11p65pg60j%7Cen-ID;
hotel;hotel;Atiq Homestay Syariah RedPartner;Jl. Nn, Sumurpecung, Kec. Serang, Kota Serang, Banten 42117;Sumurpecung, Kec. Serang, Kota Serang;BANTEN;42117;Indonesia;8,95417E+11;;;-61.209.765;1.061.690.756;https://maps.google.com/?cid=0x0:0x82e9c2dec4875532;
hotel;hotel;Puri Allisa II Syariah;Jl. Raya Jkt Jl. Pakupatan No.Km. 3, Panancangan, Kec. Cipocok Jaya, Kota Serang, Banten 42124;Panancangan, Kec. Cipocok Jaya, Kota Serang;BANTEN;42124;Indonesia;81213399982;;;-61.207.935;1.061.902.503;https://maps.google.com/?cid=0x0:0xa4986a6f104e046d;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0xa4986a6f104e046d%7C/g/11bc7pl994%7Cen-ID;
hotel;hotel;RedDoorz near Maulana Yusuf Stadium Serang;Jl. Kyai H. Abdul Latif No.268, RT.1/RW.19, Sumurpecung, Kec. Serang, Kota Serang, Banten 42118;RT.1/RW.19, Sumurpecung, Kec. Serang, Kota Serang;BANTEN;42118;Indonesia;8,95417E+11;;;-61.167.028;1.061.655.144;https://maps.google.com/?cid=0x0:0xcf25d497e20a998e;
hotel;hotel;RedDoorz Syariah near Stadion Maulana Yusuf;Jl. Trip Jamaksari Blok Delima No.28, RT.1/RW.7, Kaligandu, Kec. Serang, Kota Serang, Banten 42116;RT.1/RW.7, Kaligandu, Kec. Serang, Kota Serang;BANTEN;42116;Indonesia;8,95417E+11;;;-61.140.068;1.061.738.777;https://maps.google.com/?cid=0x0:0x262cb89dcac44cec;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x262cb89dcac44cec%7C/g/11fp8k45pc%7Cen-ID;
hotel;hotel;Hotel Mahadria;Jl. Ki Masjong No.12, Kotabaru, Kec. Serang, Kota Serang, Banten 42112;Kotabaru, Kec. Serang, Kota Serang;BANTEN;42112;Indonesia;254200527;;;-611.815;1.061.528.699;https://maps.google.com/?cid=0x0:0x551ffead8f24e661;
hotel;hotel;Banten 42121;Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten;Kota Serang, Banten;BANTEN;;Indonesia;;;;-61.382.826;1.061.728.384;https://maps.google.com/?cid=0x0:0x1c00c5eb568ec740;
hotel;hotel;Grand Krakatau Serang;Jl. Raya Jkt Km 4, Panancangan, Kec. Cipocok Jaya, Kota Serang, Banten 42124;Panancangan, Kec. Cipocok Jaya, Kota Serang;BANTEN;42124;Indonesia;2548485411;;;-61.190.393;1.061.932.439;https://maps.google.com/?cid=0x0:0x1aa05dc8c2296d43;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x1aa05dc8c2296d43%7C/g/11bw2_hxwx%7Cen-ID;
hotel;hotel;Le Semar Hotel - Serang;Jl. Bhayangkara No.50, Sumurpecung, Kec. Serang, Kota Serang, Banten 42118;Sumurpecung, Kec. Serang, Kota Serang;BANTEN;42118;Indonesia;2547912888;;;-61.247.274;1.061.765.539;https://maps.google.com/?cid=0x0:0x17ffb157d3f60313;
hotel;hotel;Horison Ultima Ratu;Jl. K.H. Abdul Hadi No.66, Cipare, Kec. Serang, Kota Serang, Banten 42117;Cipare, Kec. Serang, Kota Serang;BANTEN;42117;Indonesia;;;/url?q>>u003dhttp://www.myhorison.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiD5J3L9bCLAxVqbfUHHQaHIHwQ61gIEigO>>u0026usg>>u003dAOvVaw0oXPtWefvavLM8t5LuU8DX;-61.258.837;1.061.611.415;https://maps.google.com/?cid=0x0:0x5274077b4f9fb1d;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x5274077b4f9fb1d%7C/g/12hnz4nd_%7Cen-ID;
hotel;hotel;DEWIZA HOTEL  CONVENTION HALL;Jl. Syekh Moh. Nawawi Albantani No.20, RT.1/RW.9, Banjarsari, Kec. Cipocok Jaya, Kota Serang, Banten 42123;RT.1/RW.9, Banjarsari, Kec. Cipocok Jaya, Kota Serang;BANTEN;42123;Indonesia;8118332533;;;-6.154.373;106.190.306;https://maps.google.com/?cid=0x0:0xd0702ba99cae27f1;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0xc838a86a425b1d50%7C/g/122y5ftt%7Cen-ID;
hotel;hotel;Le Dian Hotel  Cottages;Jl. Jend. Sudirman No.88, Sumurpecung, Kec. Serang, Kota Serang, Banten 42118;Sumurpecung, Kec. Serang, Kota Serang;BANTEN;42118;Indonesia;254229888;;/url?q>>u003dhttp://bit.ly/LMQRCode>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi0iLbM9bCLAxWEkq8BHYMOEuEQ61gIFigS>>u0026usg>>u003dAOvVaw2olJrRlv1y83x9xm6_R9cy;-61.214.586;1.061.766.627;https://maps.google.com/?cid=0x0:0xc838a86a425b1d50;
hotel;hotel;LYNN Hotel Serang;Jl. Maulana Yusuf No.11A, Cimuncang, Kec. Serang, Kota Serang, Banten 42111;Cimuncang, Kec. Serang, Kota Serang;BANTEN;42111;Indonesia;2547916999;;/url?q>>u003dhttp://lynnhotelsandresorts.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiZ2uPM9bCLAxXTnq8BHfsMFuEQ61gIFigS>>u0026usg>>u003dAOvVaw1400Ybe6_h3PL2C_EAuBsH;-61.154.397;1.061.578.789;https://maps.google.com/?cid=0x0:0x36eeb720fa930eea;
hotel;hotel;Puri Allisa II Syariah;Jl. Raya Jkt Jl. Pakupatan No.Km. 3, Panancangan, Kec. Cipocok Jaya, Kota Serang, Banten 42124;Panancangan, Kec. Cipocok Jaya, Kota Serang;BANTEN;42124;Indonesia;81213399982;;/url?q>>u003dhttp://puriallisa-syariah.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjk59XN9bCLAxXiSfUHHabkJk0Q61gIFigS>>u0026usg>>u003dAOvVaw3ZWwChx7K0CikkInnabwAm;-61.207.935;1.061.902.503;https://maps.google.com/?cid=0x0:0xa4986a6f104e046d;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0xa4986a6f104e046d%7C/g/11bc7pl994%7Cen-ID;
hotel;hotel;Aston Serang Hotel  Convention Center;Jl. Syekh Moh. Nawawi Albantani No.29, RW.KM.4, Cilaku, Kec. Curug, Kota Serang, Banten 42171;RW.KM.4, Cilaku, Kec. Curug, Kota Serang;BANTEN;42171;Indonesia;2130001116;;/url?q>>u003dhttp://serang.astonhotelsinternational.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiyxcPN9bCLAxWJnq8BHdJQAFkQ61gIFigS>>u0026usg>>u003dAOvVaw0ONDQTG007HNttDOLvLw_k;-61.674.941;1.061.753.497;https://maps.google.com/?cid=0x0:0x989b2bd303d5d60c;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x69a008adfa7c846e%7C/g/11kzsd50fd%7Cen-ID;
hotel;hotel;Nunia Tamansari Hotel;Jl. Sultan Agung Tirtayasa No.112, Cimuncang, Kec. Serang, Kota Serang, Banten 42111;Cimuncang, Kec. Serang, Kota Serang;BANTEN;42111;Indonesia;254223611;;;-61.142.641;1.061.582.501;https://maps.google.com/?cid=0x0:0x69a008adfa7c846e;
hotel;hotel;Reddoorz near RSUD Serang;R5RJ+9GX, Jl. Raya Petir - Serang, Banjarsari, Kec. Cipocok Jaya, Kota Serang, Banten 42121;Jl. Raya Petir - Serang, Banjarsari, Kec. Cipocok Jaya, Kota Serang;BANTEN;42121;Indonesia;8,95417E+11;;;-61.591.372;1.061.812.996;https://maps.google.com/?cid=0x0:0x64f642ac6a61887;
hotel;hotel;Hotel Puri Kayana;Jl. K.H. Abdul Hadi No.96, RT.2/RW.16, Cipare, Kec. Serang, Kota Serang, Banten 42117;RT.2/RW.16, Cipare, Kec. Serang, Kota Serang;BANTEN;42117;Indonesia;254229474;;;-61.278.137;1.061.623.541;https://maps.google.com/?cid=0x0:0x41fd7cb5f02f9a6b;
hotel;hotel;RedDoorz near FKIP UNTIRTA Serang;Jl. Ki Ajurum No.57, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42122;Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang;BANTEN;42122;Indonesia;8,95417E+11;;;-61.374.607;1.061.712.118;https://maps.google.com/?cid=0x0:0x700f577305996c6d;
hotel;hotel;N/A;;;BANTEN;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x41fd7cb5f02f9a6b%7C/g/11b6d7qvvj%7Cen-ID;
hotel;hotel;Horison TC-UPI Serang;Jl. Ki Masjong No.2, Kotabaru, Kec. Serang, Kota Serang, Banten 42112;Kotabaru, Kec. Serang, Kota Serang;BANTEN;42112;Indonesia;82188882812;;/url?q>>u003dhttp://horisonupiserang.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjLjPnR9bCLAxVdcPUHHbhPClgQ61gIFigS>>u0026usg>>u003dAOvVaw3lVeZAyBUx9XlDaWQNwv2r;-61.183.084;106.153.241;https://maps.google.com/?cid=0x0:0x94fecae4c8d9726e;
hotel;hotel;Atiq Homestay Syariah RedPartner;Jl. Nn, Sumurpecung, Kec. Serang, Kota Serang, Banten 42117;Sumurpecung, Kec. Serang, Kota Serang;BANTEN;42117;Indonesia;8,95417E+11;;;-61.209.765;1.061.690.756;https://maps.google.com/?cid=0x0:0x82e9c2dec4875532;
hotel;hotel;D’Gria Hotel;Jl. Moh. Yusuf Martadilaga No.17, Cipare, Kec. Serang, Kota Serang, Banten 42117;Cipare, Kec. Serang, Kota Serang;BANTEN;42117;Indonesia;8,95383E+11;;;-61.249.457;1.061.570.558;https://maps.google.com/?cid=0x0:0x71eb6f104211cc16;
hotel;hotel;Boss Residence Serang Mitra RedDoorz;Jl. Panancangan Pasir, Kaligandu, Kec. Serang, Kota Serang, Banten 42116;Kaligandu, Kec. Serang, Kota Serang;BANTEN;42116;Indonesia;8,95417E+11;;;-61.132.789;106.180.228;https://maps.google.com/?cid=0x0:0xa53c318f037afdfd;
