Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Bioskop";"Mall Of Serang";"Jl. Akses Tol Serang Tim., Panancangan, Kec. Cipocok Jaya, Kota Serang, Banten 42124";"Panancangan, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42124";"Indonesia";"";"";"";"-6.1189117";"106.1819121";"https://maps.google.com/?cid=0x0:0xdcca547b25249e48";""
"mall";"Pusat Perbelanjaan";"Ramayana Mall Kota Serang";"Jl. Veteran No.17, Kotabaru, Kec. Serang, Kota Serang, Banten 42113";"Kotabaru, Kec. Serang, Kota Serang";"BANTEN";"42113";"Indonesia";" 0213914566";"";"/url?q>>u003dhttp://www.ramayana.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjxr6Cm6LCLAxUvxDgGHfhvANYQ61gIFigS>>u0026usg>>u003dAOvVaw2q6ulMndj6gNks6me6BvAX";"-6.1165492";"106.1534897";"https://maps.google.com/?cid=0x0:0x1cf1535c9c60d3ac";""
"mall";"Toserba";"Matahari Department Store Serang Mall";"Mall of Serang, Jl. Raya Serang - Jkt Lantai 1, Panancangan, Cipocok Jaya, Serang City, Banten 42357";"Jl. Raya Serang - Jkt Lantai 1, Panancangan, Cipocok Jaya, Serang City";"BANTEN";"42357";"Indonesia";" 02548483739";"";"/url?q>>u003dhttp://www.matahari.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjJlrSm6LCLAxWAxDgGHfkZDRMQ61gIFigS>>u0026usg>>u003dAOvVaw0XgQK3wv81CQ64MWndo8Qc";"-6.1191285";"106.1821593";"https://maps.google.com/?cid=0x0:0x8eca88a44d5d64fb";""
"mall";"Pusat Perbelanjaan";"Cinepolis Mall Of Serang";"Panancangan, Jl. Lingkar Selatan, Kemang, Kotabaru, Cipocok Jaya, Serang City, Banten 42112";"Jl. Lingkar Selatan, Kemang, Kotabaru, Cipocok Jaya, Serang City";"BANTEN";"42112";"Indonesia";"";"";"/url?q>>u003dhttp://cinepolis.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwij-_2m6LCLAxXOi2MGHVu8DD0Q61gIEigO>>u0026usg>>u003dAOvVaw06vpXGvFGTbNEPCszVLoNc";"-6.1192295";"106.1819304";"https://maps.google.com/?cid=0x0:0x6aeaaa9524125654";""
"mall";"Toserba";"SPEKTRA RAMAYANA SERANG";"Jl. Veteran No.11, RT.4/RW.8, Kotabaru, Kec. Serang, Kota Serang, Banten 42112";"RT.4/RW.8, Kotabaru, Kec. Serang, Kota Serang";"BANTEN";"42112";"Indonesia";" 087809836632";"";"/url?q>>u003dhttps://ramayana.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjL7sGn6LCLAxU_yjgGHS3DKaUQ61gIFigS>>u0026usg>>u003dAOvVaw0iEIBB2d32VpaIMKUfWt3k";"-6.1162772";"106.1535458";"https://maps.google.com/?cid=0x0:0x23b90bc7a6904cb4";""
"mall";"Toko Elektronik";"Transmart Serang";"Jl. Jenderal Ahmad Yani Serang No.196 - 198, Sumurpecung, Kec. Serang, Kota Serang, Banten 42118";"Sumurpecung, Kec. Serang, Kota Serang";"BANTEN";"42118";"Indonesia";" 082208255161";"";"";"-6.1216281";"106.1721641";"https://maps.google.com/?cid=0x0:0x7732129ac93e230a";""
"mall";"Toko Kesehatan dan Kecantikan";"MCI SERANG";"V579+V8Q, Jl. Ki Ajurum, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Jl. Ki Ajurum, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";" 08118106865";"";"";"-6.1352878";"106.1683623";"https://maps.google.com/?cid=0x0:0x3ad122d384a9219e";""
"mall";"Pusat Perbelanjaan";"Warung Galang";"Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";" 081224645382";"";"";"-6.1365235";"106.1763236";"https://maps.google.com/?cid=0x0:0x3cec7d941efef22a";""
"mall";"Toko Herbal";"Halal Mart HNI Serang";"Perumahan Taman Banjar Agung Indah No.F2 NO 12, Banjaragung, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Banjaragung, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";" 08179807735";"";"";"-6.1231165";"106.2016289";"https://maps.google.com/?cid=0x0:0xdb9ac5886fa3ffdc";""
"mall";"Toko Bahan Bangunan";"AJI PUTRA MANDIRI (Mebeler  Furniture)";"V54G+X2F LINK, Gg. Lebak, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Gg. Lebak, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";" 087808328176";"";"";"-6.1425535";"106.1750483";"https://maps.google.com/?cid=0x0:0xfd2e152288b071c7";""
