Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"perumahan";"Komplek perumahan";"Grand Serang Asri";"Jl. Perum Griya Serang Asri No.02, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";"";"";"";"-6.1333883";"106.1760779";"https://maps.google.com/?cid=0x0:0x9a33ff7e06d1e9c0";""
"perumahan";"Agen Pemasaran";"Perumahan Puri Serang Hijau";"V53G+FQH, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";"";"";"";"-6.1463054";"106.1769769";"https://maps.google.com/?cid=0x0:0x50e28761ab11677e";""
"perumahan";"Perumahan";"Grand serang asri";"Jl. Grand Serang Asri Blk. K5 No.14, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";" 085216636819";"";"";"-6.1349481";"106.1760363";"https://maps.google.com/?cid=0x0:0x2a453d11669b8d75";""
"perumahan";"Komplek perumahan";"Perumahan Citra Gading";"Komplek Citra Gading Blok.E 5 No.26, 002/006, Karundang, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"002/006, Karundang, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";"";"";"";"-6.1485007";"106.1710407";"https://maps.google.com/?cid=0x0:0x2d864d07cb9479e3";""
"perumahan";"Komplek perumahan";"Rumah Elziva";"Jl. Puri Serang Hijau No.Blk. G4 No.19, Banjarsari, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Banjarsari, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";" 085781654166";"";"";"-6.1481387";"106.1804252";"https://maps.google.com/?cid=0x0:0xbcedc261d7cd8a0f";""
"perumahan";"Komplek perumahan";"Rumah kk";"V55G+F5P, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";"";"";"";"-6.1412865";"106.1756127";"https://maps.google.com/?cid=0x0:0xe0b145a98fbd3771";""
"perumahan";"Perhimpunan Pengembang Perumahan";"Kompleks Tumaritis Indah";"V579+XXH, Jl. Durian, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Jl. Durian, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";"";"";"";"-6.1350625";"106.1699975";"https://maps.google.com/?cid=0x0:0x6140172475910b88";""
"perumahan";"Kompleks Apartemen";"GSA Blok D7 No 7 - 8";"V58G+2VQ, Jl. Grand Serang Asri, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Jl. Grand Serang Asri, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";"";"";"";"-6.1349114";"106.1772377";"https://maps.google.com/?cid=0x0:0x28f0cd048ed8487";""
"perumahan";"Pembangunan Perumahan";"Kavling Ar-Raihan Cipocok Jaya Kota Serang";"V56G+Q62, Unnamed Road, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Unnamed Road, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";"";"";"";"-6.1381016";"106.1755245";"https://maps.google.com/?cid=0x0:0x969f498f0dc265d8";""
"perumahan";"Otoritas Perumahan";"Perumahan Kedaton Grande";"R5RC+RMM, Jl. Cipocok Raya, Cilaku, Kec. Curug, Kota Serang, Banten 42171";"Jl. Cipocok Raya, Cilaku, Kec. Curug, Kota Serang";"BANTEN";"42171";"Indonesia";" 085771558449";"";"";"-6.1579158";"106.1716748";"https://maps.google.com/?cid=0x0:0x19d7d125fda82669";""
"perumahan";"Komplek perumahan";"SERANG PALMA RESIDENCE";"V58G+VQ2, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";" 08117516991";"";"/url?q>>u003dhttp://serangpalma.blogspot.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjH282K1LCLAxXbSWwGHfV3CyEQ61gIFSgR>>u0026usg>>u003dAOvVaw0EjPKV0KMqgXu1iNKC8aqm";"-6.1328583";"106.1769041";"https://maps.google.com/?cid=0x0:0xea42f88a706981c5";""
"perumahan";"Komplek perumahan";"Banjar Serang Regency 2";"Jl. Akses Polda, Banjarsari, Kec. Cipocok Jaya, Kota Serang, Banten 42123";"Banjarsari, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42123";"Indonesia";" 087804050393";"";"";"-6.1527856";"106.1981617";"https://maps.google.com/?cid=0x0:0xc387961ecd02dd66";""
"perumahan";"Perhimpunan Pengembang Perumahan";"Rumah Elfasha";"V53F+W72, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";"";"";"";"-6.1452367";"106.1731355";"https://maps.google.com/?cid=0x0:0x9ce2300736e07286";""
"perumahan";"Komplek perumahan";"Info perumahan";"V56M+CMF, Banjarsari, Kec. Cipocok Jaya, Kota Serang, Banten 42123";"Banjarsari, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42123";"Indonesia";" 0817131365";"";"";"-6.1389474";"106.184187";"https://maps.google.com/?cid=0x0:0xa4c229cab90502ac";""
"perumahan";"Komplek perumahan";"Rumah koe FZZ";"V52C+RMG, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";"";"";"";"-6.147933";"106.171708";"https://maps.google.com/?cid=0x0:0x9f1b78211c7f0a1e";""
"perumahan";"Komplek perumahan";"Andian's";"V58F+HXH, Blk. E1, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"Blk. E1, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";"";"";"";"-6.1335516";"106.1749976";"https://maps.google.com/?cid=0x0:0xe90a6c9c5e00dd1f";""
"perumahan";"Kantor Perusahaan";"Permata Banjar Asri";"R5RP+F5Q, Unnamed Road, Banjarsari, Kec. Cipocok Jaya, Kota Serang, Banten 42123";"Unnamed Road, Banjarsari, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42123";"Indonesia";" 08111722280";"";"";"-6.1587956";"106.1854754";"https://maps.google.com/?cid=0x0:0x56c275d9f615f8e2";""
"perumahan";"Komplek perumahan";"Kavling Permai Cipocok Jaya";"V56H+HQC, link. sumur putat, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten 42121";"link. sumur putat, Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42121";"Indonesia";"";"";"";"-6.1379636";"106.1797493";"https://maps.google.com/?cid=0x0:0xc4b52af01710e565";""
"perumahan";"Komplek perumahan";"Perumahan Banjarsari Permai";"V54W+939, Banjarsari, Kec. Cipocok Jaya, Kota Serang, Banten 42123";"Banjarsari, Kec. Cipocok Jaya, Kota Serang";"BANTEN";"42123";"Indonesia";"";"";"";"-6.1448853";"106.1969071";"https://maps.google.com/?cid=0x0:0x421e07d9890bf83";""
"perumahan";"perumahan";"Banten 42121";"Cipocok Jaya, Kec. Cipocok Jaya, Kota Serang, Banten";"Kota Serang, Banten";"BANTEN";"";"Indonesia";"";"";"";"-6.1382826";"106.1728384";"https://maps.google.com/?cid=0x0:0x1c00c5eb568ec740";""
