Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"toko bangunan";"Toko Bahan Bangunan";"Toko bangunan";"NO WA O223IOOO58I, Jl. Cimone Delta VII Jl. Cibodas Raya No.269, RT.002/RW.3, Cibodas, Kec. Cibodas, Kota Tangerang, Banten 15138";"Jl. Cimone Delta VII Jl. Cibodas Raya No.269, RT.002/RW.3, Cibodas, Kec. Cibodas, Kota Tangerang";"BANTEN";"15138";"Indonesia";"";"";"";"-6.1969625";"106.6082751";"https://maps.google.com/?cid=0x0:0x46c0d8a5cdd8b4ae";""
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Tangerang Terlengkap - Mitra10 Pasar Baru";"Jl. Raya Mohamad Toha No. 72, Pasar Baru, Bugel, Kec. Karawaci, Kota Tangerang, Banten 15113";"Pasar Baru, Bugel, Kec. Karawaci, Kota Tangerang";"BANTEN";"15113";"Indonesia";" 087800021010";"";"";"-6.1712954";"106.610979";"https://maps.google.com/?cid=0x0:0x730b0cecbe043d9b";""
"toko bangunan";"Toko Bahan Bangunan";"PD Sentosa Bangunan";"Jalan Lio Baru No. 24, RT. 004/RW. 05 Karang Sari, Mekarsari, Kec. Neglasari, Kota Tangerang, Banten 15129";"RT. 004/RW. 05 Karang Sari, Mekarsari, Kec. Neglasari, Kota Tangerang";"BANTEN";"15129";"Indonesia";" 0818734619";"";"";"-6.1663396";"106.6427873";"https://maps.google.com/?cid=0x0:0xddf296f691441b33";""
"toko bangunan";"Pemasok Bahan Bangunan";"Toko Bangunan Cahaya Mandiri";"Jl. Boulevard Graha Raya Regency Blok FBA No.17, Sudimara Pinang, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15220";"Sudimara Pinang, Kec. Serpong Utara, Kota Tangerang Selatan";"BANTEN";"15220";"Indonesia";"";"";"";"-6.2305987";"106.6838679";"https://maps.google.com/?cid=0x0:0xb551f24d71bb0eb2";""
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Kemenangan";"Jl. Moh. Toha Jalan Galaxy 22 No.Km 3 4, RT.005/RW.001, Periuk Jaya, Kec. Karawaci, Kota Tangerang, Banten 15113";"RT.005/RW.001, Periuk Jaya, Kec. Karawaci, Kota Tangerang";"BANTEN";"15113";"Indonesia";" 083187589815";"";"";"-6.170435";"106.6016735";"https://maps.google.com/?cid=0x0:0x22b3fe2adadc163e";""
"toko bangunan";"Toko Bahan Bangunan";"Toko GUNUNG KAWI";"Jl. Kiasnawi No.24, RT.006/RW.003, Sukarasa, Pasar Anyar, Kota Tangerang, Banten 15111";"RT.006/RW.003, Sukarasa, Pasar Anyar, Kota Tangerang";"BANTEN";"15111";"Indonesia";" 0215522572";"";"/url?q>>u003dhttps://www.tokopedia.com/tokogunungkawi>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjnwLyggq2LAxUs3jgGHZPWIpEQ61gIFigS>>u0026usg>>u003dAOvVaw3PjYxbCIG9OdT5FNOHmVB_";"-6.1762663";"106.6305793";"https://maps.google.com/?cid=0x0:0x5e5836e2bdda85e4";""
"toko bangunan";"Toko Bahan Bangunan";"Jaya Mandiri";"Jl. Sentosa No.3, RT.005/RW.001, Sukarasa, Kec. Tangerang, Kota Tangerang, Banten 15111";"RT.005/RW.001, Sukarasa, Kec. Tangerang, Kota Tangerang";"BANTEN";"15111";"Indonesia";" 02195165526";"";"";"-6.1742974";"106.6343045";"https://maps.google.com/?cid=0x0:0xa37670e5207f0fc4";""
"toko bangunan";"Toko Perlengkapan Rumah";"Master Bangunan";"Sukamantri, Kec. Ps. Kemis, Kabupaten Tangerang, Banten 15560";"Kec. Ps. Kemis, Kabupaten Tangerang";"BANTEN";"15560";"Indonesia";"";"";"";"-6.171974";"106.5486818";"https://maps.google.com/?cid=0x0:0xf96089b1d94eacb";""
"toko bangunan";"Toko Bahan Bangunan";"CKK Bangunan / TB Cahaya";"Jl. Perintis Kemerdekaan No.1, RT.006/RW.003, Babakan, Kec. Tangerang, Kota Tangerang, Banten 15118";"RT.006/RW.003, Babakan, Kec. Tangerang, Kota Tangerang";"BANTEN";"15118";"Indonesia";" 08981116688";"";"";"-6.1912693";"106.6333303";"https://maps.google.com/?cid=0x0:0x9926461f7cbb99ca";""
"toko bangunan";"Toko Bahan Bangunan";"Toko bangunan, KM Bangunan";"Unnamed Road, RT.003/RW.002, Periuk Jaya, Kec. Periuk, Kota Tangerang, Banten 15131";"RT.003/RW.002, Periuk Jaya, Kec. Periuk, Kota Tangerang";"BANTEN";"15131";"Indonesia";" 082162909085";"";"";"-6.1621446";"106.6062209";"https://maps.google.com/?cid=0x0:0x4b6f7d865dd31eb5";""
