Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan U.D Jaya Gemilang";"Jl. Merica No.65B, Pd. Cabe Udik, Kec. Pamulang, Kota Tangerang Selatan, Banten 15411";"Pd. Cabe Udik, Kec. Pamulang, Kota Tangerang Selatan";"BANTEN";"15411";"Indonesia";" 0217493822";"";"";"-6.3420675";"106.7573084";"https://maps.google.com/?cid=0x0:0xac311ab81347443c";""
"toko bangunan";"Toko Bahan Bangunan";"TB. Karya Berkah";"Jl. Otista Raya No.35, RT.001/RW.11, Ciputat, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411";"RT.001/RW.11, Ciputat, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15411";"Indonesia";" 081231925000";"";"";"-6.3256381";"106.7412541";"https://maps.google.com/?cid=0x0:0x82354318dfe806db";""
"toko bangunan";"Toko Bahan Bangunan";"Warga Jaya";"JL Ki Hajar Dewantoro, No. 10, Poncol, Ciputat, Tangerang Selatan, Ciputat, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411";"No. 10, Poncol, Ciputat, Tangerang Selatan, Ciputat, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15411";"Indonesia";" 0217415108";"";"";"-6.3056111";"106.7471667";"https://maps.google.com/?cid=0x0:0x9b9dc4523772db5b";""
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Aria Mandiri";"Jl. Kihajar Dewantara No.48, Ciputat, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411";"Ciputat, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15411";"Indonesia";" 081282754165";"";"";"-6.3023941";"106.7418677";"https://maps.google.com/?cid=0x0:0x3eec667aa65a921a";""
"toko bangunan";"Toko Bahan Bangunan";"TB Sahabat Abadi Bangunan";"Disamping SDN IV, Jl. Sumatra Jl. Jombang Rw. Lele No.8, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414";"Jl. Sumatra Jl. Jombang Rw. Lele No.8, Jombang, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15414";"Indonesia";" 02174867928";"";"";"-6.2975112";"106.6995185";"https://maps.google.com/?cid=0x0:0x5465112746437731";""
"toko bangunan";"Toko Bahan Bangunan";"TB Kurnia Subur (material/toko bangunan) Kedaung Ciputat";"Jl. Aria Putra No.1, Kedaung, Kec. Pamulang, Kota Tangerang Selatan, Banten 15431";"Kedaung, Kec. Pamulang, Kota Tangerang Selatan";"BANTEN";"15431";"Indonesia";" 0217421176";"";"";"-6.3175082";"106.7367317";"https://maps.google.com/?cid=0x0:0x2018c0c3aad637b7";""
"toko bangunan";"Toko Bahan Bangunan";"Tb. Bangunan Baru";"Jl. RE Martadinata No.234, Cipayung, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411";"Cipayung, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15411";"Indonesia";" 085709833025";"";"";"-6.3252653";"106.7469189";"https://maps.google.com/?cid=0x0:0x49b14f7399e29095";""
"toko bangunan";"Toko Bahan Bangunan";"Material bangunan";"Jl. Merpati Raya No.53, Sawah Lama, Kec. Ciputat, Kota Tangerang Selatan, Banten 15413";"Sawah Lama, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15413";"Indonesia";"";"";"";"-6.3031175";"106.7197605";"https://maps.google.com/?cid=0x0:0x234c02faa63baa3b";""
"toko bangunan";"Toko Bahan Bangunan";"Ciputat Bangunan Toko";"Jl. Dewi Sartika No.83, Ciputat, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411";"Ciputat, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15411";"Indonesia";" 0217402390";"";"";"-6.3197603";"106.7434436";"https://maps.google.com/?cid=0x0:0x5d9b898bb16325c9";""
"toko bangunan";"Toko Bahan Bangunan";"TB Sinar Agung";"Jl. Merpati Raya No.44, Sawah Lama, Kec. Ciputat, Kota Tangerang Selatan, Banten 15413";"Sawah Lama, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15413";"Indonesia";" 02129050378";"";"";"-6.2966664";"106.7342312";"https://maps.google.com/?cid=0x0:0x993a0e41c8778ada";""
"toko bangunan";"Toko Bahan Bangunan";"Tb Surya Abadi";"Jl. Sumatra No.98, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414";"Jombang, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15414";"Indonesia";" 081319291206";"";"/url?q>>u003dhttp://www.tokopedia.com/tokobangunans>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjsno6mk7SLAxXYzzgGHYkuAVgQ61gIFigS>>u0026usg>>u003dAOvVaw1ginxeZb_NOG5hYqpsJwEH";"-6.2954111";"106.7102764";"https://maps.google.com/?cid=0x0:0x2c7e1ee4ba48d6ed";""
"toko bangunan";"Toko Bahan Bangunan";"TB. Jombang Jaya";"Jl. Jombang Raya No.6 2, RW.4, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414";"RW.4, Jombang, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15414";"Indonesia";"";"";"";"-6.3006494";"106.7148643";"https://maps.google.com/?cid=0x0:0x16499c0ea9300e55";""
"toko bangunan";"Toko Bahan Bangunan";"Toko Mitra Makmur";"Jl. Jombang Raya No.30, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414";"Jombang, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15414";"Indonesia";" 0217456523";"";"";"-6.2897259";"106.7046069";"https://maps.google.com/?cid=0x0:0x1ae729b7e0a019be";""
"toko bangunan";"Toko Bahan Bangunan";"TB Surya Pasifik";"Jl. Aria Putra, Serua Indah, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414";"Serua Indah, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15414";"Indonesia";" 081511221158";"";"";"-6.3139";"106.733408";"https://maps.google.com/?cid=0x0:0x7d3d6c30a1234b16";""
"toko bangunan";"Toko Perlengkapan Rumah";"TB. Sempurna Jaya";"Jl. Merpati Raya No.29, Sawah Lama, Kec. Ciputat, Kota Tangerang Selatan, Banten 15413";"Sawah Lama, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15413";"Indonesia";" 081310353622";"";"";"-6.302438";"106.7278852";"https://maps.google.com/?cid=0x0:0x4063517ad5818fbd";""
"toko bangunan";"Toko Bahan Bangunan";"TB KORMA JAYA";"Jl. Serua Raya Jl. Bukit Indah No.15, Serua, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414";"Serua, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15414";"Indonesia";" 0217417545";"";"";"-6.3166514";"106.7157385";"https://maps.google.com/?cid=0x0:0x3623c46a5ba2f4ac";""
"toko bangunan";"Toko Bahan Bangunan";"Maha Bangunan";"Jl. Ciputat Raya No.144, RT.6/RW.2, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310";"RT.6/RW.2, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan";"BANTEN";"12310";"Indonesia";" 085773325260";"";"/url?q>>u003dhttp://www.mahabangunan.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwivxI-pk7SLAxXQSWwGHZ1DA1sQ61gIFigS>>u0026usg>>u003dAOvVaw2l4A5p600GyBOfEQwDAXfb";"-6.2674688";"106.7751856";"https://maps.google.com/?cid=0x0:0x4b281a4f8ec86a38";""
"toko bangunan";"Toko Bahan Bangunan";"TB.Sinar jaya";"NO 45 / NO 23, Jl. W R Supratman, Rengas, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15221";"Jl. W R Supratman, Rengas, Kec. Ciputat Tim., Kota Tangerang Selatan";"BANTEN";"15221";"Indonesia";" 081387787678";"";"";"-6.2825185";"106.7466724";"https://maps.google.com/?cid=0x0:0x9dbefc5d3f3c641b";""
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan TB Villa Terusan";"Jl. Pd. Cabe 1 Jl. Villa Terusan No.8A, Pd. Cabe Ilir, Kec. Pamulang, Kota Tangerang Selatan, Banten 15419";"Pd. Cabe Ilir, Kec. Pamulang, Kota Tangerang Selatan";"BANTEN";"15419";"Indonesia";" 02174715456";"";"";"-6.325913";"106.77184";"https://maps.google.com/?cid=0x0:0xb0450b7b41c527e4";""
"toko bangunan";"Toko Bahan Bangunan";"TB.Pesona Rumah Kita";"Jl. W R Supratman No.1B, Rengas, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15412";"Rengas, Kec. Ciputat Tim., Kota Tangerang Selatan";"BANTEN";"15412";"Indonesia";" 02174707839";"";"";"-6.2906241";"106.7460812";"https://maps.google.com/?cid=0x0:0xd64e4a83d2908d4b";""
"toko bangunan";"Toko Bahan Bangunan";"TB. Banjar Jaya";"7 15411, No Jl. Citanduy, Pd. Cabe Udik, Kec. Ciputat, Kota Tangerang Selatan, Banten 15418";"No Jl. Citanduy, Pd. Cabe Udik, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15418";"Indonesia";"";"";"";"-6.3416842";"106.7521381";"https://maps.google.com/?cid=0x0:0x92d03dae7bff2cb2";""
"toko bangunan";"Pemasok Bahan Bangunan";"Bumi Agung Cipayung";"Jl. Cendrawasih No.66, Cipayung, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411";"Cipayung, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15411";"Indonesia";" 087708780890";"";"/url?q>>u003dhttps://bumiagung.co.id/informasi/bumi-agung-cipayung>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjRzIurk7SLAxVBSWwGHdELD9EQ61gIFigS>>u0026usg>>u003dAOvVaw2oO8ySrdS-17i6iVFpDVQb";"-6.3288791";"106.7537874";"https://maps.google.com/?cid=0x0:0xb8deba3339f2a1ca";""
"toko bangunan";"Toko Bahan Bangunan";"CIMANDIRI JAYA";"Jl. Cimandiri Raya No.65B, RT.01/RW.08, Cipayung, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411";"RT.01/RW.08, Cipayung, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15411";"Indonesia";" 081289825776";"";"";"-6.3325632";"106.7514652";"https://maps.google.com/?cid=0x0:0xd06f3d34f976a9cf";""
"toko bangunan";"Toko Cat";"Toko Besi Ciputat Bangun";"Jl. Dewi Sartika No.80, Cipayung, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411";"Cipayung, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15411";"Indonesia";"";"";"";"-6.3126909";"106.7473339";"https://maps.google.com/?cid=0x0:0xd69fbaf356fb7b77";""
"toko bangunan";"Toko Perlengkapan Rumah";"TB. Arifin";"Jl. Kihajar Dewantara No.11, Ciputat, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411";"Ciputat, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15411";"Indonesia";" 0217426335";"";"";"-6.309753";"106.7474258";"https://maps.google.com/?cid=0x0:0xa406bc48544148d8";""
"toko bangunan";"Toko Bahan Bangunan";"Keris Jaya Sakti";"Jalur Dewi Sartika No.26A, Ciputat, Jl. Dewi Sartika No.26a, Kec. Ciputat, Banten 15411";"Ciputat, Jl. Dewi Sartika No.26a, Kec. Ciputat";"BANTEN";"15411";"Indonesia";" 0217493446";"";"";"-6.3186121";"106.7462434";"https://maps.google.com/?cid=0x0:0xd29e8626f7df505e";""
"toko bangunan";"Toko Bahan Bangunan";"TB Maju Makmur";"MQQ2+6JX, Jl. Ir H. Juanda, Cemp. Putih, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15412";"Jl. Ir H. Juanda, Cemp. Putih, Kec. Ciputat Tim., Kota Tangerang Selatan";"BANTEN";"15412";"Indonesia";" 0217403963";"";"";"-6.311889";"106.7516153";"https://maps.google.com/?cid=0x0:0x4ed9585591ac0592";""
"toko bangunan";"Toko Bahan Bangunan";"Toko Bumi Agung II";"Jl. RE Martadinata No.88, Cipayung, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411";"Cipayung, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15411";"Indonesia";" 02170728846";"";"";"-6.3315481";"106.7484941";"https://maps.google.com/?cid=0x0:0xf63ee0795181a9f7";""
"toko bangunan";"Toko Bahan Bangunan";"TB PUTRA SUBUR";"Jl. Kihajar Dewantara, RT.4/RW.3, Ciputat, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411";"RT.4/RW.3, Ciputat, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15411";"Indonesia";" 081292308689";"";"";"-6.3043216";"106.7454508";"https://maps.google.com/?cid=0x0:0x9a722e04a823fb61";""
"toko bangunan";"Toko Perlengkapan Rumah";"TB. Sempurna Jaya";"Jl. Merpati Raya No.29, Sawah Lama, Kec. Ciputat, Kota Tangerang Selatan, Banten 15413";"Sawah Lama, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15413";"Indonesia";" 081310353622";"";"";"-6.302438";"106.7278852";"https://maps.google.com/?cid=0x0:0x4063517ad5818fbd";""
"toko bangunan";"Toko Bahan Bangunan";"Warga Jaya";"JL Ki Hajar Dewantoro, No. 10, Poncol, Ciputat, Tangerang Selatan, Ciputat, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411";"No. 10, Poncol, Ciputat, Tangerang Selatan, Ciputat, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15411";"Indonesia";" 0217415108";"";"";"-6.3056111";"106.7471667";"https://maps.google.com/?cid=0x0:0x9b9dc4523772db5b";""
"toko bangunan";"Toko Bahan Bangunan";"TB Sinar Agung";"Jl. Merpati Raya No.44, Sawah Lama, Kec. Ciputat, Kota Tangerang Selatan, Banten 15413";"Sawah Lama, Kec. Ciputat, Kota Tangerang Selatan";"BANTEN";"15413";"Indonesia";" 02129050378";"";"";"-6.2966664";"106.7342312";"https://maps.google.com/?cid=0x0:0x993a0e41c8778ada";""
