Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
hotel;hotel;SPOT ON 2501 Rendy Putra Malingping;Jl. Raya Saketi - Malingping No.12, Cipeundeuy, Kec. Malingping, Kabupaten Lebak, Banten 42391;Cipeundeuy, Kec. Malingping, Kabupaten Lebak;BANTEN;42391;Indonesia;2129707601;;/url?q>>u003dhttps://www.oyorooms.com/ID/hotels-in-Lebak/%3Futm_source%3DGMB_ID_SO%26utm_medium%3DOrganic%26utm_campaign%3DID_SBI026%26locale%3Did>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiYsuy2g7uLAxUJgK8BHaYbM-8Q61gIFigS>>u0026usg>>u003dAOvVaw0wFwFKiO70Al3HYOHNlBOX;-67.770.568;105.998.572;https://maps.google.com/?cid=0x0:0x486fd2182a7ec640;
hotel;hotel;D'Mangku Farm-Mancak Serang;Jl. Raya Mancak, Angsana, Kec. Mancak, Kabupaten Serang, Banten 42165;Angsana, Kec. Mancak, Kabupaten Serang;BANTEN;42165;Indonesia;87798988889;;;-611.147;1.059.977.831;https://maps.google.com/?cid=0x0:0x346c292bf8415c5e;
hotel;hotel;Pantai Anyer;Jl. Raya Karang Bolong, Bandulu, Kec. Anyar, Kabupaten Serang, Banten 42166;Bandulu, Kec. Anyar, Kabupaten Serang;BANTEN;42166;Indonesia;;;;-60.881.922;1.058.837.856;https://maps.google.com/?cid=0x0:0x1f555b24c077b26f;
hotel;hotel;Angsana;Padamulya, Kec. Angsana, Kabupaten Pandeglang, Banten;Kabupaten Pandeglang, Banten;BANTEN;;Indonesia;;;;-6.583.333;105.85;https://maps.google.com/?cid=0x0:0xae80ba120196903a;
hotel;hotel;Hotel Orange Syariah;Pandeglang, Kec. Pandeglang, Kabupaten Pandeglang, Banten 42211;Kec. Pandeglang, Kabupaten Pandeglang;BANTEN;42211;Indonesia;2535555930;;;-63.016.057;106.108.803;https://maps.google.com/?cid=0x0:0x8a0d81aaac9a715a;
hotel;hotel;Motel Panimbang Jaya;Jl. Raya Tj. Lesung No.Km. 1, Panimbangjaya, Kec. Labuan, Kabupaten Pandeglang, Banten 42281;Panimbangjaya, Kec. Labuan, Kabupaten Pandeglang;BANTEN;42281;Indonesia;81314407440;;/url?q>>u003dhttps://motelpanja.wordpress.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjMrq7R9rqLAxXqd_UHHep0OFYQ61gIFigS>>u0026usg>>u003dAOvVaw1tWTNcc7PYT06NhDl4Gpil;-65.016.326;105.790.033;https://maps.google.com/?cid=0x0:0x709260f9cc2375f6;
hotel;hotel;Janur Kuning Hotel;Jl. Teluk Lada KM 1, Padegelang, Banten;Banten;BANTEN;;Indonesia;;;;-64.903.702;1.058.049.371;https://maps.google.com/?cid=0x0:0x12bdbedb765ced86;
hotel;hotel;Bunar Tunggal;Jl. Raya Tj. Lesung No.22, Panimbangjaya, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281;Panimbangjaya, Kec. Panimbang, Kabupaten Pandeglang;BANTEN;42281;Indonesia;8041040040;;;-6.492.359;10.579.808;https://maps.google.com/?cid=0x0:0xbf409a34a3b595c5;
hotel;hotel;Alamanda Hotel;MR5H+GQH, JL Raya Carita, Labuhan, Pejamben, Pandeglang, Kabupaten Pandeglang, Banten 42264;JL Raya Carita, Labuhan, Pejamben, Pandeglang, Kabupaten Pandeglang;BANTEN;42264;Indonesia;81287575904;;;-6.341.189;105.829.489;https://maps.google.com/?cid=0x0:0xf8167dd29da02734;
hotel;hotel;Hotel Pesona Ayu;369X+6Q4, Unnamed Road, Bayah Bar., Kec. Bayah, Kabupaten Lebak, Banten 42393;Unnamed Road, Bayah Bar., Kec. Bayah, Kabupaten Lebak;BANTEN;42393;Indonesia;252401017;;/url?q>>u003dhttp://hotelpesonaayu.blogspot.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiBrIDT9rqLAxWC3TgGHemqKYoQ61gIFSgR>>u0026usg>>u003dAOvVaw3lYG64EmTx45PBuWa3_fWo;-6.931.992;1.062.494.544;https://maps.google.com/?cid=0x0:0x8ef7afb9668d4ca9;
hotel;hotel;Banten 42277;Kec. Angsana, Kabupaten Pandeglang, Banten;Kabupaten Pandeglang, Banten;BANTEN;;Indonesia;;;;-66.088.273;1.058.407.722;https://maps.google.com/?cid=0x0:0xd6cbc2f3435889fd;
hotel;hotel;Sunset View Boutique Hotel by Augusta group;Jl. Raya Carita Km. 10 Carita, Sukarame, Pandeglang, Kabupaten Pandeglang, Banten 42431;Sukarame, Pandeglang, Kabupaten Pandeglang;BANTEN;42431;Indonesia;253801075;;/url?q>>u003dhttp://www.augustahotels-id.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjHy4Xp9rqLAxUWma8BHaavAGkQ61gIFigS>>u0026usg>>u003dAOvVaw2mCXnhAElaPOQp1w3N_5gJ;-62.940.092;105.837.079;https://maps.google.com/?cid=0x0:0xc21afb76ee17e2d0;
hotel;hotel;Hotel Orange Syariah;Pandeglang, Kec. Pandeglang, Kabupaten Pandeglang, Banten 42211;Kec. Pandeglang, Kabupaten Pandeglang;BANTEN;42211;Indonesia;2535555930;;;-63.016.057;106.108.803;https://maps.google.com/?cid=0x0:0x8a0d81aaac9a715a;
hotel;hotel;Bunar Tunggal;Jl. Raya Tj. Lesung No.22, Panimbangjaya, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281;Panimbangjaya, Kec. Panimbang, Kabupaten Pandeglang;BANTEN;42281;Indonesia;8041040040;;;-6.492.359;10.579.808;https://maps.google.com/?cid=0x0:0xbf409a34a3b595c5;
hotel;hotel;Motel Panimbang Jaya;Jl. Raya Tj. Lesung No.Km. 1, Panimbangjaya, Kec. Labuan, Kabupaten Pandeglang, Banten 42281;Panimbangjaya, Kec. Labuan, Kabupaten Pandeglang;BANTEN;42281;Indonesia;81314407440;;/url?q>>u003dhttps://motelpanja.wordpress.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjyqanq9rqLAxU4U_UHHZv0LpgQ61gIFigS>>u0026usg>>u003dAOvVaw1iU7w0dCizgJ49k7z7VT-S;-65.016.326;105.790.033;https://maps.google.com/?cid=0x0:0x709260f9cc2375f6;
hotel;hotel;Pandeglang Raya Hotel;Jl. Raya Labuan No. 7, Gardu Tanjak, Pandeglang, Pandeglang Sub-District, Pandeglang Regency, Banten 42213;Gardu Tanjak, Pandeglang, Pandeglang Sub-District, Pandeglang Regency;BANTEN;42213;Indonesia;82111143979;;;-63.135.033;106.103.392;https://maps.google.com/?cid=0x0:0x64522015552e5436;
