Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
toko bangunan;Toko Bahan Bangunan;Toko Bangunan Tri Karya Cipacing;Jl. AMD Lintas Tim. No.16, Ciputri, Kec. Kaduhejo, Kabupaten Pandeglang, Banten 42252;Ciputri, Kec. Kaduhejo, Kabupaten Pandeglang;BANTEN;42252;Indonesia;;;;-63.356.439;1.060.889.501;https://maps.google.com/?cid=0x0:0xe7486a8f242b5c63;
toko bangunan;Toko Perlengkapan Rumah;Artha Jaya Pandeglang Supermarket Bahan Bangunan;Jl. Raya Serang - Pandeglang No.5, Cigadung, Pabrik, Kabupaten Pandeglang, Banten 42213;Cigadung, Pabrik, Kabupaten Pandeglang;BANTEN;42213;Indonesia;81295027800;;/url?q>>u003dhttp://linktr.ee/arthajayamas>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiepsy-ybyLAxWM1TgGHfvgO3MQ61gIFigS>>u0026usg>>u003dAOvVaw2ytSMLYR34Ver2StsFrjHa;-62.831.265;1.061.181.355;https://maps.google.com/?cid=0x0:0x22baf38206d60e94;
toko bangunan;Toko Bahan Bangunan;TB. Sampurna Pandeglang | Toko Bangunan, Material, Toko Besi  Semen, Keramik;JL Raya Labuan, Km. 3.5, Cidangiang, Maja, Pandeglang, Saruni, Kec. Majasari, Kabupaten Pandeglang, Banten 42216;Km. 3.5, Cidangiang, Maja, Pandeglang, Saruni, Kec. Majasari, Kabupaten Pandeglang;BANTEN;42216;Indonesia;253202132;;;-63.260.585;106.089.022;https://maps.google.com/?cid=0x0:0x5fe619565bd6b4d4;
toko bangunan;Toko Bahan Bangunan;Jawara Bangunan;Jalan, Ciputri, Kec. Majasari, Kabupaten Pandeglang, Banten 42211;Ciputri, Kec. Majasari, Kabupaten Pandeglang;BANTEN;42211;Indonesia;87773156000;;;-63.306.975;1.060.840.548;https://maps.google.com/?cid=0x0:0xd06041d27149336;
toko bangunan;;Toko Bahan Bangunan;Cikokol, Kec. Tangerang, Kota Tangerang, Banten;Kota Tangerang, Banten;BANTEN;;Indonesia;;;;-62.086.311;1.066.417.572;https://maps.google.com/?cid=0x0:0x991592e946241d28;
toko bangunan;Toko Bahan Bangunan;Toko Bangunan Hans Jaya;Jl. Keroncong Permai Blok AB-00, Blok AB-00 No.1, Jl. Prabu Kian Santang No.37, RT.001/RW.003, Keroncong, Kec. Jatiuwung, Kota Tangerang, Banten 15134;Blok AB-00 No.1, Jl. Prabu Kian Santang No.37, RT.001/RW.003, Keroncong, Kec. Jatiuwung, Kota Tangerang;BANTEN;15134;Indonesia;215900052;;;-6.187.034;106.590.831;https://maps.google.com/?cid=0x0:0x327883ab4b6de55;
toko bangunan;Toko Bahan Bangunan;Gudang TB. Sampurna 1;M3HQ+7WF, Saruni, Kec. Majasari, Kabupaten Pandeglang, Banten 42219;Saruni, Kec. Majasari, Kabupaten Pandeglang;BANTEN;42219;Indonesia;253202132;;;-63.218.133;1.060.897.901;https://maps.google.com/?cid=0x0:0x3808f0e8fa5a7cb4;
toko bangunan;Toko Perlengkapan Rumah;Toko Bangunan;M4JG+83V, Kabayan, Kec. Pandeglang, Kabupaten Pandeglang, Banten;Kabupaten Pandeglang, Banten;BANTEN;;Indonesia;;;;-63.191.498;1.061.251.768;https://maps.google.com/?cid=0x0:0xb885d11297651aa7;
toko bangunan;Toko Bahan Bangunan;Toko Bahan Bangunan HABE;Pandeglang, Kec. Pandeglang, Kabupaten Pandeglang, Banten 42211;Kec. Pandeglang, Kabupaten Pandeglang;BANTEN;42211;Indonesia;87885554575;;;-6.303.199;1.061.121.299;https://maps.google.com/?cid=0x0:0xe85f9f5f034c5f85;
toko bangunan;Toko Bahan Bangunan;Artha Bangunan Serang;Jl. Kolonel Tubagus Suwandi No.8, Serang, Kec. Serang, Kota Serang, Banten 42116;Serang, Kec. Serang, Kota Serang;BANTEN;42116;Indonesia;8154054231;;/url?q>>u003dhttps://wa.me/628154054231>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjh47zBybyLAxXHoWMGHVfwMZEQ61gIFigS>>u0026usg>>u003dAOvVaw19HnBokEMWzTuBQWMIDsVk;-61.224.642;1.061.400.884;https://maps.google.com/?cid=0x0:0xec7fc292ccc77ecd;
