Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Pusat Perbelanjaan";"Pasar Anyer";"WWWH+7G9, Jl. Raya Anyer - Mancak, Kosambironyok, Kec. Anyar, Kabupaten Serang, Banten 42166";"Jl. Raya Anyer - Mancak, Kosambironyok, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0543291";"105.9288592";"https://maps.google.com/?cid=0x0:0x2e5602654e541ffd";""
"mall";"Pusat Perbelanjaan";"Pusat belanja pasar anyer banten";"WWVC+VRF, Jl. Raya Ps. Baru Anyar, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166";"Jl. Raya Ps. Baru Anyar, Anyar, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0553167";"105.9220619";"https://maps.google.com/?cid=0x0:0xb08377c39a553d6";""
"mall";"Minimarket";"Alfamidi Anyer 3";"WWWF+C3J, Jl. Raya Anyer - Jaha, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166";"Jl. Raya Anyer - Jaha, Anyar, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";" 085888035854";"";"";"-6.0539217";"105.9226373";"https://maps.google.com/?cid=0x0:0xd6fcc1a2a3ef75ee";""
"mall";"Pusat Perbelanjaan";"ITC cellular Anyer";"WWXF+JFR, Jl. Raya Anyer-Sirih, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166";"Jl. Raya Anyer-Sirih, Anyar, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0508763";"105.9236371";"https://maps.google.com/?cid=0x0:0xfaf77a2d5aa96d4c";""
"mall";"Pusat Perbelanjaan";"Carvil Store - Pasar Anyer";"Jl. Raya Anyer-Sirih No.75, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166";"Anyar, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"/url?q>>u003dhttp://www.carvil.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjMup3c37uLAxVem68BHbpDMEMQ61gIEigO>>u0026usg>>u003dAOvVaw03BwUUjr2xHhgzEX5WfSSH";"-6.0554479";"105.9200474";"https://maps.google.com/?cid=0x0:0x85fccd6e68961d21";""
"mall";"Toko umum";"Purnama Aquarium(Anyer)";"Jalan raya sirih Jl. Gudang Kopi, kampung, Kec. Anyar, Kabupaten Serang, Banten 42166";"kampung, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";" 081298199721";"";"";"-6.0545375";"105.9156327";"https://maps.google.com/?cid=0x0:0xc4e5bc79bb96198f";""
"mall";"Toko Ponsel";"YAN CELLULAR";"Jl. Raya Anyer-Sirih, Pasar Lama, Kec. Anyar, Kabupaten Serang, Banten 42166";"Pasar Lama, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.050626";"105.9237416";"https://maps.google.com/?cid=0x0:0x20ea64973985ce34";""
"mall";"Pusat Perbelanjaan";"DEPOT";"WW7G+X46, Unnamed Road, Sindang Mandi, Kec. Anyar, Kabupaten Serang, Banten 42166";"Unnamed Road, Sindang Mandi, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";" 087720568660";"";"";"-6.0850985";"105.9252756";"https://maps.google.com/?cid=0x0:0x4e727f8d1fd3e630";""
"mall";"Pusat Perbelanjaan";"Toko Spc Reload";"Jl. Raya Anyer-Sirih No.75, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166";"Anyar, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0499248";"105.9242318";"https://maps.google.com/?cid=0x0:0x3e74e05a3d05edd";""
"mall";"Pusat Perbelanjaan";"Pasar Lama Anyar";"WWXF+38Q, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166";"Anyar, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0522886";"105.9233565";"https://maps.google.com/?cid=0x0:0xbf0ce2c6fde93663";""
