Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"perumahan";"Perumahan";"Komplek Anyer Residence";"WWQ9+5V6, Jl. Jaha, Desa Kec. Kab., Mekarsari, Kec. Anyar, Kabupaten Serang, Banten 42166";"Jl. Jaha, Desa Kec. Kab., Mekarsari, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0620764";"105.9196251";"https://maps.google.com/?cid=0x0:0xf9350bf3bae36ac2";""
"perumahan";"Komplek perumahan";"PERUM BWA";"Jl. Raya Anyer - Jaha No.50, Mekarsari, Kec. Anyar, Kabupaten Serang, Banten 42166";"Mekarsari, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0657373";"105.9218697";"https://maps.google.com/?cid=0x0:0x6a60c5db5e39fda4";""
"perumahan";"Komplek perumahan";"Kontrakan Anyar Luxdudi ( Luxury Dudi)";"Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166";"Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";" 087874529197";"";"";"-6.0508404";"105.9220145";"https://maps.google.com/?cid=0x0:0x30fbbabe0e309daa";""
"perumahan";"perumahan";"Rumah fandi";"WWMJ+RP8, Kosambironyok, Kec. Anyar, Kabupaten Serang, Banten 42166";"Kosambironyok, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0654583";"105.9318319";"https://maps.google.com/?cid=0x0:0x16fea3a2949f5088";""
"perumahan";"Perhimpunan Pengembang Perumahan";"Home";"Kp Jl. Gudang Kopi No.38, RT.01/RW.06, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166";"RT.01/RW.06, Anyar, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0552176";"105.9154773";"https://maps.google.com/?cid=0x0:0xf64bb548c5434a7f";""
"perumahan";"perumahan";"Rumah Adzhar";"WWQJ+4JW Cilodan, Jl. Grogol Indah, Kosambironyok, Kec. Anyar, Kabupaten Serang, Banten 42166";"Jl. Grogol Indah, Kosambironyok, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0621421";"105.9315673";"https://maps.google.com/?cid=0x0:0x46da8a20b9e65354";""
"perumahan";"Komplek perumahan";"Rumah Silvia";"WWQQ+M88, Jl. Raya Anyer - Mancak, Kosambironyok, Kec. Anyar, Kabupaten Serang, Banten 42166";"Jl. Raya Anyer - Mancak, Kosambironyok, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0608798";"105.9389077";"https://maps.google.com/?cid=0x0:0x36a773406a905c25";""
"perumahan";"Perumahan";"Perumahan Puri Anyer";"WWMJ+R33, Kosambironyok, Kec. Anyar, Kabupaten Serang, Banten 42166";"Kosambironyok, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";" 08113008002";"";"";"-6.0654822";"105.9301835";"https://maps.google.com/?cid=0x0:0x645b0300179dfb97";""
"perumahan";"Komplek perumahan";"Rumah fathi";"WWVQ+R4P, Kosambironyok, Kec. Anyar, Kabupaten Serang, Banten 42166";"Kosambironyok, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0554428";"105.937767";"https://maps.google.com/?cid=0x0:0x522ff6b8e3a477f8";""
"perumahan";"Komplek perumahan";"Rumah Mecca";"Kp Gudang Areng No.35, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166";"Anyar, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0558659";"105.9178162";"https://maps.google.com/?cid=0x0:0x557a61ae009c2a10";""
"perumahan";"Komplek perumahan";"Rute";"WWV8+792, Mekarsari, Kec. Anyar, Kabupaten Serang, Banten 42166";"Mekarsari, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0568541";"105.9158903";"https://maps.google.com/?cid=0x0:0x503cf93533a455bb";""
"perumahan";"Komplek perumahan";"Grand ANYER City";"WWV8+6CR, Mekarsari, Kec. Anyar, Kabupaten Serang, Banten 42166";"Mekarsari, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0568828";"105.9160051";"https://maps.google.com/?cid=0x0:0xfae58661a1a54a84";""
"perumahan";"Komplek perumahan";"RUMAH PK GURU ZAENAL";"WWWR+JF, Kosambironyok, Kec. Anyar, Kabupaten Serang, Banten 42166";"Kosambironyok, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0534387";"105.9412479";"https://maps.google.com/?cid=0x0:0xedace858743f6e0f";""
"perumahan";"Vila";"Kontrakan Bu Esih";"WWWG+MX6, Gg. H. Mail, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166";"Gg. H. Mail, Anyar, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0533317";"105.9273853";"https://maps.google.com/?cid=0x0:0xd82a2e8dc3cc7a66";""
"perumahan";"Komplek perumahan";"Rumah Papap";"Kp.Kubar RT.01/01 Desa.mekarsari Kec, Mekarsari, Kec. Anyar, Kabupaten Serang, Banten 42166";"Mekarsari, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.056514";"105.9189943";"https://maps.google.com/?cid=0x0:0x638cf7ea08b196e2";""
"perumahan";"Perhimpunan Pengembang Perumahan";"Rumah abahajii";"WWRM+RVM, Jl. Raya Anyer - Mancak, Kosambironyok, Kec. Anyar, Kabupaten Serang, Banten 42166";"Jl. Raya Anyer - Mancak, Kosambironyok, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0579193";"105.9346591";"https://maps.google.com/?cid=0x0:0x6f6d7f7a568b44b5";""
"perumahan";"Komplek perumahan";"Rumah";"Jl. Gudang Kopi No.60, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166";"Anyar, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0552151";"105.9158146";"https://maps.google.com/?cid=0x0:0xe4698901a6c084f1";""
"perumahan";"Perhimpunan Pengembang Perumahan";"Rumah Sonia";"WWV8+JCM, Jl. Gudang Kopi, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166";"Jl. Gudang Kopi, Anyar, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0560716";"105.9158058";"https://maps.google.com/?cid=0x0:0x8dbafad33057284d";""
"perumahan";"Komplek perumahan";"Rumah Neng Azrin";"Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166";"Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0558275";"105.9174467";"https://maps.google.com/?cid=0x0:0x81872b66b1c87ca2";""
"perumahan";"perumahan";"Kec. Anyar";"Kabupaten Serang, Banten";"Kabupaten Serang, Banten";"BANTEN";"";"Indonesia";"";"";"";"-6.0532527";"105.9226951";"https://maps.google.com/?cid=0x0:0xe2254b73098a864";""
"perumahan";"Komplek perumahan";"Perumahan Bumi Waringin Asri";"WWMC+XXR, Jl. Raya Anyer - Jaha, Bunihara, Kec. Anyar, Kabupaten Serang, Banten 42166";"Jl. Raya Anyer - Jaha, Bunihara, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";" 08176677669";"";"";"-6.0650111";"105.9224054";"https://maps.google.com/?cid=0x0:0xe203a69b44b8317d";""
"perumahan";"Komplek perumahan";"Cilodan baru";"WWQJ+4JW, Jl. Raya Anyer - Mancak, Kosambironyok, Kec. Anyar, Kabupaten Serang, Banten 42166";"Jl. Raya Anyer - Mancak, Kosambironyok, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0621421";"105.9315673";"https://maps.google.com/?cid=0x0:0xf4ea74b4e08ecd6f";""
"perumahan";"Perhimpunan Pengembang Perumahan";"Rumah raya";"Jl. Raya Karang Bolong No.123, Cikoneng, Kec. Anyar, Kabupaten Serang, Banten 42166";"Cikoneng, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0734757";"105.8871514";"https://maps.google.com/?cid=0x0:0x2c3d0f5b2888f9c";""
"perumahan";"Komplek perumahan";"Kenangan house";"kp.Dagan Grogol indah No.42166, Kosambironyok, Kec. Anyar, Kabupaten Serang, Banten 42166";"Kosambironyok, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0609895";"105.9282056";"https://maps.google.com/?cid=0x0:0x6215bed67ba1f1a9";""
"perumahan";"perumahan";"Siti latifah";"WW8R+WWP, kp. Kepuh, Bunihara, Kec. Anyar, Kabupaten Serang, Banten 42166";"kp. Kepuh, Bunihara, Kec. Anyar, Kabupaten Serang";"BANTEN";"42166";"Indonesia";"";"";"";"-6.0826513";"105.9423255";"https://maps.google.com/?cid=0x0:0x7e7182b8f3195cc3";""
