Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Pusat Perbelanjaan";"ITC Cempaka Mas";"Jl. Letjen Suprapto.Kav. 1, RW No.8 Lantai 5, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640";"RW No.8 Lantai 5, Kota Jakarta Pusat";"DAERAH KHUSUS IBUKOTA JAKARTA";"10640";"Indonesia";" 02142878833";"";"/url?q>>u003dhttp://www.itcshoppingfestival.com/location/itc-cempaka-mas/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiRh96_nbCLAxWee2wGHYT5F0IQ61gIFigS>>u0026usg>>u003dAOvVaw1LlycHfyPbMa1cnU4ozpqn";"-6.1646611";"106.8774952";"https://maps.google.com/?cid=0x0:0xca4d17c9802f752e";""
"mall";"Pusat Perbelanjaan";"Green Pramuka Square Mall";"Jl. Jenderal Ahmad Yani No.Kav .49, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570";"Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat";"DAERAH KHUSUS IBUKOTA JAKARTA";"10570";"Indonesia";" 02129624747";"";"/url?q>>u003dhttps://www.greenpramukasquare.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjN_P6_nbCLAxXOi2MGHZESDaoQ61gIFigS>>u0026usg>>u003dAOvVaw2FMhS3YnrNM0s9qjkkBqAN";"-6.188692";"106.874247";"https://maps.google.com/?cid=0x0:0xc1176b766df1697e";""
"mall";"Pusat Perbelanjaan";"Lippo Mall East Side (LMES)";"Jalan Letjen. Suprapto Kav.60 No.1, RT.10/RW.7, East Cempaka Putih, Cempaka Putih, Central Jakarta City, Jakarta 10510";"RT.10/RW.7, East Cempaka Putih, Cempaka Putih, Central Jakarta City";"DAERAH KHUSUS IBUKOTA JAKARTA";"10510";"Indonesia";"";"";"";"-6.167535";"106.8771367";"https://maps.google.com/?cid=0x0:0xf20e1eedf86b4214";""
"mall";"Pusat Perbelanjaan";"Itc Cempaka Lobyy Utama";"RVPH+338, Jl. Cemp. Mas Tim., RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640";"Jl. Cemp. Mas Tim., RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat";"DAERAH KHUSUS IBUKOTA JAKARTA";"10640";"Indonesia";" 08568826269";"";"";"-6.1648463";"106.8777124";"https://maps.google.com/?cid=0x0:0x8670e8b53825b447";""
"mall";"Mal outlet";"Glamour";"RVFC+VGW, Jl. Ruko Cemp. Mas, RT.6/RW.8, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510";"Jl. Ruko Cemp. Mas, RT.6/RW.8, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat";"DAERAH KHUSUS IBUKOTA JAKARTA";"10510";"Indonesia";" 0216336501";"";"";"-6.1752722";"106.8713397";"https://maps.google.com/?cid=0x0:0xb9744081ba06b9f8";""
"mall";"Komplek perumahan";"Plaza Warly";"RVFG+539, Jl. Cempaka Putih Raya, RT.8/RW.3, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510";"Jl. Cempaka Putih Raya, RT.8/RW.3, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat";"DAERAH KHUSUS IBUKOTA JAKARTA";"10510";"Indonesia";" 02121473999";"";"";"-6.1770753";"106.8752488";"https://maps.google.com/?cid=0x0:0xa36ba474282f0fa7";""
"mall";"Minimarket";"MINi DC CEMPAKA PUTIH";"Jl. Rawasari Sel. No.29 16, RT.16/RW.2, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510";"RT.16/RW.2, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat";"DAERAH KHUSUS IBUKOTA JAKARTA";"10510";"Indonesia";"";"";"";"-6.1847648";"106.8732126";"https://maps.google.com/?cid=0x0:0x2ba46fa56d8aa508";""
"mall";"Toko outlet";"Factory Outlet";"ITC Cempaka Mas Lantai 1 Blok B, No. 61-62-63, Jl. Letjen Suprapto, RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640";"No. 61-62-63, Jl. Letjen Suprapto, RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat";"DAERAH KHUSUS IBUKOTA JAKARTA";"10640";"Indonesia";" 02142884613";"";"";"-6.1646022";"106.8770988";"https://maps.google.com/?cid=0x0:0xdf2ae6cfae6e2839";""
"mall";"Pusat Perbelanjaan";"Mall Senayan City";"Jl. Asia Afrika No.Lot 19, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270";"Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat";"DAERAH KHUSUS IBUKOTA JAKARTA";"10270";"Indonesia";" 02172781000";"";"/url?q>>u003dhttp://www.senayancity.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwik2pDCnbCLAxV7-TgGHdJmLfAQ61gIFigS>>u0026usg>>u003dAOvVaw3IHEpb_xMJljodUHG0KFYH";"-6.2271953";"106.7970117";"https://maps.google.com/?cid=0x0:0x300c043104acc004";""
"mall";"Pusat Perbelanjaan";"Grand Indonesia Shopping Town";"East mall, Mall grand Indonesia, Lt.3A, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310";"Mall grand Indonesia, Lt.3A, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat";"DAERAH KHUSUS IBUKOTA JAKARTA";"10310";"Indonesia";" 02123580001";"";"/url?q>>u003dhttps://grand-indonesia.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjxlKPCnbCLAxWw6jgGHVXSDvQQ61gIFigS>>u0026usg>>u003dAOvVaw3PLjpI41HGZEhqAvMIAoCF";"-6.1952481";"106.8196174";"https://maps.google.com/?cid=0x0:0xccfcc89b95aaf1ae";""
