Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Taman";"AEON MALL Jakarta Garden City";"Jl. Jkt Garden City Boulevard No.1, RT.8/RW.6, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910";"RT.8/RW.6, Cakung Tim., Kec. Cakung, Kota Jakarta Timur";"DAERAH KHUSUS IBUKOTA JAKARTA";"13910";"Indonesia";" 02122462525";"";"";"-6.1721883";"106.9522209";"https://maps.google.com/?cid=0x0:0x2c473319d7d1eef6";""
"mall";"Pusat Perbelanjaan";"Mall Grand Cakung";"Jl. Sri Sultan Hamengkubuwono IX No.KM. 25, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960";"Ujung Menteng, Kec. Cakung, Kota Jakarta Timur";"DAERAH KHUSUS IBUKOTA JAKARTA";"13960";"Indonesia";" 02146802222";"";"/url?q>>u003dhttps://luckylexmall.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjfusrzurqLAxXYyjgGHfDpHLAQ61gIFigS>>u0026usg>>u003dAOvVaw3d4VD4E7hs01rMPveBUwUs";"-6.1867509";"106.9588868";"https://maps.google.com/?cid=0x0:0x6e906e182d101bf";""
"mall";"Taman";"Bianglala Aeon";"Aeon Mall RT.8, RW.6, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910";"RW.6, Cakung Tim., Kec. Cakung, Kota Jakarta Timur";"DAERAH KHUSUS IBUKOTA JAKARTA";"13910";"Indonesia";"";"";"";"-6.1725153";"106.9509671";"https://maps.google.com/?cid=0x0:0xd5fc4220eceec096";""
"mall";"Hipermarket";"Lulu Cakung";"RW7X+MM3, Jl. Taman Modern Jl. Raya Bekasi, RT.1/RW.6, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960";"Jl. Taman Modern Jl. Raya Bekasi, RT.1/RW.6, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur";"DAERAH KHUSUS IBUKOTA JAKARTA";"13960";"Indonesia";"";"";"";"-6.1858565";"106.9491577";"https://maps.google.com/?cid=0x0:0x8a6fde6845054353";""
"mall";"Taman Bermain Dalam Ruangan";"FANPEKKA Aeon Mall JGC";"JGC, Aeon Mall, Lantai 3, Jl. Jkt Garden City Boulevard Jl. Cassia Utama No.46, RT.8/RW.6, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910";"Aeon Mall, Lantai 3, Jl. Jkt Garden City Boulevard Jl. Cassia Utama No.46, RT.8/RW.6, Cakung Tim., Kec. Cakung, Kota Jakarta Timur";"DAERAH KHUSUS IBUKOTA JAKARTA";"13910";"Indonesia";" 02122463400";"";"/url?q>>u003dhttps://www.aeonfantasy.co.id/store/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjJ0q70urqLAxWO8qACHbN7AaUQ61gIFigS>>u0026usg>>u003dAOvVaw3rXLpDv4SSBkcW8-RCRpFH";"-6.1723943";"106.9510459";"https://maps.google.com/?cid=0x0:0x418055359407e35a";""
"mall";"Pusat Perbelanjaan";"Lobby utama Grand Cakung";"RX75+6CC, Jl. Raya Bekasi, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, RT.1/RW.4, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960";"Jl. Raya Bekasi, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, RT.1/RW.4, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur";"DAERAH KHUSUS IBUKOTA JAKARTA";"13960";"Indonesia";"";"";"";"-6.186925";"106.9585112";"https://maps.google.com/?cid=0x0:0xe3969168b904ea5a";""
"mall";"";"PT. JUN H INDONESIA";"Green Sedayu Bizpark Cakung GS. 6 No 81, Jl. Cakung Cilincing Tim. Raya No.KM 2, RT.11/RW.6, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910";"Jl. Cakung Cilincing Tim. Raya No.KM 2, RT.11/RW.6, Cakung Tim., Kec. Cakung, Kota Jakarta Timur";"DAERAH KHUSUS IBUKOTA JAKARTA";"13910";"Indonesia";" 02122860599";"";"";"-6.1654551";"106.9458838";"https://maps.google.com/?cid=0x0:0xdc23656d43837404";""
"mall";"Minimarket";"Alfamart Tipar Cakung 5";"Jl. Tipar Cakung No.15, RT.15/RW.7, Cakung Bar., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910";"RT.15/RW.7, Cakung Bar., Kec. Cakung, Kota Jakarta Timur";"DAERAH KHUSUS IBUKOTA JAKARTA";"13910";"Indonesia";"";"";"";"-6.1726243";"106.9362039";"https://maps.google.com/?cid=0x0:0xe53a0796b91ddb73";""
"mall";"Toko Swalayan";"Ummi";"Gg. Baru No.2 8, RT.8/RW.5, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910";"RT.8/RW.5, Cakung Tim., Kec. Cakung, Kota Jakarta Timur";"DAERAH KHUSUS IBUKOTA JAKARTA";"13910";"Indonesia";" 08179178437";"";"";"-6.176282";"106.9467557";"https://maps.google.com/?cid=0x0:0xeec547ccc5f7ab7";""
"mall";"Pasar";"Pasar Pagi Kayu tinggi";"Jl. Masjid Ar-Rahman No.7 6, RT.5/RW.3, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910";"RT.5/RW.3, Cakung Tim., Kec. Cakung, Kota Jakarta Timur";"DAERAH KHUSUS IBUKOTA JAKARTA";"13910";"Indonesia";" 085700840255";"";"";"-6.1809786";"106.9467293";"https://maps.google.com/?cid=0x0:0x4c042c4b96a4d104";""
