Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"Toko Bahan Bangunan";"Tb. Cahaya Abadi";"Jl. Gaharu I No.46, RT.9/RW.4, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410";"RT.9/RW.4, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"12410";"Indonesia";" 0217694940";"";"";"-6.279437";"106.805744";"https://maps.google.com/?cid=0x0:0x16419da5f439abab";""
"building materials";"Toko Bahan Bangunan";"TB.Terogong Jaya";"Jl. Terogong Raya No.31 7, RT.7/RW.10, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430";"RT.7/RW.10, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"12430";"Indonesia";" 0217659469";"";"";"-6.2824912";"106.7927194";"https://maps.google.com/?cid=0x0:0x93c9f2eeed4244a4";""
"building materials";"Toko Bahan Bangunan";"TB.Alam Makmur";"No. 38, Jl. Bunga Melati No.38, RT.9/RW.2, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410";"Jl. Bunga Melati No.38, RT.9/RW.2, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"12410";"Indonesia";" 0217657810";"";"";"-6.2696664";"106.8033485";"https://maps.google.com/?cid=0x0:0x28f2e97133ab3add";""
"building materials";"Toko Bahan Bangunan";"Toko Jaya Bangunan";"Jl. Karang Tengah Raya No.46, RT.4/RW.4, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 16515";"RT.4/RW.4, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"16515";"Indonesia";" 082297324342";"";"";"-6.3077498";"106.7810831";"https://maps.google.com/?cid=0x0:0x9e3502eebd53d310";""
"building materials";"Toko Bahan Bangunan";"TB. Setia Baru";"1, Jl. Terogong Raya No.43, RT.1/RW.6, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430";"Jl. Terogong Raya No.43, RT.1/RW.6, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"12430";"Indonesia";" 087881058718";"";"";"-6.2839102";"106.7894234";"https://maps.google.com/?cid=0x0:0x5ab9946685e752ac";""
"building materials";"Toko Bahan Bangunan";"Setia Jaya. PD";"Jl. Cipete Raya No.4, RT.17/RW.6, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410";"RT.17/RW.6, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"12410";"Indonesia";" 0217506074";"";"";"-6.278028";"106.8049236";"https://maps.google.com/?cid=0x0:0xb22ca1d04dba819e";""
"building materials";"Toko Bahan Bangunan";"KUSUMA CANDRA ALAM";"Jl. Pangeran Antasari No.4, RT.1/RW.7, tiang flyover, P19, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410";"RT.1/RW.7, tiang flyover, P19, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"12410";"Indonesia";" 087883837799";"";"";"-6.2718503";"106.8088828";"https://maps.google.com/?cid=0x0:0x46ca221ea43c4716";""
"building materials";"Toko Bahan Bangunan";"Tb. Mutiara Jaya";"Jl. Cipete Raya No.40, RT.7/RW.1, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410";"RT.7/RW.1, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"12410";"Indonesia";" 0217500936";"";"";"-6.2779302";"106.806493";"https://maps.google.com/?cid=0x0:0xb6ef5a761a9d2abe";""
"building materials";"Toko Bahan Bangunan";"TB. Borobudur Jaya";"Jl. Terogong Raya No.30A 7, RT.7/RW.10, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430";"RT.7/RW.10, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"12430";"Indonesia";" 02175908409";"";"";"-6.2823586";"106.7929733";"https://maps.google.com/?cid=0x0:0xbe1a6865403745f4";""
"building materials";"Toko Bahan Bangunan";"PD. Metro Bangunan";"Jalan Asem II / Flamboyan no 12 Rt 12 Rw 2, RT.14/RW.5, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410";"RT.14/RW.5, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"12410";"Indonesia";" 0217504004";"";"";"-6.272364";"106.8031181";"https://maps.google.com/?cid=0x0:0xe9d32554f03066a9";""
"building materials";"Toko Bahan Bangunan";"Material Bangunan Cahaya Baru";"Jl. Raya Cilandak KKO No.5, RT.14/RW.8, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550";"RT.14/RW.8, Ragunan, Ps. Minggu, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"12550";"Indonesia";"";"";"";"-6.3102728";"106.814126";"https://maps.google.com/?cid=0x0:0x2d6915f32e08c8b7";""
"building materials";"Toko Bahan Bangunan";"Charis Gyptama Indo";"Jl. Terogong Raya No.13 11, RT.11/RW.7, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12420";"RT.11/RW.7, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"12420";"Indonesia";" 02129042508";"";"";"-6.2798142";"106.7954357";"https://maps.google.com/?cid=0x0:0xcd6a676064545a7";""
"building materials";"Toko Bahan Bangunan";"TB. Sumber Rejeki";"Jl. Cilandak Tengah No.24 2, RT.2/RW.1, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430";"RT.2/RW.1, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"12430";"Indonesia";" 0217662135";"";"";"-6.2905764";"106.8015813";"https://maps.google.com/?cid=0x0:0xb7ba47c5c710f9b2";""
"building materials";"Toko Bahan Bangunan";"TB. Aria Duta";"depan jakarta international school, Jl. Terogong Raya No.N0. 27, RT.1/RW.6, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430";"Jl. Terogong Raya No.N0. 27, RT.1/RW.6, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan";"DAERAH KHUSUS IBUKOTA JAKARTA";"12430";"Indonesia";" 088210039388";"";"";"-6.2846891";"106.7882269";"https://maps.google.com/?cid=0x0:0xe0c80320ca2299d4";""
