Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
toko bangunan;Toko Bahan Bangunan;TB.TANI MAKMUR;MHP7+MWG, Jl. Raya Cilamaya, Jayamukti, Kec. Banyusari, Karawang, Jawa Barat 41374;Jl. Raya Cilamaya, Jayamukti, Kec. Banyusari, Karawang;JAWA BARAT;41374;Indonesia;;;;-63.133.065;1.075.648.332;https://maps.google.com/?cid=0x0:0x1d30989e6d39cb44;
toko bangunan;Toko Bahan Bangunan;TB. Sumber Alam;Gempol, Kec. Banyusari, Karawang, Jawa Barat 41374;Kec. Banyusari, Karawang;JAWA BARAT;41374;Indonesia;;;;-63.020.191;1.075.676.567;https://maps.google.com/?cid=0x0:0x2570a8f2a82420d;
toko bangunan;Toko Bahan Bangunan;TB Harimbun;MHX8+CX7, Cilamaya Cikampek, Gempol, Kec. Banyusari, Karawang, Jawa Barat 41374;Cilamaya Cikampek, Gempol, Kec. Banyusari, Karawang;JAWA BARAT;41374;Indonesia;81211340745;;;-63.014.544;1.075.674.325;https://maps.google.com/?cid=0x0:0x4c2ff0cc84b78fb;
toko bangunan;Toko Bahan Bangunan;MATRIAL BORSAG JAYA;Dusun Karang Tengah, Desa Mekarasih rt 001/005, Mekarasih, Kec. Banyusari, Kab. Karawang, Jawa Barat 41374;Desa Mekarasih rt 001/005, Mekarasih, Kec. Banyusari, Kab. Karawang;JAWA BARAT;41374;Indonesia;;;;-62.901.783;1.075.541.821;https://maps.google.com/?cid=0x0:0x58a71648ab71c7d1;
toko bangunan;Toko Bahan Bangunan;MATRIAL PUTRA GUNA;Cicinde Utara, Kec. Banyusari, Karawang, Jawa Barat 41374;Kec. Banyusari, Karawang;JAWA BARAT;41374;Indonesia;85693460488;;;-6.325.509;1.075.591.383;https://maps.google.com/?cid=0x0:0xb172a938377ec1ac;
toko bangunan;Toko Bahan Bangunan;TOKO BANGUNAN AGUS HASAN BASRI;MG4X+W8M, Jatiwangi, Kec. Jatisari, Karawang, Jawa Barat 41374;Jatiwangi, Kec. Jatisari, Karawang;JAWA BARAT;41374;Indonesia;81310218690;;;-63.426.579;1.075.483.012;https://maps.google.com/?cid=0x0:0x320a45cca85befe5;
toko bangunan;Toko;Toko DINI BAJA  BAUT;PH68+GQ6, Cilamaya Cikampek , Kalenraman, Mekarasih, Kec. Banyusari, Karawang, Jawa Barat 41374;Cilamaya Cikampek , Kalenraman, Mekarasih, Kec. Banyusari, Karawang;JAWA BARAT;41374;Indonesia;85289718735;;;-62.887.114;1.075.668.866;https://maps.google.com/?cid=0x0:0xa3ea28aed5b79ae4;
toko bangunan;Toko Bahan Bangunan;TB.RR2;MF8R+RCH Dsn, Pelem desa, Tirtasari, Tirtamulya, Karawang, West Java;Karawang, Jawa Barat;JAWA BARAT;;Indonesia;89603780519;;;-633.295;1.074.911.117;https://maps.google.com/?cid=0x0:0xc576d036a1486357;
toko bangunan;Toko Perlengkapan Rumah;Anugrah Jaya Creative;Gg. Dusun Bangsasuta, Cicinde Sel., Kec. Banyusari, Karawang, Jawa Barat 41374;Cicinde Sel., Kec. Banyusari, Karawang;JAWA BARAT;41374;Indonesia;85693714628;;;-63.394.081;1.075.558.983;https://maps.google.com/?cid=0x0:0x312ac9b54f56d9ec;
toko bangunan;Toko Bahan Bangunan;TB.Bangun Istana Sukses;Mekarasih, Kec. Banyusari, Karawang, Jawa Barat 41374;Kec. Banyusari, Karawang;JAWA BARAT;41374;Indonesia;;;;-62.873.272;1.075.672.854;https://maps.google.com/?cid=0x0:0x1f380b22d4f4b8fa;
