Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Pusat Perbelanjaan";"Summarecon Villaggio Outlets";"Jl. Bulevar Summarecon Emerald Blk. A No.Kav.1, Kondangjaya, Kec. Karawang Tim., Karawang, Jawa Barat 41371";"Kondangjaya, Kec. Karawang Tim., Karawang";"JAWA BARAT";"41371";"Indonesia";" 081260007610";"";"/url?q>>u003dhttp://www.villaggiooutlets.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwigy_-3wtKLAxX8kK8BHY9gL2YQ61gIFigS>>u0026usg>>u003dAOvVaw32eqQhv3S87iwbc0QgYaEm";"-6.3235576";"107.3398829";"https://maps.google.com/?cid=0x0:0x2c938e54a54bcc3c";""
"mall";"Pusat Perbelanjaan";"Toko Arya Cell Src";"MHW9+9JP, Gempol Kolot, Banyusari, Gempol, Kec. Banyusari, Karawang, Jawa Barat 41374";"Gempol Kolot, Banyusari, Gempol, Kec. Banyusari, Karawang";"JAWA BARAT";"41374";"Indonesia";" 08567962220";"";"";"-6.3040415";"107.5690712";"https://maps.google.com/?cid=0x0:0x393f7a2561733ff1";""
"mall";"Pusat Perbelanjaan";"Eggsykindonesia";"MHH6+494, Cicinde Utara, Kec. Banyusari, Karawang, Jawa Barat 41374";"Cicinde Utara, Kec. Banyusari, Karawang";"JAWA BARAT";"41374";"Indonesia";" 083815344187";"";"";"-6.3222356";"107.5609458";"https://maps.google.com/?cid=0x0:0x6e25bc96e7ef10";""
"mall";"Pusat Perbelanjaan";"Toko Arya Dan Naya Barnik";"MHW9+9JQ, prapatan, krajan, Gempol, Kec. Banyusari, Karawang, Jawa Barat 41374";"prapatan, krajan, Gempol, Kec. Banyusari, Karawang";"JAWA BARAT";"41374";"Indonesia";" 081517527734";"";"";"-6.3040445";"107.5691101";"https://maps.google.com/?cid=0x0:0x5e2c43ea845b5fc8";""
"mall";"Gudang";"GUDANG SUNARI KEPALA KAKAP";"Cicinde Sel., Kec. Banyusari, Karawang, Jawa Barat 41374";"Kec. Banyusari, Karawang";"JAWA BARAT";"41374";"Indonesia";" 081383551702";"";"";"-6.3362274";"107.5530215";"https://maps.google.com/?cid=0x0:0x7962f9eb8e7b0290";""
"mall";"Pusat Perbelanjaan";"ARGA BUDI MULYA";"PG86+JMM, Tanjung, Kec. Banyusari, Karawang, Jawa Barat 41374";"Tanjung, Kec. Banyusari, Karawang";"JAWA BARAT";"41374";"Indonesia";" 087771117175";"";"";"-6.2834186";"107.5116603";"https://maps.google.com/?cid=0x0:0x401f016a467eabdc";""
"mall";"Pusat Perbelanjaan";"Haykal Cell";"Sadang Pinggan, RT.01/RW.04, Jayamukti, Kec. Banyusari, Karawang, Jawa Barat 41374";"RT.01/RW.04, Jayamukti, Kec. Banyusari, Karawang";"JAWA BARAT";"41374";"Indonesia";" 085773320332";"";"";"-6.3093262";"107.5676648";"https://maps.google.com/?cid=0x0:0x2730d9650169c10f";""
"mall";"Pusat Perbelanjaan";"PD juragan tongkol";"MHJ5+52V, Cicinde Utara, Kec. Banyusari, Karawang, Jawa Barat 41374";"Cicinde Utara, Kec. Banyusari, Karawang";"JAWA BARAT";"41374";"Indonesia";" 081322476669";"";"";"-6.318515";"107.55715";"https://maps.google.com/?cid=0x0:0xdd22ec4be63cb1a2";""
"mall";"Toko Swalayan";"Toko Putra Putri Karawang";"MHW9+JVQ, Gempol Kolot, Kec. Banyusari, Karawang, Jawa Barat 41374";"Gempol Kolot, Kec. Banyusari, Karawang";"JAWA BARAT";"41374";"Indonesia";" 085780422684";"";"";"-6.3034187";"107.5697268";"https://maps.google.com/?cid=0x0:0xa5db4d726005eee";""
"mall";"Toko";"RIAN MAULANA ONLINE STORE";"MHV9+925, Jayamukti, Kec. Banyusari, Karawang, Jawa Barat 41374";"Jayamukti, Kec. Banyusari, Karawang";"JAWA BARAT";"41374";"Indonesia";" 085888679756";"";"";"-6.3066091";"107.5676077";"https://maps.google.com/?cid=0x0:0x35634d405f456c6e";""
"mall";"Pusat Perbelanjaan";"Warung Ujang Carwita";"MH95+R5V, Cicinde Sel., Kec. Banyusari, Karawang, Jawa Barat 41374";"Cicinde Sel., Kec. Banyusari, Karawang";"JAWA BARAT";"41374";"Indonesia";"";"";"";"-6.3303871";"107.5579205";"https://maps.google.com/?cid=0x0:0x586c88b9b7963a8a";""
"mall";"Pusat Perbelanjaan";"Family Petshop";"PH28+7V5, Gempol, Kec. Banyusari, Karawang, Jawa Barat 41374";"Gempol, Kec. Banyusari, Karawang";"JAWA BARAT";"41374";"Indonesia";" 085777786025";"";"";"-6.2993663";"107.5672251";"https://maps.google.com/?cid=0x0:0x180053d98e868573";""
