Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
toko bangunan;Toko Bahan Bangunan;TB. Kayu Abadi;3J22+RMQ, Cigarukgak, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Cigarukgak, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;;;;-69.479.241;1.086.017.262;https://maps.google.com/?cid=0x0:0xc2ea13ad4500f860;
toko bangunan;Toko Bahan Bangunan;TB. LAA TANSA JAYA;Jl. Raya Susukan, Ciputat, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Ciputat, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;85324337750;;;-69.697.468;1.085.748.812;https://maps.google.com/?cid=0x0:0xa55408bc9c09cf4c;
toko bangunan;Toko Bahan Bangunan;TB. DUA SAUDARA;2HHJ+7Q4, Ciawigebang, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Ciawigebang, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;;;;-69.718.671;1.085.819.522;https://maps.google.com/?cid=0x0:0x2b0a12791c153cf8;
toko bangunan;Kantor Perusahaan;TB Sembilan Jaya;2HC8+VJ5, Sidaraja, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Sidaraja, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;81804663335;;;-69.778.548;1.085.666.205;https://maps.google.com/?cid=0x0:0x7011073f38101992;
toko bangunan;Toko Bahan Bangunan;Bintang Samudera Jaya;2HJP+QCW, Ciawilor, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Ciawilor, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;;;;-69.680.233;108.586.077;https://maps.google.com/?cid=0x0:0x5ec8451f6c95e0f2;
toko bangunan;Toko Bahan Bangunan;TB. Mirah;2HHM+2J8, Kadurama, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Kadurama, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;;;;-6.972.468;1.085.840.732;https://maps.google.com/?cid=0x0:0x41e31d4ab2fa7192;
toko bangunan;Pusat Perbelanjaan;Tb Ramos Somil;3H9M+R7G, Sukaraja, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Sukaraja, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;85224867470;;/url?q>>u003dhttp://www.ramos.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwixtf_ZtueLAxVMyDgGHdU5Hs8Q61gIFSgR>>u0026usg>>u003dAOvVaw1jvqMVdt2qrXipzH4p2cjT;-69.304.423;1.085.832.131;https://maps.google.com/?cid=0x0:0xbc57dc15b08261d5;
toko bangunan;Toko Bahan Bangunan;TB. Kramat Mulya;2H3W+P4H, Jl. Desa Bend., Keramatmulya, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Jl. Desa Bend., Keramatmulya, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;81219171959;;;-69.956.881;108.595.356;https://maps.google.com/?cid=0x0:0xfb8964d0c29a15a7;
toko bangunan;Toko Bahan Bangunan;TB. Isna Jaya;2HRH+7QJ, Jl. Raya Cihaur, Karangkamulyan, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Jl. Raya Cihaur, Karangkamulyan, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;;;;-69.592.797;1.085.793.778;https://maps.google.com/?cid=0x0:0xf18d940642c01e9;
toko bangunan;Toko Perlengkapan Rumah;Sri Mekarwangi Steel 2;Jl. Raya Siliwangi No.3, Ciawigebang, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Ciawigebang, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;85724045470;;;-69.763.988;1.085.941.052;https://maps.google.com/?cid=0x0:0xaaf200a43409d3ca;
