Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
mall;Toko Obat-Obatan Herbal;DC HNI HPAI Melisa;XJJV+36J, Luragunglandeuh, Kec. Luragung, Kabupaten Kuningan, Jawa Barat 45581;Luragunglandeuh, Kec. Luragung, Kabupaten Kuningan;JAWA BARAT;45581;Indonesia;85794888024;;;-70.197.901;108.643.023;https://maps.google.com/?cid=0x0:0x383ff8aa5bc0ad40;
mall;Pusat Perbelanjaan;Yomart Ciawigebang;2HHM+828, Ciawigebang, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Ciawigebang, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;;;;-69.717.242;1.085.825.677;https://maps.google.com/?cid=0x0:0xcb80e2503cb01a38;
mall;Minimarket;Aneka Sandang;2HHH+768, Jl. Raya Ciawigebang, Ciputat, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Jl. Raya Ciawigebang, Ciputat, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;232878354;;;-69.718.422;1.085.780.779;https://maps.google.com/?cid=0x0:0xdaf4f0b1ebd2ff1f;
mall;Toko Swalayan;Toserba Fajar Ciawigebang;Jl. Raya Siliwangi, Ciawigebang, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Ciawigebang, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;89660895969;;;-69.722.745;1.085.840.493;https://maps.google.com/?cid=0x0:0xe4f4d84448271adc;
mall;Toko bahan makanan;#GempolAvocado;2H9M+R8P Ponpes Gempol, Ciputat, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Ciputat, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;;;;-69.804.007;1.085.833.137;https://maps.google.com/?cid=0x0:0x4f8a0a0cf0ab50c0;
mall;Toko;Toko Abang Andi;2HJM+CVQ, Ciawigebang, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Ciawigebang, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;85724120862;;;-69.689.008;1.085.847.369;https://maps.google.com/?cid=0x0:0x67bff38b9dc91b6a;
mall;Pusat Perbelanjaan;Sentra Lauk Asin;2J62+Q9F, Jl. Dayeuh Kolot, Geresik, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Jl. Dayeuh Kolot, Geresik, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;896467416;;;-69.880.584;1.086.009.166;https://maps.google.com/?cid=0x0:0xc3e1bdd4e7fae080;
mall;Pusat Perbelanjaan;Afunk Zibrag;2H9F+WMQ, Jl. Raya Kapandayan, Sidaraja, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Jl. Raya Kapandayan, Sidaraja, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;;;;-6.980.158;1.085.742.244;https://maps.google.com/?cid=0x0:0x8a39b27d60292b0c;
mall;Pusat Perbelanjaan;Toko Aan Azay;2J65+GMQ, Geresik, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Geresik, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;81395752743;;;-69.886.568;1.086.092.221;https://maps.google.com/?cid=0x0:0x98b8d31fead79ec7;
mall;Pusat Perbelanjaan;An Anugerah;3H9M+GMG, Sukaraja, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;Sukaraja, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;;;;-69.311.921;1.085.842.043;https://maps.google.com/?cid=0x0:0x4af6c6bed522d9ef;
mall;Pasar;Warung Bi Enjun;3H7M+9QW, blok wage, Sukaraja, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591;blok wage, Sukaraja, Kec. Ciawigebang, Kabupaten Kuningan;JAWA BARAT;45591;Indonesia;;;;-6.936.519;1.085.844.564;https://maps.google.com/?cid=0x0:0xc3a53297b3972231;
