Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"toko bangunan";"Toko Bahan Bangunan";"Tb. Putra Grage";"8X25+75R, ds condong, Buahdua, Kec. Buahdua, Kabupaten Sumedang, Jawa Barat 45392";"ds condong, Buahdua, Kec. Buahdua, Kabupaten Sumedang";"JAWA BARAT";"45392";"Indonesia";" 081222028184";"";"";"-6.6992601";"107.9578899";"https://maps.google.com/?cid=0x0:0xdeab1fe7f4edbfd3";""
"toko bangunan";"Toko Bahan Bangunan";"TB. Mutiara";"Hariang, Kec. Buahdua, Kabupaten Sumedang, Jawa Barat 45392";"Kec. Buahdua, Kabupaten Sumedang";"JAWA BARAT";"45392";"Indonesia";"";"";"";"-6.7108474";"107.9151881";"https://maps.google.com/?cid=0x0:0x51d0a70152876129";""
"toko bangunan";"Toko Bahan Bangunan";"Tb. Makmur";"7XP8+6HP, Jalan Raya, Nagrak, Buahdua, Sumedang Regency, West Java 45392";"Jalan Raya, Nagrak, Buahdua, Sumedang Regency";"JAWA BARAT";"45392";"Indonesia";"";"";"";"-6.7144178";"107.9664601";"https://maps.google.com/?cid=0x0:0x83a04343ad0e042";""
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Sumber Jaya";"7XW4+HWH, Buahdua, Kec. Buahdua, Kabupaten Sumedang, Jawa Barat 45392";"Buahdua, Kec. Buahdua, Kabupaten Sumedang";"JAWA BARAT";"45392";"Indonesia";"";"";"";"-6.7035578";"107.9573586";"https://maps.google.com/?cid=0x0:0xdf23f4105d541346";""
"toko bangunan";"Toko Perlengkapan Rumah";"TB. Mugi Jaya";"7XW2+Q5F, Jl. Buahdua Hariang, Dsn. Naringgul, Kec. Buahdua, Kabupaten Sumedang, Jawa Barat 45392";"Jl. Buahdua Hariang, Dsn. Naringgul, Kec. Buahdua, Kabupaten Sumedang";"JAWA BARAT";"45392";"Indonesia";" 082121731499";"";"";"-6.7030549";"107.9504123";"https://maps.google.com/?cid=0x0:0x2dbc105468926cb0";""
"toko bangunan";"Toko Bahan Bangunan";"Tb Anugerah Jaya Raya";"legok 72, jl raya, Conggeang Kulon, Kec. Conggeang, Kabupaten Sumedang, Jawa Barat 45391";"jl raya, Conggeang Kulon, Kec. Conggeang, Kabupaten Sumedang";"JAWA BARAT";"45391";"Indonesia";"";"";"";"-6.7367849";"108.0112116";"https://maps.google.com/?cid=0x0:0x246770f87f5f7970";""
"toko bangunan";"Toko";"TB.MAIKA PUSAT";"Jl. Legok - Conggeang No.16, Conggeang Kulon, Kec. Conggeang, Kabupaten Sumedang, Jawa Barat 45391";"Conggeang Kulon, Kec. Conggeang, Kabupaten Sumedang";"JAWA BARAT";"45391";"Indonesia";" 085213000535";"";"/url?q>>u003dhttps://shopee.co.id/maikatokobangunan%3Fsmtt%3D0.0.9>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi44_-nj9eLAxX7xjgGHdeAMewQ61gIFigS>>u0026usg>>u003dAOvVaw30K3j4iAHVat_h5y5JmqTE";"-6.7359058";"108.0062282";"https://maps.google.com/?cid=0x0:0x65a6b5e2be8783f8";""
"toko bangunan";"Toko Kayu";"Sawmill Sugih Karya (Ibu Ade)";"Jl. Bentar, Cibitung, Kec. Buahdua, Kabupaten Sumedang, Jawa Barat 45392";"Cibitung, Kec. Buahdua, Kabupaten Sumedang";"JAWA BARAT";"45392";"Indonesia";" 081952780407";"";"";"-6.7205888";"107.9480113";"https://maps.google.com/?cid=0x0:0x9d0c6717c4077b61";""
"toko bangunan";"Toko Bahan Bangunan";"TB. Sinar Cahaya 2";"Jl. Serma Muchtar No.112, Situ, Kec. Sumedang Utara, Kabupaten Sumedang, Jawa Barat 45621";"Situ, Kec. Sumedang Utara, Kabupaten Sumedang";"JAWA BARAT";"45621";"Indonesia";" 081223377589";"";"";"-6.8422169";"107.915964";"https://maps.google.com/?cid=0x0:0x976bc9bf4042be07";""
"toko bangunan";"Toko Bahan Bangunan";"TOKO BANGUNAN H. A";"5WPG+QVW, Situwangi, Jatihurip, Kec. Sumedang Utara, Kabupaten Sumedang, Jawa Barat 45621";"Situwangi, Jatihurip, Kec. Sumedang Utara, Kabupaten Sumedang";"JAWA BARAT";"45621";"Indonesia";"";"";"";"-6.8130204";"107.9272146";"https://maps.google.com/?cid=0x0:0x409c71c19d355ed0";""
