Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"Hotel";"Hotel";"4F3W+3MC, Giriasih, Kec. Batujajar, Kota Bandung, Jawa Barat";"Kota Bandung, Jawa Barat";"JAWA BARAT";"";"Indonesia";"";"";"";"-6.8973084";"107.4966345";"https://maps.google.com/?cid=0x0:0xbc2b4aa96d1b7a8f";""
"hotel";"Rumah wisata";"Penginapan Pramesti Batujajar";"Jl. Raya Batujajar No.338, RT.03/RW.04, Galanggang, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"RT.03/RW.04, Galanggang, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";" 081322041195";"";"";"-6.9151143";"107.4955089";"https://maps.google.com/?cid=0x0:0xa5b132b409067cfa";""
"hotel";"Penginapan";"Pesona Bintang Batujajar F27";"3FV5+GGH, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Pangauban, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.9061941";"107.4588609";"https://maps.google.com/?cid=0x0:0x240873a8f8366ca4";""
"hotel";"hotel";"Mason Pine Hotel";"Jl. Parahyangan Raya No.Km 1, RW.8, Cipeundeuy, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553";"RW.8, Cipeundeuy, Kec. Padalarang, Kabupaten Bandung Barat";"JAWA BARAT";"40553";"Indonesia";" 0226803778";"";"";"-6.864206";"107.479917";"https://maps.google.com/?cid=0x0:0xebd0dc3bfc0de869";""
"hotel";"hotel";"N/A";"";"";"JAWA BARAT";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xebd0dc3bfc0de869%7C/g/1tn_wrrt%7Cid-ID";""
"hotel";"Taman Rekreasi Air";"Wahoo Waterworld";"Jl. Pancatengah Parahyangan St No.1, Kota Baru, Parahyangan, West Bandung Regency, West Java 40553";"Kota Baru, Parahyangan, West Bandung Regency";"JAWA BARAT";"40553";"Indonesia";" 081121101000";"";"";"-6.8601622";"107.4628166";"https://maps.google.com/?cid=0x0:0xd30d8fa66159dea1";""
"hotel";"Layanan Transportasi";"Padalarang";"belakang no. 2, Jl. Babakan Tarogong, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231";"Jl. Babakan Tarogong, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung";"JAWA BARAT";"40231";"Indonesia";"";"";"";"-6.8429512";"107.4972996";"https://maps.google.com/?cid=0x0:0x21282c9dcb2ecee3";""
"hotel";"hotel";"Kos Wisma 27";"Leuweung Datar, Bojonghaleuang, Kec. Batujajar, Kabupaten Bandung, Jawa Barat";"Kabupaten Bandung, Jawa Barat";"JAWA BARAT";"";"Indonesia";" 08129059149";"";"";"-6.863147";"107.4564781";"https://maps.google.com/?cid=0x0:0xa0473cd44dbd25d4";""
"hotel";"Rumah wisata";"GFR house";"Perumahan Cangkorah lake view blok A4/15, Giriasih, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Giriasih, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.8900758";"107.4781765";"https://maps.google.com/?cid=0x0:0x56fe18e331a1f9ce";""
"hotel";"Hotel";"Rumah Bekok";"3FV8+8M9, Jl, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Jl, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.9063478";"107.4667865";"https://maps.google.com/?cid=0x0:0xc3d6e43b11fee60e";""
"hotel";"Bed >>u0026 Breakfast";"KOST THE GREEN 22 BATUJAJAR";"Jl. SMP No.22, Batujajar Bar., Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Batujajar Bar., Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";" 083138848540";"";"";"-6.9180185";"107.4954038";"https://maps.google.com/?cid=0x0:0x7e4e16a0d8c15bed";""
"hotel";"Motel";"Kost An Hj.Pipit";"3FQX+X3W, Jl. Rancatiis, Galanggang, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Jl. Rancatiis, Galanggang, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.9100141";"107.497703";"https://maps.google.com/?cid=0x0:0x6d21138b26c638e7";""
