Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"perumahan";"Komplek perumahan";"Perum Batujajar Indah 1 jln.Aster 3 no.29";"Jl. Citunjung-Haurngambang, Batujajar Tim., Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Batujajar Tim., Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.9108285";"107.5055092";"https://maps.google.com/?cid=0x0:0xe42fac56172ce93b";""
"perumahan";"Kantor Perusahaan";"Kantor Security B ONE Perum Pangauban Silih Asih";"Jl, Pangauban, Batujajar, West Bandung Regency, West Java 40561";"Pangauban, Batujajar, West Bandung Regency";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.9009028";"107.4576831";"https://maps.google.com/?cid=0x0:0x47a6a7190fff03ce";""
"perumahan";"Komplek perumahan";"Puri Indah Lestari Batujajar";"Perumahan Puri Indah Lestari Jl. Mangga 3 No.31 Blok D2, RT.003 Rw016, TIMUR, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"RT.003 Rw016, TIMUR, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.911761";"107.5048452";"https://maps.google.com/?cid=0x0:0xdcb0756a21d66564";""
"perumahan";"Komplek perumahan";"Graha Kencana Batujajar";"Jl. Raya Batujajar G3 No.07 timur, Batujajar Tim., Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Batujajar Tim., Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.9137918";"107.5003557";"https://maps.google.com/?cid=0x0:0xca7cbef1515891b1";""
"perumahan";"Komplek perumahan";"Perumahan Villa Taman Bunga Batujajar";"3FV6+FVC, JL. Pangauban No.42, RT.001/RW.004, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"JL. Pangauban No.42, RT.001/RW.004, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";" 082123178929";"";"";"-6.9064864";"107.461858";"https://maps.google.com/?cid=0x0:0xae0942e63685d486";""
"perumahan";"Komplek perumahan";"Rumah";"Pangauban, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.8989064";"107.4503137";"https://maps.google.com/?cid=0x0:0x391e476fd3769f47";""
"perumahan";"Komplek perumahan";"Perumahan pangauban silih asih blok S";"3FX5+7XJ, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Pangauban, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.9022555";"107.4606657";"https://maps.google.com/?cid=0x0:0xd65b0cb470d6642";""
"perumahan";"Perumahan";"Property perumahan pangauban silih asih";"Jl. Pangauban, Batujajar, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Batujajar, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";" 087822937385";"";"";"-6.902392";"107.4555957";"https://maps.google.com/?cid=0x0:0x75317dddf875fdd2";""
"perumahan";"Kompleks Kondominium";"Perumahan Lembah Batujajar Village";"4G75+GPG, Jl. Sindangsari, Laksanamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553";"Jl. Sindangsari, Laksanamekar, Kec. Padalarang, Kabupaten Bandung Barat";"JAWA BARAT";"40553";"Indonesia";"";"";"";"-6.8861908";"107.5093221";"https://maps.google.com/?cid=0x0:0x65f9b14ef64e2d56";""
"perumahan";"Perumahan";"Perum. Bumi Nursantosa Lestari";"Kp. Cibodas, Ds, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Ds, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";" 081909788844";"";"";"-6.9018536";"107.4527299";"https://maps.google.com/?cid=0x0:0x429b2955fd5d566b";""
"perumahan";"Komplek perumahan";"Gabe22";"Bl. B2, Batujajar Indah, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Batujajar Indah, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.9100101";"107.5028377";"https://maps.google.com/?cid=0x0:0xe05be3c8b085b8b5";""
"perumahan";"Komplek perumahan";"Puspa Regency";"Jl. Raya Batujajar, RT./RW/RW.02/09, Batujajar Tim., Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"RT./RW/RW.02/09, Batujajar Tim., Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"/url?q>>u003dhttps://batujajar.com/pusparegency>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjqvMSFycCLAxUcTmwGHZ9lACUQ61gIEigO>>u0026usg>>u003dAOvVaw0xd-fLsy63hHmxXW79-bqN";"-6.9161884";"107.4979528";"https://maps.google.com/?cid=0x0:0x64cb9b9bbdcf1c29";""
"perumahan";"Komplek perumahan";"Perumahan Pangauban Blok Ac";"3FW4+96R, Jl. Pangauban Silih Asih, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Jl. Pangauban Silih Asih, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.9040019";"107.4555209";"https://maps.google.com/?cid=0x0:0x8b7a9b83ca51046d";""
"perumahan";"Pembangunan Perumahan";"Pesona Bintang Batujajar";"3FV5+Q3P, Jl Galanggang No.km 2, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Jl Galanggang No.km 2, Pangauban, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";" 082129915352";"";"";"-6.9053402";"107.457248";"https://maps.google.com/?cid=0x0:0xbd527ae285dbcfa2";""
"perumahan";"perumahan";"Rumah Pak Suherman";"4CH8+H9J, Cikande Cipangeran, Cikande, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Cikande Cipangeran, Cikande, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.8710325";"107.4159059";"https://maps.google.com/?cid=0x0:0x176c45c21a6d40f9";""
"perumahan";"perumahan";"Rumah Mamah Iin";"4CJP+4V9, Kp.Pasir Karamat, RT.2/RW.07, Cikande, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561";"Kp.Pasir Karamat, RT.2/RW.07, Cikande, Kec. Batujajar, Kabupaten Bandung Barat";"JAWA BARAT";"40561";"Indonesia";"";"";"";"-6.8697222";"107.4372222";"https://maps.google.com/?cid=0x0:0xce26fdef0079bdc4";""
