Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"Hotel transit bekasi";"Jl. Pangkalan 1, RT.002/RW.005, Bantargebang, Kec. Bantar Gebang, Kota Bks, Jawa Barat 17151";"RT.002/RW.005, Bantargebang, Kec. Bantar Gebang, Kota Bks";"JAWA BARAT";"17151";"Indonesia";" 087885898684";"";"";"-6.321993";"106.9841909";"https://maps.google.com/?cid=0x0:0x2992f780ab640d5";""
"hotel";"hotel";"N/A";"";"";"JAWA BARAT";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x2992f780ab640d5%7C/g/11fr6wkmcr%7Cen-ID";""
"hotel";"hotel";"Mahayun Guest House Syariah";"Samping Mahayun CafeResto, Jl. Benda, RT.003/RW.010, Padurenan, Kec. Mustika Jaya, Kota Bks, Jawa Barat 17156";"Jl. Benda, RT.003/RW.010, Padurenan, Kec. Mustika Jaya, Kota Bks";"JAWA BARAT";"17156";"Indonesia";" 082123201134";"";"";"-6.3242204";"106.9925313";"https://maps.google.com/?cid=0x0:0xe9d9643d515a58a5";""
"hotel";"hotel";"Kost FGH Residence Cipendawa Lama";"Jl. Cipendawa Lama No.25, RT.001/RW.005, Bojong Menteng, Kec. Rawalumbu, Kota Bks, Jawa Barat 17117";"RT.001/RW.005, Bojong Menteng, Kec. Rawalumbu, Kota Bks";"JAWA BARAT";"17117";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/245070/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiy_K2JtduLAxUsR2wGHcUHPXcQ61gIFigS>>u0026usg>>u003dAOvVaw01yn27gqwcvkDfwqhbT8Ba";"-6.3007679";"106.989024";"https://maps.google.com/?cid=0x0:0xc0501894c20d2a26";""
"hotel";"hotel";"Hotel Gandamanah";"Jalan Raya Narogong No.KM 11 No.26, RT.003/RW.007, Bantargebang, Kec. Bantar Gebang, Kota Bks, Jawa Barat 17151";"RT.003/RW.007, Bantargebang, Kec. Bantar Gebang, Kota Bks";"JAWA BARAT";"17151";"Indonesia";" 0218250790";"";"";"-6.3187883";"106.9857072";"https://maps.google.com/?cid=0x0:0x9ad419f5716d38e4";""
"hotel";"hotel";"Resort Kebun Indah";"Jl. Wibawa Mukti II No.46, RT.008/RW.002, Jatisari, Kec. Jatiasih, Kota Bks, Jawa Barat 17425";"RT.008/RW.002, Jatisari, Kec. Jatiasih, Kota Bks";"JAWA BARAT";"17425";"Indonesia";" 081386623732";"";"";"-6.3176888";"106.9493026";"https://maps.google.com/?cid=0x0:0xa690d87e936ce8ac";""
"hotel";"hotel";"N/A";"";"";"JAWA BARAT";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xa690d87e936ce8ac%7C/g/11btvl80c3%7Cen-ID";""
"hotel";"hotel";"Hotel Royal Bekasi";"Jl. Raya Narogong No.88, RT.002/RW.005, Bantargebang, Kec. Bantar Gebang, Kota Bks, Jawa Barat 17151";"RT.002/RW.005, Bantargebang, Kec. Bantar Gebang, Kota Bks";"JAWA BARAT";"17151";"Indonesia";" 02182606884";"";"";"-6.3230993";"106.9842062";"https://maps.google.com/?cid=0x0:0x84318e69b7087cd7";""
"hotel";"hotel";"Hotel Putra Mulia";"Raya No.100 kec. kel. Jatiasih, Jl. Dr. Ratna, RT.004/RW.001, Jatikramat, Kec. Jatiasih, Kota Bks, Jawa Barat 17421";"Jl. Dr. Ratna, RT.004/RW.001, Jatikramat, Kec. Jatiasih, Kota Bks";"JAWA BARAT";"17421";"Indonesia";" 02184974844";"";"/url?q>>u003dhttp://putramuliahotel.blogspot.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiFrPyKtduLAxXOUWcHHYXUHSkQ61gIFigS>>u0026usg>>u003dAOvVaw19-0IMzH0uL1yy6QomF3JG";"-6.2773533";"106.9517434";"https://maps.google.com/?cid=0x0:0xc6efd4881a4faf41";""
"hotel";"hotel";"N/A";"";"";"JAWA BARAT";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xc6efd4881a4faf41%7C/g/1jglxsyqk%7Cen-ID";""
