Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Pusat Perbelanjaan";"Mall BTM Bogor";"Jl. Ir. H. Juanda No.68, RT.01/RW.13, Paledang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16122";"RT.01/RW.13, Paledang, Kecamatan Bogor Tengah, Kota Bogor";"JAWA BARAT";"16122";"Indonesia";" 02518401000";"";"";"-6.6047283";"106.7957997";"https://maps.google.com/?cid=0x0:0x82ab1619188f430e";""
"mall";"";"Food Model Bogor";"Jl. Terapi ID No.7, RT.01/RW.16, Menteng, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16111";"RT.01/RW.16, Menteng, Kec. Bogor Bar., Kota Bogor";"JAWA BARAT";"16111";"Indonesia";" 081281783343";"";"/url?q>>u003dhttp://foodmodelbogor.blogspot.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjv4qDwh_mLAxWISGwGHSjVJR8Q61gIFigS>>u0026usg>>u003dAOvVaw1B48Fv2ijL4XLNzaTql1uK";"-6.5795321";"106.7798034";"https://maps.google.com/?cid=0x0:0xe491d8253797bf75";""
"mall";"Pusat Perbelanjaan";"BOGOR CENTER POINT";"CQG9+JQ3, RT.02/RW.08, Cilendek Bar., Kec. Bogor Bar., Kota Bogor, Jawa Barat 16112";"RT.02/RW.08, Cilendek Bar., Kec. Bogor Bar., Kota Bogor";"JAWA BARAT";"16112";"Indonesia";"";"";"";"-6.5734857";"106.7694323";"https://maps.google.com/?cid=0x0:0x94b3d0e6fc3c2024";""
"mall";"Pusat Perbelanjaan";"Botani Square";"Jl. Raya Pajajaran No.40, Tugu Kujang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16127";"Tugu Kujang, Kecamatan Bogor Tengah, Kota Bogor";"JAWA BARAT";"16127";"Indonesia";" 02518386658";"";"";"-6.6014221";"106.8071254";"https://maps.google.com/?cid=0x0:0x9edb391e7c74be19";""
"mall";"Bioskop";"Bogor Great Mall";"Jl. KH. R. Abdullah Bin Nuh, RT.05/RW.04, Cibadak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16166";"RT.05/RW.04, Cibadak, Kec. Tanah Sereal, Kota Bogor";"JAWA BARAT";"16166";"Indonesia";"";"";"";"-6.5563204";"106.775631";"https://maps.google.com/?cid=0x0:0x420d51891d68ddfc";""
"mall";"Mal outlet";"AEON MALL Sentul City";"Jl. MH. Thamrin, Citaringgul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810";"Citaringgul, Kec. Babakan Madang, Kabupaten Bogor";"JAWA BARAT";"16810";"Indonesia";" 02184214540";"";"/url?q>>u003dhttps://aeonmall-sentulcity.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiclbHxh_mLAxWy4jgGHUMDNKgQ61gIFigS>>u0026usg>>u003dAOvVaw2ykECpEbRD5hB1_QGBdqee";"-6.5678648";"106.8568163";"https://maps.google.com/?cid=0x0:0x68cbed37dfe846f9";""
"mall";"Bioskop";"BOXIES 123 MALL BOGOR";"Jl. Raya Tajur No.123, RT.01/RW.06, Kota, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16141";"RT.01/RW.06, Kota, Kec. Bogor Tim., Kota Bogor";"JAWA BARAT";"16141";"Indonesia";" 02518578123";"";"/url?q>>u003dhttp://www.boxies123.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwj95N3xh_mLAxV01jgGHS3oNw4Q61gIFigS>>u0026usg>>u003dAOvVaw29lmZGiGjUnjAcKUrLGyt_";"-6.6343106";"106.8268161";"https://maps.google.com/?cid=0x0:0x6edc8f0e91b1eebe";""
"mall";"Pusat Perbelanjaan";"Gemilang";"L1 , PGB Merdeka , JL. Perintis Kemerdekaan, Menteng , Cilendek , 16111 Bogor , Jawa Barat, RT.05/RW.03, Kebon Kelapa, Bogor Tengah, Bogor City, West Java 16125";"Bogor ";"JAWA BARAT";"16111";"Indonesia";" 02518345744";"";"";"-6.592895";"106.787534";"https://maps.google.com/?cid=0x0:0x2e899b68b141c1cd";""
"mall";"Tempat Parkir";"BELLANOVA COUNTRY MALL";"Jl. MH. Thamrin No.8, Cipambuan, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810";"Cipambuan, Kec. Babakan Madang, Kabupaten Bogor";"JAWA BARAT";"16810";"Indonesia";" 02187923840";"";"";"-6.5667059";"106.8443585";"https://maps.google.com/?cid=0x0:0xa5c6556d95b621de";""
"mall";"Pusat Perbelanjaan";"Mall btw bogor";"CQ3P+MFH Mall btw, RT.01/RW.03, Panaragan, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16125";"RT.01/RW.03, Panaragan, Kecamatan Bogor Tengah, Kota Bogor";"JAWA BARAT";"16125";"Indonesia";"";"";"";"-6.5958031";"106.786245";"https://maps.google.com/?cid=0x0:0xb6ced73e54c34647";""
