Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Restoran";"Depok ITC";"Jl. Margonda No.56, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431";"Depok, Kec. Pancoran Mas, Kota Depok";"JAWA BARAT";"16431";"Indonesia";" 0217775333";"";"/url?q>>u003dhttps://www.itcshoppingfestival.com/itc-depok/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjnj8-5n9mLAxU5RmwGHX0dCdYQ61gIFigS>>u0026usg>>u003dAOvVaw2hCraSm2sqSbr1Z0VMTrVS";"-6.3924909";"106.8235288";"https://maps.google.com/?cid=0x0:0xa0d4daa995f50e1f";""
"mall";"Toko Organik";"Ruko Munir";"JR76+F6G, Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16421";"Beji, Kecamatan Beji, Kota Depok";"JAWA BARAT";"16421";"Indonesia";"";"";"";"-6.3863138";"106.8105643";"https://maps.google.com/?cid=0x0:0x64a0b147f9bf8af0";""
"mall";"Pusat Perbelanjaan";"D'Mall Depok";"Jl. Margonda Raya No.88, Kemiri Muka, Kecamatan Beji, Kota Depok, Jawa Barat 16423";"Kemiri Muka, Kecamatan Beji, Kota Depok";"JAWA BARAT";"16423";"Indonesia";"";"";"";"-6.387138";"106.827347";"https://maps.google.com/?cid=0x0:0x40e44007d9f58418";""
"mall";"Pusat Perbelanjaan";"41cell";"Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16421";"Kecamatan Beji, Kota Depok";"JAWA BARAT";"16421";"Indonesia";" 082228884141";"";"";"-6.3856757";"106.8093345";"https://maps.google.com/?cid=0x0:0x4a0ced42b4ec73b6";""
"mall";"Toko";"Syarief Bara";"Jl. Keramat Jaya 3 No.45, RT./Rw/RW.01/12, Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16421";"RT./Rw/RW.01/12, Beji, Kecamatan Beji, Kota Depok";"JAWA BARAT";"16421";"Indonesia";" 081280378686";"";"";"-6.3881183";"106.8117267";"https://maps.google.com/?cid=0x0:0x22c783b2ead394bc";""
"mall";"mall";"ARITE GROSIR";"JR88+Q64, Jl. Kabel, Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16421";"Jl. Kabel, Beji, Kecamatan Beji, Kota Depok";"JAWA BARAT";"16421";"Indonesia";" 085174118499";"";"";"-6.383101";"106.815587";"https://maps.google.com/?cid=0x0:0xdf4b8263a0aa3a59";""
"mall";"Pusat Perbelanjaan";"Toko Gaol";"Jl. Nusantara Raya No.95, Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16421";"Beji, Kecamatan Beji, Kota Depok";"JAWA BARAT";"16421";"Indonesia";" 0895327144327";"";"";"-6.383016";"106.814415";"https://maps.google.com/?cid=0x0:0x8e03542cb59f6619";""
"mall";"Pusat Perbelanjaan";"BettaFish12Depok";"Jl. Kemiri Jaya Jl. Rw. I No.51 4, Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16421";"Beji, Kecamatan Beji, Kota Depok";"JAWA BARAT";"16421";"Indonesia";" 081283631660";"";"";"-6.386811";"106.805712";"https://maps.google.com/?cid=0x0:0x553fd1bd068cd6fa";""
"mall";"Minimarket";"Depok Town Square (Detos)";"Jl. Margonda Raya No.1, Pondok Cina, Kecamatan Beji, Kota Depok, Jawa Barat 16424";"Pondok Cina, Kecamatan Beji, Kota Depok";"JAWA BARAT";"16424";"Indonesia";"";"";"";"-6.3726268";"106.8316047";"https://maps.google.com/?cid=0x0:0x9790bb032d5e6fdf";""
"mall";"Toko Makanan";"Diah shopping";"JR74+5RR, Jl. Kemiri Jaya, Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16421";"Jl. Kemiri Jaya, Beji, Kecamatan Beji, Kota Depok";"JAWA BARAT";"16421";"Indonesia";" 081291642564";"";"";"-6.3870089";"106.8070148";"https://maps.google.com/?cid=0x0:0xa2d19b1b41bb6fb";""
"mall";"Konsultan Kesehatan";"Milagros Kembang Beji";"JR78+8M6, Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16421";"Beji, Kecamatan Beji, Kota Depok";"JAWA BARAT";"16421";"Indonesia";" 082111888329";"";"";"-6.3867233";"106.8166466";"https://maps.google.com/?cid=0x0:0x861740d044847c87";""
"mall";"Toko Motor Tempel";"Kios'ku Ferdi Aksesoris Motor";"Jl. Nusantara Raya No.52, Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16421";"Beji, Kecamatan Beji, Kota Depok";"JAWA BARAT";"16421";"Indonesia";"";"";"";"-6.388472";"106.814077";"https://maps.google.com/?cid=0x0:0xd1a06b4827b3912b";""
"mall";"Toko Swalayan";"Warung Icha SEMBAKO";"JR98+FXR, Jl. H. Ishak, Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16421";"Jl. H. Ishak, Beji, Kecamatan Beji, Kota Depok";"JAWA BARAT";"16421";"Indonesia";"";"";"";"-6.3812566";"106.8174017";"https://maps.google.com/?cid=0x0:0xd6236d6ec907c73";""
"mall";"Pusat Perbelanjaan";"MargoCity";"Jl. Margonda Raya No.358, Kemiri Muka, Kecamatan Beji, Kota Depok, Jawa Barat 16423";"Kemiri Muka, Kecamatan Beji, Kota Depok";"JAWA BARAT";"16423";"Indonesia";" 02178870888";"";"/url?q>>u003dhttp://margocity.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi1gOi9n9mLAxUyUGwGHa7dOyoQ61gIFigS>>u0026usg>>u003dAOvVaw0FguOIhKpGEn7TSQGAeRhx";"-6.372967";"106.8344235";"https://maps.google.com/?cid=0x0:0xd3365350a2ebe2f";""
"mall";"Toko";"Air Baik";"Jl. Ridwan Rais No.1, Beji Tim., Kecamatan Beji, Kota Depok, Jawa Barat 16422";"Beji Tim., Kecamatan Beji, Kota Depok";"JAWA BARAT";"16422";"Indonesia";" 081386993456";"";"";"-6.3857691";"106.8196623";"https://maps.google.com/?cid=0x0:0x3603bf20b9186772";""
