Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"perumahan";"Pengembang Realestat";"Perumahan Bungursari LakeView D7/7";"Bungursari LakeView Blok.D7 No.7";"Kabupaten Purwakarta, Jawa Barat";"JAWA BARAT";"";"Indonesia";"";"";"";"-6.4812603";"107.4756536";"https://maps.google.com/?cid=0x0:0x47a7dd24f1eb8a46";""
"perumahan";"Komplek perumahan";"PERUM GRIYA CIWANGI, Purwakarta";"Ciwangi, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.5044352";"107.4653961";"https://maps.google.com/?cid=0x0:0x65d6521e7e2a489";""
"perumahan";"Perumahan";"Perum Bukit Kencana Residen Blok N18 No.1";"Cibening, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Bungursari, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";" 085280650884";"";"/url?q>>u003dhttps://vt.tiktok.com/ZSRweVR6F/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiK-qnLiu-LAxXeyzgGHWCxB8IQ61gIFigS>>u0026usg>>u003dAOvVaw2qnV5lWSvn0Js5uj40cTIF";"-6.4920191";"107.488494";"https://maps.google.com/?cid=0x0:0x671521ca50c4fd81";""
"perumahan";"Komplek perumahan";"Ciwangi Permai";"FFV7+QGJ, Jl. Raya Ciwangi, Cibening, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Jl. Raya Ciwangi, Cibening, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.5055365";"107.4637576";"https://maps.google.com/?cid=0x0:0x9ce687d06998dcaa";""
"perumahan";"Pembangunan Perumahan";"Cibening Indah Residence";"GF8H+3PW, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Bungursari, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.4847512";"107.4793423";"https://maps.google.com/?cid=0x0:0x2357b5872f8e417e";""
"perumahan";"Komplek perumahan";"Bungursari LakeView";"Jl. Awi Luar, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Bungursari, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";" 08157188882";"";"";"-6.4795462";"107.4758461";"https://maps.google.com/?cid=0x0:0x87495d15c2f46406";""
"perumahan";"Perumahan";"Bukit Kencana Residence";"Blok Blok N 20 no 03, Cibening, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Cibening, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";" 085225082600";"";"";"-6.4882444";"107.4866178";"https://maps.google.com/?cid=0x0:0x4dbad267afd15fde";""
"perumahan";"Konsultan Realestat";"CLUSTER GRIYA CIBUNGUR";"GF9H+X8G, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Bungursari, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";" 089670319510";"";"";"-6.480364";"107.477617";"https://maps.google.com/?cid=0x0:0xbd308ff3538f0220";""
"perumahan";"Kompleks Townhouse";"Tanah Dijual Bungursari";"GF9H+764, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Bungursari, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.482352";"107.478323";"https://maps.google.com/?cid=0x0:0x9dbfffc45c17c900";""
"perumahan";"Komplek perumahan";"Rumaikie";"Bungursari Lake View No.4 Blok D12, Bungursari, Purwakarta Regency, West Java 41181";"Bungursari, Purwakarta Regency";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.4824886";"107.4750598";"https://maps.google.com/?cid=0x0:0x89c27c91232a7388";""
"perumahan";"perumahan";"Kos DD";"GF7H+VRV, Gg. Jelom, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Gg. Jelom, Bungursari, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.485268";"107.4795473";"https://maps.google.com/?cid=0x0:0x643abdf08deb081b";""
"perumahan";"Komplek perumahan";"Rumah Nino Blok G3 no 1";"GF6M+WQP, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Bungursari, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.487673";"107.4844501";"https://maps.google.com/?cid=0x0:0x105e567aeb9bf261";""
"perumahan";"perumahan";"Rumah";"Blok N 4 No.1, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Bungursari, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.489908";"107.4874821";"https://maps.google.com/?cid=0x0:0x9669daa85f7c9b57";""
"perumahan";"Komplek perumahan";"Perum Griya Karsa Cibening";"GF77+PFC, Cibening, Bunder, Kecmatan Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Cibening, Bunder, Kecmatan Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.4856803";"107.4636421";"https://maps.google.com/?cid=0x0:0x8c94bef1574e5a61";""
"perumahan";"Komplek perumahan";"Rumah gemma";"GF6Q+62C, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Bungursari, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.4894493";"107.4875221";"https://maps.google.com/?cid=0x0:0xec60626cb0306986";""
"perumahan";"Komplek perumahan";"Rumah mas yunus";"Jl. Raya Bungursari kp. Waru mekar No.9, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Bungursari, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.4831147";"107.4768025";"https://maps.google.com/?cid=0x0:0x172394920b90e925";""
"perumahan";"Rumah Kayu";"Rumah Djoni Yusuf";"Jl. Awi Mekar No.13, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Bungursari, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.4751463";"107.474186";"https://maps.google.com/?cid=0x0:0x36cc662856598377";""
"perumahan";"Komplek perumahan";"Rumah Iqbal";"Perum BIP Blok B6 No 8, RT.029/RW.009, Cibening, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"RT.029/RW.009, Cibening, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.4904425";"107.4836985";"https://maps.google.com/?cid=0x0:0xbfbaba45fdfe4592";""
"perumahan";"perumahan";"Bungursari LakeView D8/9";"GF9G+96F, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Bungursari, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.4816001";"107.475624";"https://maps.google.com/?cid=0x0:0x1bca2263897c5a0a";""
"perumahan";"perumahan";"Kec. Bungursari";"Kabupaten Purwakarta, Jawa Barat";"Kabupaten Purwakarta, Jawa Barat";"JAWA BARAT";"";"Indonesia";"";"";"";"-6.4856656";"107.4787319";"https://maps.google.com/?cid=0x0:0x4ad39d2b910121f2";""
"perumahan";"perumahan";"Abizar Sayid Amal";"GF8J+QFP, Gg. Labansari, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181";"Gg. Labansari, Bungursari, Kec. Bungursari, Kabupaten Purwakarta";"JAWA BARAT";"41181";"Indonesia";"";"";"";"-6.4830483";"107.4812141";"https://maps.google.com/?cid=0x0:0xca2fd288507864ba";""
