Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"perumahan";"Rumah Kaca";"Babelan City Regency (BCR)";"Kedung Pengawas, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"/url?q>>u003dhttps://instagram.com/babelancityregency%3Figshid%3DYmMyMTA2M2Y%3D>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiO2p7olcmLAxVx4zgGHfcdNGEQ61gIEigO>>u0026usg>>u003dAOvVaw2dK5ohnUvGklcilcvudUwN";"-6.1366673";"107.0494889";"https://maps.google.com/?cid=0x0:0xb67bb7b09cd6e63f";""
"perumahan";"Perumahan";"Cahaya Nusantara Babelan";"Kedung Pengawas, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";" 081312148753";"";"";"-6.1307478";"107.0544292";"https://maps.google.com/?cid=0x0:0x25c6439369104454";""
"perumahan";"Perumahan";"Perumahan grand duta city bekasi";"grand duta city, jln boulevard, Babelan Kota, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"jln boulevard, Babelan Kota, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";" 08118187177";"";"/url?q>>u003dhttps://granddutacity.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjv6dTolcmLAxXPwjgGHTw-JT0Q61gIFigS>>u0026usg>>u003dAOvVaw29lNe8lyqW7DGKXL313ZAm";"-6.1647786";"107.0211565";"https://maps.google.com/?cid=0x0:0x2082922c1ab77398";""
"perumahan";"Komplek perumahan";"Perumahan Vinewood babelan";"Jl. Raya Ps. Babelan, Kedung Pengawas, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Kedung Pengawas, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"";"-6.1362332";"107.0532841";"https://maps.google.com/?cid=0x0:0xcf53c23932af693d";""
"perumahan";"Pembangunan Perumahan";"Orchard Village Bekasi";"Jl. Pertamina DB 6, Kedungjaya, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Kedungjaya, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";" 081233400021";"";"/url?q>>u003dhttps://theorchardvillage.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiUxajplcmLAxUpzDgGHZn5A_oQ61gIFigS>>u0026usg>>u003dAOvVaw1k2W7gTaY2Kay8n70x_PJA";"-6.1483372";"107.0300104";"https://maps.google.com/?cid=0x0:0xa6e358b34046f6a";""
"perumahan";"Minimarket";"BABELAN GARDEN CITY";"Kp. Belendung No.007, RT.021/RW.021/007, Kedung Pengawas, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"RT.021/RW.021/007, Kedung Pengawas, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";" 082210994677";"";"";"-6.1273128";"107.0500699";"https://maps.google.com/?cid=0x0:0x31591ba1036ec047";""
"perumahan";"Komplek perumahan";"Perumahan Kebalen Village";"Q2WP+953, Jalan Raya, Kebalen, Babelan, Bekasi Regency, West Java 17610";"Jalan Raya, Kebalen, Babelan, Bekasi Regency";"JAWA BARAT";"17610";"Indonesia";"";"";"";"-6.2041107";"107.0354072";"https://maps.google.com/?cid=0x0:0x4be9268c1b9820a7";""
"perumahan";"Perumahan";"Green Babelan Asri";"Jl. Pertamina, Bunibakti, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Bunibakti, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";" 0218844434";"";"";"-6.1279";"107.0320381";"https://maps.google.com/?cid=0x0:0xbb328e0a6a576ad9";""
"perumahan";"Perumahan";"Inspirasi Creative";"Jl.pulo timaha cluster victoria permai Blom A2/43, Babelan Kota, Kabupaten Bekasi, Jawa Barat 17610";"Babelan Kota, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"/url?q>>u003dhttps://instagram.com/metrolandbekasi%3Figshid%3DYmMyMTA2M2Y%3D>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiT_pvrlcmLAxVV4jgGHViLHRkQ61gIEigO>>u0026usg>>u003dAOvVaw2c3y-lS_HhlTYTwcWmmKPL";"-6.1588069";"107.0231073";"https://maps.google.com/?cid=0x0:0xaf0803835453c4ff";""
"perumahan";"Komplek perumahan";"Victoria Village";"Jl. Pertamina, Bunibakti, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17217";"Bunibakti, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17217";"Indonesia";"";"";"";"-6.1207961";"107.0372853";"https://maps.google.com/?cid=0x0:0x896381b653af2d3e";""
"perumahan";"Komplek perumahan";"Grand Mahkota 2";"Kantor Pemasaran Grand Mahkota 2, Grand Mahkota 2, Jl. Pertamina, Kedungjaya, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Grand Mahkota 2, Jl. Pertamina, Kedungjaya, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";" 082187775757";"";"";"-6.133128";"107.0275364";"https://maps.google.com/?cid=0x0:0xc6f1597d1eb116e4";""
"perumahan";"Komplek perumahan";"Perumahaan Griya Syariah Bekasi Utara";"R23H+PWJ, RT.04/RW.07, Kebalen, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"RT.04/RW.07, Kebalen, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";" 08568715571";"";"";"-6.1958347";"107.0289827";"https://maps.google.com/?cid=0x0:0x7d7a5b5667a87858";""
"perumahan";"Pembangunan Perumahan";"MIRABELLA Nusantara";"V2HP+FMQ, Bunibakti, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Bunibakti, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"";"-6.1211383";"107.0364217";"https://maps.google.com/?cid=0x0:0xd5e8dc47a9dde2c3";""
"perumahan";"Komplek perumahan";"Perumahan Griya Sakinah 2";"R2JJ+GG9, Babelan Kota, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Babelan Kota, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"";"-6.168722";"107.0313742";"https://maps.google.com/?cid=0x0:0x4ac790172c74f26b";""
"perumahan";"Agen Properti";"Perumahan Pesona Kedaung : JPI Property";"R2RQ+CCM, Gg. H. Sair, Kedungjaya, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Gg. H. Sair, Kedungjaya, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";" 02122857164";"";"/url?q>>u003dhttps://rumahniaga.com/products/rumah-murah-dijual-dekat-pasar-babelan-bekasi-bagian-utara-prop855%3Fpr%3Dja123>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjbp7ntlcmLAxXPjGMGHeF2N20Q61gIFSgR>>u0026usg>>u003dAOvVaw0mYNgkEuJY5Y488IDeqBch";"-6.1589032";"107.0385491";"https://maps.google.com/?cid=0x0:0xb7ce55f48890d1a9";""
"perumahan";"Pembangunan Perumahan";"BUMI PANDAWA SEJAHTERA 2";"V28C+967, Kedungjaya, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Kedungjaya, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"";"-6.1340881";"107.0205551";"https://maps.google.com/?cid=0x0:0xc23013334dedafe7";""
"perumahan";"Komplek perumahan";"Perumahan Grand Anandara Residence";"V29H+VRQ, Jl. Pertamina, Bunibakti, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Jl. Pertamina, Bunibakti, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";" 081389655959";"";"";"-6.1303336";"107.0285968";"https://maps.google.com/?cid=0x0:0xa2b1a0c5c1b28fc6";""
"perumahan";"Komplek perumahan";"Kemala Dandelion";"Kp. Wates, Kedungjaya, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Kedungjaya, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"";"-6.1474761";"107.0247314";"https://maps.google.com/?cid=0x0:0x8b7240849a91d585";""
"perumahan";"Otoritas Perumahan";"Perum Griya Multiguna Indah (Belakang Balai Desa Buni Bhakti)babelan";"V2PQ+WGJ, RT.030/RW.017, Bunibakti, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"RT.030/RW.017, Bunibakti, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"";"-6.1126721";"107.0387599";"https://maps.google.com/?cid=0x0:0xa528608b158c97ae";""
"perumahan";"perumahan";"Jawa Barat 17610";"Kec. Babelan, Kabupaten Bekasi, Jawa Barat";"Kabupaten Bekasi, Jawa Barat";"JAWA BARAT";"";"Indonesia";"";"";"";"-6.123655";"107.0362272";"https://maps.google.com/?cid=0x0:0x1c00c5eb51c82d40";""
"perumahan";"Komplek perumahan";"Perumahan Wahana - Babelan Kota";"Insam fit, Blok E5, Babelan Kota, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Blok E5, Babelan Kota, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"";"-6.1558894";"107.0265321";"https://maps.google.com/?cid=0x0:0xf797cb6e10ba793d";""
"perumahan";"Developer Rumah Hunian Khusus";"Cluster Babelan Residence";"Babelan Residence, Jl. Babelan Residence Cluster No.7, Babelan Kota, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Jl. Babelan Residence Cluster No.7, Babelan Kota, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"";"-6.1669204";"107.0356888";"https://maps.google.com/?cid=0x0:0x73d6b842f165b861";""
"perumahan";"Otoritas Perumahan";"Taman Kebalen";"MAFAZABIRDFARM, Jl. Taman Kebalen Indah, Kebalen, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Jl. Taman Kebalen Indah, Kebalen, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";" 02188687899";"";"";"-6.2004987";"107.0354339";"https://maps.google.com/?cid=0x0:0x3c4a48b2b01a1264";""
"perumahan";"Pembangunan Perumahan";"GREEN BABELAN ASRI";"Green Babelan Asri Blk. K1 No.23, Bunibakti, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Bunibakti, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";" 081319791607";"";"";"-6.1767153";"107.0169718";"https://maps.google.com/?cid=0x0:0x83ae085702d323b9";""
"perumahan";"Komplek perumahan";"Griya Fortuna Babelan";"R2HJ+HJ6, Jl. Ujung Harapan Bahagia, Bahagia, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Jl. Ujung Harapan Bahagia, Bahagia, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"";"-6.1710823";"107.0315133";"https://maps.google.com/?cid=0x0:0x9c1825217d28873b";""
"perumahan";"Otoritas Perumahan";"Perum Babelan Indah";"Jl. Babelan Indah Blk. C, Kebalen, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Kebalen, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"";"-6.1937347";"107.0388702";"https://maps.google.com/?cid=0x0:0x1c80b58515d1f118";""
"perumahan";"Perumahan";"Grand Mahkota Cluster Blok B2/12";"Jl. Grand Mahkota Blk. B2 No.12, Babelan Kota, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Babelan Kota, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"";"-6.1576042";"107.0276578";"https://maps.google.com/?cid=0x0:0xcb90f8cd99833465";""
"perumahan";"Pembangunan Perumahan";"Al-Fatih Residence 2";"Gg. H. Oplin 2 No.10 blok C, Kebalen, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Kebalen, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";" 081214915885";"";"";"-6.1984585";"107.0401918";"https://maps.google.com/?cid=0x0:0xf984f28ee1854192";""
"perumahan";"Otoritas Perumahan";"Perumahan Puri Gardenia";"Jl. Cemara, Sekretariat RW.19, Babelan Kota, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Sekretariat RW.19, Babelan Kota, Kec. Babelan, Kabupaten Bekasi";"JAWA BARAT";"17610";"Indonesia";"";"";"";"-6.1642433";"107.033658";"https://maps.google.com/?cid=0x0:0xe3812f3d66e78bf3";""
"perumahan";"Komplek perumahan";"cluster";"W5G2+FV5, Jl. Raya Cabangbungin, Lenggahjaya, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Jl. Raya Cabangbungin, Lenggahjaya, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";"";"";"";"-6.0738658";"107.1522477";"https://maps.google.com/?cid=0x0:0x84d5b7197cd73e8b";""
"perumahan";"Komplek perumahan";"Rumah ibu gilang";"W46W+HFF, Sindangsari, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Sindangsari, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";"";"";"";"-6.0885663";"107.146165";"https://maps.google.com/?cid=0x0:0xe67e566c6cdd7ffc";""
"perumahan";"Masjid";"Empang ponpes At-Taqwa 31. Cabang bungin";"W4QC+83P, Setiajaya, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Setiajaya, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";"";"";"";"-6.0616704";"107.1202119";"https://maps.google.com/?cid=0x0:0xdf2d2f8d3d9ae933";""
"perumahan";"Pembangunan Perumahan";"Cila";"W46V+6RV, Sindangsari, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Sindangsari, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";"";"";"";"-6.0897478";"107.14502";"https://maps.google.com/?cid=0x0:0x180cf0444eed2c5a";""
"perumahan";"Komplek perumahan";"Sri Karyo";"W562+62M, Jl. Sindangsari, Sindangsari, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Jl. Sindangsari, Sindangsari, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";" 085715414511";"";"";"-6.0894071";"107.1500529";"https://maps.google.com/?cid=0x0:0x7f3fc80fbcda94c3";""
"perumahan";"Pembangunan Perumahan";"RUMAH";"W4FW+5H5, Lenggahjaya, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Lenggahjaya, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";"";"";"";"-6.077116";"107.1464718";"https://maps.google.com/?cid=0x0:0x1b5396554784c474";""
"perumahan";"Establishment";"Taman modern";"Jalan Raya Cabang Bungin kp. Garon tengah RT/RW 007/003 Kodepos : 17720, Setialaksana, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Setialaksana, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";"";"";"";"-6.0856101";"107.1766208";"https://maps.google.com/?cid=0x0:0x51d6ea68d002a4c5";""
"perumahan";"Kompleks Kondominium";"Rumah Amil Muhamad (Keluarga Uyut Santih)";"W46M+X42, Sindangjaya, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Sindangjaya, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";"";"";"";"-6.0879487";"107.1326374";"https://maps.google.com/?cid=0x0:0x4b0e818578a2c2f6";""
"perumahan";"Komplek perumahan";"Pulo rengas";"W47J+RX6, Jl. Raya Pulorengas, RT.008/RW.003, Setiajaya, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Jl. Raya Pulorengas, RT.008/RW.003, Setiajaya, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";"";"";"";"-6.0854564";"107.1324034";"https://maps.google.com/?cid=0x0:0xf1f5e40fa1b3e549";""
"perumahan";"Kompleks Apartemen";"Rumah ferdy";"W544+MRG, Jl. Sindangsari, Sindangsari, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Jl. Sindangsari, Sindangsari, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";"";"";"";"-6.0932563";"107.1570054";"https://maps.google.com/?cid=0x0:0x8124a5ca75acf890";""
"perumahan";"Komplek perumahan";"Rumah ummi biya dan baba bedos";"samping masjid alkosimiyah, Kp Jl. Tlk. Garut, RT.04/RW.02, Setiajaya, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Kp Jl. Tlk. Garut, RT.04/RW.02, Setiajaya, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";"";"";"";"-6.0662937";"107.133522";"https://maps.google.com/?cid=0x0:0x6ab0dde2b49106ad";""
"perumahan";"perumahan";"Rumah kang ilham";"Kp wangkal Jl. Sindangsari, Sindangjaya, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Sindangjaya, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";"";"";"";"-6.0858115";"107.1402239";"https://maps.google.com/?cid=0x0:0x975125b65f0e6f31";""
"perumahan";"Perhimpunan Pengembang Perumahan";"Amelia Flowers";"RT.06/RW.03, Lenggahjaya, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Lenggahjaya, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";"";"";"";"-6.074252";"107.1455126";"https://maps.google.com/?cid=0x0:0x8d333c6b226b6fb9";""
"perumahan";"Komplek perumahan";"Khalisa";"Jl. Raya Pulorengas No.16, Sindangjaya, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"Sindangjaya, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";"";"";"";"-6.0843153";"107.1333532";"https://maps.google.com/?cid=0x0:0xb6bc94ce4c6489bf";""
"perumahan";"Komplek perumahan";"Wilda  Dani";"Jl. Pulorengas rt007/003, dusun II, Sindangjaya, Kec. Cabangbungin, Kabupaten Bekasi, Jawa Barat 17720";"dusun II, Sindangjaya, Kec. Cabangbungin, Kabupaten Bekasi";"JAWA BARAT";"17720";"Indonesia";" 085887318350";"";"";"-6.0842599";"107.1333357";"https://maps.google.com/?cid=0x0:0x12e10bec8b68a0bf";""
