Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"N/A";"";"";"JAWA BARAT";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x9f5834a12183efb6%7C/g/11j4xv26g5%7Cid-ID";""
"hotel";"hotel";"Bell's Place Hotel and Rooftop Resto Sentul";"Jl. Smart, Cijayanti, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810";"Cijayanti, Kec. Babakan Madang, Kabupaten Bogor";"JAWA BARAT";"16810";"Indonesia";" 085282000332";"";"/url?q>>u003dhttp://www.bellsplacehotel.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi1_ay868CLAxVHlK8BHb66DOAQ61gIFigS>>u0026usg>>u003dAOvVaw36r7PPWZTs8WcAxORQV97R";"-6.5937237";"106.8596655";"https://maps.google.com/?cid=0x0:0x9f5834a12183efb6";""
"hotel";"hotel";"Asyana Sentul Bogor";"Jl. Parung Aleng SENTUL No.16, Cikeas, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat 16710";"Cikeas, Kec. Sukaraja, Kabupaten Bogor";"JAWA BARAT";"16710";"Indonesia";" 02187966120";"";"/url?q>>u003dhttp://asyana-group.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjsuOK868CLAxUAZPUHHaIuAj4Q61gIFigS>>u0026usg>>u003dAOvVaw2wQ-fB9r9TCZpEFCGAAD7y";"-6.585949";"106.84902";"https://maps.google.com/?cid=0x0:0x996507db78ca9b53";""
"hotel";"hotel";"Hotel NEO+ Green Savana Sentul City";"Komplek Taman Budaya Sentul City, Jl. Siliwangi No.1, Sumur Batu, Babakan Madang, Bogor Regency, West Java 16710";"Jl. Siliwangi No.1, Sumur Batu, Babakan Madang, Bogor Regency";"JAWA BARAT";"16710";"Indonesia";" 02129210831";"";"/url?q>>u003dhttp://sentul.neohotels.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjJ4s2968CLAxUQZ_UHHYLANIAQ61gIFigS>>u0026usg>>u003dAOvVaw07qPxuVxt7LqQjXFBESfHt";"-6.5852366";"106.8833628";"https://maps.google.com/?cid=0x0:0x7539cca53c4cf950";""
"hotel";"hotel";"RUKUN Resort Sentul";"Babakan Madang, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810";"Kec. Babakan Madang, Kabupaten Bogor";"JAWA BARAT";"16810";"Indonesia";" 02187953239";"";"/url?q>>u003dhttps://rukunseniorliving.com/rukun-resort/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi4pdW968CLAxU5bfUHHUw4ML4Q61gIFigS>>u0026usg>>u003dAOvVaw0F9RsrO85lZF_N-98vZNsD";"-6.568225";"106.8653909";"https://maps.google.com/?cid=0x0:0x460e4c9a453aa4ac";""
"hotel";"hotel";"N/A";"";"";"JAWA BARAT";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x7539cca53c4cf950%7C/g/11b6c_rvy7%7Cid-ID";""
"hotel";"hotel";"HARRIS Hotel Sentul City - Bogor";"Sentul SICC Complex, Jl. Jend. Sudirman No.1, Citaringgul, Babakan Madang, Bogor Regency, West Java 16810";"Jl. Jend. Sudirman No.1, Citaringgul, Babakan Madang, Bogor Regency";"JAWA BARAT";"16810";"Indonesia";" 02128689999";"";"";"-6.5596379";"106.8504382";"https://maps.google.com/?cid=0x0:0xc6a460344acb0e19";""
"hotel";"hotel";"N/A";"";"";"JAWA BARAT";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xc6a460344acb0e19%7C/g/11bbyh78xt%7Cid-ID";""
"hotel";"hotel";"Penginapan apartemen sentul";"Jalan Babakan madang no.40 indonesia 16810 citaringgul, bogor ,sentul city, Kabupaten Bogor, Jawa Barat 16810";"citaringgul";"JAWA BARAT";"16810";"Indonesia";" 081219496003";"";"";"-6.5608666";"106.8548631";"https://maps.google.com/?cid=0x0:0x4774234727be71a2";""
"hotel";"hotel";"N/A";"";"";"JAWA BARAT";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xc274d9510d63b847%7C/g/1q5gl9m3r%7Cid-ID";""
"hotel";"hotel";"Bumi Gumati";"Jalan Babakan Tumas No.16 Desa Cikeas, Cadas Ngampar, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat 16167";"Cadas Ngampar, Kec. Sukaraja, Kabupaten Bogor";"JAWA BARAT";"16167";"Indonesia";" 081380854431";"";"/url?q>>u003dhttp://www.bumigumati.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiMmpjA68CLAxVrgK8BHX0NILcQ61gIFigS>>u0026usg>>u003dAOvVaw1_RmRtFj86GDfGTCcxXSmG";"-6.583938";"106.8431213";"https://maps.google.com/?cid=0x0:0xc274d9510d63b847";""
"hotel";"hotel";"Green Sentul Indah";"Jl. Raya Golf Palm Hills, Tangkil, Kec. Citeureup, Kabupaten Bogor, Jawa Barat 16810";"Tangkil, Kec. Citeureup, Kabupaten Bogor";"JAWA BARAT";"16810";"Indonesia";" 085166901436";"";"/url?q>>u003dhttp://hotelsentul.blogspot.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiEpfzA68CLAxUhcfUHHc5gPXsQ61gIFigS>>u0026usg>>u003dAOvVaw06Cy2rGMqQtRMzC79CLPNZ";"-6.5366334";"106.8633528";"https://maps.google.com/?cid=0x0:0x35d221d5be30c2c4";""
