Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"perumahan";"Perhimpunan Pengembang Perumahan";"Rumah A eci  N.Bunga";"HVHX+9CR, Mekarsari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Mekarsari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.4216507";"106.8987754";"https://maps.google.com/?cid=0x0:0x404faa21ca90b706";""
"perumahan";"Pembangunan Perumahan";"Panyusuhan Agrabinta";"HXQ4+M63, Wanasari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Wanasari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.410863";"106.9555454";"https://maps.google.com/?cid=0x0:0x7be2021ab1bfa6b3";""
"perumahan";"Komplek perumahan";"Kampung buni wangi";"HXW3+PC6, Wanasari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Wanasari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.4032243";"106.9535245";"https://maps.google.com/?cid=0x0:0x88621ab14fd72cf0";""
"perumahan";"Komplek perumahan";"Bumi a Fajar Robinansyah";"HWCJ+VHQ, Tanjungsari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Tanjungsari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.4273269";"106.9313606";"https://maps.google.com/?cid=0x0:0x174421f5b723a2f5";""
"perumahan";"perumahan";"mawar";"HXPG+MV7, Wanasari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Wanasari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.4133318";"106.9771827";"https://maps.google.com/?cid=0x0:0xfaac7e976100dd6b";""
"perumahan";"perumahan";"Tanah Rusmini";"HVJX+477, Mekarsari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Mekarsari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.4197372";"106.898215";"https://maps.google.com/?cid=0x0:0x28e10413261ccdab";""
"perumahan";"Pembangunan Perumahan";"Inyong";"MW4M+262, Bunisari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Bunisari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.3461326";"106.9326191";"https://maps.google.com/?cid=0x0:0x56c51aa4739254d0";""
"perumahan";"Komplek perumahan";"Ucut";"JWWR+QXJ, Awilega, Bunisari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Awilega, Bunisari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.353046";"106.942393";"https://maps.google.com/?cid=0x0:0x4d824f77e397ffe4";""
"perumahan";"Rumah Kayu";"Rumah rionaldi";"HXVG+4R8, Wanasari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Wanasari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.407209";"106.9770695";"https://maps.google.com/?cid=0x0:0xba076354bd29998f";""
"perumahan";"Komplek perumahan";"Azahra";"JV5C+P23, Jalan Raya, Mekarsari, Agrabinta, Cianjur Regency, West Java 43273";"Jalan Raya, Mekarsari, Agrabinta, Cianjur Regency";"JAWA BARAT";"43273";"Indonesia";" 085863998018";"";"";"-7.3907466";"106.8700507";"https://maps.google.com/?cid=0x0:0xb473d53a895c21a0";""
"perumahan";"Dapur Umum";"Rumah singgah";"HX5H+XGX, Tanjungsari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Tanjungsari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.4400248";"106.9788441";"https://maps.google.com/?cid=0x0:0xd3aefba4c065f120";""
"perumahan";"Komplek perumahan";"Mang Azat";"JXH2+W5F, Neglasari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Neglasari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.3698539";"106.9501887";"https://maps.google.com/?cid=0x0:0x808dc91d48fe2c65";""
"perumahan";"Komplek perumahan";"Bumi bapak ojak";"HWCJ+VHQ, Unnamed Road, Tanjungsari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Unnamed Road, Tanjungsari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.427785";"106.9314877";"https://maps.google.com/?cid=0x0:0xcab62019989c3ece";""
"perumahan";"Pembangunan Perumahan";"Wanasari";"HXWF+3G, Wanasari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat";"Kabupaten Cianjur, Jawa Barat";"JAWA BARAT";"";"Indonesia";"";"";"";"-7.404847";"106.9737746";"https://maps.google.com/?cid=0x0:0xae7bae43345e2025";""
"perumahan";"Komplek perumahan";"Rumah sanudin";"MW5R+6PR, Bunisari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Bunisari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.3418879";"106.9417632";"https://maps.google.com/?cid=0x0:0x21679adadacbbc6a";""
"perumahan";"Pembangunan Perumahan";"SIDIKAKH";"HXQ4+M63, Wanasari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Wanasari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.4110854";"106.9554301";"https://maps.google.com/?cid=0x0:0x29893a84c588dadc";""
"perumahan";"Komplek perumahan";"AGRABINTA(cianjur selatan";"HXR7+CVP, Wanasari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat";"Kabupaten Cianjur, Jawa Barat";"JAWA BARAT";"";"Indonesia";"";"";"";"-7.4089193";"106.9647139";"https://maps.google.com/?cid=0x0:0xc9e1951cf2d7ef7";""
"perumahan";"Gedung Apartemen";"rumah abdul fattah";"HWCJ+WM3, Tanjungsari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Tanjungsari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.4277321";"106.9316633";"https://maps.google.com/?cid=0x0:0xfbc3584ce362ddd1";""
"perumahan";"Komplek perumahan";"Siti";"HXRP+88W, Wanasari, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Wanasari, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.4091394";"106.9858198";"https://maps.google.com/?cid=0x0:0x42ea2deab0f693ef";""
"perumahan";"perumahan";"Kec. Agrabinta";"Kabupaten Cianjur, Jawa Barat";"Kabupaten Cianjur, Jawa Barat";"JAWA BARAT";"";"Indonesia";"";"";"";"-7.4090948";"106.9858";"https://maps.google.com/?cid=0x0:0x8d9150d49a2e8a54";""
"perumahan";"perumahan";"Rumah Abdul safutra";"JVFP+5FP, Sukatani, Sukamanah, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Sukatani, Sukamanah, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.3768417";"106.886355";"https://maps.google.com/?cid=0x0:0x972dcdeae3f19503";""
"perumahan";"perumahan";"Rumah ucan cianjur selatan";"JW7J+447, Sukamanah, Kec. Agrabinta, Kabupaten Cianjur, Jawa Barat 43273";"Sukamanah, Kec. Agrabinta, Kabupaten Cianjur";"JAWA BARAT";"43273";"Indonesia";"";"";"";"-7.3872222";"106.9303038";"https://maps.google.com/?cid=0x0:0xed9d748ffdf5d9a9";""
