Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"toko bangunan";"Toko Bahan Bangunan";"TB BANGKIT JAYA 02";"HW43+H59, Banjarwangi, Kec. Banjarwangi, Kabupaten Garut, Jawa Barat 44172";"Banjarwangi, Kec. Banjarwangi, Kabupaten Garut";"JAWA BARAT";"44172";"Indonesia";"";"";"";"-7.4435803";"107.9029898";"https://maps.google.com/?cid=0x0:0x26f659f82d11c2c6";""
"toko bangunan";"Toko Bahan Bangunan";"H Agus sumber Rahayu";"HVRG+C6F, Jl. Perkebunan Karet Wangunwati, Wangunjaya, Kec. Banjarwangi, Kabupaten Garut, Jawa Barat 44172";"Jl. Perkebunan Karet Wangunwati, Wangunjaya, Kec. Banjarwangi, Kabupaten Garut";"JAWA BARAT";"44172";"Indonesia";" 082354458279";"";"";"-7.408933";"107.8755458";"https://maps.google.com/?cid=0x0:0xe10260176cd011c0";""
"toko bangunan";"Toko Bahan Bangunan";"TB. Giat Utama";"Bojong, Kec. Banjarwangi, Kabupaten Garut, Jawa Barat 44172";"Kec. Banjarwangi, Kabupaten Garut";"JAWA BARAT";"44172";"Indonesia";" 081380162408";"";"";"-7.4467705";"107.8945109";"https://maps.google.com/?cid=0x0:0xb00cc6cad1cb4723";""
"toko bangunan";"Toko Bahan Bangunan";"PD. Karya Pratama Putra";"Padahurip, Kec. Banjarwangi, Kabupaten Garut, Jawa Barat 44172";"Kec. Banjarwangi, Kabupaten Garut";"JAWA BARAT";"44172";"Indonesia";" 082319257070";"";"";"-7.4207305";"107.9114926";"https://maps.google.com/?cid=0x0:0x7b8863a552472017";""
"toko bangunan";"Toko Perlengkapan Rumah";"PD PUTRA LUYU 1";"HWJ2+HC7, Kadongdong, Kec. Banjarwangi, Kabupaten Garut, Jawa Barat 44172";"Kadongdong, Kec. Banjarwangi, Kabupaten Garut";"JAWA BARAT";"44172";"Indonesia";"";"";"";"-7.4185833";"107.9010535";"https://maps.google.com/?cid=0x0:0x5f28097d00c2a565";""
"toko bangunan";"Toko Bahan Bangunan";"TB Sulung Bungsu";"GVGQ+RCH, Unnamed Road, Girimukti, Kec. Singajaya, Kabupaten Garut, Jawa Barat 44173";"Unnamed Road, Girimukti, Kec. Singajaya, Kabupaten Garut";"JAWA BARAT";"44173";"Indonesia";"";"";"";"-7.4729252";"107.8886227";"https://maps.google.com/?cid=0x0:0x9b0286e1ef1b9135";""
"toko bangunan";"toko bangunan";"N/A";"";"";"JAWA BARAT";"";"Indonesia";" 081317710004";"";"";"-7.4064256";"107.7926194";"https://maps.google.com/?cid=0x0:0x2b423eae1c6e47d5";""
"toko bangunan";"Toko Bahan Bangunan";"Tb Hikmat Karya";"GWQ2+WRC, Ciudian, Kec. Singajaya, Kabupaten Garut, Jawa Barat";"Kabupaten Garut, Jawa Barat";"JAWA BARAT";"";"Indonesia";"";"";"";"-7.4601833";"107.9020289";"https://maps.google.com/?cid=0x0:0xdbed4dba6895567d";""
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Bagja Rahayu";"MQ9V+HH9, Jl. Cidatar, Cidatar, Kec. Cisurupan, Kabupaten Garut, Jawa Barat 44163";"Jl. Cidatar, Cidatar, Kec. Cisurupan, Kabupaten Garut";"JAWA BARAT";"44163";"Indonesia";"";"";"";"-7.3272529";"107.7944816";"https://maps.google.com/?cid=0x0:0xebf1410cbe8eaa96";""
"toko bangunan";"Toko Bahan Bangunan";"TB. Sari Mukti";"Jl. Pamegatan, Cigugur, Jl. Cikajang, Mekarjaya, Kec. Cikajang, Kabupaten Garut, Jawa Barat 44171";"Cigugur, Jl. Cikajang, Mekarjaya, Kec. Cikajang, Kabupaten Garut";"JAWA BARAT";"44171";"Indonesia";" 085322770311";"";"";"-7.3931834";"107.835539";"https://maps.google.com/?cid=0x0:0x9eb0f92756233e2a";""
"toko bangunan";"Toko Bahan Bangunan";"TB.SA Putra Jaya";"JL. Raya Pameungpeuk, KP Simpang, Cipangramatan, Kec. Cikajang, Kabupaten Garut, Jawa Barat 44171";"KP Simpang, Cipangramatan, Kec. Cikajang, Kabupaten Garut";"JAWA BARAT";"44171";"Indonesia";" 081318987245";"";"";"-7.424155";"107.8240383";"https://maps.google.com/?cid=0x0:0x9c25f06dbbf8fc74";""
"toko bangunan";"Toko";"Tb berkah lestari";"MWWG+26H, Sukatani, Kec. Cilawu, Kabupaten Garut, Jawa Barat 44181";"Sukatani, Kec. Cilawu, Kabupaten Garut";"JAWA BARAT";"44181";"Indonesia";" 082317484675";"";"";"-7.304931";"107.925596";"https://maps.google.com/?cid=0x0:0x9a8fcc03edea25f0";""
"toko bangunan";"Toko Bahan Bangunan";"Tb Do'a Putri";"GVQW+3H3, Ciudian, Kec. Singajaya, Kabupaten Garut, Jawa Barat 44173";"Ciudian, Kec. Singajaya, Kabupaten Garut";"JAWA BARAT";"44173";"Indonesia";" 085219379901";"";"";"-7.4632379";"107.8939107";"https://maps.google.com/?cid=0x0:0x9c7da2a564de9744";""
"toko bangunan";"Toko Bahan Bangunan";"TB UTAMA BAYONGBONG";"Jl. Raya Bayongbong No.62, Bayongbong, Kec. Bayongbong, Kabupaten Garut, Jawa Barat 44162";"Bayongbong, Kec. Bayongbong, Kabupaten Garut";"JAWA BARAT";"44162";"Indonesia";" 081312916921";"";"";"-7.2696831";"107.8214111";"https://maps.google.com/?cid=0x0:0x845405100264ab0b";""
"toko bangunan";"Toko Bahan Bangunan";"TB Selekta Raya";"Jalur Kereta Api Garut - Cikajang, Balewangi, Kec. Cisurupan, Kabupaten Garut, Jawa Barat 44163";"Balewangi, Kec. Cisurupan, Kabupaten Garut";"JAWA BARAT";"44163";"Indonesia";" 082315151385";"";"/url?q>>u003dhttps://www.facebook.com/TB-Selekta-Raya-111735841409949/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwic-JKD19CLAxVKxzgGHefFLNsQ61gIFigS>>u0026usg>>u003dAOvVaw31PBg90NtsrZ3oG9MC2ZDd";"-7.3095412";"107.7938662";"https://maps.google.com/?cid=0x0:0x3432c63a641f01b0";""
"toko bangunan";"toko bangunan";"PD Cikal Putra";"GWW4+HJJ, Ciudian, Kec. Singajaya, Kabupaten Garut, Jawa Barat 44173";"Ciudian, Kec. Singajaya, Kabupaten Garut";"JAWA BARAT";"44173";"Indonesia";" 081223096080";"";"";"-7.453174";"107.906213";"https://maps.google.com/?cid=0x0:0x5a857a3b91148a";""
"toko bangunan";"Toko";"TB.SJB GARUT";"Jl. Jendral Sudirman No.6A, Sucikaler, Kec. Karangpawitan, Kabupaten Garut, Jawa Barat 44182";"Sucikaler, Kec. Karangpawitan, Kabupaten Garut";"JAWA BARAT";"44182";"Indonesia";" 085314468930";"";"";"-7.2150177";"107.9202263";"https://maps.google.com/?cid=0x0:0x6bddfb87501c25f1";""
"toko bangunan";"Toko Bahan Bangunan";"TB. Indah Jaya Baru";"JR9H+Q8J, Jalan, Mekarjaya, Cikajang, Garut Regency, West Java 44171";"Jalan, Mekarjaya, Cikajang, Garut Regency";"JAWA BARAT";"44171";"Indonesia";"";"";"";"-7.3805412";"107.8282517";"https://maps.google.com/?cid=0x0:0x1f4b7397c30b0989";""
"toko bangunan";"Toko Bahan Bangunan";"Tb. Nie Jaya";"HR7M+2XJ, Jalan, Cipangramatan, Cikajang, Garut Regency, West Java 44171";"Jalan, Cipangramatan, Cikajang, Garut Regency";"JAWA BARAT";"44171";"Indonesia";"";"";"";"-7.4374031";"107.8349011";"https://maps.google.com/?cid=0x0:0xc2e241c194b85b10";""
"toko bangunan";"Toko Bahan Bangunan";"toko bangunan";"8Q9W+GPX, Karyasari, Kec. Cibalong, Kabupaten Garut, Jawa Barat 44176";"Karyasari, Kec. Cibalong, Kabupaten Garut";"JAWA BARAT";"44176";"Indonesia";"";"";"";"-7.6811308";"107.7968687";"https://maps.google.com/?cid=0x0:0x116605d7925d1b75";""
"toko bangunan";"toko bangunan";"Jawa Barat 44172";"Kec. Banjarwangi, Kabupaten Garut, Jawa Barat";"Kabupaten Garut, Jawa Barat";"JAWA BARAT";"";"Indonesia";"";"";"";"-7.3926075";"107.8820831";"https://maps.google.com/?cid=0x0:0x1c00c5eb568ed740";""
"toko bangunan";"Toko Alat Listrik";"Surya Abadi Tools";"Jln.Raya Banjarwangi Singajaya, Kec. Banjarwangi, Kabupaten Garut, Jawa Barat 44172";"Kec. Banjarwangi, Kabupaten Garut";"JAWA BARAT";"44172";"Indonesia";" 081237178822";"";"";"-7.439706";"107.9040057";"https://maps.google.com/?cid=0x0:0xcf9d4ec49616fef5";""
"toko bangunan";"Toko Bahan Bangunan";"TB Malka";"Jl. Cikajang, Girijaya, Kec. Cikajang, Kabupaten Garut, Jawa Barat 44171";"Girijaya, Kec. Cikajang, Kabupaten Garut";"JAWA BARAT";"44171";"Indonesia";"";"";"";"-7.3791719";"107.8266332";"https://maps.google.com/?cid=0x0:0xb2abd594c567504";""
"toko bangunan";"Toko Bahan Bangunan";"Depo SS Bangunan Garut";"Jl. Raya Cimanuk 142 - 146 Muarasanding, Maktal, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44119";"Maktal, Kec. Garut Kota, Kabupaten Garut";"JAWA BARAT";"44119";"Indonesia";" 081220828008";"";"";"-7.2238208";"107.9005658";"https://maps.google.com/?cid=0x0:0xfa8eb59494b69d25";""
"toko bangunan";"Toko Bahan Bangunan";"TB Gria Jaya Suluk";"Cipicung, Kec. Banyuresmi, Kabupaten Garut, Jawa Barat 44191";"Kec. Banyuresmi, Kabupaten Garut";"JAWA BARAT";"44191";"Indonesia";" 085321219109";"";"";"-7.1665652";"107.9579269";"https://maps.google.com/?cid=0x0:0x4498b2412b3d05e7";""
"toko bangunan";"";"Tb nur jaya";"Jl. H. Hasan Arif No.511, Sukaratu, Kec. Banyuresmi, Kabupaten Garut, Jawa Barat 44191";"Sukaratu, Kec. Banyuresmi, Kabupaten Garut";"JAWA BARAT";"44191";"Indonesia";"";"";"";"-7.1787785";"107.9377392";"https://maps.google.com/?cid=0x0:0xd123259bf1ada036";""
"toko bangunan";"Toko Bahan Bangunan";"PD NUGRAHA";"Jl. H. Hasan Arif, Cimareme, Kec. Banyuresmi, Kabupaten Garut, Jawa Barat 44191";"Cimareme, Kec. Banyuresmi, Kabupaten Garut";"JAWA BARAT";"44191";"Indonesia";" 085221666775";"";"/url?q>>u003dhttps://api.whatsapp.com/send/%3Fphone%3D6285221666775%26text%26type%3Dphone_number%26app_absent%3D0>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwj-8PaZ19CLAxUmyDgGHYfSBP0Q61gIFigS>>u0026usg>>u003dAOvVaw234mn8giHt8_jLI9ERbrbK";"-7.1165407";"107.9442988";"https://maps.google.com/?cid=0x0:0xf0255e75cd9d43a";""
"toko bangunan";"Toko Bahan Bangunan";"TB HIKMAH JAYA";"RWV7+W9V, Jl. Cigede, Sukakarya, Kec. Banyuresmi, Kabupaten Garut, Jawa Barat 44191";"Jl. Cigede, Sukakarya, Kec. Banyuresmi, Kabupaten Garut";"JAWA BARAT";"44191";"Indonesia";" 085223033814";"";"";"-7.1551409";"107.9134296";"https://maps.google.com/?cid=0x0:0x8b3a37892d93bbed";""
