Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"restaurant";"Indonesia";"INDESOFOOD RESTO";"Jl. Raya Banjarmangu No.12, Banjermangu, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Banjermangu, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";"";"-7.358722";"109.6898931";"https://maps.google.com/?cid=0x0:0x30303b66b9b7ce48"
"restaurant";"Restoran";"WANAGRO RESTO";"Utara lapangan, Dusun II, Blambangan, Kec. Bawang, Kab. Banjarnegara, Jawa Tengah 53471";"Dusun II, Blambangan, Kec. Bawang, Kab. Banjarnegara";"JAWA TENGAH";"53471";"Indonesia";"";"-7.3855853";"109.6418275";"https://maps.google.com/?cid=0x0:0xe54ec175d2b9441b"
"restaurant";"Vila";"Tikako Caffe  Java Culinary";"Dusun I, Kalilunjar, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Kalilunjar, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";" 081229707222";"-7.3312608";"109.7104996";"https://maps.google.com/?cid=0x0:0x96d2c9cc5ebcf23a"
"restaurant";"Pusat Perbelanjaan";"RM Kembar Ayu Jln Raya Timur Wanadadi Banjarmangu";"Jl. Raya Timur Wanadadi No.002/001, Kandangan, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Kandangan, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";"";"-7.3678108";"109.6759805";"https://maps.google.com/?cid=0x0:0xa9114576662cbebc"
"restaurant";"Kafe";"RAJA PANGANAN";"JMQQ+R74, Jalan Raya, Banjermangu, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Jalan Raya, Banjermangu, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";" 081210017599";"-7.3603309";"109.6880851";"https://maps.google.com/?cid=0x0:0x970cf64d7a8b90e5"
"restaurant";"Padang";"WAROENG MAKAN CAHAYA BINDAMAR";"Jl. Sunan Gripit No.km 7, Banjermangu, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Banjermangu, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";" 085869788585";"-7.3591994";"109.6888974";"https://maps.google.com/?cid=0x0:0x9d25a32e9ce0482e"
"restaurant";"Kedai Kopi";"Gemuruh Seafood";"JJ2W+XQH, JJ3W+3Q9Karanganyar, Gemuruh, Kec. Bawang, Kab. Banjarnegara, Jawa Tengah 53471";"JJ3W+3Q9Karanganyar, Gemuruh, Kec. Bawang, Kab. Banjarnegara";"JAWA TENGAH";"53471";"Indonesia";" 082220771751";"-7.3975604";"109.6469872";"https://maps.google.com/?cid=0x0:0xded277bcab4f4f75"
"restaurant";"restaurant";"Bakso Sungkono";"Jl. Sunan Gripit No.12, Banjermangu, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Banjermangu, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";" 081326995125";"-7.3599335";"109.6880145";"https://maps.google.com/?cid=0x0:0xf15e4f87a6e2add4"
"restaurant";"Kafe";"Agrotera Rest @rea Inovatif";"Jl. Raya Semampir, Semampir, Wangon, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53418";"Semampir, Wangon, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53418";"Indonesia";" 089527519019";"-7.3974502";"109.671096";"https://maps.google.com/?cid=0x0:0x80c4624e29e6ca3f"
"restaurant";"Vegetarian";"Ibu Harto - Snack dan Cathering D5";"JMRQ+3X5, Sigong, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Sigong, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";" 081578888808";"-7.3598608";"109.6899901";"https://maps.google.com/?cid=0x0:0xbf84a5e34f337452"
