Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"mall";"Pusat Perbelanjaan";"Mazdan Jaya";"MM7W+6G8, Melikan, Kendaga, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Melikan, Kendaga, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";" 081542771777";"-7.3369584";"109.6963391";"https://maps.google.com/?cid=0x0:0xe09acea25ff6c77c"
"mall";"Toko Swalayan";"Toko Sembako Sukono";"JMVR+V25, Jalan Desa, Salam, Rejasari, Banjarmangu, Banjarnegara, Central Java 53452";"Jalan Desa, Salam, Rejasari, Banjarmangu, Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";"";"-7.3553689";"109.6901049";"https://maps.google.com/?cid=0x0:0xbd80e5a169e7a240"
"mall";"Toko Pakaian";"Khanza fashion store";"MPM6+7W4, Jl. Raya Karangkobar, Sijeruk, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Jl. Raya Karangkobar, Sijeruk, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";" 085799673290";"-7.3168686";"109.7123366";"https://maps.google.com/?cid=0x0:0xbf026e0744d8aaa4"
"mall";"Toko Bahan Bangunan";"Depo Pelita Banjarnegara";"Jl. Raya Kalibenda No.5, Kalibenda I, Kalibenda, Kec. Sigaluh, Kab. Banjarnegara, Jawa Tengah 53481";"Kalibenda I, Kalibenda, Kec. Sigaluh, Kab. Banjarnegara";"JAWA TENGAH";"53481";"Indonesia";" 0286592151";"-7.3911876";"109.7311143";"https://maps.google.com/?cid=0x0:0x8b3d2653cfd2f573"
"mall";"Toko Pakaian Wanita";"Aiyla hijab store";"Jl. Raya Desa Sigong, Sigong, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Sigong, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";" 085810297916";"-7.3627768";"109.6896545";"https://maps.google.com/?cid=0x0:0xdde214d55e42fb4a"
"mall";"Pusat Perbelanjaan";"TOKO NAFISA";"MP33+H28, Sarang Panjang, Kesenet, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Sarang Panjang, Kesenet, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";" 081228235968";"-7.3460932";"109.7025913";"https://maps.google.com/?cid=0x0:0x969607b124867763"
"mall";"Pusat Perbelanjaan";"SURYA MALL BANJARNEGARA";"Jl. Letjend Suprapto No.88, Wangon, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53410";"Wangon, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53410";"Indonesia";" 0215536884";"-7.3997458";"109.6835786";"https://maps.google.com/?cid=0x0:0xaef19f26785aec59"
"mall";"Kantor Perusahaan";"Yugo Nursery Orchids";"Jl. Raya Wanadadi - Banjarnegara, Kandangan, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Kandangan, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";" 082220551525";"-7.3641047";"109.6833211";"https://maps.google.com/?cid=0x0:0xec4aedab5369d434"
"mall";"Grosir";"Toko Ibu Partinah";"MPJ7+W2J, Sijeruk, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Sijeruk, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";" 081228871321";"-7.3176578";"109.712514";"https://maps.google.com/?cid=0x0:0x30a7dd14ca4eebbb"
"mall";"Toko";"Trubus Lestari";"MP77+WRJ, Dusun II, Kalilunjar, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Dusun II, Kalilunjar, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";" 085642893910";"-7.3351602";"109.7145109";"https://maps.google.com/?cid=0x0:0x18b88ebef82b61a4"
"mall";"Toko";"Toko EGI";"MMH4+GVJ, Karanganyar, Sipedang, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Karanganyar, Sipedang, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";"";"-7.321153";"109.6571347";"https://maps.google.com/?cid=0x0:0xb44f4162bc1e899"
"mall";"Pusat Perbelanjaan";"Kios Pak Tikno Banjarmangu";"JMQP+499, Jl. Jenggawur - Banjarmangu, Sigong, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Jl. Jenggawur - Banjarmangu, Sigong, Banjarmangu, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";"";"-7.3622102";"109.6859819";"https://maps.google.com/?cid=0x0:0x7287908380eeab06"
"mall";"Pusat Pameran dan Perdagangan";"Toko Windi Jaya 1";"MM5V+27P, Pertigaan pasar, Sarang Panjang, Gripit, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"Pertigaan pasar, Sarang Panjang, Gripit, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";"";"-7.3424159";"109.6931916";"https://maps.google.com/?cid=0x0:0x90349556c24c1c1"
"mall";"Pusat Perbelanjaan";"Hi Sweety Store Banjarnegara";"Catrikan, RT.06/RW.02, Kendaga, Kec. Banjarmangu, Kab. Banjarnegara, Jawa Tengah 53452";"RT.06/RW.02, Kendaga, Kec. Banjarmangu, Kab. Banjarnegara";"JAWA TENGAH";"53452";"Indonesia";" 082243139388";"-7.3371626";"109.6964521";"https://maps.google.com/?cid=0x0:0xbbb0a7ae97e7a417"
"mall";"Pusat Perbelanjaan";"Karyadadi Jenggul Krandegan Banjarnegara";"HMWX+R3J, dukuh karyadadi, Krandegan, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53474";"dukuh karyadadi, Krandegan, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53474";"Indonesia";"";"-7.4029067";"109.6976473";"https://maps.google.com/?cid=0x0:0x1989032d1fa8e2f"
"mall";"Minimarket";"Ronce Melati Banjarnegara";"HPW3+JJ9, Tambakan, Ampelsari, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53418";"Tambakan, Ampelsari, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53418";"Indonesia";" 082325416998";"-7.4034639";"109.704119";"https://maps.google.com/?cid=0x0:0x5b630de1f403670b"
"mall";"Pusat Perbelanjaan";"Gavinshop";"JP34+PFC, Semarang, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53411";"Semarang, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53411";"Indonesia";"";"-7.3956781";"109.7061502";"https://maps.google.com/?cid=0x0:0x2679be3805d3c43e"
"mall";"Pusat Perbelanjaan";"Mela Shop Banjarnegara";"Jl. Garuda No.20-42, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 089695453234";"-7.3921118";"109.7100592";"https://maps.google.com/?cid=0x0:0xba5f1ed2beec7b81"
"mall";"";"BN ACC";"Jl. Pemuda No.65a, Krandegan, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53411";"Krandegan, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53411";"Indonesia";"";"-7.3968872";"109.6978486";"https://maps.google.com/?cid=0x0:0x4b1eaaeb6dbdaaf1"
"mall";"Pasar";"Banjarnegara Grand market";"Jl. Letnan Karjono No.10, Krandegan, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53474";"Krandegan, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53474";"Indonesia";"";"-7.3930444";"109.7026157";"https://maps.google.com/?cid=0x0:0xad12693bce20653a"
"mall";"Pemasok Air Minum Dalam Kemasan";"Agen Milagros Banjarnegara";"JP32+8VH, Semarang, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53411";"Semarang, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53411";"Indonesia";" 081903090567";"-7.3966862";"109.7022389";"https://maps.google.com/?cid=0x0:0xe9fcd6c4ebee2c73"
"mall";"Toko Ponsel";"Bless Cell";"JP43+RWX, Jl. Letnan Karjono, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Jl. Letnan Karjono, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 085225315326";"-7.3928903";"109.7048546";"https://maps.google.com/?cid=0x0:0xdd160e3e69e33983"
"mall";"";"Grosir Acc Cabang Wonosobo";"JP33+XWV, Jl. Raya Brengkok - Banjarnegara, Semarang, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Jl. Raya Brengkok - Banjarnegara, Semarang, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 082144567497";"-7.3950118";"109.7047853";"https://maps.google.com/?cid=0x0:0xcb4d3f14cae3d4e3"
"mall";"Toko bahan makanan";"Indomaret Wan Bing Swalayan";"JM2X+W9Q, Jl. Mayjend Panjaitan, Semarang, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53411";"Jl. Mayjend Panjaitan, Semarang, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53411";"Indonesia";"";"-7.3976637";"109.6984827";"https://maps.google.com/?cid=0x0:0xa394dbfa00b30e3c"
"mall";"Toko Pakaian";"Hand Collection";"Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 081327222633";"-7.3915211";"109.7116154";"https://maps.google.com/?cid=0x0:0x30e2aa74266ef4fc"
"mall";"Pusat Perbelanjaan";"IBRA BUAH";"JM3X+8M5, Semarang, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53411";"Semarang, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53411";"Indonesia";" 085328936101";"-7.3967277";"109.6992347";"https://maps.google.com/?cid=0x0:0x78017609af8bd75d"
"mall";"Toko Ponsel";"J phone Depan Terminal Banjarnegara";"Unnamed Road, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 085227518027";"-7.3927104";"109.7047004";"https://maps.google.com/?cid=0x0:0x1033c822ec0721fc"
"mall";"Toko";"SANCU Banjarnegara";"Semarang, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53411";"Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53411";"Indonesia";" 082225491040";"-7.3973762";"109.7022746";"https://maps.google.com/?cid=0x0:0x4fa448e58cc6b55c"
"mall";"Pusat Perbelanjaan";"Mela Shop Banjarnegara";"Jl. Garuda No.20-42, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 089695453234";"-7.3921118";"109.7100592";"https://maps.google.com/?cid=0x0:0xba5f1ed2beec7b81"
"mall";"mall";"Toko Sembako Mutiara (pak.inung)";"Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 089526440034";"-7.3927989";"109.704755";"https://maps.google.com/?cid=0x0:0x969eed8442a272e9"
"mall";"Toko Bahan Bangunan";"Depo Pelita Banjarnegara";"Jl. Raya Kalibenda No.5, Kalibenda I, Kalibenda, Kec. Sigaluh, Kab. Banjarnegara, Jawa Tengah 53481";"Kalibenda I, Kalibenda, Kec. Sigaluh, Kab. Banjarnegara";"JAWA TENGAH";"53481";"Indonesia";" 0286592151";"-7.3911876";"109.7311143";"https://maps.google.com/?cid=0x0:0x8b3d2653cfd2f573"
"mall";"Pasar";"Banjarnegara Grand market";"Jl. Letnan Karjono No.10, Krandegan, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53474";"Krandegan, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53474";"Indonesia";"";"-7.3930444";"109.7026157";"https://maps.google.com/?cid=0x0:0xad12693bce20653a"
"mall";"Toko Ponsel";"J phone Depan Terminal Banjarnegara";"Unnamed Road, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 085227518027";"-7.3927104";"109.7047004";"https://maps.google.com/?cid=0x0:0x1033c822ec0721fc"
"mall";"Toko";"PUSAT OLEH OLEH BANJARNEGARA - Abon Haji Surya";"Jl. Garuda, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 087703642840";"-7.3950967";"109.7040234";"https://maps.google.com/?cid=0x0:0x3bc4f04a3b55e509"
"mall";"";"Agam jaya";"JP62+J52, RT.2/RW.10, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"RT.2/RW.10, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 082220185755";"-7.388497";"109.7004001";"https://maps.google.com/?cid=0x0:0xd173520e5a1aca22"
"mall";"Toko";"Pusat Sembako Parakancanggah";"Jalan Manyar No.mor 7, RT.4/RW.5, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"RT.4/RW.5, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 085385555337";"-7.3913392";"109.7134188";"https://maps.google.com/?cid=0x0:0x8762b59b9734ffa1"
"mall";"Bengkel Mesin";"Restu Motor 1";"JP56+3W9, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";"";"-7.3923284";"109.7123611";"https://maps.google.com/?cid=0x0:0x1cb39a0aa295ac45"
"mall";"Pusat Perbelanjaan";"Kontan Jaya Store";"JP64+3X5, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 081228994914";"-7.3898671";"109.7074795";"https://maps.google.com/?cid=0x0:0xe1f995b9abe8b8c0"
"mall";"Pusat Perbelanjaan";"Lacanola";"JP54+HP6, Jl. Letnan Karjono, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Jl. Letnan Karjono, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 089604044675";"-7.3910955";"109.7067522";"https://maps.google.com/?cid=0x0:0x66487e8ecb6f4011"
"mall";"Pusat Perbelanjaan";"Mutiara Agung Karya Remaja";"JP55+QMF, Jl. Letnan Karjono, RT.01/RW.09, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Jl. Letnan Karjono, RT.01/RW.09, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 081225583007";"-7.3905656";"109.7091743";"https://maps.google.com/?cid=0x0:0x8794ee1467a450a2"
"mall";"Pusat Perbelanjaan";"STOCKIS/ JURAGAN NASA BANJARNEGARA R.1558";"JP57+MF3, Jl. Letnan Karjono, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Jl. Letnan Karjono, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 0817275138";"-7.3908558";"109.7136694";"https://maps.google.com/?cid=0x0:0xdaa04b80c8b6d0c0"
"mall";"Toko Swalayan";"SRC MUBAROK";"Jl. Garuda No.56, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412";"Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara";"JAWA TENGAH";"53412";"Indonesia";" 082110020346";"-7.391923";"109.710105";"https://maps.google.com/?cid=0x0:0x80ccd5911e0b6383"
"mall";"Toko Bahan Bangunan";"Depo Pelita Banjarnegara";"Jl. Raya Kalibenda No.5, Kalibenda I, Kalibenda, Kec. Sigaluh, Kab. Banjarnegara, Jawa Tengah 53481";"Kalibenda I, Kalibenda, Kec. Sigaluh, Kab. Banjarnegara";"JAWA TENGAH";"53481";"Indonesia";" 0286592151";"-7.3911876";"109.7311143";"https://maps.google.com/?cid=0x0:0x8b3d2653cfd2f573"
