Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"Kantor Perusahaan";"PERUMAHAN GRIYA PERSADA";"FQQH+57, Area Sawah, Wedelan, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453";"Area Sawah, Wedelan, Kec. Bangsri, Kabupaten Jepara";"JAWA TENGAH";"59453";"Indonesia";"";"-6.5121182";"110.778166";"https://maps.google.com/?cid=0x0:0x13e939bb7168ce0"
"perumahan";"Pembangunan Perumahan";"Rumah Niswaty";"Tengguli rt02 rw 08, Krsak, Bangsri, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453";"Krsak, Bangsri, Kec. Bangsri, Kabupaten Jepara";"JAWA TENGAH";"59453";"Indonesia";"";"-6.5322766";"110.7650399";"https://maps.google.com/?cid=0x0:0xdf8b3c38d284e0c2"
"perumahan";"Perumahan";"PERUMAHAN WEDELAN BARU INDAH";"FQQG+5WC, Area Sawah, Wedelan, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453";"Area Sawah, Wedelan, Kec. Bangsri, Kabupaten Jepara";"JAWA TENGAH";"59453";"Indonesia";"";"-6.5120663";"110.7772707";"https://maps.google.com/?cid=0x0:0x7f9cca5f8771c791"
"perumahan";"Komplek perumahan";"Kasturi Rini";"FQH6+FP2, Jl. Bangsri-Bondo, Krsak, Bangsri, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453";"Jl. Bangsri-Bondo, Krsak, Bangsri, Kec. Bangsri, Kabupaten Jepara";"JAWA TENGAH";"59453";"Indonesia";"";"-6.5213564";"110.7617789";"https://maps.google.com/?cid=0x0:0x6389a604f84a1a7e"
"perumahan";"Komplek perumahan";"Block S";"Krsak, Bangsri, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453";"Bangsri, Kec. Bangsri, Kabupaten Jepara";"JAWA TENGAH";"59453";"Indonesia";"";"-6.5194406";"110.7616408";"https://maps.google.com/?cid=0x0:0x9ea904a41111fe52"
"perumahan";"Perhimpunan Pengembang Perumahan";"Nissawaty";"FQ79+RRF, Jl. Slentreng, Sengkeran, Tengguli, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453";"Jl. Slentreng, Sengkeran, Tengguli, Kec. Bangsri, Kabupaten Jepara";"JAWA TENGAH";"59453";"Indonesia";"";"-6.5354336";"110.7695352";"https://maps.google.com/?cid=0x0:0x6b47fd6364e9c006"
"perumahan";"Komplek perumahan";"rumah saya";"FQF6+PVJ, Krsak, Bangsri, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453";"Krsak, Bangsri, Kec. Bangsri, Kabupaten Jepara";"JAWA TENGAH";"59453";"Indonesia";"";"-6.5257226";"110.7621722";"https://maps.google.com/?cid=0x0:0x5547ab268634e099"
"perumahan";"Komplek perumahan";"Rumah bu nurhayati";"FQHG+W5X, Banjarsari, Wedelan, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453";"Banjarsari, Wedelan, Kec. Bangsri, Kabupaten Jepara";"JAWA TENGAH";"59453";"Indonesia";"";"-6.5201784";"110.7754861";"https://maps.google.com/?cid=0x0:0x93f732a42b861533"
"perumahan";"Komplek perumahan";"Rumah We-d-land food";"FQJJ+7FQ Raya Bandung, perumahan terakhir, Wedelan, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453";"perumahan terakhir, Wedelan, Kec. Bangsri, Kabupaten Jepara";"JAWA TENGAH";"59453";"Indonesia";" 08975638992";"-6.5192979";"110.7812325";"https://maps.google.com/?cid=0x0:0xb7a91e3d88cc4c7f"
"perumahan";"Perhimpunan Pengembang Perumahan";"Rumah Nissawaty Ollshop";"FQ7C+X8W, Sengkeran, Tengguli, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453";"Sengkeran, Tengguli, Kec. Bangsri, Kabupaten Jepara";"JAWA TENGAH";"59453";"Indonesia";"";"-6.535022";"110.770816";"https://maps.google.com/?cid=0x0:0x321520ac2577082a"
"perumahan";"Pembangunan Perumahan";"Rumah Raya";"FQG2+HR3, Jl. Dahlia 2, RT.06/RW.16, Krsak, Krasak, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453";"Jl. Dahlia 2, RT.06/RW.16, Krsak, Krasak, Kec. Bangsri, Kabupaten Jepara";"JAWA TENGAH";"59453";"Indonesia";"";"-6.5236006";"110.7520316";"https://maps.google.com/?cid=0x0:0xd476da0a2fb8837f"
"perumahan";"Komplek perumahan";"Rumah Supriwanto Rukhoiyah";"FQM7+GFJ, Krsak, Bangsri, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453";"Krsak, Bangsri, Kec. Bangsri, Kabupaten Jepara";"JAWA TENGAH";"59453";"Indonesia";" 089537223578";"-6.5161027";"110.7633195";"https://maps.google.com/?cid=0x0:0xd7fba954177336a2"
