Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"restaurant";"Restoran";"PAWON LEKDAR - Wedangan  Masakan Jawa";"FQ5P+WM5, Jl. Kepodang, Dukuh, Baturan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57171";"Jl. Kepodang, Dukuh, Baturan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57171";"Indonesia";" 08995469989";"-7.539998";"110.7866729";"https://maps.google.com/?cid=0x0:0x3ffe7157abeb7531"
"restaurant";"Restoran";"Djiwa Jawa";"Jl. Klodran Selatan, Klodran Indah, Klodran, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah";"Kabupaten Karanganyar, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";" 082110688170";"-7.538299";"110.790843";"https://maps.google.com/?cid=0x0:0x9ee60f88dce2e865"
"restaurant";"Kedai Kopi";"Arutala Space";"Jl. Baturan Raya, Baturan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57171";"Baturan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57171";"Indonesia";" 082227003221";"-7.5430561";"110.7864172";"https://maps.google.com/?cid=0x0:0xd562a6f1692322f"
"restaurant";"Restoran";"Taman Indah Resto and Hall";"Jl. Adi Sucipto, Kenaiban, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57174";"Kenaiban, Blulukan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57174";"Indonesia";" 081393811889";"-7.5433153";"110.7694321";"https://maps.google.com/?cid=0x0:0xb51270c41920e1b7"
"restaurant";"Restoran";"Boga Bogi Restaurant";"Jl. Adi Sucipto No.KM. 9, Blukukan Dua, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57174";"Blukukan Dua, Blulukan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57174";"Indonesia";" 0271728686";"-7.5417987";"110.767387";"https://maps.google.com/?cid=0x0:0x285c1ee6770e3b3e"
"restaurant";"Kafe";"Unknown Coffee HQ";"Jl. Raya Baturan, Klemburan, Baturan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57171";"Klemburan, Baturan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57171";"Indonesia";"";"-7.5471236";"110.7890104";"https://maps.google.com/?cid=0x0:0x34bf6b2f31340b49"
"restaurant";"Kedai Teh";"The Apic";"Jl. Moren Raya, Bonangan, Baturan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57171";"Bonangan, Baturan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57171";"Indonesia";" 085225600057";"-7.543354";"110.7967995";"https://maps.google.com/?cid=0x0:0x815a0f63143140eb"
"restaurant";"Hidangan Laut";"KAMPOENG SEAFOOD";"Jl. Adi Sumarmo, Gedongan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57172";"Gedongan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57172";"Indonesia";" 082333397744";"-7.5342233";"110.7885121";"https://maps.google.com/?cid=0x0:0x72b7637a79b3171f"
"restaurant";"Brunch";"Kayangan Resto  Cafe";"Jl. Adi Sucipto No.43B, Kenaiban, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57174";"Kenaiban, Blulukan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57174";"Indonesia";"";"-7.5437575";"110.7703617";"https://maps.google.com/?cid=0x0:0xcbe3763b2018d53f"
"restaurant";"Rumah Makan";"WARMINDO JALAN PAKEL";"Jl. Pakel No.61, Bonangan, Baturan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57171";"Bonangan, Baturan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57171";"Indonesia";"";"-7.5440679";"110.7974319";"https://maps.google.com/?cid=0x0:0x1c31be71da106235"
"restaurant";"Brunch";"Latar Haroem Coffee  Resto";"Klodran Indah, Klodran, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah";"Kabupaten Karanganyar, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";" 082326097752";"-7.5386581";"110.7905648";"https://maps.google.com/?cid=0x0:0x1d1eebb79c1fbc0f"
"restaurant";"Restoran";"WARTOP";"Colomadu, Baturan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57171";"Baturan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57171";"Indonesia";"";"-7.5415047";"110.7910967";"https://maps.google.com/?cid=0x0:0xdbe3005d23fbf70d"
"restaurant";"Restoran";"Gedung Pertemuan Ayam Ayam Resto";"Jl. Adi Sumarmo No.329, Plalangan, Klodran, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57172";"Plalangan, Klodran, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57172";"Indonesia";" 0271731511";"-7.5349679";"110.7942559";"https://maps.google.com/?cid=0x0:0x26c367f3a2cf9d5b"
"restaurant";"Sarapan";"Rumah Wajan";"Jl. Duren No.146, Griyan, Baturan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57171";"Griyan, Baturan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57171";"Indonesia";" 0895368062809";"-7.544838";"110.7842389";"https://maps.google.com/?cid=0x0:0x5bd3e0d26221fe54"
"restaurant";"Restoran";"Djiwa Jawa";"Jl. Klodran Selatan, Klodran Indah, Klodran, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah";"Kabupaten Karanganyar, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";" 082110688170";"-7.538299";"110.790843";"https://maps.google.com/?cid=0x0:0x9ee60f88dce2e865"
"restaurant";"Restoran";"Gedung Pertemuan Ayam Ayam Resto";"Jl. Adi Sumarmo No.329, Plalangan, Klodran, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57172";"Plalangan, Klodran, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57172";"Indonesia";" 0271731511";"-7.5349679";"110.7942559";"https://maps.google.com/?cid=0x0:0x26c367f3a2cf9d5b"
"restaurant";"Sesuai untuk keluarga";"SOLO STEAK KLODRAN";"Jl. Adi Sumarmo, Klodran Indah, Klodran, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57172";"Klodran Indah, Klodran, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57172";"Indonesia";" 085174207770";"-7.5361832";"110.7989218";"https://maps.google.com/?cid=0x0:0x239eda5a7b8e093a"
"restaurant";"Hidangan Laut";"KAMPOENG SEAFOOD";"Jl. Adi Sumarmo, Gedongan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57172";"Gedongan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57172";"Indonesia";" 082333397744";"-7.5342233";"110.7885121";"https://maps.google.com/?cid=0x0:0x72b7637a79b3171f"
