Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Rafi Jaya Mandiri";"Pesa1, Jl. Danliris, Jetis, Tohudan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57173";"Jl. Danliris, Jetis, Tohudan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57173";"Indonesia";" 085867031373";"-7.5384543";"110.775583";"https://maps.google.com/?cid=0x0:0x7034b0507604a033"
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Jati Baru";"Jl. Baturan Raya, Baturan, Kec. Colomadu, Kota Surakarta, Jawa Tengah 57171";"Baturan, Kec. Colomadu, Kota Surakarta";"JAWA TENGAH";"57171";"Indonesia";"";"-7.542865";"110.785645";"https://maps.google.com/?cid=0x0:0xe0b9c22d657b0ead"
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Horizon";"Jl. Embarkasi H. Jl. Tugu Boto No.KM02, Menjing, Klodran, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57172";"Menjing, Klodran, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57172";"Indonesia";" 02717452021";"-7.5336076";"110.7914716";"https://maps.google.com/?cid=0x0:0xf1c3b2e4e043c7b"
"toko bangunan";"Toko Bahan Bangunan";"TB.Colomadu";"Jl. Adi Sucipto No.56A, Gatak, Gajahan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57176";"Gatak, Gajahan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57176";"Indonesia";" 02717686625";"-7.538242";"110.760227";"https://maps.google.com/?cid=0x0:0xa83696d57a52445f"
"toko bangunan";"Toko Bahan Bangunan";"Toko Besi Dan Bangunan GEDONGAN";"FQ8G+Q5V, Gedongan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57173";"Gedongan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57173";"Indonesia";" 082134738392";"-7.5330125";"110.7754219";"https://maps.google.com/?cid=0x0:0xfc54fb3bc8e6802"
"toko bangunan";"Toko Bahan Bangunan";"Tb. Cahaya indah / Toko Besi Cahaya Indah";"Jl. Baturan Raya, Klemburan, Baturan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57171";"Klemburan, Baturan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57171";"Indonesia";"";"-7.5439072";"110.789519";"https://maps.google.com/?cid=0x0:0xec83e8ae45f58232"
"toko bangunan";"Toko Bahan Bangunan";"Tb Makmur Jaya";"Jl. Adi Sumarmo No.333, Plalangan, Klodran, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57137";"Plalangan, Klodran, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57137";"Indonesia";" 0271711935";"-7.5350068";"110.7934837";"https://maps.google.com/?cid=0x0:0x407d16f7d6b9bbf"
"toko bangunan";"Toko Bahan Bangunan";"TB Tirta Mas 2 Colomadu";"Nanasan, Malangjiwan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57177";"Malangjiwan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57177";"Indonesia";" 082137002227";"-7.5273378";"110.7508209";"https://maps.google.com/?cid=0x0:0x8a4a6cfcc69eb750"
"toko bangunan";"Toko Bahan Bangunan";"Sumber Anugerah Baru";"Jl. Adi Sumarmo No.71, Nanasan, Malangjiwan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57177";"Nanasan, Malangjiwan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57177";"Indonesia";"";"-7.5291492";"110.7480551";"https://maps.google.com/?cid=0x0:0x754b0e40d4501288"
"toko bangunan";"Toko Bahan Bangunan";"Toko Bahan Bangunan";"FQ98+228, Jl. Adi Sumarmo, Klipan, Tohudan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57173";"Jl. Adi Sumarmo, Klipan, Tohudan, Kec. Colomadu, Kabupaten Karanganyar";"JAWA TENGAH";"57173";"Indonesia";"";"-7.5324517";"110.7650719";"https://maps.google.com/?cid=0x0:0xc41487f6ac5ab3c4"
