Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Melati";"6J7Q+QV4, Lemah Miring, Paseban, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462";"Lemah Miring, Paseban, Kec. Bayat, Kabupaten Klaten";"JAWA TENGAH";"57462";"Indonesia";"";"-7.7856125";"110.6397031";"https://maps.google.com/?cid=0x0:0xa4288cd68de15132"
"toko bangunan";"Toko Bahan Bangunan";"TB. Dadi Rukun";"6M84+P8F, Jln. Bayat-Cawas Banyuripan Bayat Klaten, Kabupaten Klaten, Jawa Tengah, Dusun I, Banyuripan, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462";"Jln. Bayat-Cawas Banyuripan Bayat Klaten, Kabupaten Klaten, Jawa Tengah, Dusun I, Banyuripan, Kec. Bayat, Kabupaten Klaten";"JAWA TENGAH";"57462";"Indonesia";" 081329922460";"-7.7831915";"110.6558003";"https://maps.google.com/?cid=0x0:0x93ecb1a423428b67"
"toko bangunan";"Toko Bahan Bangunan";"Toko Besi  Bahan Bangunan Putro Joyo";"Jl. Cawas - Bayat No.Km2, Dusun II, Banyuripan, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462";"Dusun II, Banyuripan, Kec. Bayat, Kabupaten Klaten";"JAWA TENGAH";"57462";"Indonesia";" 082243585524";"-7.7806307";"110.6648942";"https://maps.google.com/?cid=0x0:0xb9e9ec44fe75e317"
"toko bangunan";"Toko Bahan Bangunan";"TB Mulya";"Dusun II, Tawangrejo, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462";"Tawangrejo, Kec. Bayat, Kabupaten Klaten";"JAWA TENGAH";"57462";"Indonesia";" 085775071485";"-7.7575159";"110.6621169";"https://maps.google.com/?cid=0x0:0x145f31254bb80e7f"
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Saji (TBS)";"6J7P+F2P, Kebondalem, Paseban, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462";"Kebondalem, Paseban, Kec. Bayat, Kabupaten Klaten";"JAWA TENGAH";"57462";"Indonesia";"";"-7.7862998";"110.6350892";"https://maps.google.com/?cid=0x0:0x84ddc6c1a47ef773"
"toko bangunan";"Toko Perlengkapan Rumah";"TOKO MEDY JAYA";"6JVX+7MM, Unnamed Road, Dusun I, Jotangan, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462";"Unnamed Road, Dusun I, Jotangan, Kec. Bayat, Kabupaten Klaten";"JAWA TENGAH";"57462";"Indonesia";"";"-7.7567921";"110.6491775";"https://maps.google.com/?cid=0x0:0xb026fa0553f49672"
"toko bangunan";"Toko Bahan Bangunan";"TB. Dadi Agung";"6J8W+8CV, Jl. Cawas - Bayat, Cungkrungan, Beluk, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462";"Jl. Cawas - Bayat, Cungkrungan, Beluk, Kec. Bayat, Kabupaten Klaten";"JAWA TENGAH";"57462";"Indonesia";" 085878848096";"-7.7841329";"110.6460401";"https://maps.google.com/?cid=0x0:0xda61b006e2069297"
"toko bangunan";"Toko Bahan Bangunan";"Tb BUDI BERKAH ABADI";"6JJV+CMM, Jl. Raya Krikilan, Dusun II, Jotangan, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462";"Jl. Raya Krikilan, Dusun II, Jotangan, Kec. Bayat, Kabupaten Klaten";"JAWA TENGAH";"57462";"Indonesia";" 081325020002";"-7.7689185";"110.6441603";"https://maps.google.com/?cid=0x0:0x867aed62a0868641"
"toko bangunan";"Pasar bahan bangunan";"Bata Merah Kebon Bayat";"Serut, Kebon, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462";"Kebon, Kec. Bayat, Kabupaten Klaten";"JAWA TENGAH";"57462";"Indonesia";" 087891277285";"-7.7624258";"110.6575953";"https://maps.google.com/?cid=0x0:0x4f24d744984e7ce7"
"toko bangunan";"Toko Bahan Bangunan";"TB. Rahmah Agung 2";"Jl. Sunan Pandanaran, Mendin, Paseban, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462";"Mendin, Paseban, Kec. Bayat, Kabupaten Klaten";"JAWA TENGAH";"57462";"Indonesia";" 081226897558";"-7.7842352";"110.6309211";"https://maps.google.com/?cid=0x0:0x583733fa3cb4ba66"
"toko bangunan";"Toko Bahan Bangunan";"Batu Pondasi Bangunan";"6JXC+WVJ, Ngeblak, Krakitan, Kec. Bayat, Kabupaten Klaten, Jawa Tengah";"Kabupaten Klaten, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";" 085643295128";"-7.7501585";"110.6221459";"https://maps.google.com/?cid=0x0:0x1b08e90a900d970a"
"toko bangunan";"Toko Bahan Bangunan";"Toko bangunan lancar bj";"Dusun I, Nanggulan, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463";"Nanggulan, Kec. Cawas, Kabupaten Klaten";"JAWA TENGAH";"57463";"Indonesia";" 085740634846";"-7.7834267";"110.6965759";"https://maps.google.com/?cid=0x0:0xf02bbc35d3417b19"
"toko bangunan";"Toko Bahan Bangunan";"Dinata Begel";"6M45+MVM, Dusun III, Jarum, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462";"Dusun III, Jarum, Kec. Bayat, Kabupaten Klaten";"JAWA TENGAH";"57462";"Indonesia";" 085728459432";"-7.7932942";"110.6596687";"https://maps.google.com/?cid=0x0:0x670b14549a47db9d"
"toko bangunan";"Toko Bahan Bangunan";"Amir's family";"6M2F+WJ4, Sendang, Ngerangan, Kec. Bayat, Kabupaten Klaten, Jawa Tengah";"Kabupaten Klaten, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";"";"-7.797746";"110.6740711";"https://maps.google.com/?cid=0x0:0xdc4f8e08e6dc3ac4"
"toko bangunan";"Toko";"Toko Bangunan Bambu Manis";"6MVW+7C2, Jl. By Pass Cawas, Dusun II, Cawas, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463";"Jl. By Pass Cawas, Dusun II, Cawas, Kec. Cawas, Kabupaten Klaten";"JAWA TENGAH";"57463";"Indonesia";" 08562561562";"-7.756869";"110.696014";"https://maps.google.com/?cid=0x0:0x389417372665c72e"
"toko bangunan";"Toko Bahan Bangunan";"Toko Bares Muda";"Jalan Raya Cawas, Bawak, Dusun II, Cawas, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463";"Bawak, Dusun II, Cawas, Kec. Cawas, Kabupaten Klaten";"JAWA TENGAH";"57463";"Indonesia";" 081369600500";"-7.759549";"110.695764";"https://maps.google.com/?cid=0x0:0xc5abe6e4dbee024"
"toko bangunan";"Toko Perlengkapan Rumah";"(TB Sumber Tani)";"Jl. Cawas-Weru, Dukuh, Barepan, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463";"Dukuh, Barepan, Kec. Cawas, Kabupaten Klaten";"JAWA TENGAH";"57463";"Indonesia";"";"-7.7636167";"110.7034092";"https://maps.google.com/?cid=0x0:0x5b319ba59b5bd140"
"toko bangunan";"Produsen Mesin";"Toko Bangunan REBIN JAYA";"Jl. Ngaran - Cawas, Sajen, Kec. Trucuk, Kabupaten Klaten, Jawa Tengah 57467";"Sajen, Kec. Trucuk, Kabupaten Klaten";"JAWA TENGAH";"57467";"Indonesia";" 085747924383";"-7.7319837";"110.6969908";"https://maps.google.com/?cid=0x0:0xb654d3d5c65ba236"
"toko bangunan";"Toko Bahan Bangunan";"Tb maju kembang";"6MWW+R2X, Jalan Pedan, Dusun I, Plosowangi, Cawas, Klaten Regency, Central Java 57463";"Jalan Pedan, Dusun I, Plosowangi, Cawas, Klaten Regency";"JAWA TENGAH";"57463";"Indonesia";"";"-7.752877";"110.6951127";"https://maps.google.com/?cid=0x0:0x60733cea9de27646"
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan  Alat listrik Karangmas";"Unnamed Road, Karangjati, Dusun II, Gombang, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463";"Karangjati, Dusun II, Gombang, Kec. Cawas, Kabupaten Klaten";"JAWA TENGAH";"57463";"Indonesia";" 085701016910";"-7.7348733";"110.7137433";"https://maps.google.com/?cid=0x0:0xf91bc01914d8ddbc"
"toko bangunan";"Toko Bahan Bangunan";"Toko Besi  Bahan Bangunan Putro Joyo";"Jl. Cawas - Bayat No.Km2, Dusun II, Banyuripan, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462";"Dusun II, Banyuripan, Kec. Bayat, Kabupaten Klaten";"JAWA TENGAH";"57462";"Indonesia";" 082243585524";"-7.7806307";"110.6648942";"https://maps.google.com/?cid=0x0:0xb9e9ec44fe75e317"
"toko bangunan";"Toko Perlengkapan Rumah";"Tb. Kurnia Muda";"7M4X+M4H, Jalan Pedan, Dusun I, Plosowangi, Cawas, Klaten Regency, Central Java 57463";"Jalan Pedan, Dusun I, Plosowangi, Cawas, Klaten Regency";"JAWA TENGAH";"57463";"Indonesia";" 088221371841";"-7.7433041";"110.6978673";"https://maps.google.com/?cid=0x0:0x3540159fa2cd2d30"
"toko bangunan";"Toko Bahan Bangunan";"TB. Sumber Tani Posis";"7P6R+JV9, Dusun II, Bogor, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463";"Dusun II, Bogor, Kec. Cawas, Kabupaten Klaten";"JAWA TENGAH";"57463";"Indonesia";" 08121527850";"-7.7384605";"110.7422489";"https://maps.google.com/?cid=0x0:0xdacdd715e45c1862"
"toko bangunan";"Toko Bahan Bangunan";"Tb. Barokah";"6MQW+P98, Jalan Raya Cawas, Bawak, Cawas, Dusun II, Cawas, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463";"Jalan Raya Cawas, Bawak, Cawas, Dusun II, Cawas, Kec. Cawas, Kabupaten Klaten";"JAWA TENGAH";"57463";"Indonesia";" 085642363883";"-7.7607075";"110.6959601";"https://maps.google.com/?cid=0x0:0x57b35968844c659"
"toko bangunan";"Toko Bahan Bangunan";"Tb SRI AGUNG";"6P46+JMV, Jl. Cawas - Bayat, Dusun II, Burikan, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463";"Jl. Cawas - Bayat, Dusun II, Burikan, Kec. Cawas, Kabupaten Klaten";"JAWA TENGAH";"57463";"Indonesia";"";"-7.7933908";"110.7116697";"https://maps.google.com/?cid=0x0:0xe2db062966f8e699"
"toko bangunan";"Toko Bahan Bangunan";"Toko Raja Baut";"Dusun I, Cawas, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463";"Cawas, Kec. Cawas, Kabupaten Klaten";"JAWA TENGAH";"57463";"Indonesia";" 0816884188";"-7.7629935";"110.7001321";"https://maps.google.com/?cid=0x0:0xb064357f59822e8c"
"toko bangunan";"Perusahaan Konstruksi";"UD. BATAKO SUPER RPK cawas";"6PP5+JM3, Dusun III, Cawas, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463";"Dusun III, Cawas, Kec. Cawas, Kabupaten Klaten";"JAWA TENGAH";"57463";"Indonesia";" 089502123937";"-7.7634839";"110.7091677";"https://maps.google.com/?cid=0x0:0x4d4d4ef17ed2a6f7"
"toko bangunan";"toko bangunan";"TB BERKAH JAYA";"Dusun II, Baran, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463";"Baran, Kec. Cawas, Kabupaten Klaten";"JAWA TENGAH";"57463";"Indonesia";" 08112669988";"-7.7521494";"110.7096072";"https://maps.google.com/?cid=0x0:0x65b83b18791f9e48"
"toko bangunan";"Toko Bahan Bangunan";"KS Toko Bangunan  Properti";"8MPF+2G2, Jl. Yudistira, Mondokan, Klepu, Kec. Ceper, Kabupaten Klaten, Jawa Tengah 57465";"Jl. Yudistira, Mondokan, Klepu, Kec. Ceper, Kabupaten Klaten";"JAWA TENGAH";"57465";"Indonesia";" 082327919989";"-7.6649829";"110.6737734";"https://maps.google.com/?cid=0x0:0x8e78ff6c17e97a68"
"toko bangunan";"Toko Bahan Bangunan";"TOKO BESI WULAN";"Jl. Ceper, Sendono, Infitex, Kec. Ceper, Kabupaten Klaten, Jawa Tengah 57465";"Sendono, Infitex, Kec. Ceper, Kabupaten Klaten";"JAWA TENGAH";"57465";"Indonesia";" 0272555422";"-7.670013";"110.676823";"https://maps.google.com/?cid=0x0:0xee04a5bddcb821ee"
"toko bangunan";"Toko Bahan Bangunan";""Toko Besi" Murah";"Ceper ceper Klaten, no. 15, Jagah, Kurung, Kec. Ceper, Kabupaten Klaten, Jawa Tengah 57465";"no. 15, Jagah, Kurung, Kec. Ceper, Kabupaten Klaten";"JAWA TENGAH";"57465";"Indonesia";" 0816677266";"-7.6776759";"110.6798147";"https://maps.google.com/?cid=0x0:0x8090d9c764e32782"
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan";"8MC2+92Q, Sumber Lor, Jombor, Kec. Ceper, Kabupaten Klaten, Jawa Tengah 57465";"Sumber Lor, Jombor, Kec. Ceper, Kabupaten Klaten";"JAWA TENGAH";"57465";"Indonesia";"";"-7.6790348";"110.6501193";"https://maps.google.com/?cid=0x0:0xdf394a2c8eb22fce"
"toko bangunan";"Toko Bahan Bangunan";"Tb Taruna Jaya";"8J6V+MJ5, Jl. Ngaran-Trucuk, Ngaran, Mlese, Kec. Ceper, Kabupaten Klaten, Jawa Tengah 57465";"Jl. Ngaran-Trucuk, Ngaran, Mlese, Kec. Ceper, Kabupaten Klaten";"JAWA TENGAH";"57465";"Indonesia";" 085100120680";"-7.6883516";"110.6441112";"https://maps.google.com/?cid=0x0:0x2c8a058a419b0583"
"toko bangunan";"Toko Bahan Bangunan";"UD. Gangsar";"8MPG+C8R, Jalan Stasiun, Mondokan, Klepu, Ceper, Klaten Regency, Central Java 57465";"Jalan Stasiun, Mondokan, Klepu, Ceper, Klaten Regency";"JAWA TENGAH";"57465";"Indonesia";" 0272552057";"-7.6638864";"110.6757612";"https://maps.google.com/?cid=0x0:0x80910df3d76ebd20"
