Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"mall";"Pusat Perbelanjaan";"Serba 35";"G6H3+743, Krajan, Trasan, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Krajan, Trasan, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";"";"-7.471875";"110.2028006";"https://maps.google.com/?cid=0x0:0xd0c589d3b587b600"
"mall";"Toko bahan makanan";"Asri Mart 2";"Jalan Magelang, G56J+M6C, Bandongan, Salam Dua, Salamkanci, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"G56J+M6C, Bandongan, Salam Dua, Salamkanci, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";" 085866408114";"-7.4883454";"110.1803084";"https://maps.google.com/?cid=0x0:0x19e47bc42f6d6a32"
"mall";"Pusat Perbelanjaan";"Warung Mb Muna";"G5MX+WV9, Sengon, Trasan, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Sengon, Trasan, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";" 085643088273";"-7.4652097";"110.1997429";"https://maps.google.com/?cid=0x0:0x9a9f7655708122a7"
"mall";"";"Armada Town Square";"Jl. Mayjen Bambang Soegeng No.1, Kedungdowo, Mertoyudan, Kec. Mertoyudan, Kabupaten Magelang, Jawa Tengah 56172";"Kedungdowo, Mertoyudan, Kec. Mertoyudan, Kabupaten Magelang";"JAWA TENGAH";"56172";"Indonesia";" 02933219000";"-7.503896";"110.2247823";"https://maps.google.com/?cid=0x0:0xdcc5039f57f46f63"
"mall";"Toko";"Ruko Merah";"G5JX+23C, Jalan Raya, Paingan, Trasan, Bandongan, Magelang Regency, Central Java 56151";"Jalan Raya, Paingan, Trasan, Bandongan, Magelang Regency";"JAWA TENGAH";"56151";"Indonesia";" 081380000641";"-7.4699404";"110.1976509";"https://maps.google.com/?cid=0x0:0xce891c50ba4fe0a0"
"mall";"Pusat Perbelanjaan";"Toko Arvinda";"G5MQ+MCC, Jalan Raya, Bandongan, Magelang Regency, Central Java 56151";"Jalan Raya, Bandongan, Magelang Regency";"JAWA TENGAH";"56151";"Indonesia";"";"-7.4658153";"110.1885097";"https://maps.google.com/?cid=0x0:0x7f4c146341a99469"
"mall";"";"Rizqi Milie Mart";"Jl. Raya Bandongan, Kalikalong, Gandusari, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Kalikalong, Gandusari, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";"";"-7.4496145";"110.1935846";"https://maps.google.com/?cid=0x0:0xbd704666428b4014"
"mall";"Grosir";"FB sembako";"Jl. Raden Abdulloh No.depan, Wancen, pasar burung, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Wancen, pasar burung, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";" 085713003329";"-7.4671319";"110.1917375";"https://maps.google.com/?cid=0x0:0xa3b856d43847bc5b"
"mall";"Pusat Perbelanjaan";"HNI BISNIS CENTER MAGELANG 1";"G6W6+X42, Unnamed Road, Mlagen, Sidorejo, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Unnamed Road, Mlagen, Sidorejo, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";" 085729294706";"-7.4526115";"110.2102807";"https://maps.google.com/?cid=0x0:0x14bb1747a73e78ba"
"mall";"Pusat Perbelanjaan";"On Line Store Mb Sol";"G57H+2V4, Salam Satu, Salamkanci, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Salam Satu, Salamkanci, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";"";"-7.4874915";"110.1796951";"https://maps.google.com/?cid=0x0:0x21fdb19d876f4c43"
