Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"Komplek perumahan";"Puri Bandongan Asri";"Jalan Jagalan, Wancen, Beran Lor, Bandongan, Magelang Regency, Central Java 56151";"Wancen, Beran Lor, Bandongan, Magelang Regency";"JAWA TENGAH";"56151";"Indonesia";" 087834294089";"-7.471301";"110.1885986";"https://maps.google.com/?cid=0x0:0xa5cfb974601ad2e4"
"perumahan";"Komplek perumahan";"Silanda Home";"G59W+2J3, Mendak Selatan, Banyuwangi, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Mendak Selatan, Banyuwangi, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";" 081226129399";"-7.4825103";"110.1962917";"https://maps.google.com/?cid=0x0:0x836ca2641401a9e6"
"perumahan";"Komplek perumahan";"Perumahan bengkok indah";"H43W+96H, Jl. Raya Balerejo, Karanglo, Kalegen, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Jl. Raya Balerejo, Karanglo, Kalegen, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";" 085750022224";"-7.4465595";"110.1456035";"https://maps.google.com/?cid=0x0:0x10bea2b4821a0125"
"perumahan";"Komplek perumahan";"Magview Hills Residence";"Jl. Raya Bandongan No.2014, Krjan, Bandongan, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Krjan, Bandongan, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";"";"-7.4673667";"110.191665";"https://maps.google.com/?cid=0x0:0xf9e46d0652065725"
"perumahan";"Perumahan";"Jangkungan gandusari bandongan";"G5VJ+7GF, Jangkungan, Gandusari, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Jangkungan, Gandusari, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";"";"-7.4568195";"110.1813104";"https://maps.google.com/?cid=0x0:0x80c0857605442901"
"perumahan";"Komplek perumahan";"Rumah Zain ahsani";"G5XG+MFH, Cangakan, Gandusari, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Cangakan, Gandusari, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";" 083857645771";"-7.4503929";"110.1761385";"https://maps.google.com/?cid=0x0:0xa644458dbeadb918"
"perumahan";"Pembangunan Perumahan";"Kedungan, Kedungsari, Bandongan, Magelang";"Kedungan 002/002, Kedungan, Kedungsari, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Kedungan, Kedungsari, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";"";"-7.5060061";"110.1848868";"https://maps.google.com/?cid=0x0:0x2158f295b3bfc229"
"perumahan";"Komplek perumahan";"Mbah Pani";"G5HP+R3J, Jl. Yahya Solikhin, Sambirejo, Bandongan, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Jl. Yahya Solikhin, Sambirejo, Bandongan, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";"";"-7.4704153";"110.18514";"https://maps.google.com/?cid=0x0:0x2e2a428736388d48"
"perumahan";"Komplek perumahan";"Kalisalak, Bandongan";"G5FH+CWC, Unnamed Road, Kalisalak, Bandongan, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Unnamed Road, Kalisalak, Bandongan, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";"";"-7.4764265";"110.1797649";"https://maps.google.com/?cid=0x0:0x897b34d181a41eb7"
"perumahan";"Pembangunan Perumahan";"Ipan";"G5HP+QVP, Beren, Beran, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Beren, Beran, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";"";"-7.4705459";"110.1872012";"https://maps.google.com/?cid=0x0:0x66f8a3b690f3f4b"
"perumahan";"Komplek perumahan";"Raffa' house";"jalan guntur No.2, Guntur, Rejosari, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Guntur, Rejosari, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";"";"-7.4448967";"110.2069467";"https://maps.google.com/?cid=0x0:0xd20662ff4b3c7199"
"perumahan";"perumahan";"Muaman.";"G5X9+VXX, Cangakan, Gandusari, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Cangakan, Gandusari, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";"";"-7.4502649";"110.1699754";"https://maps.google.com/?cid=0x0:0x6624e5e258c768a8"
"perumahan";"Komplek perumahan";"Dewi";"G5MX+5WR, Sengon, Trasan, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"Sengon, Trasan, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";"";"-7.4670192";"110.1997717";"https://maps.google.com/?cid=0x0:0x7d30e0e5c330bb3"
"perumahan";"perumahan";"Rumah";"G5PM+42Q, RT.02/RW.05, Karang Kulon, Bandongan, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151";"RT.02/RW.05, Karang Kulon, Bandongan, Kec. Bandongan, Kabupaten Magelang";"JAWA TENGAH";"56151";"Indonesia";"";"-7.4646671";"110.1826214";"https://maps.google.com/?cid=0x0:0x39f0964a27712df"
"perumahan";"Pembangunan Perumahan";"Casa De Borobudur";"Keborengit, Tegalarum, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56413";"Tegalarum, Kec. Borobudur, Kabupaten Magelang";"JAWA TENGAH";"56413";"Indonesia";" 08112518300";"-7.591898";"110.1720389";"https://maps.google.com/?cid=0x0:0xc99720301dee5d32"
"perumahan";"Komplek perumahan";"DUTA NIRWANA BOROBUDUR REGENCY";"Susukan, Tegalarum, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56413";"Tegalarum, Kec. Borobudur, Kabupaten Magelang";"JAWA TENGAH";"56413";"Indonesia";" 085869998119";"-7.5912927";"110.1654727";"https://maps.google.com/?cid=0x0:0x8e0cdd8dcb1697e2"
