Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"Komplek perumahan";"Griya Batur Asri";"Sawah, Batursari, Kec. Batangan, Kabupaten Pati, Jawa Tengah 59186";"Batursari, Kec. Batangan, Kabupaten Pati";"JAWA TENGAH";"59186";"Indonesia";" 081325618253";"-6.7059025";"111.2340912";"https://maps.google.com/?cid=0x0:0x671729ee1007bbb"
"perumahan";"perumahan";"Abugan family";"76M8+8MM, Sawah, kalyente, Kec. Batangan, Kabupaten Pati, Jawa Tengah 476";"Kabupaten Pati, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";"";"-6.716667";"111.216667";"https://maps.google.com/?cid=0x0:0x9d250755f3c47c58"
"perumahan";"perumahan";"Rumah marniya";"76M8+8MM, Sawah, Batursari, Kec. Batangan, Kabupaten Pati, Jawa Tengah";"Kabupaten Pati, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";"";"-6.716667";"111.216667";"https://maps.google.com/?cid=0x0:0xf21002ded50c49b6"
"perumahan";"Komplek perumahan";"Perum Griya Mulya Asri Dukuhmulyo Jakenan Pati";"65X4+FW2, Perum Jl. Perumahan Griya Mulya Asri, Ngembe, Dukuhmulyo, Kec. Jakenan, Kabupaten Pati, Jawa Tengah 59182";"Perum Jl. Perumahan Griya Mulya Asri, Ngembe, Dukuhmulyo, Kec. Jakenan, Kabupaten Pati";"JAWA TENGAH";"59182";"Indonesia";" 081325618253";"-6.7503915";"111.1565013";"https://maps.google.com/?cid=0x0:0xb1e7f5cf274a1cbd"
"perumahan";"Panti sosial";"RUMAH SUHARDI";"RW003, RT.007, Kec. Batangan";"Kabupaten Pati, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";"";"-6.716667";"111.216667";"https://maps.google.com/?cid=0x0:0xcf457203d5f617cb"
"perumahan";"perumahan";"Batangan";"Sawah, Batursari, Kec. Batangan, Kabupaten Pati, Jawa Tengah";"Kabupaten Pati, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";"";"-6.716667";"111.216667";"https://maps.google.com/?cid=0x0:0xa2c6db737542a942"
"perumahan";"Pembangunan Perumahan";"Perumahan Subsidi Pati. BUKIT SANTIKA BARU";"Jl. Pati - Gembong No.km 05, Serut, Kedungbulus, Kec. Gembong, Kabupaten Pati, Jawa Tengah 59162";"Serut, Kedungbulus, Kec. Gembong, Kabupaten Pati";"JAWA TENGAH";"59162";"Indonesia";" 081255180536";"-6.7196205";"110.9853666";"https://maps.google.com/?cid=0x0:0x5fcdf3c2927546a0"
"perumahan";"Komplek perumahan";"Perumahan Subsidi Bukit Santika Baru 2";"Jl. Pati - Gembong, Area Sawah/Perkebunan, Wonosekar, Kec. Gembong, Kabupaten Pati, Jawa Tengah 59162";"Area Sawah/Perkebunan, Wonosekar, Kec. Gembong, Kabupaten Pati";"JAWA TENGAH";"59162";"Indonesia";" 085179934744";"-6.7036979";"110.973426";"https://maps.google.com/?cid=0x0:0xcdadca648b58d1d5"
"perumahan";"Komplek perumahan";"Perumahan Sarirejo Emerald Cluster";"Gg. Meteor, Sarirejo, Kec. Pati, Kabupaten Pati, Jawa Tengah 59118";"Sarirejo, Kec. Pati, Kabupaten Pati";"JAWA TENGAH";"59118";"Indonesia";" 081901888825";"-6.7479019";"111.0542286";"https://maps.google.com/?cid=0x0:0x704297e1ce2cea5e"
"perumahan";"perumahan";"Mentok jumboayam bangkok";"74C7+7RQ, RT.2 rw4, Tambak, Gadingrejo, Kec. Juwana, Kabupaten Pati, Jawa Tengah";"Kabupaten Pati, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";"";"-6.7292841";"111.114596";"https://maps.google.com/?cid=0x0:0xf5d88fdb62bda5ae"
