Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"toko bangunan";"toko bangunan";"Jawa Tengah 54174";"Kec. Bagelen, Kabupaten Purworejo, Jawa Tengah";"Kabupaten Purworejo, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";"";"-7.8228358";"110.0330554";"https://maps.google.com/?cid=0x0:0x1c00c5eb5b53b850"
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Jelamprang";"JL. Nyi Bagelen, Km. 1, Cangkrep Lor, Bagelen, Kec. Bagelen, Kabupaten Purworejo, Jawa Tengah 54174";"Km. 1, Cangkrep Lor, Bagelen, Kec. Bagelen, Kabupaten Purworejo";"JAWA TENGAH";"54174";"Indonesia";" 0275324740";"-7.7301664";"110.0301162";"https://maps.google.com/?cid=0x0:0x9b52e5d04af028f2"
"toko bangunan";"Toko Bahan Bangunan";"TB. Wijaya Seno";"Jl. Jogja No.KM.12, Kanman Timur, Bagelen, Kec. Bagelen, Kabupaten Purworejo, Jawa Tengah 54174";"Kanman Timur, Bagelen, Kec. Bagelen, Kabupaten Purworejo";"JAWA TENGAH";"54174";"Indonesia";" 081328228001";"-7.8198451";"110.0164344";"https://maps.google.com/?cid=0x0:0xadde8f8dbd7e7841"
"toko bangunan";"Toko Bahan Bangunan";"UD Harum Jaya";"62FH+PQV, Jl. Bagelen - Cangkrep, Kibon, Piji, Kec. Bagelen, Kabupaten Purworejo, Jawa Tengah 54174";"Jl. Bagelen - Cangkrep, Kibon, Piji, Kec. Bagelen, Kabupaten Purworejo";"JAWA TENGAH";"54174";"Indonesia";" 081328709388";"-7.7756438";"110.0294257";"https://maps.google.com/?cid=0x0:0x3dfd29f61d451fe4"
"toko bangunan";"Toko Bahan Bangunan";"TB. ALFAZZA";"Jl. Purworejo - Jogja No.km, 12,5, Kanman Timur, Bagelen, Kec. Bagelen, Kabupaten Purworejo, Jawa Tengah 54174";"12,5, Kanman Timur, Bagelen, Kec. Bagelen, Kabupaten Purworejo";"JAWA TENGAH";"54174";"Indonesia";"";"-7.822409";"110.0164756";"https://maps.google.com/?cid=0x0:0x16ccafd2e43aee92"
"toko bangunan";"Toko Perlengkapan Rumah";"Toko Mebel dan Distributor Air Ikhtiyar Barokah";"42FV+W3M, Jl. Ringroad Barat, Dusun II, Dadirejo, Kec. Bagelen, Kabupaten Purworejo, Jawa Tengah 54174";"Jl. Ringroad Barat, Dusun II, Dadirejo, Kec. Bagelen, Kabupaten Purworejo";"JAWA TENGAH";"54174";"Indonesia";"";"-7.8751702";"110.0426699";"https://maps.google.com/?cid=0x0:0xb61d3fde99ff52c0"
"toko bangunan";"Toko Bahan Bangunan";"CV. KARYA INDAH";"628G+2WJ, Jl. Bagelen - Cangkrep, Kebo Kuning II, Soko, Kec. Bagelen, Kabupaten Purworejo, Jawa Tengah 54174";"Jl. Bagelen - Cangkrep, Kebo Kuning II, Soko, Kec. Bagelen, Kabupaten Purworejo";"JAWA TENGAH";"54174";"Indonesia";" 0275321669";"-7.7849212";"110.0272616";"https://maps.google.com/?cid=0x0:0x38274f59263f8493"
"toko bangunan";"Toko Bahan Bangunan";"TB. Putra Mandiri";"524C+W3Q, Jl. Nasional III, Pucungan, Bapangsari, Kec. Bagelen, Kabupaten Purworejo, Jawa Tengah 54174";"Jl. Nasional III, Pucungan, Bapangsari, Kec. Bagelen, Kabupaten Purworejo";"JAWA TENGAH";"54174";"Indonesia";" 081387690101";"-7.8426674";"110.0202455";"https://maps.google.com/?cid=0x0:0x545c8c9b45bd11c4"
"toko bangunan";"Toko Bahan Bangunan";"CV.Ananda Cipta Karsa";"62HJ+J56, Krajan Kidul, Piji, Kec. Bagelen, Kabupaten Purworejo, Jawa Tengah 54174";"Krajan Kidul, Piji, Kec. Bagelen, Kabupaten Purworejo";"JAWA TENGAH";"54174";"Indonesia";" 08121461118";"-7.7709704";"110.0303848";"https://maps.google.com/?cid=0x0:0xe7b96bae7d2199c9"
"toko bangunan";"Toko Bahan Bangunan";"TB Djadi MG";"JL. Yogya, Km. 12.5, Bagelen, Area Sawah, Krendetan, Purworejo, Kabupaten Purworejo, Jawa Tengah 54174";"Km. 12.5, Bagelen, Area Sawah, Krendetan, Purworejo, Kabupaten Purworejo";"JAWA TENGAH";"54174";"Indonesia";" 082134581964";"-7.8253514";"110.0164547";"https://maps.google.com/?cid=0x0:0x6d5024b9394b7a16"
"toko bangunan";"Toko Bahan Bangunan";"Warung Bangunan “SPR”";"Jl. Karangjati, Krendetan, Kec. Bagelen, Kabupaten Purworejo, Jawa Tengah 54174";"Krendetan, Kec. Bagelen, Kabupaten Purworejo";"JAWA TENGAH";"54174";"Indonesia";" 082243512320";"-7.8279997";"110.0186733";"https://maps.google.com/?cid=0x0:0xefcd4e3aabe52803"
"toko bangunan";"Toko";"Toko Giarto";"625G+945, Jl. Bagelen - Cangkrep, Clapar Kidul, Clapar, Kec. Bagelen, Kabupaten Purworejo, Jawa Tengah 54174";"Jl. Bagelen - Cangkrep, Clapar Kidul, Clapar, Kec. Bagelen, Kabupaten Purworejo";"JAWA TENGAH";"54174";"Indonesia";" 082225513812";"-7.7916147";"110.0253504";"https://maps.google.com/?cid=0x0:0xc42c8aeac95f25de"
"toko bangunan";"Toko Bahan Bangunan";"Berkah Mandiri";"42RP+3QH, Dusun II, Dadirejo, Kec. Bagelen, Kabupaten Purworejo, Jawa Tengah 54174";"Dusun II, Dadirejo, Kec. Bagelen, Kabupaten Purworejo";"JAWA TENGAH";"54174";"Indonesia";"";"-7.8592205";"110.0361008";"https://maps.google.com/?cid=0x0:0xaa6766e3e311c9fd"
"toko bangunan";"Toko Bahan Bangunan";"Tb. Suprihatin";"Pucungan, Bapangsari, Kec. Bagelen, Kabupaten Purworejo, Jawa Tengah";"Kabupaten Purworejo, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";"";"-7.8410852";"110.0195483";"https://maps.google.com/?cid=0x0:0xceb22a9dcd22d445"
"toko bangunan";"toko bangunan";"Jawa Tengah 54171";"Kec. Banyuurip, Kabupaten Purworejo, Jawa Tengah";"Kabupaten Purworejo, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";"";"-7.7633015";"109.9854145";"https://maps.google.com/?cid=0x0:0x1c00c5eb5b53b820"
"toko bangunan";"Toko Bahan Bangunan";"TOKO BANGUNAN 88";"7X56+CG2, Krajan, Sokowaten, Kec. Banyuurip, Kabupaten Purworejo, Jawa Tengah 54171";"Krajan, Sokowaten, Kec. Banyuurip, Kabupaten Purworejo";"JAWA TENGAH";"54171";"Indonesia";" 085848483868";"-7.7414325";"109.9613381";"https://maps.google.com/?cid=0x0:0x1a8460b5599c6248"
"toko bangunan";"Toko Bahan Bangunan";"Tb Kis Jaya";"6WJR+2G3, Dusun I, Seborokrapyak, Kec. Banyuurip, Kabupaten Purworejo, Jawa Tengah 54171";"Dusun I, Seborokrapyak, Kec. Banyuurip, Kabupaten Purworejo";"JAWA TENGAH";"54171";"Indonesia";" 081328413854";"-7.7699862";"109.9413037";"https://maps.google.com/?cid=0x0:0x25b2d184b4009a80"
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Jelamprang 3 UD Sumber Berkah";"62R3+PJR, Jl. Nasional III, Gegunungan, Popongan, Kec. Banyuurip, Kabupaten Purworejo, Jawa Tengah 54171";"Jl. Nasional III, Gegunungan, Popongan, Kec. Banyuurip, Kabupaten Purworejo";"JAWA TENGAH";"54171";"Indonesia";" 082227734580";"-7.7581461";"110.0040212";"https://maps.google.com/?cid=0x0:0x19c6b8df4f30a302"
"toko bangunan";"Toko Bahan Bangunan";"TB NUGROHO";"Dusun I, Seborokrapyak, Kec. Banyuurip, Kabupaten Purworejo, Jawa Tengah 54171";"Seborokrapyak, Kec. Banyuurip, Kabupaten Purworejo";"JAWA TENGAH";"54171";"Indonesia";" 085228875359";"-7.7646751";"109.9447789";"https://maps.google.com/?cid=0x0:0x3c95fa5c41bca163"
"toko bangunan";"Toko Cat";"Toko Besi MITRA MAJU/PF";"6XVF+M6W, Jl. Raya Banyu Urip, Sentaan Satu, Sumber Sari, Kec. Banyuurip, Kabupaten Purworejo, Jawa Tengah 54171";"Jl. Raya Banyu Urip, Sentaan Satu, Sumber Sari, Kec. Banyuurip, Kabupaten Purworejo";"JAWA TENGAH";"54171";"Indonesia";" 085328799922";"-7.7557723";"109.9730736";"https://maps.google.com/?cid=0x0:0xd4c966556dde2d08"
