Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"Toko Bahan Bangunan";"Tb. Mulia Jaya";"P42Q+W28, Kauman, Ngimbrang, Kec. Bulu, Kabupaten Temanggung, Jawa Tengah 56253";"Kauman, Ngimbrang, Kec. Bulu, Kabupaten Temanggung";"JAWA TENGAH";"56253";"Indonesia";" 081239805005";"";"";"-7.2977196";"110.1375687";"https://maps.google.com/?cid=0x0:0xedeb1ffcb89c88";""
"building materials";"Toko Bahan Bangunan";"TB WIRATAMA";"M3FX+V86, Telodas, Pagergunung, Kec. Bulu, Kabupaten Temanggung, Jawa Tengah 56253";"Telodas, Pagergunung, Kec. Bulu, Kabupaten Temanggung";"JAWA TENGAH";"56253";"Indonesia";"";"";"";"-7.3253463";"110.0982746";"https://maps.google.com/?cid=0x0:0xf5520c5f4a0a524e";""
"building materials";"Toko Bahan Bangunan";"TB Cakra Ngimbrang";"P44M+HPP, Jalan, Sawah, Ngimbrang, Bulu, Temanggung Regency, Central Java 56253";"Jalan, Sawah, Ngimbrang, Bulu, Temanggung Regency";"JAWA TENGAH";"56253";"Indonesia";" 085325873568";"";"";"-7.2935375";"110.1343178";"https://maps.google.com/?cid=0x0:0x285c21673be0384";""
"building materials";"Toko Bahan Bangunan";"TB. Warga Jaya";"Jalan, Sawah, Danupayan, Bulu, Temanggung Regency, Central Java 56253";"Sawah, Danupayan, Bulu, Temanggung Regency";"JAWA TENGAH";"56253";"Indonesia";"";"";"";"-7.3064158";"110.149369";"https://maps.google.com/?cid=0x0:0x5925b9c848e5c6a0";""
"building materials";"Toko Bahan Bangunan";"Toko Besi Laris";"P45J+W48, Jl. Bulu - Parakan, Wolodono, Bulu, Kec. Bulu, Kabupaten Temanggung, Jawa Tengah 56253";"Jl. Bulu - Parakan, Wolodono, Bulu, Kec. Bulu, Kabupaten Temanggung";"JAWA TENGAH";"56253";"Indonesia";" 085743560606";"";"";"-7.2902039";"110.1303202";"https://maps.google.com/?cid=0x0:0xd687be1bce3793f1";""
"building materials";"Pemasok bahan paving blok";"Ray Batako Dan Paving";"M4V3+XJ2, Ngadisari, Gondosuli, Kec. Bulu, Kabupaten Temanggung, Jawa Tengah 56253";"Ngadisari, Gondosuli, Kec. Bulu, Kabupaten Temanggung";"JAWA TENGAH";"56253";"Indonesia";" 082242426133";"";"";"-7.3051187";"110.1040252";"https://maps.google.com/?cid=0x0:0x4c956930fdb41c2e";""
"building materials";"Toko Bahan Bangunan";"TB puntuk sari";"M4X5+32H, Jl, RT.02/RW.03, Ngadisari, Gondosuli, Kec. Bulu, Kabupaten Temanggung, Jawa Tengah 56253";"Jl, RT.02/RW.03, Ngadisari, Gondosuli, Kec. Bulu, Kabupaten Temanggung";"JAWA TENGAH";"56253";"Indonesia";" 08562727298";"";"";"-7.3023061";"110.1076047";"https://maps.google.com/?cid=0x0:0xbf4da152b37facdf";""
"building materials";"Toko Bahan Bangunan";"SANDI PLAFON PVC PARAKAN";"DS SOJAYAN, Jl. Temanggung Bulu, RT.03/RW.01, Sawah, Campursari, Kec. Bulu, Kabupaten Temanggung, Jawa Tengah 53253";"Jl. Temanggung Bulu, RT.03/RW.01, Sawah, Campursari, Kec. Bulu, Kabupaten Temanggung";"JAWA TENGAH";"53253";"Indonesia";" 087867926777";"";"";"-7.2868886";"110.123509";"https://maps.google.com/?cid=0x0:0x6250e6cfea2f54c3";""
"building materials";"Toko Bahan Bangunan";"TB Cycloop";"Jl. Perintis Kemerdekaan No.Km. 1,7, Krajan, Tlogorejo, Kec. Temanggung, Kabupaten Temanggung, Jawa Tengah 56229";"Krajan, Tlogorejo, Kec. Temanggung, Kabupaten Temanggung";"JAWA TENGAH";"56229";"Indonesia";" 081546051198";"";"";"-7.302933";"110.1625149";"https://maps.google.com/?cid=0x0:0xf5d972ad495b8dee";""
"building materials";"Pabrik Bangunan Portabel";"KARISMA Plywood - Blockboard - Supplier Pabrik Distributor";"Jl. Raya Kedu - Parakan No.Km.02, RW.No.89, Tegalsari, Campursari, Kec. Temanggung, Kabupaten Temanggung, Jawa Tengah 56253";"RW.No.89, Tegalsari, Campursari, Kec. Temanggung, Kabupaten Temanggung";"JAWA TENGAH";"56253";"Indonesia";" 081299887937";"";"";"-7.2798189";"110.1194303";"https://maps.google.com/?cid=0x0:0x1f1c10e8962ca378";""
"building materials";"Toko Bahan Bangunan";"Depo Bahan bangunan Putra Rejeki";"Jl. Pahlawan No.1, Area Sawah, Wanutengah, Kec. Parakan, Kabupaten Temanggung, Jawa Tengah 56254";"Area Sawah, Wanutengah, Kec. Parakan, Kabupaten Temanggung";"JAWA TENGAH";"56254";"Indonesia";" 081215450976";"";"/url?q>>u003dhttps://instagram.com/putrarejekiprk%3Figshid%3D1jlvzcap7waoi>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwj_kYb1oY2MAxWNT2cHHTSiGokQ61gIFigS>>u0026usg>>u003dAOvVaw22G2DDXEAoRUvQ3iqLyfvV";"-7.286352";"110.1072338";"https://maps.google.com/?cid=0x0:0x4722e97aa28a364e";""
"building materials";"Toko Bahan Bangunan";"TB Putra Wahyu Jaya";"Jl. Bulu - Parakan No.km 2, Swatu, Campursari, Kec. Bulu, Kabupaten Temanggung, Jawa Tengah 56253";"Swatu, Campursari, Kec. Bulu, Kabupaten Temanggung";"JAWA TENGAH";"56253";"Indonesia";"";"";"";"-7.2858726";"110.1187543";"https://maps.google.com/?cid=0x0:0x3e599fdbaae4eae4";""
"building materials";"Kantor Perusahaan";"Morodadi 2";"P444+VJ3, Jalan Raya, Sawah Hutan, Gondosuli, Kec. Bulu, Kabupaten Temanggung, Jawa Tengah 56253";"Jalan Raya, Sawah Hutan, Gondosuli, Kec. Bulu, Kabupaten Temanggung";"JAWA TENGAH";"56253";"Indonesia";"";"";"";"-7.2928158";"110.1065256";"https://maps.google.com/?cid=0x0:0x6bb9768dffcca63f";""
"building materials";"Toko Bahan Bangunan";"Omahe budi";"Balong, Bansari, Kec. Bulu, Kabupaten Temanggung, Jawa Tengah 56253";"Bansari, Kec. Bulu, Kabupaten Temanggung";"JAWA TENGAH";"56253";"Indonesia";" 082323362646";"";"";"-7.325487";"110.115202";"https://maps.google.com/?cid=0x0:0x370c3a78af32efaa";""
"building materials";"Toko Bahan Bangunan";"TB. Gunung Agung";"Jl. Pangeran Diponegoro No.102, Klewogan, Parakan Kauman, Kec. Parakan, Kabupaten Temanggung, Jawa Tengah 56254";"Klewogan, Parakan Kauman, Kec. Parakan, Kabupaten Temanggung";"JAWA TENGAH";"56254";"Indonesia";" 0293596033";"";"";"-7.2853872";"110.0998413";"https://maps.google.com/?cid=0x0:0x41d445ef38a92ba";""
"building materials";"Toko Bahan Bangunan";"TB Sumber Hasil";"P4C4+34W, Jl. Campur Salam, Kemalangan, Parakan Wetan, Kec. Parakan, Kabupaten Temanggung, Jawa Tengah 56254";"Jl. Campur Salam, Kemalangan, Parakan Wetan, Kec. Parakan, Kabupaten Temanggung";"JAWA TENGAH";"56254";"Indonesia";" 0293596270";"";"";"-7.2797539";"110.1053425";"https://maps.google.com/?cid=0x0:0x534b5ef2c026f94";""
"building materials";"Toko Bahan Bangunan";"TB Sumber Baru";"Kalibetung, Banjarsari, Kec. Ngadirejo, Kabupaten Temanggung, Jawa Tengah";"Kabupaten Temanggung, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";"";"";"";"-7.2659558";"110.0585536";"https://maps.google.com/?cid=0x0:0x775f69c35211a81f";""
"building materials";"Toko Bahan Bangunan";"TB Salaman baru";"Jl. Aip Mungkar No.38, Sumbersari, Parakan Wetan, Kec. Parakan, Kabupaten Temanggung, Jawa Tengah 56254";"Sumbersari, Parakan Wetan, Kec. Parakan, Kabupaten Temanggung";"JAWA TENGAH";"56254";"Indonesia";"";"";"";"-7.2838366";"110.1069545";"https://maps.google.com/?cid=0x0:0xb04b40415e5b98ba";""
"building materials";"Toko Bahan Bangunan";"Supermarket Bangunan Elindo Parakan Temanggung";"Jalan Raya Parakan-Ngadirejo, Traji, Kec. Parakan, Kabupaten Temanggung, Jawa Tengah 56254";"Traji, Kec. Parakan, Kabupaten Temanggung";"JAWA TENGAH";"56254";"Indonesia";"";"";"";"-7.2633673";"110.084535";"https://maps.google.com/?cid=0x0:0x7b6843206866c3c1";""
"building materials";"Toko Kayu";"UD. Rizki Kayu";"Rt 03/ rw 02, Growo, Sawah, Danupayan, Kec. Bulu, Kabupaten Temanggung, Jawa Tengah 56253";"Growo, Sawah, Danupayan, Kec. Bulu, Kabupaten Temanggung";"JAWA TENGAH";"56253";"Indonesia";" 081226912154";"";"";"-7.3049264";"110.1464153";"https://maps.google.com/?cid=0x0:0xf28d59bdc783a1c1";""
"building materials";"building materials";"Jawa Tengah 56253";"Kabupaten Temanggung, Jawa Tengah";"Kabupaten Temanggung, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";"";"";"";"-7.3263037";"110.1045229";"https://maps.google.com/?cid=0x0:0x1c00c5eb5b53c720";""
"building materials";"Toko Bahan Bangunan";"TB Garuda Jaya";"Jl. Pangeran Diponegoro No.73, Jogomertan, Parakan Kauman, Kec. Parakan, Kabupaten Temanggung, Jawa Tengah 56254";"Jogomertan, Parakan Kauman, Kec. Parakan, Kabupaten Temanggung";"JAWA TENGAH";"56254";"Indonesia";"";"";"";"-7.2855318";"110.1008584";"https://maps.google.com/?cid=0x0:0xa1d59a312d50a477";""
"building materials";"Toko Bahan Bangunan";"TB. Wahyu Jaya";"Jl. Raya Kedu No.Km. 3, Sanggrahan, Mojotengah, Kec. Parakan, Kabupaten Temanggung, Jawa Tengah 56252";"Sanggrahan, Mojotengah, Kec. Parakan, Kabupaten Temanggung";"JAWA TENGAH";"56252";"Indonesia";" 0293597106";"";"";"-7.2768029";"110.1428251";"https://maps.google.com/?cid=0x0:0xe1eca0c6edeb64e";""
