Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"The Wujil Resort  Conventions, Ungaran - Semarang";"Jl. Soekarno Hatta No.km 25, RW.5, Setiggen, Wujil, Kec. Bergas, Kabupaten Semarang, Jawa Tengah 50552";"RW.5, Setiggen, Wujil, Kec. Bergas, Kabupaten Semarang";"JAWA TENGAH";"50552";"Indonesia";" 02476510707";"";"/url?q>>u003dhttps://www.thewujilresort.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwj9nKH4sYuMAxWTSWwGHW9fNYAQ61gIFigS>>u0026usg>>u003dAOvVaw0J02X1vnAVE0I_ww0H1FsL";"-7.1735664";"110.4156804";"https://maps.google.com/?cid=0x0:0xa8202814f4edc3f8";""
"hotel";"hotel";"N/A";"";"";"JAWA TENGAH";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xa8202814f4edc3f8%7C/g/1hm59cy6y%7Cen-ID";""
"hotel";"hotel";"Griya Katarina";"Jl. Tentara Pelajar, Kerep, Panjang, Kec. Ambarawa, Kabupaten Semarang, Jawa Tengah 50614";"Kerep, Panjang, Kec. Ambarawa, Kabupaten Semarang";"JAWA TENGAH";"50614";"Indonesia";" 0298591940";"";"/url?q>>u003dhttp://www.griyakatarina.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi6_-_4sYuMAxXBr5UCHa6MDfsQ61gIFigS>>u0026usg>>u003dAOvVaw1OAZCr7TpJ73HJOEbzD7Nr";"-7.2565102";"110.3997389";"https://maps.google.com/?cid=0x0:0x90f395500acb5c3a";""
"hotel";"hotel";"Dusun The Villas";"Dusun Semilir, Jl. Soekarno - Hatta No.49, Ngemple, Bawen, Kec. Bawen, Kabupaten Semarang, Jawa Tengah 50661";"Jl. Soekarno - Hatta No.49, Ngemple, Bawen, Kec. Bawen, Kabupaten Semarang";"JAWA TENGAH";"50661";"Indonesia";" 082219991737";"";"";"-7.2391418";"110.4329704";"https://maps.google.com/?cid=0x0:0xc47033a0ff4e5918";""
"hotel";"hotel";"ANA INN";"Jl. Tentara Pelajar No.23, Panjang Lor, Panjang, Kec. Ambarawa, Kabupaten Semarang, Jawa Tengah 50614";"Panjang Lor, Panjang, Kec. Ambarawa, Kabupaten Semarang";"JAWA TENGAH";"50614";"Indonesia";" 0895417300072";"";"";"-7.2574737";"110.4001118";"https://maps.google.com/?cid=0x0:0x3c31b51105665b1a";""
"hotel";"hotel";"Crown Guest House";"Jalan Kartini No.7, Ngrawan Kidul, Bawen, Kec. Bawen, Kabupaten Semarang, Jawa Tengah 50661";"Ngrawan Kidul, Bawen, Kec. Bawen, Kabupaten Semarang";"JAWA TENGAH";"50661";"Indonesia";" 0811275845";"";"/url?q>>u003dhttps://crownguesthouseamb.wixsite.com/crownguesthouse>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjGxu36sYuMAxVXyDgGHTdlLGkQ61gIFigS>>u0026usg>>u003dAOvVaw1CxDfIcFeIjSTcKH0FeGl2";"-7.2474959";"110.4195767";"https://maps.google.com/?cid=0x0:0x303a5d6a1daf821e";""
"hotel";"hotel";"N/A";"";"";"JAWA TENGAH";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x3c31b51105665b1a%7C/g/11fl7b7cqs%7Cen-ID";""
"hotel";"hotel";"Terra Cassa Hotel Bandungan";"Jl. P.Diponegoro No.KM 1, Jetis, Bandungan, Kabupaten Semarang, Jawa Tengah 50614";"Jetis, Bandungan, Kabupaten Semarang";"JAWA TENGAH";"50614";"Indonesia";" 0298711111";"";"";"-7.2236839";"110.3662311";"https://maps.google.com/?cid=0x0:0xb8b9ce49fa407b22";""
"hotel";"hotel";"N/A";"";"";"JAWA TENGAH";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x303a5d6a1daf821e%7C/g/11b73jm362%7Cen-ID";""
"hotel";"hotel";"N/A";"";"";"JAWA TENGAH";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xb8b9ce49fa407b22%7C/g/11f3s148rc%7Cen-ID";""
