Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Pusat Perbelanjaan";"MAESTRO MART LESTARI BARU";"HRMM+WQ6, Sarigunan, Kabayanan I, Kragilan, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 57274";"Sarigunan, Kabayanan I, Kragilan, Kec. Gemolong, Kabupaten Sragen";"JAWA TENGAH";"57274";"Indonesia";" 08155031328";"";"";"-7.4152028";"110.8343928";"https://maps.google.com/?cid=0x0:0xe8c41f41e0a32258";""
"mall";"Toko bahan makanan";"LE-BERTY GEMOLONG Grosir  Retail";"HRXR+W7P, Dusun 1, Tegaldowo, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 57274";"Dusun 1, Tegaldowo, Kec. Gemolong, Kabupaten Sragen";"JAWA TENGAH";"57274";"Indonesia";" 081904537278";"";"";"-7.4001698";"110.8406978";"https://maps.google.com/?cid=0x0:0x63297433d432611";""
"mall";"Pusat Perbelanjaan";"SALEM MART Edupark Gemolong";"Jl. Flamboyan, Dusun 2, Gemolong, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 50274";"Dusun 2, Gemolong, Kec. Gemolong, Kabupaten Sragen";"JAWA TENGAH";"50274";"Indonesia";" 082135619777";"";"";"-7.3948595";"110.831845";"https://maps.google.com/?cid=0x0:0xdd5a7a97cfe9b5d0";""
"mall";"Toko";"Amanda Store";"HRXV+F5C, Dusun 1, Tegaldowo, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 57274";"Dusun 1, Tegaldowo, Kec. Gemolong, Kabupaten Sragen";"JAWA TENGAH";"57274";"Indonesia";"";"";"";"-7.4013149";"110.8429055";"https://maps.google.com/?cid=0x0:0x697ace586ee9e09b";""
"mall";"Toko bahan makanan";"TOSERBA LESTARI LAMA";"JR3H+2M7, Jl. Sukowati, Dusun 2, Gemolong, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 50274";"Jl. Sukowati, Dusun 2, Gemolong, Kec. Gemolong, Kabupaten Sragen";"JAWA TENGAH";"50274";"Indonesia";"";"";"";"-7.3974748";"110.8291738";"https://maps.google.com/?cid=0x0:0xc4e24003bbb8b1b5";""
"mall";"Kedai Kopi";"Gemolong Susu Center";"JR3M+X66, Gemolong Permai, Dusun 2, Gemolong, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 50274";"Gemolong Permai, Dusun 2, Gemolong, Kec. Gemolong, Kabupaten Sragen";"JAWA TENGAH";"50274";"Indonesia";" 085293360889";"";"";"-7.3950818";"110.83303";"https://maps.google.com/?cid=0x0:0x2f99202e05733f3b";""
"mall";"Toko";"Crazy shop";"Jl. Flamboyan No.192, Dusun 2, Gemolong, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 50274";"Dusun 2, Gemolong, Kec. Gemolong, Kabupaten Sragen";"JAWA TENGAH";"50274";"Indonesia";" 085800367716";"";"";"-7.3952789";"110.8340317";"https://maps.google.com/?cid=0x0:0x7891e998e6ca2d67";""
"mall";"Toko bahan makanan";"Bill Mart";"JR2W+2R7, Jalan, Dusun 3, Geneng Duwur, Gemolong, Sragen Regency, Central Java 57274";"Jalan, Dusun 3, Geneng Duwur, Gemolong, Sragen Regency";"JAWA TENGAH";"57274";"Indonesia";" 082225409030";"";"";"-7.3999625";"110.8470469";"https://maps.google.com/?cid=0x0:0xe01bc9d5e40c4d71";""
"mall";"Pasar";"Pasar Kalangan";"JVC4+9J9, Jl. Veteran, Dusun 2, Kalangan, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 57274";"Jl. Veteran, Dusun 2, Kalangan, Kec. Gemolong, Kabupaten Sragen";"JAWA TENGAH";"57274";"Indonesia";"";"";"";"-7.3790958";"110.8566058";"https://maps.google.com/?cid=0x0:0xf7b2815f75fdc06";""
"mall";"Perusahaan jaringan bisnis";"Bakulan NASA Gemolong";"JRJP+G59, Ngleri, RT.01, Kabayanan 1, Purworejo, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 57274";"Ngleri, RT.01, Kabayanan 1, Purworejo, Kec. Gemolong, Kabupaten Sragen";"JAWA TENGAH";"57274";"Indonesia";" 085728464418";"";"";"-7.3687112";"110.8354886";"https://maps.google.com/?cid=0x0:0x129831232ea0d11b";""
