Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Taman";"Adiwerna City Walk";"Jl. Raya Utara Adiwerna No. 46, Banjaran, Pejagan, Adiwerna, Kec. Adiwerna, Kabupaten Tegal, Jawa Tengah 52194";"Banjaran, Pejagan, Adiwerna, Kec. Adiwerna, Kabupaten Tegal";"JAWA TENGAH";"52194";"Indonesia";" 0283445888";"";"";"-6.937098";"109.1359002";"https://maps.google.com/?cid=0x0:0x986553545ff0dbdc";""
"mall";"Pasar";"Central Adiwerna";"346P+787, Pejagan, Tembok Banjaran, Kec. Adiwerna, Kabupaten Tegal, Jawa Tengah 52194";"Pejagan, Tembok Banjaran, Kec. Adiwerna, Kabupaten Tegal";"JAWA TENGAH";"52194";"Indonesia";"";"";"";"-6.9393411";"109.1357998";"https://maps.google.com/?cid=0x0:0x301273dbd1c5d2e4";""
"mall";"Pusat Perbelanjaan";"Kita Adiwerna";"34CM+HXF, Kalimati, Kec. Adiwerna, Kabupaten Tegal, Jawa Tengah 52194";"Kalimati, Kec. Adiwerna, Kabupaten Tegal";"JAWA TENGAH";"52194";"Indonesia";"";"";"";"-6.9285588";"109.1349375";"https://maps.google.com/?cid=0x0:0xed739f11b8e456e3";""
"mall";"Pusat Perbelanjaan";"Komplek Ruko Dwica Square Tegal";"44PR+WR8, Jl. Kolonel Sudiarto, Panggung, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52122";"Jl. Kolonel Sudiarto, Panggung, Kec. Tegal Tim., Kota Tegal";"JAWA TENGAH";"52122";"Indonesia";"";"";"";"-6.8627095";"109.1420866";"https://maps.google.com/?cid=0x0:0x8ceea3d2f4c20174";""
"mall";"Pusat Perbelanjaan";"Rita Supermall Tegal";"Jl. Kolonel Sugiono No.155, Kemandungan, Kec. Tegal Bar., Kota Tegal, Jawa Tengah 52114";"Kemandungan, Kec. Tegal Bar., Kota Tegal";"JAWA TENGAH";"52114";"Indonesia";"  Rita Mall Tegal memiliki banyak toko ritel yang menjual berbagai produk, mulai dari pakaian, aksesoris, elektronik, hingga kebutuhan rumah tangga. Beberapa brand lokal dan internasional membuka gerai di sini.>A>A2. Supermarket: Di dalam mall terdapat supermarket yang menyediakan kebutuhan sehari-hari, bahan makanan, dan produk rumah tangga lainnya.>A>A3. Restoran dan Food Court: Pengunjung dapat menikmati berbagai pilihan kuliner di area food court atau restoran yang tersedia. Beragam jenis makanan, mulai dari makanan cepat saji hingga masakan tradisional Indonesia, tersedia untuk memuaskan selera.>A>A4. Hiburan: Rita Mall Tegal juga menawarkan fasilitas hiburan seperti bioskop yang menayangkan film-film terbaru. Selain itu, ada area permainan dan arcade yang cocok untuk anak-anak dan remaja.>A>A5. Acara dan Pameran: Mall ini sering mengadakan berbagai acara dan pameran, termasuk pameran produk lokal, bazar, dan kegiatan komunitas yang menambah daya tarik bagi pengunjung.>A>APengalaman Berbelanja>ARita Mall Tegal menawarkan pengalaman berbelanja yang nyaman dan menyenangkan dengan suasana yang modern dan bersih. Tempat ini sering menjadi pilihan untuk berkumpul bersama keluarga dan teman-teman, baik untuk berbelanja, makan, atau sekadar berjalan-jalan.>A>AAkses dan Parkir>ARita Mall Tegal dilengkapi dengan area parkir yang luas, baik untuk kendaraan roda dua maupun roda empat. Lokasinya yang berada di pusat kota juga membuatnya mudah dijangkau dengan transportasi umum.>A>ATips Berkunjung>AWaktu Kunjungan: Untuk menghindari keramaian, cobalah berkunjung pada hari kerja atau di luar jam sibuk.>APromosi dan Diskon: Seringkali ada promosi dan diskon dari berbagai toko, jadi pantau terus informasi terbaru agar tidak ketinggalan penawaran menarik.>A-Acara Spesial: Cek jadwal acara dan pameran yang sering diadakan di mall untuk mendapatkan pengalaman berkunjung yang lebih seru.>A>ARita Mall Tegal menjadi salah satu destinasi utama bagi warga Tegal dan sekitarnya untuk berbelanja dan berekreasi, menawarkan berbagai fasilitas yang lengkap";"";"";"-6.8691677";"109.119969";"https://maps.google.com/?cid=0x0:0xd5defd65d367132e";""
"mall";"Pusat Perbelanjaan";"PACIFIC MALL TEGAL";"Jl. Kapten Sudibyo No.113C, Kemandungan, Kec. Tegal Bar., Kota Tegal, Jawa Tengah 52131";"Kemandungan, Kec. Tegal Bar., Kota Tegal";"JAWA TENGAH";"52131";"Indonesia";" 0283357833";"";"/url?q>>u003dhttp://pacificmall.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwic2-y28YmMAxXE4zgGHQReOzIQ61gIFigS>>u0026usg>>u003dAOvVaw2yveMbnUS9d2BAnvpvuMjD";"-6.8696644";"109.1286614";"https://maps.google.com/?cid=0x0:0x2c259928efb7c2c4";""
"mall";"Toko Perlengkapan Rumah";"Kirana Tegal";"Mintaragen, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52121";"Kec. Tegal Tim., Kota Tegal";"JAWA TENGAH";"52121";"Indonesia";" 085718188089";"";"";"-6.8592675";"109.1438657";"https://maps.google.com/?cid=0x0:0x48b528012ba2feb3";""
"mall";"Pusat Perbelanjaan";"In'am shop ujungrusi";"347G+3XQ, Jl. Anggrek 2, Pesawahan, Adiwerna, Kec. Adiwerna, Kabupaten Tegal, Jawa Tengah 52194";"Jl. Anggrek 2, Pesawahan, Adiwerna, Kec. Adiwerna, Kabupaten Tegal";"JAWA TENGAH";"52194";"Indonesia";" 082329333125";"";"";"-6.9372753";"109.12749";"https://maps.google.com/?cid=0x0:0x78ef8ac577d039dc";""
"mall";"Toko Perlengkapan Rumah";"Mutiara Singkil";"Jl. Raya Singkil No.15, Kb. Baru, Adiwerna, Kec. Adiwerna, Kabupaten Tegal, Jawa Tengah 52194";"Kb. Baru, Adiwerna, Kec. Adiwerna, Kabupaten Tegal";"JAWA TENGAH";"52194";"Indonesia";" 085325300944";"";"";"-6.930412";"109.1303535";"https://maps.google.com/?cid=0x0:0x918e28929f17bcfd";""
"mall";"Pasar";"Basa Toserba Banjaran";"Jl. Raya Tembok Lor Jl. Raya Sel. Banjaran No.49, Kejiwan, Tembok Luwung, Kec. Adiwerna, Kabupaten Tegal, Jawa Tengah 52194";"Kejiwan, Tembok Luwung, Kec. Adiwerna, Kabupaten Tegal";"JAWA TENGAH";"52194";"Indonesia";" 02833448454";"";"";"-6.9474644";"109.1368156";"https://maps.google.com/?cid=0x0:0x771c15cdfa078f3e";""
