Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"Komplek perumahan";"IndraAra House";"Barung, Garung, Kec. Garung, Kabupaten Wonosobo, Jawa Tengah 56353";"Garung, Kec. Garung, Kabupaten Wonosobo";"JAWA TENGAH";"56353";"Indonesia";"";"";"";"-7.2992118";"109.9204365";"https://maps.google.com/?cid=0x0:0x2de2b53b697eb25f";""
"komplek housing";"Komplek perumahan";"HOUSE OF R5";"PW3C+9FM, GARUNG, RT.001/RW.004, Barung, Garung, Wonosobo Regency, Central Java";"Kabupaten Wonosobo, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";"";"";"";"-7.2965304";"109.9211805";"https://maps.google.com/?cid=0x0:0xc69937c5ebe358a4";""
"komplek housing";"Komplek perumahan";"Candra_zhio";"MWQJ+J3R, Gesing, Gemblengan, Kec. Garung, Kabupaten Wonosobo, Jawa Tengah 56353";"Gesing, Gemblengan, Kec. Garung, Kabupaten Wonosobo";"JAWA TENGAH";"56353";"Indonesia";"";"";"";"-7.3108802";"109.9301322";"https://maps.google.com/?cid=0x0:0xac7a49c08741601e";""
"komplek housing";"Komplek perumahan";"Rumah";"MWQG+9XP, Gemblengan, Kec. Garung, Kabupaten Wonosobo, Jawa Tengah 56353";"Gemblengan, Kec. Garung, Kabupaten Wonosobo";"JAWA TENGAH";"56353";"Indonesia";"";"";"";"-7.3114876";"109.9274051";"https://maps.google.com/?cid=0x0:0xd00997ec0a1b390";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"House lintang";"MWRP+JR, Kasiman RT 01, RT.01/RW.04, Kasiman, Gemblengan, Kec. Garung, Kabupaten Wonosobo, Jawa Tengah 56353";"Kasiman RT 01, RT.01/RW.04, Kasiman, Gemblengan, Kec. Garung, Kabupaten Wonosobo";"JAWA TENGAH";"56353";"Indonesia";"";"";"";"-7.3083534";"109.9371689";"https://maps.google.com/?cid=0x0:0xd34b1c7bc97510a3";""
"komplek housing";"Komplek perumahan";"Rumah Asef Laily";"Jl. Dieng No.22, Jengkol, Kec. Garung, Kabupaten Wonosobo, Jawa Tengah 56353";"Jengkol, Kec. Garung, Kabupaten Wonosobo";"JAWA TENGAH";"56353";"Indonesia";"";"";"";"-7.275716";"109.9426161";"https://maps.google.com/?cid=0x0:0xf91d98509aa04737";""
"komplek housing";"Komplek perumahan";"rumah fia";"PW2F+P83, Barung, Garung, Kec. Garung, Kabupaten Wonosobo, Jawa Tengah 56353";"Barung, Garung, Kec. Garung, Kabupaten Wonosobo";"JAWA TENGAH";"56353";"Indonesia";"";"";"";"-7.2982338";"109.9232926";"https://maps.google.com/?cid=0x0:0xa63fb0dbf070dabc";""
"komplek housing";"komplek housing";"Rumah Supri";"PWCR+FP5, Jengkol, Kec. Garung, Kabupaten Wonosobo, Jawa Tengah 56353";"Jengkol, Kec. Garung, Kabupaten Wonosobo";"JAWA TENGAH";"56353";"Indonesia";"";"";"";"-7.2788679";"109.941651";"https://maps.google.com/?cid=0x0:0xb18f35e3d45f0e96";""
"komplek housing";"Jasa Instalasi Listrik";"Berkah Teknik";"Rumah Dinas PLTA Garung, Mergosari, Menjer, Kec. Garung, Kabupaten Wonosobo, Jawa Tengah";"Kabupaten Wonosobo, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";" 085326824566";"";"";"-7.2916451";"109.921233";"https://maps.google.com/?cid=0x0:0x5157ab7dec3dc1fa";""
"komplek housing";"Komplek perumahan";"YB";"Jl. Rake Panangkaran, RT.2/RW.4, Gandoran, Mlandi, Kec. Garung, Kabupaten Wonosobo, Jawa Tengah 56353";"RT.2/RW.4, Gandoran, Mlandi, Kec. Garung, Kabupaten Wonosobo";"JAWA TENGAH";"56353";"Indonesia";" 087784132398";"";"";"-7.2843938";"109.9099321";"https://maps.google.com/?cid=0x0:0x81b61c4c9db11578";""
