Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"DAFAM Pekalongan";"Jl. Urip Sumoharjo No.53, Podosugih, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51111";"Podosugih, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51111";"Indonesia";" 02854411555";"";"/url?q>>u003dhttps://artotelwanderlust.com/hotel/hotel-dafam-pekalongan/g/Pekalongan-en.html%3FcheckIn%3D2024-02-29%26checkOut%3D2024-03-01%26id%3DMA09090033-MA2205000019%26encodeId%3DTUEyMjA1MDAwMDE5>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjc9LnmsYaMAxUMiK8BHQHfN1QQ61gIFigS>>u0026usg>>u003dAOvVaw1YPFt012Dmr0isMTt3BDHb";"-6.9015708";"109.6643183";"https://maps.google.com/?cid=0x0:0x96af3db0a4decfc5";""
"hotel";"hotel";"N/A";"";"";"JAWA TENGAH";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x96af3db0a4decfc5%7C/g/1hc75pq2s%7Cen-ID";""
"hotel";"hotel";"ASTON Pekalongan Syariah Hotel  Conference Center";"Jl. Imam Bonjol No.53, Pabean, Kec. Pekalongan Utara, Kota Pekalongan, Jawa Tengah 51146";"Pabean, Kec. Pekalongan Utara, Kota Pekalongan";"JAWA TENGAH";"51146";"Indonesia";" 02854439999";"";"/url?q>>u003dhttp://pekalongan.astonhotelsinternational.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwimzYTnsYaMAxXJevUHHSYWHfMQ61gIFigS>>u0026usg>>u003dAOvVaw2VvqEuD11e0hL-u8NQ_3is";"-6.8857994";"109.669405";"https://maps.google.com/?cid=0x0:0xf488b467024e7c16";""
"hotel";"hotel";"N/A";"";"";"JAWA TENGAH";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xcc5e70189f598153%7C/g/1q5bll53t%7Cen-ID";""
"hotel";"hotel";"Howard Johnson By Wyndham Pekalongan";"Jl. Gajah Mada Bar. No.11A, Kramatsari, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51118";"Kramatsari, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51118";"Indonesia";" 02854499000";"";"/url?q>>u003dhttp://www.wyndhamhotels.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwj_5NLnsYaMAxVeh68BHQUPCZMQ61gIFigS>>u0026usg>>u003dAOvVaw3ejRUg3tSM-qC6BNpjoYh1";"-6.8887354";"109.6634299";"https://maps.google.com/?cid=0x0:0xcc5e70189f598153";""
"hotel";"hotel";"Hotel Santika Pekalongan";"Jl. Gajah Mada Bar. No.7A, Kramatsari, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51118";"Kramatsari, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51118";"Indonesia";" 02854460600";"";"/url?q>>u003dhttps://mysantika.com/indonesia/pekalongan/hotel-santika-pekalongan>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi_o4XosYaMAxUQbPUHHUndEI0Q61gIFigS>>u0026usg>>u003dAOvVaw2r1pD1sIBDPhr0Yrmyanle";"-6.8887923";"109.6640525";"https://maps.google.com/?cid=0x0:0x2acd60b92a97323e";""
"hotel";"hotel";"N/A";"";"";"JAWA TENGAH";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x2acd60b92a97323e%7C/g/11btwvdv38%7Cen-ID";""
"hotel";"hotel";"N/A";"";"";"JAWA TENGAH";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xc8551ce60a88f1bc%7C/g/11b6d2b22q%7Cen-ID";""
"hotel";"hotel";"Danliris pavilion and private pool";"Jl. Danliris No.IE / 14, Medono, indah, Kota Pekalongan, Jawa Tengah 51111";"Medono, indah, Kota Pekalongan";"JAWA TENGAH";"51111";"Indonesia";" 082225569070";"";"";"-6.8991406";"109.6626998";"https://maps.google.com/?cid=0x0:0xe598ccaca34157d6";""
"hotel";"hotel";"Hotel Namira Syariah";"Jl. DR. Cipto Mangunkusomo No.70, Poncol, Kec. Pekalongan Tim., Kota Pekalongan, Jawa Tengah 51122";"Poncol, Kec. Pekalongan Tim., Kota Pekalongan";"JAWA TENGAH";"51122";"Indonesia";" 02854460888";"";"/url?q>>u003dhttp://www.namirasyariah.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjG3t_osYaMAxXqavUHHfxdAGkQ61gIFigS>>u0026usg>>u003dAOvVaw204g0l72ofTsdR8vPq3h4m";"-6.8897357";"109.6791607";"https://maps.google.com/?cid=0x0:0xc8551ce60a88f1bc";""
