Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"Toko Bahan Bangunan";"TB. Rf, Pekalongan";"Jl. Urip Sumoharjo No.68, Medono, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51117";"Medono, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51117";"Indonesia";" 081325874163";"";"";"-6.9056618";"109.6635616";"https://maps.google.com/?cid=0x0:0xe534ec1e55f705a6";""
"building materials";"Toko Bahan Bangunan";"TB Cipta Mandiri";"Jl. Sumatera No.76, Sapuro Kebulen, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51111";"Sapuro Kebulen, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51111";"Indonesia";"";"";"";"-6.8968547";"109.6708334";"https://maps.google.com/?cid=0x0:0x5ddc8261b3df0c8d";""
"building materials";"Toko Bahan Bangunan";"TB. Subur Jaya";"Jl. Jenderal Sudirman No.124, Kebulen, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51112";"Kebulen, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51112";"Indonesia";" 0285422651";"";"";"-6.9009548";"109.6737353";"https://maps.google.com/?cid=0x0:0xdec36b492579c5a7";""
"building materials";"Toko Bahan Bangunan";"TB. Legal Jaya";"Jl. Jenderal Sudirman No.134, Kebulen, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51112";"Kebulen, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51112";"Indonesia";" 0285423779";"";"";"-6.901026";"109.674334";"https://maps.google.com/?cid=0x0:0x63812add605e5299";""
"building materials";"Toko Bahan Bangunan";"TB. Indah Lestari";"Jl. Asem Binatur, Tegalrejo, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51111";"Tegalrejo, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51111";"Indonesia";" 081232992815";"";"";"-6.8993571";"109.6589664";"https://maps.google.com/?cid=0x0:0x5cbf79437b7cc188";""
"building materials";"Toko Bahan Bangunan";"CV. Sumber Makmur";"Jl. R.A. Kartini No.25, Keputran, Kec. Pekalongan Tim., Kota Pekalongan, Jawa Tengah 51127";"Keputran, Kec. Pekalongan Tim., Kota Pekalongan";"JAWA TENGAH";"51127";"Indonesia";" 082135777728";"";"";"-6.8958313";"109.6773725";"https://maps.google.com/?cid=0x0:0x78889c92008b7e14";""
"building materials";"Toko";"TB.Timbul Jaya, Pekalongan";"Jl. Urip Sumoharjo No.154A, Pringlangu, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51117";"Pringlangu, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51117";"Indonesia";" 081345879635";"";"";"-6.9064255";"109.6629845";"https://maps.google.com/?cid=0x0:0x49a885567f7220ba";""
"building materials";"Toko Bahan Bangunan";"Depot Bambu TIMBUL JAYA";"Jl. Supriyadi No.1, Peturen, Tirto, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51116";"Peturen, Tirto, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51116";"Indonesia";"";"";"";"-6.8977681";"109.6551194";"https://maps.google.com/?cid=0x0:0xf92b17d8465ee5f7";""
"building materials";"Toko Bahan Bangunan";"Binatur Material";"Jl. Urip Sumoharjo No.18, Bumirejo, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51111";"Bumirejo, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51111";"Indonesia";" 0285426178";"";"";"-6.9006018";"109.6649292";"https://maps.google.com/?cid=0x0:0xcd14b60137ecba5c";""
"building materials";"Toko Bahan Bangunan";"UD.Matrial Dwi Tunggal";"Jl. Urip Sumoharjo No.11, Podosugih, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51117";"Podosugih, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51117";"Indonesia";" 082325779600";"";"";"-6.8988189";"109.6650086";"https://maps.google.com/?cid=0x0:0x8b6eeeaada402610";""
