Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Pusat Perbelanjaan";"Transmart Pekalongan";"Jl. Urip Sumoharjo No.58, Podosugih, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51111";"Podosugih, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51111";"Indonesia";" 081212858419";"";"";"-6.9017882";"109.6648504";"https://maps.google.com/?cid=0x0:0x73cf89a3aab8a067";""
"mall";"Pusat Perbelanjaan";"Malala Pekalongan";"Jalan K. Haji Jl. KH. Mansyur No.2, Bendan, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51119";"Bendan, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51119";"Indonesia";" 085852320285";"";"";"-6.8893269";"109.6681626";"https://maps.google.com/?cid=0x0:0x36ff05dc3fbccbb0";""
"mall";"Pusat Perbelanjaan";"Matahari Plaza Pekalongan";"Jl. Nusantara No.5, Keputran, Kec. Pekalongan Tim., Kota Pekalongan, Jawa Tengah 51128";"Keputran, Kec. Pekalongan Tim., Kota Pekalongan";"JAWA TENGAH";"51128";"Indonesia";" 0285434400";"";"/url?q>>u003dhttp://www.matahari.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjSx8uZxoaMAxWNxzgGHTodB_sQ61gIFigS>>u0026usg>>u003dAOvVaw3ggsqIuwykOKF9dmlVwo5q";"-6.890459";"109.6770753";"https://maps.google.com/?cid=0x0:0x60346c6b1d7398a0";""
"mall";"Pusat Perbelanjaan";"Gpff Pekalongan";"4M26+364, Medono, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51111";"Medono, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51111";"Indonesia";" 085290638999";"";"";"-6.8998613";"109.660571";"https://maps.google.com/?cid=0x0:0xd618ca3de6a8d35";""
"mall";"Pusat Perbelanjaan";"Pekalongan Square";"Jl. Ki Hajar Dewantoro No.1, Noyontaan, Kec. Pekalongan Tim., Kota Pekalongan, Jawa Tengah 51129";"Noyontaan, Kec. Pekalongan Tim., Kota Pekalongan";"JAWA TENGAH";"51129";"Indonesia";"";"";"";"-6.9010983";"109.6823067";"https://maps.google.com/?cid=0x0:0xc9c2bfef434bb57d";""
"mall";"Pusat Perbelanjaan";"Trans Studio Mini Pekalongan";"Jl. Urip Sumoharjo No.20, RW.6, Podosugih, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51111";"RW.6, Podosugih, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51111";"Indonesia";" 0285433368";"";"";"-6.900897";"109.6648957";"https://maps.google.com/?cid=0x0:0x83cfe647e6249a34";""
"mall";"Pusat Perbelanjaan";"Wildan Hibatullah";"Gg. Kh. Khudori, Tegalrejo, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51116";"Tegalrejo, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51116";"Indonesia";"";"";"";"-6.9000801";"109.6556765";"https://maps.google.com/?cid=0x0:0xd705b9ef4c548507";""
"mall";"Pusat Perbelanjaan";"BY.APRLLNAA";"4M49+389, Gg. 16, Bendan, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51112";"Gg. 16, Bendan, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51112";"Indonesia";"";"";"";"-6.8948343";"109.6683457";"https://maps.google.com/?cid=0x0:0x677271cabab83dc1";""
"mall";"Toko";"Hijab";"3MW6+P9X, Pringlangu, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51117";"Pringlangu, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51117";"Indonesia";" 081567711711";"";"";"-6.9031416";"109.6609709";"https://maps.google.com/?cid=0x0:0x4d1cd5a39e1741b";""
"mall";"Pusat Perbelanjaan";"Queenstore";"3MQ9+PF5, Medono, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51111";"Medono, Kec. Pekalongan Bar., Kota Pekalongan";"JAWA TENGAH";"51111";"Indonesia";"";"";"";"-6.910735";"109.6687288";"https://maps.google.com/?cid=0x0:0x5cad18c46350ac95";""
