Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
perumahan;Komplek perumahan;Rumah Bu Edi Pak edi;Jl. Kalingga VIII No.26, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136;Kadipiro, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57136;Indonesia;;-75.412.587;1.108.131.642;https://maps.google.com/?cid=0x0:0xc7b7ed7531c9dc33
perumahan;Komplek perumahan;Rumah Banjarsari - Ruang Publik  Seni;Jl. Syamsurizal No 10, Setabelan, Banjarsari, Kota Surakarta, Jawa Tengah, 57139, Setabelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57133;Setabelan, Banjarsari, Kota Surakarta, Jawa Tengah,;JAWA TENGAH;57139;Indonesia;81999523929;-75.596.884;1.108.256.687;https://maps.google.com/?cid=0x0:0x2bb35a7d273293dc
perumahan;Komplek perumahan;sambirejo, banjarsari, surakarta;FR6C+J89, RT.02/RW.01, sambirejo, Kec. Banjarsari, Kota Surakarta, Jawa Tengah;Kota Surakarta, Jawa Tengah;JAWA TENGAH;;Indonesia;;-753.846;1.108.208.445;https://maps.google.com/?cid=0x0:0xe4b6f63118a2aefc
perumahan;Komplek perumahan;Rumah mbah koes;FR4F+9MQ, Sumber Jl. Nayu, RT.03 RW7, Joglo, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135;Sumber Jl. Nayu, RT.03 RW7, Joglo, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57135;Indonesia;;-7.544.036;1.108.242.416;https://maps.google.com/?cid=0x0:0x224fff3ccbb29dec
perumahan;perumahan;Rumah genta;Jl. Jenggala IV, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135;Nusukan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57135;Indonesia;;-75.475.853;1.108.156.815;https://maps.google.com/?cid=0x0:0x66cc492aa38a5545
perumahan;Komplek perumahan;Babang Kana;Jl. Gn. Kawi No.6, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136;Kadipiro, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57136;Indonesia;;-75.446.513;1.108.232.784;https://maps.google.com/?cid=0x0:0xca87a17e2d91653e
perumahan;Komplek perumahan;Rumah;FR3F+PW8, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah;Kota Surakarta, Jawa Tengah;JAWA TENGAH;;Indonesia;;-75.457.059;1.108.248.388;https://maps.google.com/?cid=0x0:0x8c346126312d1a08
perumahan;Komplek perumahan;Rumahokaoki;FR59+P66, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136;Nusukan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57136;Indonesia;;-75.407.154;1.108.180.075;https://maps.google.com/?cid=0x0:0xec6841e86ec094c0
perumahan;Komplek perumahan;samara home;FR5F+74F, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136;Kadipiro, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57136;Indonesia;81215574909;-75.418.095;1.108.227.865;https://maps.google.com/?cid=0x0:0xb99aafb96d70440f
perumahan;Komplek perumahan;Mbah Pras;FR4F+594, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136;Kadipiro, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57136;Indonesia;;-75.446.095;1.108.234.497;https://maps.google.com/?cid=0x0:0xc17a5d0bbc48c415
perumahan;Pusat kebudayaan;Banjar sari;FR5C+P6F, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah;Kota Surakarta, Jawa Tengah;JAWA TENGAH;;Indonesia;;-75.406.889;1.108.205.514;https://maps.google.com/?cid=0x0:0xea6e76cf8c54763a
perumahan;perumahan;Rumdis Bawah TNI AD;FR6C+JQ9, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah;Kota Surakarta, Jawa Tengah;JAWA TENGAH;;Indonesia;;-75.384.601;1.108.219.852;https://maps.google.com/?cid=0x0:0x381d8448e4df8fd3
perumahan;Komplek perumahan;Perum Pendowo;Jl. Kalingga Tengah II Pondok Pendowo No.5, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136;Kadipiro, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57136;Indonesia;;-75.389.226;1.108.160.114;https://maps.google.com/?cid=0x0:0x9d0cd095146a924b
