Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Pusat Perbelanjaan";"DAGING TEGAL";"Pasar, Sumurpanggang, Kec. Margadana, Kota Tegal, Jawa Tengah 52141";"Sumurpanggang, Kec. Margadana, Kota Tegal";"JAWA TENGAH";"52141";"Indonesia";" 082322096277";"";"/url?q>>u003dhttps://linktr.ee/daging_kita%3Ffbclid%3DPAAabvfTSC-UMkvDOBjunGn2d5DQPQp_d1xw5tLsfYPL6jNXsGnqAp2n0kFt0_aem_AZn0bvMzKITGYiHHh6vQAnVjFuhoEzGILbtajUhGQ3Pk4u1o5sszm3SNfSXDOLwMw1M>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiMus-86oOMAxVNZPUHHUdkGN4Q61gIFigS>>u0026usg>>u003dAOvVaw1yRE7fraptcux2HkIuCzOd";"-6.8753125";"109.1049375";"https://maps.google.com/?cid=0x0:0xf0a67e2f69f73b65";""
"mall";"Pusat Perbelanjaan";"PACIFIC MALL TEGAL";"Jl. Kapten Sudibyo No.113C, Kemandungan, Kec. Tegal Bar., Kota Tegal, Jawa Tengah 52131";"Kemandungan, Kec. Tegal Bar., Kota Tegal";"JAWA TENGAH";"52131";"Indonesia";" 0283357833";"";"/url?q>>u003dhttp://pacificmall.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiZufu86oOMAxUBs1YBHYOnHgoQ61gIFigS>>u0026usg>>u003dAOvVaw3XT_uCR0eFkqurWfP1eAz9";"-6.8696644";"109.1286614";"https://maps.google.com/?cid=0x0:0x2c259928efb7c2c4";""
"mall";"Toko Elektronik";"Dayat Cell";"44G6+56G, Sumurpanggang, Kec. Margadana, Kota Tegal, Jawa Tengah 52141";"Sumurpanggang, Kec. Margadana, Kota Tegal";"JAWA TENGAH";"52141";"Indonesia";" 085326798550";"";"";"-6.8745731";"109.110574";"https://maps.google.com/?cid=0x0:0xfc7a93a7536467e2";""
"mall";"Pusat Perbelanjaan";"Rita Supermall Tegal";"Jl. Kolonel Sugiono No.155, Kemandungan, Kec. Tegal Bar., Kota Tegal, Jawa Tengah 52114";"Kemandungan, Kec. Tegal Bar., Kota Tegal";"JAWA TENGAH";"52114";"Indonesia";"  Rita Mall Tegal memiliki banyak toko ritel yang menjual berbagai produk, mulai dari pakaian, aksesoris, elektronik, hingga kebutuhan rumah tangga. Beberapa brand lokal dan internasional membuka gerai di sini.>A>A2. Supermarket: Di dalam mall terdapat supermarket yang menyediakan kebutuhan sehari-hari, bahan makanan, dan produk rumah tangga lainnya.>A>A3. Restoran dan Food Court: Pengunjung dapat menikmati berbagai pilihan kuliner di area food court atau restoran yang tersedia. Beragam jenis makanan, mulai dari makanan cepat saji hingga masakan tradisional Indonesia, tersedia untuk memuaskan selera.>A>A4. Hiburan: Rita Mall Tegal juga menawarkan fasilitas hiburan seperti bioskop yang menayangkan film-film terbaru. Selain itu, ada area permainan dan arcade yang cocok untuk anak-anak dan remaja.>A>A5. Acara dan Pameran: Mall ini sering mengadakan berbagai acara dan pameran, termasuk pameran produk lokal, bazar, dan kegiatan komunitas yang menambah daya tarik bagi pengunjung.>A>APengalaman Berbelanja>ARita Mall Tegal menawarkan pengalaman berbelanja yang nyaman dan menyenangkan dengan suasana yang modern dan bersih. Tempat ini sering menjadi pilihan untuk berkumpul bersama keluarga dan teman-teman, baik untuk berbelanja, makan, atau sekadar berjalan-jalan.>A>AAkses dan Parkir>ARita Mall Tegal dilengkapi dengan area parkir yang luas, baik untuk kendaraan roda dua maupun roda empat. Lokasinya yang berada di pusat kota juga membuatnya mudah dijangkau dengan transportasi umum.>A>ATips Berkunjung>AWaktu Kunjungan: Untuk menghindari keramaian, cobalah berkunjung pada hari kerja atau di luar jam sibuk.>APromosi dan Diskon: Seringkali ada promosi dan diskon dari berbagai toko, jadi pantau terus informasi terbaru agar tidak ketinggalan penawaran menarik.>A-Acara Spesial: Cek jadwal acara dan pameran yang sering diadakan di mall untuk mendapatkan pengalaman berkunjung yang lebih seru.>A>ARita Mall Tegal menjadi salah satu destinasi utama bagi warga Tegal dan sekitarnya untuk berbelanja dan berekreasi, menawarkan berbagai fasilitas yang lengkap";"";"";"-6.8691677";"109.119969";"https://maps.google.com/?cid=0x0:0xd5defd65d367132e";""
"mall";"Toko";"Zeass shop 2";"Jl. Banyuwangi No.17, Sumurpanggang, Kec. Margadana, Kota Tegal, Jawa Tengah 52141";"Sumurpanggang, Kec. Margadana, Kota Tegal";"JAWA TENGAH";"52141";"Indonesia";" 085600010700";"";"";"-6.8767622";"109.1071112";"https://maps.google.com/?cid=0x0:0xdb8feed0e6b19345";""
"mall";"Toko Pakaian";"Indah Olshop";"rt6 rw7 no6 gang blanak5, Margadana, Kec. Margadana, Kota Tegal, Jawa Tengah 52143";"Margadana, Kec. Margadana, Kota Tegal";"JAWA TENGAH";"52143";"Indonesia";" 085326829668";"";"";"-6.8740985";"109.1002917";"https://maps.google.com/?cid=0x0:0xfa28c55cace23055";""
"mall";"Pusat Perbelanjaan";"Baik";"43CW+HPM, Jl. Boyolali, Margadana, Kec. Margadana, Kota Tegal, Jawa Tengah 52147";"Jl. Boyolali, Margadana, Kec. Margadana, Kota Tegal";"JAWA TENGAH";"52147";"Indonesia";" 082325968638";"";"";"-6.878542";"109.0968089";"https://maps.google.com/?cid=0x0:0x77a2adb347341524";""
"mall";"Toko";"Telor Asin Romlah";"44G6+GGM, Jl. Dr. Wahidin Sudirihusodo, Sumurpanggang, Kec. Margadana, Kota Tegal, Jawa Tengah 52141";"Jl. Dr. Wahidin Sudirihusodo, Sumurpanggang, Kec. Margadana, Kota Tegal";"JAWA TENGAH";"52141";"Indonesia";" 087736632988";"";"";"-6.8736576";"109.1112942";"https://maps.google.com/?cid=0x0:0x9821e4e30a607ed6";""
"mall";"Salon Kecantikan";"NAJWA EYELASH";"Jl. Cipto Mangunkusumo Gg. Masjid No.11, Margadana, Kec. Margadana, Kota Tegal, Jawa Tengah 52143";"Margadana, Kec. Margadana, Kota Tegal";"JAWA TENGAH";"52143";"Indonesia";" 087774991209";"";"";"-6.876908";"109.101601";"https://maps.google.com/?cid=0x0:0x34f4c90918f53800";""
"mall";"Pusat Perbelanjaan";"DAISUKI AT";"Jl. Banyumas, Margadana, Kec. Margadana, Kota Tegal, Jawa Tengah 52143";"Margadana, Kec. Margadana, Kota Tegal";"JAWA TENGAH";"52143";"Indonesia";" 081318322679";"";"";"-6.879234";"109.0996272";"https://maps.google.com/?cid=0x0:0x5212ccfd3a434a54";""
