Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"toko bangunan";"Toko Bahan Bangunan";"Tb. rame Putra";"Jl. Raya Boyolali-Semarang, Bulusari, Sidomulyo, Kec. Ampel, Kabupaten Boyolali, Jawa Tengah 57316";"Bulusari, Sidomulyo, Kec. Ampel, Kabupaten Boyolali";"JAWA TENGAH";"57316";"Indonesia";"";"-7.4822688";"110.5677062";"https://maps.google.com/?cid=0x0:0xdcbd08a4d4a878a4"
"toko bangunan";"Toko Bahan Bangunan";"TB. Ramah";"GGPW+9M4, Jl. Hastuti Barat, Tanduk, Kec. Ampel, Kabupaten Boyolali, Jawa Tengah 57352";"Jl. Hastuti Barat, Tanduk, Kec. Ampel, Kabupaten Boyolali";"JAWA TENGAH";"57352";"Indonesia";"";"-7.4641173";"110.5466891";"https://maps.google.com/?cid=0x0:0xf4d03a8aecd2eb5e"
"toko bangunan";"Toko Bahan Bangunan";"TB. WAHYU ABADI";"GHR4+XJJ, Jl. Raya Ampel - Simo, Wiyagan, Candi, Kec. Ampel, Kabupaten Boyolali, Jawa Tengah 57352";"Jl. Raya Ampel - Simo, Wiyagan, Candi, Kec. Ampel, Kabupaten Boyolali";"JAWA TENGAH";"57352";"Indonesia";"";"-7.457545";"110.5565247";"https://maps.google.com/?cid=0x0:0x56ad57217b68052f"
"toko bangunan";"Toko Bahan Bangunan";"TB. SASTRO RAHARJO";"GHV6+3MP, Jl. Raya Ampel - Simo, Area Sawah Dan Kebun, Candi, Kec. Ampel, Kabupaten Boyolali, Jawa Tengah 57352";"Jl. Raya Ampel - Simo, Area Sawah Dan Kebun, Candi, Kec. Ampel, Kabupaten Boyolali";"JAWA TENGAH";"57352";"Indonesia";" 081393060063";"-7.4572848";"110.5617158";"https://maps.google.com/?cid=0x0:0x2996dad12ee7f829"
"toko bangunan";"Toko Bahan Bangunan";"TB. Murah Sae";"Jl. Anggrek No.12, Griya Pulisen Lama, Sidomulyo, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57316";"Griya Pulisen Lama, Sidomulyo, Kec. Boyolali, Kabupaten Boyolali";"JAWA TENGAH";"57316";"Indonesia";" 085726678101";"-7.5386107";"110.5980781";"https://maps.google.com/?cid=0x0:0x4fca71ed4f0a3ecd"
"toko bangunan";"Toko Bahan Bangunan";"TB. Sumber Rejeki";"HG6P+GHX, Urutsewu, Kec. Ampel, Kabupaten Boyolali, Jawa Tengah 57352";"Urutsewu, Kec. Ampel, Kabupaten Boyolali";"JAWA TENGAH";"57352";"Indonesia";" 0276331231";"-7.4386324";"110.5364902";"https://maps.google.com/?cid=0x0:0xc0455408d4c2fb8c"
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan Muna";"GFVX+38G, Jl. Ngegek, Dusun 2, Ngagrong, Kec. Ampel, Kabupaten Boyolali, Jawa Tengah 57352";"Jl. Ngegek, Dusun 2, Ngagrong, Kec. Ampel, Kabupaten Boyolali";"JAWA TENGAH";"57352";"Indonesia";" 081325344967";"-7.4573044";"110.4983234";"https://maps.google.com/?cid=0x0:0xab82345026343e8e"
"toko bangunan";"Toko Bahan Bangunan";"Tb Bintang Abadi";"FJW6+9WV, Dusun 2, Mudal, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57316";"Dusun 2, Mudal, Kec. Boyolali, Kabupaten Boyolali";"JAWA TENGAH";"57316";"Indonesia";" 08122681005";"-7.5040079";"110.6122968";"https://maps.google.com/?cid=0x0:0x2865af828bd0c882"
"toko bangunan";"Toko Bahan Bangunan";"Tb Maju Jaya boyolali";"Dusun 2, Penggung, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57316";"Penggung, Kec. Boyolali, Kabupaten Boyolali";"JAWA TENGAH";"57316";"Indonesia";" 085975096506";"-7.5022375";"110.5690469";"https://maps.google.com/?cid=0x0:0x459dacc8cb1733d"
"toko bangunan";"Toko Bahan Bangunan";"TB. EL BAROKAH";"Tempel sari Rt.07 Rw.03 Kelurahan Sampetan, Dusun 2, Gladagsari, Kec. Ampel, Kabupaten Boyolali, Jawa Tengah 57352";"Dusun 2, Gladagsari, Kec. Ampel, Kabupaten Boyolali";"JAWA TENGAH";"57352";"Indonesia";" 085640569888";"-7.424592";"110.5082425";"https://maps.google.com/?cid=0x0:0x9cd64112a38ab3f1"
"toko bangunan";"Toko Bahan Bangunan";"TB. Sidomulyo";"HH77+R35, Jl. Sruwen - Karanggede, Sidomulyo, Candi, Kec. Ampel, Kabupaten Boyolali, Jawa Tengah 57352";"Jl. Sruwen - Karanggede, Sidomulyo, Candi, Kec. Ampel, Kabupaten Boyolali";"JAWA TENGAH";"57352";"Indonesia";"";"-7.4354935";"110.5627411";"https://maps.google.com/?cid=0x0:0x4298727104bc6391"
"toko bangunan";"Toko Bahan Bangunan";"TB Bina Karya";"Jl. Perintis Kemerdekaan, Kalongan, Pulisen, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57313";"Kalongan, Pulisen, Kec. Boyolali, Kabupaten Boyolali";"JAWA TENGAH";"57313";"Indonesia";" 081393946325";"-7.537581";"110.5898579";"https://maps.google.com/?cid=0x0:0x98c32c5d06c15d69"
"toko bangunan";"Toko Bahan Bangunan";"Sumber Bangun Jaya Gemilang SBJG";"Jl. Nangka Gumulan, Gumulan, Kemiri, Kec. Mojosongo, Kabupaten Boyolali, Jawa Tengah 57482";"Gumulan, Kemiri, Kec. Mojosongo, Kabupaten Boyolali";"JAWA TENGAH";"57482";"Indonesia";" 0276321888";"-7.549138";"110.6111126";"https://maps.google.com/?cid=0x0:0xc100a7c6f9c0919b"
