Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"toko bangunan";"Toko Bahan Bangunan";"TB. PRIMA";"943M+P7F, Jl. Penatusan Jl. Jambu, Jambu, Penggalang, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271";"Jl. Penatusan Jl. Jambu, Jambu, Penggalang, Kec. Adipala, Kabupaten Cilacap";"JAWA TENGAH";"53271";"Indonesia";"";"-7.6456816";"109.1331808";"https://maps.google.com/?cid=0x0:0xbc54a649dc641621"
"toko bangunan";"Toko Bahan Bangunan";"TB. Serba Bangunan";"Jalan A. Yani Adipala RW No.6, RW No.rt.004, Kebonmanis, Adipala, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271";"RW No.rt.004, Kebonmanis, Adipala, Kec. Adipala, Kabupaten Cilacap";"JAWA TENGAH";"53271";"Indonesia";"";"-7.659144";"109.148837";"https://maps.google.com/?cid=0x0:0x6483184ed1058f9a"
"toko bangunan";"Toko Bahan Bangunan";"TB.Sandy Jaya";"Glempangpasir, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271";"Kec. Adipala, Kabupaten Cilacap";"JAWA TENGAH";"53271";"Indonesia";" 081327043611";"-7.681047";"109.2014483";"https://maps.google.com/?cid=0x0:0x6d635c3e20785049"
"toko bangunan";"Toko Bahan Bangunan";"Toko Besi  Bangunan Berkah Mandiri";"Jl. Srandil No.rt.004, Adireja Wetan, Adipala, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271";"Adireja Wetan, Adipala, Kec. Adipala, Kabupaten Cilacap";"JAWA TENGAH";"53271";"Indonesia";"";"-7.6638975";"109.1677817";"https://maps.google.com/?cid=0x0:0x4c695e4d623441b7"
"toko bangunan";"Toko Bahan Bangunan";"TB AJS 1 AJI SETIA";"Jl. Srandil No.277, Penempen, Adiraja, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271";"Penempen, Adiraja, Kec. Adipala, Kabupaten Cilacap";"JAWA TENGAH";"53271";"Indonesia";" 081228449953";"-7.6631802";"109.1654386";"https://maps.google.com/?cid=0x0:0xe399337e90f9fe98"
"toko bangunan";"Toko Bahan Bangunan";"TB Permata Jodoh";"Jl. Laut, Kebondalem Kulon, Adipala, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271";"Kebondalem Kulon, Adipala, Kec. Adipala, Kabupaten Cilacap";"JAWA TENGAH";"53271";"Indonesia";"";"-7.6720056";"109.1473985";"https://maps.google.com/?cid=0x0:0x71af95029bc8daf4"
"toko bangunan";"Toko Bahan Bangunan";"TB BERKAH JAYA";"85GG+PFG, Jl. Srandil, Karangbenda, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271";"Jl. Srandil, Karangbenda, Kec. Adipala, Kabupaten Cilacap";"JAWA TENGAH";"53271";"Indonesia";" 085850331584";"-7.6731884";"109.1762085";"https://maps.google.com/?cid=0x0:0xc7737950f1dca5ca"
"toko bangunan";"Toko Bahan Bangunan";"TB.BAPANG";"868P+8Q7, Jl. Diponegoro, Pesanggrahan, Welahan Wetan, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53281";"Jl. Diponegoro, Pesanggrahan, Welahan Wetan, Kec. Adipala, Kabupaten Cilacap";"JAWA TENGAH";"53281";"Indonesia";" 085726425850";"-7.6842104";"109.2369354";"https://maps.google.com/?cid=0x0:0xff03e865c81f18e7"
"toko bangunan";"Toko Bahan Bangunan";"TOKO BESI BAROKAH 2";"84RR+W3F, Jalan A. Yani, Genting, Adipala, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271";"Jalan A. Yani, Genting, Adipala, Kec. Adipala, Kabupaten Cilacap";"JAWA TENGAH";"53271";"Indonesia";" 081542797505";"-7.6575154";"109.1404648";"https://maps.google.com/?cid=0x0:0x676c4039d57c686a"
"toko bangunan";"Toko Bahan Bangunan";"TB Madu Mekar";"84WH+QC4, Jl. Jambu, Lancar, Penggalang, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271";"Jl. Jambu, Lancar, Penggalang, Kec. Adipala, Kabupaten Cilacap";"JAWA TENGAH";"53271";"Indonesia";" 081228163388";"-7.6530552";"109.128584";"https://maps.google.com/?cid=0x0:0x76ae478d0bf9b9c"
