Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"toko bangunan";"Toko Bahan Bangunan";"TB Agung";"WA T0K0 Kami, Jl. Raya Demak - Kudus No.138, Tanubayan, Bintoro, Kec. Demak, Kabupaten Demak, Jawa Tengah 59511";"Jl. Raya Demak - Kudus No.138, Tanubayan, Bintoro, Kec. Demak, Kabupaten Demak";"JAWA TENGAH";"59511";"Indonesia";" 0291686084";"-6.8885381";"110.6450125";"https://maps.google.com/?cid=0x0:0x7609f0c55b65575c"
"toko bangunan";"Pasar bahan bangunan";"Toko bangunan bintoro";"bintoro, Jl. Diponegoro, Rw. 7, Jogoloyo, Kec. Wonosalam, Kabupaten Demak, Jawa Tengah 59566";"Jl. Diponegoro, Rw. 7, Jogoloyo, Kec. Wonosalam, Kabupaten Demak";"JAWA TENGAH";"59566";"Indonesia";" 0291685057";"-6.9002166";"110.6365036";"https://maps.google.com/?cid=0x0:0x52faadbe44b4170b"
"toko bangunan";"Toko Bahan Bangunan";"TB Manfaat";"5H69+78R, Jl. Demak - Bonang, Karangsono, Tridonorejo, Kec. Bonang, Kabupaten Demak, Jawa Tengah 59552";"Jl. Demak - Bonang, Karangsono, Tridonorejo, Kec. Bonang, Kabupaten Demak";"JAWA TENGAH";"59552";"Indonesia";"";"-6.8392745";"110.5682707";"https://maps.google.com/?cid=0x0:0x9f9c72f9dfa4582e"
"toko bangunan";"Toko Bahan Bangunan";"Tb. Sukses Makmur";"4JM7+97X, Jalan Bonang-Demak, Karang mlati, Demak, Tembok, Karangmlati, Kec. Demak, Kabupaten Demak, Jawa Tengah 59511";"Jalan Bonang-Demak, Karang mlati, Demak, Tembok, Karangmlati, Kec. Demak, Kabupaten Demak";"JAWA TENGAH";"59511";"Indonesia";" 085259352884";"-6.8665062";"110.6132406";"https://maps.google.com/?cid=0x0:0x2821a0b405e4e85b"
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangunan "Mas Zim Botak"";"Area Sawah/Kebun, Kalikondang, Kec. Demak, Kabupaten Demak, Jawa Tengah 59517";"Kalikondang, Kec. Demak, Kabupaten Demak";"JAWA TENGAH";"59517";"Indonesia";" 085701933688";"-6.9033832";"110.6089994";"https://maps.google.com/?cid=0x0:0xa3b38a60cb1233d3"
"toko bangunan";"Toko";"Toko Bangunan Sumber Rejeki";"3HXC+2X3, Dukuh, Daon Lor, Wonowoso, Kec. Karangtengah, Kabupaten Demak, Jawa Tengah 59561";"Dukuh, Daon Lor, Wonowoso, Kec. Karangtengah, Kabupaten Demak";"JAWA TENGAH";"59561";"Indonesia";" 081326642458";"-6.9024925";"110.5724349";"https://maps.google.com/?cid=0x0:0xed7515e703013ea4"
"toko bangunan";"Toko Bahan Bangunan";"Toko Bangun Tani";"Jl. Sultan Fatah No.114, Stinggil, Bintoro, Kec. Demak, Kabupaten Demak, Jawa Tengah 59511";"Stinggil, Bintoro, Kec. Demak, Kabupaten Demak";"JAWA TENGAH";"59511";"Indonesia";" 082220691804";"-6.8932931";"110.6395713";"https://maps.google.com/?cid=0x0:0x99c61385d45d31b4"
"toko bangunan";"Toko Bahan Bangunan";"Tb Tanjung";"T0K0 Kami, Jl. Raya Demak - Kudus No.100, Tanubayan, Bintoro, Kec. Demak, Kabupaten Demak, Jawa Tengah 59511";"Jl. Raya Demak - Kudus No.100, Tanubayan, Bintoro, Kec. Demak, Kabupaten Demak";"JAWA TENGAH";"59511";"Indonesia";" 0291685231";"-6.8886652";"110.6447318";"https://maps.google.com/?cid=0x0:0x52ebcfc0d5c2681b"
"toko bangunan";"Toko Bahan Bangunan";"TB.Mandiri Jaya";"Karangrejo, Area Sawah, Karangrejo, Kec. Bonang, Kabupaten Demak, Jawa Tengah 59552";"Area Sawah, Karangrejo, Kec. Bonang, Kabupaten Demak";"JAWA TENGAH";"59552";"Indonesia";"";"-6.872188";"110.5843569";"https://maps.google.com/?cid=0x0:0x9c5dcd5896779ac8"
"toko bangunan";"Toko Bahan Bangunan";"TOKO BANGUNAN DAN PUPUK JAMAL";"4H6M+8WW, Unnamed Road, Area Sawah, Sumberejo, Kec. Bonang, Kabupaten Demak, Jawa Tengah 59552";"Unnamed Road, Area Sawah, Sumberejo, Kec. Bonang, Kabupaten Demak";"JAWA TENGAH";"59552";"Indonesia";"";"-6.8891422";"110.5848256";"https://maps.google.com/?cid=0x0:0x885bc2bcafef6a4f"
