Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"Komplek perumahan";"Kronggen Brati Grobogan";"XVPH+9R3, Sobotuwo, Kronggen, Kec. Brati, Kabupaten Grobogan, Jawa Tengah 58153";"Sobotuwo, Kronggen, Kec. Brati, Kabupaten Grobogan";"JAWA TENGAH";"58153";"Indonesia";" 085382094984";"-7.0141029";"110.8795602";"https://maps.google.com/?cid=0x0:0x862f423e91d5240b"
"perumahan";"Pembangunan Perumahan";"BRANGkidul";"XVQF+P46, Sinawah, Kronggen, Kec. Brati, Kabupaten Grobogan, Jawa Tengah 58153";"Sinawah, Kronggen, Kec. Brati, Kabupaten Grobogan";"JAWA TENGAH";"58153";"Indonesia";" 085210004747";"-7.0106701";"110.8728321";"https://maps.google.com/?cid=0x0:0x9d3210891e871070"
"perumahan";"Pembangunan Perumahan";"Bang Rony";"XVJF+P5Q, Permas, Kronggen, Kec. Brati, Kabupaten Grobogan, Jawa Tengah 58153";"Permas, Kronggen, Kec. Brati, Kabupaten Grobogan";"JAWA TENGAH";"58153";"Indonesia";" 082322095383";"-7.0181674";"110.8729755";"https://maps.google.com/?cid=0x0:0xbfc8af83f4075019"
"perumahan";"Komplek perumahan";"Rumah arista";"XVHW+CJX, Tengaran, Tirem, Kec. Brati, Kabupaten Grobogan, Jawa Tengah";"Kabupaten Grobogan, Jawa Tengah";"JAWA TENGAH";"";"Indonesia";"";"-7.021432";"110.8966537";"https://maps.google.com/?cid=0x0:0xe7ad97ccfa0ed340"
"perumahan";"Komplek perumahan";"Sugeng Dregd";"XVJW+23G, Tengaran, Tirem, Kec. Brati, Kabupaten Grobogan, Jawa Tengah 58153";"Tengaran, Tirem, Kec. Brati, Kabupaten Grobogan";"JAWA TENGAH";"58153";"Indonesia";"";"-7.0201479";"110.8951509";"https://maps.google.com/?cid=0x0:0x565c874e92f1847"
"perumahan";"Komplek perumahan";"Rumah Latifur Rohman";"XVMF+MV6, Permas, Kronggen, Kec. Brati, Kabupaten Grobogan, Jawa Tengah 58153";"Permas, Kronggen, Kec. Brati, Kabupaten Grobogan";"JAWA TENGAH";"58153";"Indonesia";"";"-7.0164004";"110.8740487";"https://maps.google.com/?cid=0x0:0x3e9e50db141ae79e"
"perumahan";"Komplek perumahan";"Rumah fai";"XWP6+2WP, Singorojo, Tirem, Kec. Brati, Kabupaten Grobogan, Jawa Tengah 58153";"Singorojo, Tirem, Kec. Brati, Kabupaten Grobogan";"JAWA TENGAH";"58153";"Indonesia";"";"-7.0149666";"110.9122946";"https://maps.google.com/?cid=0x0:0xab4175aa2404339d"
"perumahan";"Komplek perumahan";"Rumah nurr";"XVMV+3M5 Rumah Nurr, Panjunan, Karangsari, Kec. Brati, Kabupaten Grobogan, Jawa Tengah 58183";"Panjunan, Karangsari, Kec. Brati, Kabupaten Grobogan";"JAWA TENGAH";"58183";"Indonesia";"";"-7.0173688";"110.8942394";"https://maps.google.com/?cid=0x0:0x7d58e74ca0655c3"
"perumahan";"perumahan";"Rumah gilang";"XVWR+WVF, Pasiraman, Katekan, Kec. Brati, Kabupaten Grobogan, Jawa Tengah 58513";"Pasiraman, Katekan, Kec. Brati, Kabupaten Grobogan";"JAWA TENGAH";"58513";"Indonesia";"";"-7.0026489";"110.8921629";"https://maps.google.com/?cid=0x0:0xfbf72bd67d8d443b"
"perumahan";"Pembangunan Perumahan";"Solikul amin";"XWH3+VCJ, Tirem, Kec. Brati, Kabupaten Grobogan, Jawa Tengah 58153";"Tirem, Kec. Brati, Kabupaten Grobogan";"JAWA TENGAH";"58153";"Indonesia";"";"-7.0190407";"110.9028889";"https://maps.google.com/?cid=0x0:0xdd5706563eaaae4f"
"perumahan";"Pembangunan Perumahan";"Basecamp Assyifa (Mas Arif)";"XVPH+HRF, Unnamed Road, Sobotuwo, Kronggen, Kec. Brati, Kabupaten Grobogan, Jawa Tengah 58153";"Unnamed Road, Sobotuwo, Kronggen, Kec. Brati, Kabupaten Grobogan";"JAWA TENGAH";"58153";"Indonesia";" 082135016279";"-7.0135648";"110.8795552";"https://maps.google.com/?cid=0x0:0x4fb7b0c946b057bd"
"perumahan";"Komplek perumahan";"GRAB PATAS";"XWF5+52X, Unnamed Road, Nglawu, Tirem, Kec. Brati, Kabupaten Grobogan, Jawa Tengah 58153";"Unnamed Road, Nglawu, Tirem, Kec. Brati, Kabupaten Grobogan";"JAWA TENGAH";"58153";"Indonesia";" 082327864463";"-7.0269964";"110.9075782";"https://maps.google.com/?cid=0x0:0x34b04336647d8e9b"
