Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"Swiss-belhotel Airport Yogyakarta";"Weton, Kebonrejo, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55654";"Kebonrejo, Kec. Temon, Kabupaten Kulon Progo";"DAERAH ISTIMEWA YOGYAKARTA";"55654";"Indonesia";" 02747073000";"";"/url?q>>u003dhttps://www.swiss-belhotel.com/id-id/swiss-belhotel-airport-yogyakarta>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjVwOawmP6LAxVKzTgGHclDLAoQ61gIFigS>>u0026usg>>u003dAOvVaw2xiZzivem-2cychHXBzmO7";"-7.8870638";"110.0698989";"https://maps.google.com/?cid=0x0:0xde47f0ab7942d63e";""
"hotel";"hotel";"Ibis Yogyakarta International Airport Kulon Progo";"Jl. Wates - Purworejo No.KM 10 95, Seling, Temon Kulon, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55654";"Seling, Temon Kulon, Kec. Temon, Kabupaten Kulon Progo";"DAERAH ISTIMEWA YOGYAKARTA";"55654";"Indonesia";" 02747722828";"";"/url?q>>u003dhttps://all.accor.com/hotel/B5Z8/index.en.shtml>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiu6fewmP6LAxWgi2MGHbRPCdAQ61gIFigS>>u0026usg>>u003dAOvVaw3e3PhXxkpTI2htUEbmh31G";"-7.8868192";"110.0727265";"https://maps.google.com/?cid=0x0:0x86d2f0664d4b6aae";""
"hotel";"hotel";"Cordia Hotel Yogyakarta";"Mezzanine Level Domestic Arrival Terminal, Yogyakarta International Airport, Jl. Wates - Purworejo No.KM. 42, Logede, Glagah, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55654";"Yogyakarta International Airport, Jl. Wates - Purworejo No.KM. 42, Logede, Glagah, Kec. Temon, Kabupaten Kulon Progo";"DAERAH ISTIMEWA YOGYAKARTA";"55654";"Indonesia";" 02747722000";"";"/url?q>>u003dhttp://www.cordia.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjMi5axmP6LAxVNzqACHTGzKOkQ61gIFigS>>u0026usg>>u003dAOvVaw17DdcFGsJopWmjuzWju3YK";"-7.8983132";"110.0598926";"https://maps.google.com/?cid=0x0:0x7a236dc8ba06156b";""
"hotel";"hotel";"Morazen Airport Yogyakarta";"Jalan Nasional III Yogyakarta - Purworejo KM 41.5, KM 41.5, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55654";"KM 41.5, Kec. Temon, Kabupaten Kulon Progo";"DAERAH ISTIMEWA YOGYAKARTA";"55654";"Indonesia";" 02747722888";"";"/url?q>>u003dhttps://morazen-yogyakarta.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwj8sM6xmP6LAxXzwTgGHYMTBDoQ61gIFigS>>u0026usg>>u003dAOvVaw3oJaMypJY_PJ6RyQo1qkIb";"-7.8861807";"110.0655355";"https://maps.google.com/?cid=0x0:0xef5a61ed85e09bb9";""
"hotel";"hotel";"N/A";"";"";"DAERAH ISTIMEWA YOGYAKARTA";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xef5a61ed85e09bb9%7C/g/11fqrdtmg4%7Cen-ID";""
"hotel";"hotel";"Urbanview keTemon Hotel  Resto YIA";"Depan Bandara YIA, Jl. Purworejo - Jogja No.KM 41, Area Kebun, Kebonrejo, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55654";"Jl. Purworejo - Jogja No.KM 41, Area Kebun, Kebonrejo, Kec. Temon, Kabupaten Kulon Progo";"DAERAH ISTIMEWA YOGYAKARTA";"55654";"Indonesia";" 0895417300072";"";"";"-7.8863571";"110.0672842";"https://maps.google.com/?cid=0x0:0xe4b1478c8d93240a";""
"hotel";"hotel";"Novotel Yogyakarta Airport Kulon Progo";"Jl. Wates - Purworejo No.KM 10 95, Seling, Temon Kulon, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55654";"Seling, Temon Kulon, Kec. Temon, Kabupaten Kulon Progo";"DAERAH ISTIMEWA YOGYAKARTA";"55654";"Indonesia";" 02747727878";"";"/url?q>>u003dhttps://all.accor.com/hotel/B5Q9/index.en.shtml>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjM9LaymP6LAxU1TmwGHQ56AuEQ61gIFigS>>u0026usg>>u003dAOvVaw195XZpfMRc8hZHID9kJRj5";"-7.8868192";"110.0727265";"https://maps.google.com/?cid=0x0:0x7d3c46d4241444c2";""
"hotel";"hotel";"Super OYO Collection O 92363 Kp Inn";"Near NYIA Kulonprogo, Temonkulon, Temon, Kulon Progo Daerah Istimewa Yogyakarta, Indonesia, Yogyakarta, Yogyakarta, Central Java 55654";"Temonkulon, Temon, Kulon Progo Daerah Istimewa Yogyakarta, Indonesia, Yogyakarta, Yogyakarta";"DAERAH ISTIMEWA YOGYAKARTA";"55654";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/ID/206528/%3Futm_source%3DGMB_ID%26utm_medium%3DOrganic%26utm_campaign%3DID_YGK435%26latitude%3D-7.887788348031146%26longitude%3D110.0734050013125%26locale%3Did>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwigj7yymP6LAxXBxTgGHcsRGvgQ61gIFCgQ>>u0026usg>>u003dAOvVaw0IM5pN0GnpUYbUS37Ge8VG";"-7.8877883";"110.073405";"https://maps.google.com/?cid=0x0:0x4465df67e6c96670";""
"hotel";"hotel";"Hotel Omah Soemantri";"Area Kebun, Sindutan, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55654";"Sindutan, Kec. Temon, Kabupaten Kulon Progo";"DAERAH ISTIMEWA YOGYAKARTA";"55654";"Indonesia";" 02747723282";"";"";"-7.8825812";"110.0463661";"https://maps.google.com/?cid=0x0:0x651fcfe6315bc50e";""
"hotel";"hotel";"SUPER OYO Collection O Andono Hotel by GWA";"1, Temonkulon, Temon, Kulon Progo, Yogyakarta, Daerah Istimewa Yogyakarta 55654";"Temonkulon, Temon, Kulon Progo, Yogyakarta";"DAERAH ISTIMEWA YOGYAKARTA";"55654";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/ID/182921/%3Futm_source%3DGMB_ID%26utm_medium%3DOrganic%26utm_campaign%3DID_YGK377%26latitude%3D-7.88671396710819%26longitude%3D110.079030767083%26locale%3Did>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjKx6WzmP6LAxUaxjgGHZFBAXAQ61gIFCgQ>>u0026usg>>u003dAOvVaw0dD5GWuWZwm1gpHwLOJ0Tt";"-7.8867171";"110.0790372";"https://maps.google.com/?cid=0x0:0x750914761d7fa7d8";""
