Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
komplek housing;Pembangunan Perumahan;Perumahan Griya Moyudan Asri;Sermo, Sumberarum, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563;Sumberarum, Kec. Moyudan, Kabupaten Sleman;DAERAH ISTIMEWA YOGYAKARTA;55563;Indonesia;;;;-77.646.281;1.102.409.095;https://maps.google.com/?cid=0x0:0xfbe9d22c89738c50;
komplek housing;Pembangunan Perumahan;PITU HOME;66PR+47G, Griya Asri, Area Sawah, Sumberarum, Moyudan, Sleman Regency, Special Region of Yogyakarta 55563;Griya Asri, Area Sawah, Sumberarum, Moyudan, Sleman Regency;DAERAH ISTIMEWA YOGYAKARTA;55563;Indonesia;;;;-77.646.899;1.102.406.969;https://maps.google.com/?cid=0x0:0x74f88a6bf16b0dfa;
komplek housing;Pembangunan Perumahan;Warjo Home;677C+78X, Blendungan, Sumbersari, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563;Blendungan, Sumbersari, Kec. Moyudan, Kabupaten Sleman;DAERAH ISTIMEWA YOGYAKARTA;55563;Indonesia;;;;-778.671;1.102.706.558;https://maps.google.com/?cid=0x0:0x22f385621c15034f;
komplek housing;Komplek perumahan;KIRWANTO House;66FG+934, Pingitan, Sumberarum, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563;Pingitan, Sumberarum, Kec. Moyudan, Kabupaten Sleman;DAERAH ISTIMEWA YOGYAKARTA;55563;Indonesia;;;;-77.766.039;110.225.196;https://maps.google.com/?cid=0x0:0x924b6c09bfd10232;
komplek housing;Komplek perumahan;Harwin House;66RW+745, Turgenen, Sumberagung, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563;Turgenen, Sumberagung, Kec. Moyudan, Kabupaten Sleman;DAERAH ISTIMEWA YOGYAKARTA;55563;Indonesia;;;;-7.759.367;1.102.453.445;https://maps.google.com/?cid=0x0:0x1b469044def1f308;
komplek housing;Komplek perumahan;Perumahan Baiti Jannati 3 Moyudan;Jl. Masjid, Karang, Sumberagung, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563;Karang, Sumberagung, Kec. Moyudan, Kabupaten Sleman;DAERAH ISTIMEWA YOGYAKARTA;55563;Indonesia;85600289289;;;-77.722.841;1.102.414.318;https://maps.google.com/?cid=0x0:0xb2865944f57ad86e;
komplek housing;Komplek perumahan;Graha Sejati Moyudan;66JF+9MJ SejatiPasar RT01, RW17, Sumberarum, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563;RW17, Sumberarum, Kec. Moyudan, Kabupaten Sleman;DAERAH ISTIMEWA YOGYAKARTA;55563;Indonesia;;;;-7.768.622;1.102.231.225;https://maps.google.com/?cid=0x0:0x8672e010fe4f2dc0;
komplek housing;Komplek perumahan;NGAGLIK City;Ngaglik, Ngento-ento, Sumberagung, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563;Ngento-ento, Sumberagung, Kec. Moyudan, Kabupaten Sleman;DAERAH ISTIMEWA YOGYAKARTA;55563;Indonesia;;;;-77.678.913;110.259.356;https://maps.google.com/?cid=0x0:0x6b812e232681bf21;
komplek housing;Komplek perumahan;house of ikha;67P6+62G, Sumberan, Sumberagung, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563;Sumberan, Sumberagung, Kec. Moyudan, Kabupaten Sleman;DAERAH ISTIMEWA YOGYAKARTA;55563;Indonesia;;;;-77.644.447;1.102.600.869;https://maps.google.com/?cid=0x0:0x4963639e4e969bed;
komplek housing;Komplek perumahan;Kahfi House Notosiswayan;Mergan, Jl. Pendulan-Ngijon, RT.04/RW.32, Mergan, Sumberagung, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563;Jl. Pendulan-Ngijon, RT.04/RW.32, Mergan, Sumberagung, Kabupaten Sleman;DAERAH ISTIMEWA YOGYAKARTA;55563;Indonesia;;;;-77.697.805;1.102.449.938;https://maps.google.com/?cid=0x0:0xd9acde4832f30f3e;
