Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Pusat Perbelanjaan";"Jogja City Mall";"Jl. Magelang No.6 No.18, Kutu Patran, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284";"Kutu Patran, Sinduadi, Kec. Mlati, Kabupaten Sleman";"DAERAH ISTIMEWA YOGYAKARTA";"55284";"Indonesia";" 02745305855";"";"/url?q>>u003dhttp://www.jogjacitymall.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi2svbP8YKMAxVtb2wGHZkPIGAQ61gIFigS>>u0026usg>>u003dAOvVaw2Qb-0Si3uCx5g6WTNRDfZA";"-7.7532424";"110.3609091";"https://maps.google.com/?cid=0x0:0x39d891d2e8da95a9";""
"mall";"Pusat Perbelanjaan";"Galeria Mall - Yogyakarta";"Jl. Jend. Sudirman No.99-101, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223";"Terban, Kec. Gondokusuman, Kota Yogyakarta";"DAERAH ISTIMEWA YOGYAKARTA";"55223";"Indonesia";" 0274583661";"";"";"-7.7828301";"110.3791197";"https://maps.google.com/?cid=0x0:0xb6283ff15225c290";""
"mall";"Pusat Perbelanjaan";"Malioboro Mall";"Jl. Mataram No.31, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213";"Suryatmajan, Kec. Danurejan, Kota Yogyakarta";"DAERAH ISTIMEWA YOGYAKARTA";"55213";"Indonesia";" 0274551888";"";"";"-7.7933702";"110.3668603";"https://maps.google.com/?cid=0x0:0xd57e2a1709526952";""
"mall";"Pusat Perbelanjaan";"Plaza Ambarrukmo";"Jl. Laksda Adisucipto No.80, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281";"Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman";"DAERAH ISTIMEWA YOGYAKARTA";"55281";"Indonesia";" 02744331000";"";"/url?q>>u003dhttps://www.plaza-ambarrukmo.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiF8vPQ8YKMAxUlwzgGHTaxLBIQ61gIFigS>>u0026usg>>u003dAOvVaw3RoOZagb8ghhPo4BSWs35O";"-7.7825776";"110.4010956";"https://maps.google.com/?cid=0x0:0x1ce91a3c5aa8b3bc";""
"mall";"Pusat Perbelanjaan";"BAROKAH SAMUDRA";"Gg. Sahid, Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55141";"Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta";"DAERAH ISTIMEWA YOGYAKARTA";"55141";"Indonesia";" 089603040771";"";"";"-7.8189838";"110.3589758";"https://maps.google.com/?cid=0x0:0x57569ac72c608998";""
"mall";"Pusat Perbelanjaan";"E-WARUNG MJ 2";"mj 2 /1238, Jl. Minggiran, Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55141";"Jl. Minggiran, Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta";"DAERAH ISTIMEWA YOGYAKARTA";"55141";"Indonesia";"";"";"";"-7.8253885";"110.3588271";"https://maps.google.com/?cid=0x0:0xee4b7f4237fd6444";""
"mall";"Pusat Perbelanjaan";"Ramai Mall Malioboro";"Jl. Beskalan, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122";"Ngupasan, Kec. Gondomanan, Kota Yogyakarta";"DAERAH ISTIMEWA YOGYAKARTA";"55122";"Indonesia";" 0274562482";"";"";"-7.7971827";"110.3643767";"https://maps.google.com/?cid=0x0:0xb78e8db3a749e859";""
"mall";"Pusat Perbelanjaan";"Peyek Siswati";"59G5+FFR, Unnamed Road, Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55141";"Unnamed Road, Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta";"DAERAH ISTIMEWA YOGYAKARTA";"55141";"Indonesia";" 087888937745";"";"";"-7.8237653";"110.3586293";"https://maps.google.com/?cid=0x0:0x9f5e42f99901695e";""
"mall";"Pusat Perbelanjaan";"Pasar Beringharjo Yogyakarta";"Jl. Margo Mulyo No.16, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122";"Ngupasan, Kec. Gondomanan, Kota Yogyakarta";"DAERAH ISTIMEWA YOGYAKARTA";"55122";"Indonesia";"";"";"";"-7.798812";"110.3657371";"https://maps.google.com/?cid=0x0:0x39ebbc4df90b410c";""
"mall";"Pusat Perbelanjaan";"Mario Canary Jogja";"Suryodiningratan MJ 2/863, Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55141";"Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta";"DAERAH ISTIMEWA YOGYAKARTA";"55141";"Indonesia";" 081232449910";"";"";"-7.82034";"110.3593142";"https://maps.google.com/?cid=0x0:0xe551aa9b9472aef4";""
"mall";"Toko Aksesori Pakaian";"Yogyakarta";"Jl. Dongkelan No.370, Dongkelan, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188";"Dongkelan, Panggungharjo, Kec. Sewon, Kabupaten Bantul";"DAERAH ISTIMEWA YOGYAKARTA";"55188";"Indonesia";"";"";"";"-7.8279153";"110.3542518";"https://maps.google.com/?cid=0x0:0x990dbca78869ba3f";""
"mall";"Toko Swalayan";"꧋ꦩꦒ maga";"Jl. DI Panjaitan No.54-52, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55141";"Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta";"DAERAH ISTIMEWA YOGYAKARTA";"55141";"Indonesia";"";"";"";"-7.8180091";"110.3620175";"https://maps.google.com/?cid=0x0:0xddf39f34fbe89e1e";""
"mall";"Pusat Perbelanjaan";"Mera Milagros Suryowijayan Yogyakarta";"Jl. Suryowijayan No.63, Gedongkiwo, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55142";"Gedongkiwo, Kec. Mantrijeron, Kota Yogyakarta";"DAERAH ISTIMEWA YOGYAKARTA";"55142";"Indonesia";" 081226058641";"";"/url?q>>u003dhttps://www.facebook.com/Milagros-Suryowijayan-Yogyakarta-2341549649403368/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwilpbLT8YKMAxXhzzgGHaKgLiYQ61gIFigS>>u0026usg>>u003dAOvVaw3pi4Hch729Qhq4VnZNDhLo";"-7.8105811";"110.3560175";"https://maps.google.com/?cid=0x0:0x88b3eff4ee9e417";""
"mall";"Komplek perumahan";"Kampung Ramadhan Jogokariyan";"59G7+9Q3, Jl. Masjid Jogokariyan, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143";"Jl. Masjid Jogokariyan, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta";"DAERAH ISTIMEWA YOGYAKARTA";"55143";"Indonesia";"";"";"";"-7.824114";"110.3644302";"https://maps.google.com/?cid=0x0:0x43093179c00748d0";""
