Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Tempat Parkir";"Lippo Plaza Batu";"Jl. Diponegoro No.1, Sisir, Kec. Batu, Kota Batu, Jawa Timur 65314";"Sisir, Kec. Batu, Kota Batu";"JAWA TIMUR";"65314";"Indonesia";" 03412991299";"";"/url?q>>u003dhttps://instagram.com/lippoplazabatu/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjNtO3uhsyLAxUszzgGHSVfPBUQ61gIFigS>>u0026usg>>u003dAOvVaw1TT6RiID3Z29s0cq8-A1-m";"-7.87861";"112.534284";"https://maps.google.com/?cid=0x0:0x86fc42f21cbd11c5";""
"mall";"Pusat Perbelanjaan";"Plaza Batu";"Jl. Gajah Mada, Sisir, Kec. Batu, Kota Batu, Jawa Timur 65314";"Sisir, Kec. Batu, Kota Batu";"JAWA TIMUR";"65314";"Indonesia";"";"";"";"-7.8703494";"112.5272113";"https://maps.google.com/?cid=0x0:0xc32df820c342a9cd";""
"mall";"Hotel";"Batu Paradise Factory Outlet";"Jl. Diponegoro No.6, Sisir, Kec. Batu, Kota Batu, Jawa Timur 65313";"Sisir, Kec. Batu, Kota Batu";"JAWA TIMUR";"65313";"Indonesia";"";"";"/url?q>>u003dhttps://www.batuparadisehotel.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiYlavvhsyLAxVPUGcHHX1RFlkQ61gIEigO>>u0026usg>>u003dAOvVaw1KGq3MdsCXMT54bkcXcvfO";"-7.877354";"112.5331829";"https://maps.google.com/?cid=0x0:0xd5789b12149c8a77";""
"mall";"Kafe";"Dino Mall";"Jl. Ir. Soekarno No.144, Beji, Kec. Junrejo, Kota Batu, Jawa Timur 65236";"Beji, Kec. Junrejo, Kota Batu";"JAWA TIMUR";"65236";"Indonesia";" 03415103030";"";"/url?q>>u003dhttp://www.jtp.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjxztHvhsyLAxVU1TgGHZKjB84Q61gIFigS>>u0026usg>>u003dAOvVaw16zQWF1k1fEbl25nFsoaCb";"-7.8971298";"112.5534936";"https://maps.google.com/?cid=0x0:0x4b0b29bbdf58794f";""
"mall";"Pusat Perbelanjaan";"Pasar panggung kota wisata batu";"4GHG+CFG, Sisir, Kec. Batu, Kota Batu, Jawa Timur 65314";"Sisir, Kec. Batu, Kota Batu";"JAWA TIMUR";"65314";"Indonesia";"";"";"";"-7.8714363";"112.5261907";"https://maps.google.com/?cid=0x0:0xe4de0875802c4a40";""
"mall";"Toko umum";"Pusat Oleh Oleh Deduwa";"Jl. Indragiri No.2, Pesanggrahan, Kec. Batu, Kota Batu, Jawa Timur 65313";"Pesanggrahan, Kec. Batu, Kota Batu";"JAWA TIMUR";"65313";"Indonesia";" 082311135199";"";"/url?q>>u003dhttp://deduwa.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjx6Y7whsyLAxUdV2wGHTM-H5sQ61gIFigS>>u0026usg>>u003dAOvVaw2B5TUkSoeN4w8S4sNO9WKi";"-7.8659548";"112.5107996";"https://maps.google.com/?cid=0x0:0x6f63809f84f6c112";""
"mall";"Rumah Makan";"Toko Buk Sum, Sumbersari, Sumberejo, Kota Batu, Jawa Timur";"Jl. Indragiri Gg. 19 No.20, Sumberejo, Kec. Batu, Kota Batu, Jawa Timur 65318";"Sumberejo, Kec. Batu, Kota Batu";"JAWA TIMUR";"65318";"Indonesia";" 085815405847";"";"";"-7.855526";"112.5154201";"https://maps.google.com/?cid=0x0:0xaaafbca2a181add3";""
"mall";"Toko Roti";"Pusat Oleh Oleh Khas Malang  Batu - Buah Tangan";"Jl. Ir. Soekarno No.374, Mojorejo, Kec. Junrejo, Kota Batu, Jawa Timur 65322";"Mojorejo, Kec. Junrejo, Kota Batu";"JAWA TIMUR";"65322";"Indonesia";" 082132492659";"";"/url?q>>u003dhttps://buahtangan.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjDvdHwhsyLAxXR1jgGHfkOJAwQ61gIFigS>>u0026usg>>u003dAOvVaw1O8r90XJ9DKnzghq_9qL_A";"-7.8984326";"112.5572953";"https://maps.google.com/?cid=0x0:0xe1a4fec500cfad69";""
"mall";"Pasar pakaian";"Mall Olympic Garden";"Jl. Kawi No.24, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65116";"Kauman, Kec. Klojen, Kota Malang";"JAWA TIMUR";"65116";"Indonesia";" 0341366366";"";"";"-7.9772848";"112.6233347";"https://maps.google.com/?cid=0x0:0x5b62e516fe60f2b8";""
"mall";"Pusat Perbelanjaan";"Rastafari";"Ps. Wisata Songgoriti, Pasar Songgoriti Blok A No. 25, Jl. Arumdalu, Songgokerto, Kec. Batu, Kota Batu, Jawa Timur 65312";"Pasar Songgoriti Blok A No. 25, Jl. Arumdalu, Songgokerto, Kec. Batu, Kota Batu";"JAWA TIMUR";"65312";"Indonesia";"";"";"";"-7.8658053";"112.4930674";"https://maps.google.com/?cid=0x0:0xba32864a3a75414a";""
"mall";"Pusat Perbelanjaan";"NiaShop";"4GG4+8JQ, Pesanggrahan, Kec. Batu, Kota Batu, Jawa Timur 65313";"Pesanggrahan, Kec. Batu, Kota Batu";"JAWA TIMUR";"65313";"Indonesia";" 085730301031";"";"";"-7.8741744";"112.5065982";"https://maps.google.com/?cid=0x0:0x222042cbf97e0753";""
