Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"VILLA ALBASIA";"Darungan, Kemuning Lor, Kec. Arjasa, Kabupaten Jember, Jawa Timur";"Kabupaten Jember, Jawa Timur";"JAWA TIMUR";"";"Indonesia";" 082331882585";"";"";"-8.0970575";"113.7028037";"https://maps.google.com/?cid=0x0:0x42d11ea3225cc456";""
"hotel";"hotel";"Hotel Alam Indah";"VPCF+CWR, Jl. Rembangan, Cupu Kulon, Baratan, Kec. Patrang, Kabupaten Jember, Jawa Timur 68112";"Jl. Rembangan, Cupu Kulon, Baratan, Kec. Patrang, Kabupaten Jember";"JAWA TIMUR";"68112";"Indonesia";" 085731401037";"";"";"-8.1288789";"113.7247555";"https://maps.google.com/?cid=0x0:0x61a486afe0fe0e90";""
"hotel";"hotel";"Karunia Hotel Jember";"Jalan MR. Wahid, Wirowongso, Ajung, Sumber Rejo, Wirowongso, Kec. Ajung, Kabupaten Jember, Jawa Timur 68175";"Wirowongso, Ajung, Sumber Rejo, Wirowongso, Kec. Ajung, Kabupaten Jember";"JAWA TIMUR";"68175";"Indonesia";" 082234700777";"";"/url?q>>u003dhttp://www.karuniahoteljember.blogspot.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwikr5aQ9tOLAxXDS2wGHaTtNXkQ61gIFigS>>u0026usg>>u003dAOvVaw3aNKjm_HiKW43qfVnxNCbu";"-8.214294";"113.6918077";"https://maps.google.com/?cid=0x0:0x9bdb31ac064e6b83";""
"hotel";"hotel";"Hotel Bintang";"Jl. Raya Banyuglugur, Bungor, Banyuglugur, Kec. Banyuglugur, Kabupaten Situbondo, Jawa Timur 68359";"Bungor, Banyuglugur, Kec. Banyuglugur, Kabupaten Situbondo";"JAWA TIMUR";"68359";"Indonesia";" 085236523636";"";"";"-7.725127";"113.618558";"https://maps.google.com/?cid=0x0:0x67796717b2784660";""
"hotel";"hotel";"Hotel asembagus";"66XM+GVJ, Jl. Raya Asembagus, Krajan, Wringinanom, Asembagus, Kabupaten Situbondo Jawaban Timur, Trigonco Timur, Trigonco, Kec. Asembagus, Kabupaten Situbondo, Jawa Timur 68373";"Jl. Raya Asembagus, Krajan, Wringinanom, Asembagus, Kabupaten Situbondo Jawaban Timur, Trigonco Timur, Trigonco, Kec. Asembagus, Kabupaten Situbondo";"JAWA TIMUR";"68373";"Indonesia";"";"";"";"-7.7511727";"114.2346446";"https://maps.google.com/?cid=0x0:0x57db25b6d10afc64";""
"hotel";"hotel";"Jawa Timur 68191";"Kec. Arjasa, Kabupaten Jember, Jawa Timur";"Kabupaten Jember, Jawa Timur";"JAWA TIMUR";"";"Indonesia";"";"";"";"-8.1098286";"113.7275817";"https://maps.google.com/?cid=0x0:0x1c00c5eb5b542b00";""
"hotel";"hotel";"Royal Hotel n' Resto Jember";"Jl. Karimata No.50 Kavling 2, Gumuk Kerang, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121";"Gumuk Kerang, Sumbersari, Kec. Sumbersari, Kabupaten Jember";"JAWA TIMUR";"68121";"Indonesia";" 081234695955";"";"";"-8.1773752";"113.7173635";"https://maps.google.com/?cid=0x0:0x960cec32c1e03bc6";""
"hotel";"hotel";"JC Hotel Jember";"Jl. Sunan Drajat No.31, Telengsah, Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur";"Kabupaten Jember, Jawa Timur";"JAWA TIMUR";"";"Indonesia";" 08113011101";"";"/url?q>>u003dhttps://www.bookandlink.com/admin/booking/jc-hotel_3728.html>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiSycqR9tOLAxVCUGcHHThTFHgQ61gIFigS>>u0026usg>>u003dAOvVaw1IMvDvWMR1KmTAuZ9D12uM";"-8.1825114";"113.6893555";"https://maps.google.com/?cid=0x0:0x9f54902900f0648f";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x9f54902900f0648f%7C/g/11b807_dsb%7Cen-ID";""
"hotel";"hotel";"Arowana Hotel";"Jl. Arowana No.73, Gebang Taman, Kb. Agung, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131";"Gebang Taman, Kb. Agung, Kec. Kaliwates, Kabupaten Jember";"JAWA TIMUR";"68131";"Indonesia";" 0331411412";"";"/url?q>>u003dhttps://s.id/pesankamar>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwio-qaS9tOLAxWV1jgGHXPfHvEQ61gIFigS>>u0026usg>>u003dAOvVaw27YzmJXqjyVSztJTEk1Szj";"-8.1593162";"113.6754395";"https://maps.google.com/?cid=0x0:0x470ac7e45cb63fa0";""
"hotel";"hotel";"OYO 93384 New Asembagus 2";"traditional Market Situbondo, 1 Jl.Raya Asembagus, Krajan, Wringinanom, Asembagus, Kabupaten, Jawaban Timur, Trigonco Timur, Trigonco, Asembagus, Situbondo Regency, East Java 68373";"1 Jl.Raya Asembagus, Krajan, Wringinanom, Asembagus, Kabupaten, Jawaban Timur, Trigonco Timur, Trigonco, Asembagus, Situbondo Regency";"JAWA TIMUR";"68373";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/224182/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwj7pcqS9tOLAxXlxjgGHTAZLYcQ61gIFigS>>u0026usg>>u003dAOvVaw0JcmGLVkAbXky7CrI0OaYD";"-7.7508214";"114.2343738";"https://maps.google.com/?cid=0x0:0xf820be384a69f2a2";""
"hotel";"hotel";"OYO 93381 New Asembagus 3";"Traditional Market Situbondo, 1 Jl.Raya Asembagus, Krajan, Wringinanom, Asembagus Kabupaten Situbondo Jawaban Timur, Trigonco Timur, Trigonco, Asembagus, Situbondo Regency, East Java 68373";"1 Jl.Raya Asembagus, Krajan, Wringinanom, Asembagus Kabupaten Situbondo Jawaban Timur, Trigonco Timur, Trigonco, Asembagus, Situbondo Regency";"JAWA TIMUR";"68373";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/224175/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiA_9eS9tOLAxWIVWwGHT0jJ3wQ61gIFigS>>u0026usg>>u003dAOvVaw07YoGbB9u_E96b5HIOhMA2";"-7.7525246";"114.2344342";"https://maps.google.com/?cid=0x0:0xbc34fe3950bd14e";""
"hotel";"hotel";"Hotel Kebon Agung";"Jl. Arowana No.59, Gebang Taman, Kb. Agung, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131";"Gebang Taman, Kb. Agung, Kec. Kaliwates, Kabupaten Jember";"JAWA TIMUR";"68131";"Indonesia";" 0331485157";"";"/url?q>>u003dhttps://s.id/pesankamar>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjB2pyT9tOLAxVpR2wGHZsJMHwQ61gIFigS>>u0026usg>>u003dAOvVaw2Te4A26NQnc6w2aYBwxeOD";"-8.1622393";"113.6784438";"https://maps.google.com/?cid=0x0:0xd90dee973352fad7";""
"hotel";"hotel";"OYO 94147 Anasya Homestay";"78 Jl. Mujahir 78.Kec.Sukorambi, Jember, Jawa Timur, Jawa, Alun Alun, Kota Jember, Jember Regency, East Java 68151";"Jember, Jawa Timur, Jawa, Alun Alun, Kota Jember, Jember Regency";"JAWA TIMUR";"68151";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/246822/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwj4vcOT9tOLAxWNxzgGHRJ_I8wQ61gIFigS>>u0026usg>>u003dAOvVaw3MlaV0BvAKFLQaKvaGFor8";"-8.1568946";"113.6662904";"https://maps.google.com/?cid=0x0:0x4a826405fe6823ff";""
"hotel";"hotel";"Roso Tentrem Guest House";"Komplek Ruko, Jl. DR. Soebandi No.A4, Patang Tengah, Patrang, Kec. Patrang, Kabupaten Jember, Jawa Timur 68111";"Jl. DR. Soebandi No.A4, Patang Tengah, Patrang, Kec. Patrang, Kabupaten Jember";"JAWA TIMUR";"68111";"Indonesia";" 082338824977";"";"";"-8.1499221";"113.7118873";"https://maps.google.com/?cid=0x0:0x48a5c709048234e5";""
"hotel";"hotel";"Hotel Siti Jember";"Jl. Bondowoso - Jember No.36, Cangkring, Patrang, Kec. Patrang, Kabupaten Jember, Jawa Timur 68111";"Cangkring, Patrang, Kec. Patrang, Kabupaten Jember";"JAWA TIMUR";"68111";"Indonesia";" 081130046000";"";"";"-8.15539";"113.7126946";"https://maps.google.com/?cid=0x0:0xaf45f3ca26c71455";""
"hotel";"hotel";"The Premiere Siti Hotel";"Jl. Bondowoso - Jember No.37, Cangkring, Patrang, Kec. Patrang, Kabupaten Jember, Jawa Timur 68111";"Cangkring, Patrang, Kec. Patrang, Kabupaten Jember";"JAWA TIMUR";"68111";"Indonesia";"";"";"";"-8.1553929";"113.7127458";"https://maps.google.com/?cid=0x0:0xfc6404a10414fcdc";""
"hotel";"hotel";"InnBox Capsule Hotel";"Jl. Kalimantan IV Gg. 4 No.8, Krajan Timur, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121";"Krajan Timur, Sumbersari, Kec. Sumbersari, Kabupaten Jember";"JAWA TIMUR";"68121";"Indonesia";" 0811214525";"";"";"-8.1596537";"113.7131242";"https://maps.google.com/?cid=0x0:0x58e9b417eaf313c9";""
"hotel";"hotel";"Rumah Kita Homestay";"Jl. Srikoyo No.25, Krajan, Patrang, Kec. Patrang, Kabupaten Jember, Jawa Timur 68111";"Krajan, Patrang, Kec. Patrang, Kabupaten Jember";"JAWA TIMUR";"68111";"Indonesia";" 081333399005";"";"";"-8.1484911";"113.7161236";"https://maps.google.com/?cid=0x0:0xf797e32af49aea3d";""
