Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Pusat Perbelanjaan";"hijabmurah_jawatimur";"Jl Pejuang Gang 6 RT:05 RW:02, Balongbendo, Kec. BalongBendo, Kabupaten Sidoarjo, Jawa Timur 61263";"Balongbendo, Kec. BalongBendo, Kabupaten Sidoarjo";"JAWA TIMUR";"61263";"Indonesia";" 081927390959";"";"";"-7.4103068";"112.5447395";"https://maps.google.com/?cid=0x0:0xdd4d3539f89b2f8d";""
"mall";"Pusat Perbelanjaan";"Dea_shop Seduri Balongbendo";"HGM7+P5J, Seduri, Kec. BalongBendo, Kabupaten Sidoarjo, Jawa Timur 61263";"Seduri, Kec. BalongBendo, Kabupaten Sidoarjo";"JAWA TIMUR";"61263";"Indonesia";" 088217088925";"";"";"-7.4156642";"112.5129041";"https://maps.google.com/?cid=0x0:0xde298e9bd65d815";""
"mall";"Pusat Perbelanjaan";"Pak sokran";"HGM7+V96, Seduri, Kec. BalongBendo, Kabupaten Sidoarjo, Jawa Timur 61263";"Seduri, Kec. BalongBendo, Kabupaten Sidoarjo";"JAWA TIMUR";"61263";"Indonesia";" 081515545179";"";"";"-7.4153417";"112.5133948";"https://maps.google.com/?cid=0x0:0x920ae790c0275f9c";""
"mall";"Toko Herbal";"STOKIS NASA W.1515 BALONGBENDO";"Jl. Cinta, Kendal rt 25/03, Kendal Bakung, Bakungpringgondani, Kec. BalongBendo, Kabupaten Sidoarjo, Jawa Timur 61263";"Kendal rt 25/03, Kendal Bakung, Bakungpringgondani, Kec. BalongBendo, Kabupaten Sidoarjo";"JAWA TIMUR";"61263";"Indonesia";" 085859050844";"";"";"-7.4192764";"112.5057216";"https://maps.google.com/?cid=0x0:0x7c16e4fb4dfb8147";""
"mall";"Pusat Perbelanjaan";"os happy shopping mirna";"HFJV+FJC, Ciro Wetan, Bakungtemenggungan, Kec. BalongBendo, Kabupaten Sidoarjo, Jawa Timur 61263";"Ciro Wetan, Bakungtemenggungan, Kec. BalongBendo, Kabupaten Sidoarjo";"JAWA TIMUR";"61263";"Indonesia";" 085730009751";"";"";"-7.4188151";"112.4940019";"https://maps.google.com/?cid=0x0:0xfdc5136431ce9ac3";""
"mall";"Pusat Perbelanjaan";"Shaa Store";"HHQ3+7F2, Jl. Semawut Kali, Semawut, Balongbendo, Kec. BalongBendo, Kabupaten Sidoarjo, Jawa Timur 61263";"Jl. Semawut Kali, Semawut, Balongbendo, Kec. BalongBendo, Kabupaten Sidoarjo";"JAWA TIMUR";"61263";"Indonesia";" 089618532172";"";"/url?q>>u003dhttp://goo.gl/ET8zSd>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiAleSt1tWLAxWhwjgGHWL6BCoQ61gIFSgR>>u0026usg>>u003dAOvVaw3jRIcE_jpMGtr4Yb6Vpg8Z";"-7.4118688";"112.5536343";"https://maps.google.com/?cid=0x0:0x869fcd2a5b7501e4";""
"mall";"Toko bahan makanan";"NUR KOMARIYAH";"Dusun Luwung Desa Sumo Kembang Sri RT 25 RW 4, Sidoarjo, Sumokembangsari, Sumokembangsri, Kec. BalongBendo, Kabupaten Sidoarjo, Jawa Timur 61263";"Sidoarjo, Sumokembangsari, Sumokembangsri, Kec. BalongBendo, Kabupaten Sidoarjo";"JAWA TIMUR";"61263";"Indonesia";" 081216134834";"";"";"-7.431626";"112.501391";"https://maps.google.com/?cid=0x0:0xb769215ec1347c82";""
"mall";"Pusat Perbelanjaan";"Mega Distributor Resmi PT.NASA";"HGH5+WHG, RT.26/RW.03, Kendal Bakung, Bakungpringgondani, Kec. BalongBendo, Kabupaten Sidoarjo, Jawa Timur 61263";"RT.26/RW.03, Kendal Bakung, Bakungpringgondani, Kec. BalongBendo, Kabupaten Sidoarjo";"JAWA TIMUR";"61263";"Indonesia";" 085784103395";"";"/url?q>>u003dhttp://www.naturalnusantara.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwj7xoSv1tWLAxX0UGwGHR7zO1UQ61gIFSgR>>u0026usg>>u003dAOvVaw1QpiDLaDO7WCsr_gcMddXD";"-7.4201959";"112.5089432";"https://maps.google.com/?cid=0x0:0x9c0a4c9a3cf6c662";""
"mall";"Toko";"SUSI KRISTANTI";"HGFP+H9C, Kepuhsari, Gagangkepuhsari, Kec. BalongBendo, Kabupaten Sidoarjo, Jawa Timur 61263";"Kepuhsari, Gagangkepuhsari, Kec. BalongBendo, Kabupaten Sidoarjo";"JAWA TIMUR";"61263";"Indonesia";" 085748270191";"";"";"-7.4260578";"112.5359044";"https://maps.google.com/?cid=0x0:0xe08abcb08bbb56a5";""
"mall";"Toko";"Distributor NASA SIDOARJO";"Jl. Mayjen Bambang Yuwono No.29, Seduri, Kec. BalongBendo, Kabupaten Sidoarjo, Jawa Timur 61263";"Seduri, Kec. BalongBendo, Kabupaten Sidoarjo";"JAWA TIMUR";"61263";"Indonesia";" 089699917402";"";"";"-7.415337";"112.5108133";"https://maps.google.com/?cid=0x0:0x7c7a2c0f34728b40";""
